,group,variable,month,TOTAL 1910 ANTI AMARÍLICA CANTIDAD,TOTAL 1910 ANTI AMARÍLICA CANTIDAD,TOTALES
AYATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,5,6
AZURDUY,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
BATALLAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
BAURES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,0,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,7,3,10
CABEZAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,2,1,3
CAIROMA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,2,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,6,1,7
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,2,0,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,3,0,3
CARAPARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,0,1
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,2,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,1,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,5,0,5
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
CLIZA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,1,2
COBIJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,7,23,30
COCAPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,5,8,13
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,111,35,146
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,13,0,13
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,2,1,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,7,9,16
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,2,2
COMARAPA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,0,1
CORO CORO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
COROICO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,3,1,4
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
CULPINA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,0,1
CURVA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,86,81,167
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,2,0,2
EL TORNO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,9,2,11
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,10,0,10
ESCARA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,5,0,5
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,2,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,2,10,12
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,5,5
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,2,0,2
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,3,3
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,2,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,3,4
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,5,6,11
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,3,2,5
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,8,1,9
LA PAZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,118,2,120
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,2,2
MAPIRI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,13,0,13
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,4,4
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,8,0,8
NAZACARA DE PACAJES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
OKINAWA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,2,2,4
ORURO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,13,0,13
PAILON,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,11,18,29
PALCA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,2,2
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,0,1
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,2,2
POCOATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,3,3
POCONA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,2,2
POROMA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,3,3
PORONGO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,2,2
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,28,0,28
POTOSI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,24,2,26
PUCARANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,3,3
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,2,11,13
PUNA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,2,0,2
PUNATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,2,1,3
QUIABAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,16,62,78
RAVELO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,7,6,13
REYES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,3,4
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,6,0,6
SACABA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,13,4,17
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,0,1
SAIPINA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,1,2
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,10,4,14
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,1,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,3,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,5,0,5
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,2,6,8
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,0,1
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,3,1,4
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,233,26,259
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,2,0,2
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,3,3
SENA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,0,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,2,0,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,5,2,7
SORATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,4,4
SUCRE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,28,1,29
TAPACARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
TARABUCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,0,1
TARATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,20,3,23
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,1,2
TIPUANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,1,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,13,5,18
TOLATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,0,1
TOMAVE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,0,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,5,6
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,17,3,20
TUPIZA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,1,2
UYUNI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,4,0,4
VIACHA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,2,1,3
VILA VILA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,2,1,3
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,7,0,7
VILLAZON,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
VINTO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,7,2,9
WARNES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,24,0,24
YACUIBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,5,3,8
YOCALLA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,4,5
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,2,2
AIQUILE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,2,0,2
ARANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,2,0,2
ARBIETO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,2,5,7
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,11,0,11
ATOCHA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,5,6
AYATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,1,2
BATALLAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,4,1,5
BETANZOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,2,2
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,5,5
CAMIRI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,3,0,3
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,2,0,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,1,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,4,0,4
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,4,2,6
CHIMORE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,6,5,11
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,1,2
CHUMA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,2,1,3
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,1,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,2,9,11
COCAPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,105,35,140
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,7,0,7
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,2,1,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,6,6
COPACABANA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,2,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,8,1,9
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,0,1
CULPINA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,2,2
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,130,84,214
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,7,0,7
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,2,1,3
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,2,3
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,3,1,4
HUACHACALLA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,4,0,4
HUMANATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,2,2
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,3,4
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,1,2
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,2,2
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,5,6
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,2,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,7,0,7
LA PAZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,106,12,118
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,0,1
LORETO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,6,6
MECAPACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,1,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,3,3,6
MIZQUE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,1,1
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,2,2
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,23,6,29
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,1,1
NAZACARA DE PACAJES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,0,1
OKINAWA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,5,6
ORURO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,22,0,22
PADILLA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,1,2
PAILON,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,28,6,34
PALCA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,5,4,9
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,4,2,6
PAZÑA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,0,1
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,1,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,6,6
POOPO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,0,1
POROMA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,3,1,4
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,3,0,3
PORVENIR,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,5,5
POTOSI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,17,1,18
PUCARANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,4,4,8
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,2,2
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,5,1,6
PUNATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,12,25,37
RAVELO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,4,0,4
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,8,1,9
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,4,5
SABAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,2,2
SACABA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,21,11,32
SACACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,12,8,20
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,2,2,4
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,3,3
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,5,1,6
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,3,3
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,2,0,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,2,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,2,3,5
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,0,1
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,5,3,8
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,189,189
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,9,9
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,3,4
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,2,2,4
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,4,4
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,5,6,11
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,183,23,206
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,3,3
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,21,322,343
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,2,2
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,1,2
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,3,4
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,2,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,12,0,12
SORATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,4,5
SUCRE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,5,1,6
TARIJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,9,57,66
TARVITA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,1,1
TIPUANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,1,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,3,3,6
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,3,3
TOLATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,1,1
TOMINA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,1,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,24,7,31
TUPIZA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,1,2
UNCIA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,1,1,2
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,0,1,1
UYUNI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-04-01,9,0,9
