,group,variable,month,TOTAL 19.4 DPT 4TA DOSIS CANTIDAD,TOTAL 19.4 DPT 4TA DOSIS CANTIDAD,TOTALES
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,325,202,527
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,15,2,17
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,4,0,4
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,40,2,42
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,9,7,16
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,0,4,4
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,1,2,3
GUAQUI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,19,5,24
HUACARETA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,3,11,14
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,2,3,5
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,1,6,7
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,1,0,1
HUARINA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,1,0,1
ICLA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,1,1,2
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,4,3,7
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,1,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,10,2,12
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,39,0,39
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,168,69,237
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,7,1,8
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,6,0,6
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,2,2,4
LORETO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,5,6,11
LURIBAY,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,0,2,2
MACHARETI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,2,0,2
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,2,0,2
MAIRANA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,4,9,13
MINEROS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,23,12,35
MIZQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,2,10,12
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,0,6,6
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,5,6,11
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,49,16,65
MORO MORO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,0,1,1
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,3,8,11
NAZACARA DE PACAJES,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,4,0,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,2,1,3
OKINAWA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,2,16,18
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,0,10,10
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,61,1,62
PADCAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,1,1,2
PADILLA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,3,1,4
PAILON,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,5,21,26
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,3,2,5
PAZÑA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,0,2,2
POCOATA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,0,1,1
POCONA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,3,5,8
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,0,1,1
POOPO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,1,0,1
POROMA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,3,11,14
PORONGO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,1,6,7
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,27,21,48
PORVENIR,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,5,15,20
POSTRER VALLE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,6,0,6
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,159,25,184
PUCARANI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,2,7,9
PUERTO ACOSTA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,0,6,6
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,0,2,2
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,0,7,7
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,7,0,7
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,22,13,35
PUNA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,2,1,3
PUNATA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,7,0,7
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,27,101,128
QUIME,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,1,4,5
REYES,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,4,1,5
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,51,13,64
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,21,1,22
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,42,18,60
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,1,3,4
SACACA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,0,9,9
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,3,6,9
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,4,1,5
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,10,8,18
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,1,1,2
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,6,0,6
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,19,7,26
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,8,0,8
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,5,23,28
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,8,5,13
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,15,2,17
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,4,0,4
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,10,2,12
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,23,0,23
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,23,5,28
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,10,14,24
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,8,5,13
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,8,0,8
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,4,0,4
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,1,3,4
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,0,1,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,48,112,160
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,6,26,32
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,496,49,545
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,2,0,2
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,8,1,9
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,0,1,1
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,2,0,2
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,1,0,1
SENA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,6,20,26
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,2,4,6
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,17,15,32
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,1,2,3
SORACACHI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,2,0,2
SORATA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,0,4,4
SUCRE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,161,93,254
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,4,14,18
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,4,3,7
TARABUCO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,5,10,15
TARACO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,1,0,1
TARATA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,1,2,3
TARIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,51,18,69
TARVITA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,3,1,4
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,29,14,43
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,2,0,2
TOCO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,3,1,4
TOLATA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,2,1,3
TOMAVE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,1,2,3
TOMINA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,2,0,2
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,8,5,13
TOTORA(ORR),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,2,0,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,58,45,103
TUPIZA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,13,2,15
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,1,7,8
UYUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,12,0,12
VACAS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,0,9,9
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,7,4,11
VIACHA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,3,0,3
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,0,2,2
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,2,1,3
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,8,1,9
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,31,7,38
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,6,2,8
VILLAZON,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,17,3,20
VINTO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,21,0,21
WARNES,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,85,44,129
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,12,21,33
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,1,0,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,1,0,1
YOTALA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,0,2,2
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,3,4,7
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-04-01,0,1,1
ACACIO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,4,3,7
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,1,1,2
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,3,8,11
AIQUILE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,3,8,11
ALALAY,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,0,4,4
ALCALA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,1,0,1
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,3,2,5
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,3,1,4
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,0,1,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,5,20,25
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,5,19,24
ARANI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,1,5,6
ARBIETO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,7,8,15
ARQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,1,6,7
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,16,93,109
ATOCHA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,1,22,23
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,9,27,36
AZURDUY,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,1,10,11
BATALLAS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,15,13,28
BAURES,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,0,4,4
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,0,1,1
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,3,9,12
BERMEJO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,2,20,22
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,10,5,15
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,1,0,1
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,2,2,4
CAIROMA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,12,18,30
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,1,1,2
CAMARGO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,5,2,7
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,3,2,5
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,1,0,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,9,3,12
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,6,14,20
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,27,24,51
CARAPARI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,3,6,9
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,17,27,44
CHAQUI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,0,27,27
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,35,18,53
CHIPAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,2,5,7
CHOQUE COTA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,1,0,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,5,0,5
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,8,6,14
CLIZA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,9,15,24
COBIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,44,47,91
COCAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,4,8,12
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,275,238,513
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,29,6,35
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,10,2,12
COLOMI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,10,12,22
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,0,3,3
COMARAPA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,5,14,19
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,34,133,167
COPACABANA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,0,2,2
CORO CORO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,0,1,1
COROICO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,11,1,12
CORQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,0,2,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,2,18,20
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,7,24,31
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,28,49,77
CULPINA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,2,3,5
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,3,13,16
CURVA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,4,7,11
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,312,607,919
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,9,100,109
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,3,6,9
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,32,40,72
EL VILLAR,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,6,1,7
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,4,5,9
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,19,8,27
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,10,28,38
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,1,7,8
GUANAY,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,0,3,3
GUAQUI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,0,5,5
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,26,7,33
HUACARETA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,2,1,3
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,7,4,11
HUACHACALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,11,13,24
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,1,0,1
HUATAJATA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,0,4,4
ICLA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,4,4,8
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,7,1,8
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,0,17,17
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,5,6,11
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,5,0,5
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,39,2,41
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,126,207,333
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,207,208,415
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,7,5,12
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,1,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,11,151,162
LURIBAY,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,0,4,4
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,0,1,1
MACHARETI,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,5,6,11
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,5,9,14
MAIRANA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,1,9,10
MINEROS,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,14,89,103
MIZQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,5,6,11
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,6,2,8
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,4,3,7
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,47,7,54
MORO MORO,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,0,1,1
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,0,3,3
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,      dpt 4ta dosis,2014-05-01,0,1,1
