,group,variable,month,TOTAL 19.5 ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,TOTAL 19.5 ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,TOTALES
CULPINA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,39,12,51
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,3,0,3
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,9,10
GUANAY,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,2,11,13
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,5,1,6
HUATAJATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,2,3,5
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,2,2,4
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,2,2
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,4,5
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,2,3
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,64,7,71
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,1,1
MALLA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,3,3
MIZQUE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,4,4
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,2,3,5
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,18,3,21
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,2,2
OCURI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,2,3,5
ORURO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,10,0,10
PADCAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1
PAILON,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,14,0,14
PASORAPA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,10,10
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,10,0,10
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,4,4,8
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,5,29,34
POTOSI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,5,5,10
PRESTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,5,5
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,2,1,3
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,5,5
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,3,4,7
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,2,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,13,23,36
RAVELO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,2,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,19,1,20
ROBORE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,18,16,34
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,8,9
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,3,0,3
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,3,0,3
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,1,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,9,5,14
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,15,10,25
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,126,41,167
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,1,1
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,2,2
SENA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,8,0,8
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,4,10,14
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,10,14,24
SUCRE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,18,0,18
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,2,5,7
TARACO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,2,2
TIPUANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,4,0,4
TOCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,2,3,5
TOMAVE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,19,1,20
UMALA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,2,0,2
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,6,6
URUBICHA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,1,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,6,6
WARNES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,3,0,3
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1
YUNGUYO DE LITORAL,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,4,0,4
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,1,1
ACACIO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,4,4
AIQUILE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,2,2
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,7,0,7
ANZALDO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,6,9,15
ATOCHA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,2,5,7
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,3,4
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,11,0,11
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,2,2
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,15,4,19
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,3,3
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,2,2
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,1,1
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,2,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,2,13,15
CHUMA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,5,7,12
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,112,2,114
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,11,0,11
COLOMI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,3,0,3
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,2,12,14
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,6,7
CORO CORO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,2,0,2
COROICO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,2,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,2,0,2
CUEVO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,2,3
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,57,18,75
EL CHORO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,1,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,2,0,2
ESCOMA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,5,1,6
GUANAY,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,4,5
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,3,0,3
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,1,1
HUACARETA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,2,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,3,4,7
HUMANATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,3,27,30
ICHOCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,1,1
ICLA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,4,4
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,10,6,16
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,2,1,3
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,1,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,68,9,77
LURIBAY,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,2,2
MALLA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,5,5
MAPIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,3,1,4
MECAPACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,5,0,5
MINEROS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,10,8,18
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,11,7,18
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,3,3
ORURO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,3,0,3
PADCAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,3,1,4
PAILON,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,10,3,13
PALCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,32,0,32
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1
PASORAPA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,1,1
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,11,11
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,2,2,4
PORONGO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,6,0,6
PORVENIR,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,1,1
POSTRER VALLE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,2,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,5,3,8
PUERTO ACOSTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,1,2
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,2,0,2
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,2,0,2
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,13,14
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,14,25,39
RAVELO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,1,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,16,22,38
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,4,2,6
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,4,0,4
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,2,90,92
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,2,1,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,10,12,22
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,19,2,21
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,2,4,6
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,111,20,131
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,5,12,17
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,1,2
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,6,6
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,2,3
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,4,1,5
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,4,7,11
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,4,8,12
SORATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,21,2,23
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,1,2
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,6,6,12
TARACO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,2,0,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,2,2,4
TIPUANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,3,0,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,3,2,5
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,0,1,1
TOLEDO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,19,1,20
URUBICHA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,3,3,6
UYUNI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,6,0,6
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,21,5,26
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,9,0,9
YACO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-04-01,3,0,3
ACACIO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,1,1,2
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,2,2,4
AIQUILE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,0,2,2
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,0,4,4
ARQUE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,0,5,5
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,8,10,18
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,0,4,4
AYO AYO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,0,4,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,0,4,4
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,0,11,11
BERMEJO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,3,11,14
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,2,0,2
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,17,2,19
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,6,0,6
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,1,0,1
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,12,15,27
CATACORA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,2,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,1,1,2
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,2,2,4
CHUA COCANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,1,0,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,0,7,7
COBIJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,109,23,132
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,2,5,7
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,8,10,18
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,3,19,22
COLQUENCHA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,5,0,5
COMARAPA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,0,2,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,2,2,4
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,0,2,2
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-05-01,4,0,4
