,group,variable,month,TOTAL 19.9 SRP DOSIS ÚNICA CANTIDAD,TOTAL 19.9 SRP DOSIS ÚNICA CANTIDAD,TOTALES
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,2,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,2,3
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,4,4
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,4,1,5
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,7,1,8
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,72,4,76
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,3,3
MAPIRI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,11,0,11
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
OKINAWA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,2,2,4
ORURO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,14,3,17
PAILON,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,6,18,24
PORVENIR,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,2,0,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,11,8,19
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,2,15,17
PUNA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
QUIABAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,2,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,8,20,28
RAVELO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,3,2,5
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,4,5,9
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,7,9,16
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,5,1,6
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,3,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,3,1,4
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,1,2
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,2,1,3
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,2,0,2
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,172,42,214
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,2,0,2
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,1,2
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
SENA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,3,1,4
SORATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,26,1,27
TACACOMA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
TARABUCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,7,2,9
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
TIPUANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,8,3,11
TOMAVE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,13,2,15
TUPIZA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,5,4,9
VILA VILA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,2,0,2
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,2,1,3
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,5,0,5
VILLAZON,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,3,2,5
WARNES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,13,0,13
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,4,3,7
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,2,2
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,5,5
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,6,2,8
ATOCHA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,2,0,2
AYATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,1,1
BATALLAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,4,0,4
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,6,5,11
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,2,0,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,1,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,2,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,3,2,5
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,1,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,2,3,5
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,3,9,12
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,75,22,97
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,4,0,4
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,1,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,9,1,10
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,87,62,149
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,6,0,6
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,3,2,5
HUACARETA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,11,11,22
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,5,0,5
HUMANATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,1,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,1,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,2,0,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,5,1,6
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,1,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,2,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,7,0,7
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,79,19,98
LORETO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,3,3
MECAPACA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,1,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,2,3,5
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,2,2
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,19,4,23
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,1,1
OKINAWA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,6,7
ORURO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,17,0,17
PADCAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,1,1
PADILLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,0,1
PAILON,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,4,1,5
PALCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,3,2,5
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,2,0,2
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,0,1
PAZÑA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,0,1
POCONA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,0,1
POOPO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,3,0,3
PORVENIR,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,4,5
POTOSI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,14,1,15
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,2,2
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,3,3,6
PUNATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,9,11,20
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,5,1,6
ROBORE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,3,4
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,3,0,3
SACABA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,15,4,19
SACACA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,2,0,2
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,2,2,4
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,5,2,7
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,4,0,4
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,2,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,2,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,2,3,5
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,2,2
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,3,2,5
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,3,3
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,5,5
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,2,3
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,2,2,4
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,4,4
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,4,9,13
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,178,20,198
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,3,4
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,2,2
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,2,3
SORATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,3,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,5,1,6
TARACO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,0,1
TARATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,9,2,11
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,3,5,8
TOLATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,1,1
TOMINA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,1,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,22,1,23
UNCIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,1,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,0,1,1
UYUNI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,6,4,10
VILA VILA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,14,5,19
VINTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,10,0,10
WARNES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,12,4,16
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,2,0,2
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-04-01,1,0,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,3,0,3
APOLO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,2,2
ARBIETO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,15,14,29
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,1,1
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,8,3,11
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,2,3
CAIROMA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,2,2
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,2,3
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,6,6
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,3,0,3
CHUMA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,7,8
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,4,4
COBIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,5,7,12
COCAPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,1,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,56,30,86
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,4,0,4
COLOMI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,2,2
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,1,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,2,0,2
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,2,3
CORIPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,3,4
CORQUE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,10,45,55
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,4,4
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,95,154,249
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,4,4
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,5,6,11
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,3,1,4
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,2,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,2,1,3
HUACARETA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,1,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,1,1
HUATAJATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,1,1
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,7,7
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,2,0,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,2,2
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,2,3
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,3,1,4
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,11,19,30
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,90,19,109
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,2,1,3
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,1,1
MAIRANA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
MAPIRI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,5,0,5
MECAPACA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,2,5,7
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,9,6,15
OCURI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,1,1
OKINAWA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,3,2,5
ORURO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,13,27,40
PAILON,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,12,12
PALCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,2,2
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,3,0,3
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,4,0,4
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,1,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,3,3
PORCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,1,1
PORONGO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,3,1,4
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,4,3,7
POTOSI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,12,8,20
PRESTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,0,1,1
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-05-01,2,5,7
