,group,variable,month,TOTAL 19.1 DPT 1RA DOSIS CANTIDAD,TOTAL 19.1 DPT 1RA DOSIS CANTIDAD,TOTALES
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,24,24
OCURI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,2,3,5
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,3,0,3
PADCAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
PAILON,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,14,0,14
PALCA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
PASORAPA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,10,10
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,10,0,10
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,4,4,8
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,5,29,34
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,5,5,10
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,2,1,3
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,5,5
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,3,4,7
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,8,4,12
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,13,23,36
RAVELO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,2,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,22,1,23
ROBORE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,18,16,34
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,4,5
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,3,0,3
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,3,1,4
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,1,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,9,5,14
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,15,10,25
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,101,38,139
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,1,1
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,2,2
SENA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,8,0,8
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,4,6,10
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,10,14,24
SUCRE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,18,0,18
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,2,5,7
TARACO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,4,5
TIPUANI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
TOCO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,2,3,5
TOMAVE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,18,1,19
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,4,4
URUBICHA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,1,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,6,6
VINTO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,18,2,20
WARNES,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,3,0,3
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
YUNGUYO DE LITORAL,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,4,0,4
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,1,1
ACACIO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,4,4
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,0,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,2,2
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,7,0,7
ANZALDO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,6,9,15
ATOCHA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,2,5,7
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,1,1
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,14,0,14
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,2,2
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,3,3
CATACORA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,3,0,3
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,2,3
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,1,1
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,2,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,2,5,7
CHUMA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,5,2,7
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,205,2,207
COLOMI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,2,12,14
COLQUENCHA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,2,0,2
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,14,15
CORO CORO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,2,0,2
COROICO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,2,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,2,0,2
CUEVO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,2,3
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,58,20,78
EL CHORO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,1,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,2,0,2
ESCOMA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,5,1,6
GUANAY,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,4,5
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,1,1
HUACARETA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,2,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,3,4,7
ICHOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,2,3
ICLA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,0,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,4,4
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,10,8,18
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,2,1,3
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,1,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,62,19,81
LURIBAY,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,2,2
MALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,5,5
MAPIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,3,0,3
MECAPACA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,5,0,5
MINEROS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,0,1
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,10,14,24
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,12,7,19
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,3,3
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,3,0,3
PADCAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,3,1,4
PAILON,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,10,3,13
PALCA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,32,0,32
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,0,1
PASORAPA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,1,1
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,11,11
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,2,2,4
PORONGO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,6,0,6
PORVENIR,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,1,1
POSTRER VALLE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,2,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,2,1,3
PUERTO ACOSTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,7,8
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,2,0,2
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,13,14
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,18,19
PUNATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,14,25,39
RAVELO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,1,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,16,22,38
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,4,2,6
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,4,0,4
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,2,90,92
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,2,1,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,0,1
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,6,0,6
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,4,0,4
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,10,12,22
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,19,2,21
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,2,10,12
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,2,4,6
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,103,20,123
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,5,13,18
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,1,2
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,2,3
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,6,2,8
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,4,7,11
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,0,1
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,4,4,8
SORATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,21,0,21
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,1,2
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,3,3,6
TARACO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,2,0,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,4,2,6
TIPUANI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,3,0,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,3,2,5
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,1,1
TOLEDO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,19,2,21
URUBICHA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,3,3,6
UYUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,0,1
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,2,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,0,1
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,21,5,26
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,9,0,9
VITICHI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,5,0,5
YACO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,0,1
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,1,0,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,3,0,3
YOCALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-04-01,0,1,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,5,0,5
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,2,2,4
AIQUILE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,2,2
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,4,4
ARQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,5,5
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,8,10,18
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,2,2
AYATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,1,1
AYO AYO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,4,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,4,4
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,11,11
BERMEJO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,17,2,19
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,1,1
CAJUATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,5,5
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,6,0,6
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,0,1
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,22,15,37
CATACORA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,2,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,1,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,2,2,4
CHUA COCANI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,0,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,8,8
COBIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,106,22,128
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,1,1
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,3,19,22
COLQUENCHA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,5,0,5
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,3,3
COMARAPA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,1,1
COROICO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,2,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,2,2,4
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,2,2
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,4,0,4
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,59,58,117
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,3,3
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,1,1
EUCALIPTUS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,2,12,14
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,7,7
EXALTACION,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,4,4
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,25,25
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,9,4,13
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,2,0,2
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,2,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,4,4,8
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,7,7
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,4,4
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,2,0,2
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,6,7
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,118,79,197
LAJA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,7,8
LICOMA PAMPA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,2,0,2
LURIBAY,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,6,4,10
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,0,1
MAIRANA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,1,1
MALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,1,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,0,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,0,1
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,11,10,21
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,15,13,28
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,3,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,4,4
OCURI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,17,43,60
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,4,5,9
PADCAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,2,3
PAILON,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,7,8,15
PALCA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,13,0,13
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,7,4,11
PASORAPA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,3,4,7
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,23,0,23
PAZÑA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,7,8
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,1,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,2,0,2
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,35,8,43
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,8,10,18
PUERTO ACOSTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,0,6,6
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-05-01,2,2,4
