,group,variable,month,TOTAL 19.2 DPT 2DA DOSIS CANTIDAD,TOTAL 19.2 DPT 2DA DOSIS CANTIDAD,TOTALES
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,3,3
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,1,2
ICHOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,8,8
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,2,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,12,13,25
LURIBAY,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,2,2
MALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,1,1
MAPIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,0,1
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,3,1,4
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,2,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,0,1
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,3,0,3
PAILON,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,10,0,10
PALCA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,2,2
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,7,1,8
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,18,0,18
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,2,3
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,7,8,15
PORVENIR,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,8,0,8
PUERTO ACOSTA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,8,9
PUNATA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,5,5
RAVELO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,4,4
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,14,0,14
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,6,2,8
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,5,6
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,0,1
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,7,0,7
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,6,7
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,10,0,10
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,10,0,10
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,15,15
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,55,5,60
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,4,0,4
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,1,1
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,3,16,19
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,4,0,4
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,5,7,12
SORATA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,0,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,1,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,3,0,3
TOMAVE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,1,1
TOMINA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,4,4
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,7,0,7
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,1,1
UYUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,2,0,2
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,2,2
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,11,4,15
VINTO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,2,3
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,1,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,2,0,2
ACACIO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,3,5,8
AIQUILE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,1,1
APOLO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,4,0,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,2,4,6
AYATA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,2,10,12
CAJUATA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,2,2
CALACOTO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,4,4
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,5,2,7
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,6,0,6
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,1,1,2
CHIPAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,32,3,35
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,2,6,8
CORO CORO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,3,0,3
CORQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,6,6
CUEVO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,3,6,9
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,9,9
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,13,30,43
EL CHORO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,2,0,2
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,2,2,4
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,2,2,4
EUCALIPTUS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,13,0,13
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,3,3
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,1,2,3
ICHOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,1,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,5,0,5
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,2,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,1,1,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,18,9,27
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,4,4
LURIBAY,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,1,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,1,0,1
MAIRANA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,1,1
MALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,1,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,1,1
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,1,0,1
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,4,4
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,2,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,3,2,5
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,5,5
OCURI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,3,8,11
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,2,5,7
PAILON,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,6,3,9
PALCA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,1,2,3
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,8,16,24
PASORAPA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,1,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,1,1,2
PORONGO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,14,0,14
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,1,6,7
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,1,2,3
PUNATA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,11,24,35
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,13,2,15
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,11,2,13
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,2,2
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,3,0,3
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,3,3
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,2,2
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,4,4
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,2,0,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,5,5
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,3,3
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,2,2
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,8,53,61
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,1,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,60,16,76
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,1,2,3
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,1,6,7
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,4,0,4
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,2,2
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,3,2,5
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,8,8,16
SICAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,1,3,4
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,11,6,17
SUCRE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,2,1,3
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,1,4,5
TARIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,2,0,2
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,1,0,1
TOLEDO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,2,2
TOMAVE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,3,3
TOMINA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,4,4
TORO TORO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,5,5
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,4,24,28
TUPIZA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,1,1
UNCIA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,2,2
URUBICHA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,7,7
VIACHA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,21,7,28
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,1,1
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,2,0,2
VINTO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,8,1,9
VITICHI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,3,3,6
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,0,1,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-05-01,1,0,1
ACACIO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,2,2
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,3,3
AIQUILE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,0,1
APOLO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,0,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,8,0,8
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,4,14,18
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,4,0,4
CALACOTO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,2,1,3
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,4,1,5
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,1,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,38,0,38
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,4,4,8
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,5,5
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,21,4,25
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,1,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,1,2
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,0,1
COMANCHE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,0,1
CUEVO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,7,1,8
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,13,7,20
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,2,2
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,17,1,18
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,2,3,5
ICLA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,0,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,0,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,4,0,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,11,1,12
LAJA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,2,24,26
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,5,7,12
MAPIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,0,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,1,1
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,4,3,7
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,1,1
OCURI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,17,17
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,2,0,2
PAILON,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,18,18
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,2,0,2
PAZÑA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,1,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,3,3
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,3,5,8
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,9,3,12
PUERTO ACOSTA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,2,2
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,7,0,7
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,3,3
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,0,1
PUNA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,1,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,9,5,14
RAVELO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,56,56
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,2,2
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,5,3,8
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,1,1
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,2,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,2,0,2
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,6,4,10
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,4,4
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,4,0,4
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,4,5
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,7,11,18
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,2,2
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,1,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,77,9,86
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,2,2
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,2,2,4
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,8,4,12
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,4,5
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,4,1,5
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,6,5,11
SUCRE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,1,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,2,0,2
TARATA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,1,1
TOMINA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,3,0,3
TORO TORO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,11,12
UNCIA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,4,5
VIACHA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,5,0,5
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,0,4,4
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,3,4
VINTO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,5,0,5
WARNES,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-06-01,1,0,1
