,group,variable,month,TOTAL 19.6 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTAL 19.6 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES
CORO CORO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,3,0,3
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,1,0,1
CUEVO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,1,3,4
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,17,23,40
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,0,3,3
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,1,1,2
ICHOCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,0,5,5
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,18,2,20
LURIBAY,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,0,2,2
MALLA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,0,1,1
MAPIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,1,0,1
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,3,1,4
MONTERO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,1,0,1
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,4,0,4
PAILON,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,10,0,10
PALCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,0,2,2
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,7,1,8
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,18,0,18
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,1,2,3
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,7,8,15
PORVENIR,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,9,0,9
PUERTO ACOSTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,0,5,5
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,14,0,14
SACABA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,6,2,8
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,0,5,5
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,1,6,7
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,10,0,10
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,1,0,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,64,6,70
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,1,1,2
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,1,0,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,2,1,3
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,3,16,19
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,4,0,4
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,5,1,6
SORATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,1,0,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,4,4,8
TOMAVE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,0,1,1
TOMINA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,0,4,4
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,6,0,6
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,0,1,1
UYUNI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,2,0,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,1,0,1
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,11,4,15
WARNES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,1,2,3
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-04-01,2,0,2
AIQUILE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,1,1
APOLO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,4,0,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,2,4,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,2,10,12
BERMEJO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,7,7
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,2,0,2
CALACOTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,4,4
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,6,0,6
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,1,1,2
CHIPAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,38,5,43
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,9,9
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,2,6,8
CORO CORO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,3,0,3
COTOCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,6,6
CUEVO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,3,6,9
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,9,9
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,21,39,60
EL CHORO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,2,0,2
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,2,2,4
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,2,2,4
EUCALIPTUS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,12,0,12
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,3,3
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,1,2,3
ICHOCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,1,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,2,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,1,2,3
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,15,7,22
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,4,4
LURIBAY,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,1,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,1,0,1
MAIRANA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,1,1
MALLA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,1,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,1,1
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,1,0,1
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,4,4
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,2,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,1,1,2
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,5,5
OCURI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,5,5
ORURO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,3,5,8
PAILON,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,6,3,9
PALCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,1,0,1
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,8,16,24
PASORAPA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,1,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,1,1,2
PORONGO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,14,0,14
POTOSI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,1,6,7
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,1,2,3
PUNATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,11,24,35
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,11,1,12
SACABA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,11,2,13
SACACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,5,8,13
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,2,2
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,3,0,3
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,3,3
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,2,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,2,0,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,5,5
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,3,3
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,2,2
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,8,53,61
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,1,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,68,26,94
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,1,2,3
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,1,2,3
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,4,0,4
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,2,2
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,3,2,5
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,8,9,17
SICAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,1,3,4
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,11,0,11
SORACACHI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,1,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,1,3,4
TARIJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,2,0,2
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,1,0,1
TOLEDO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,2,2
TOMAVE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,3,3
TOMINA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,4,4
TORO TORO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,3,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,4,5,9
TUPIZA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,1,1
UNCIA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,2,2
URUBICHA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,7,7
VIACHA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,2,5,7
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,1,1
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,2,0,2
VINTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,8,1,9
WARNES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,3,3,6
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,0,1,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-05-01,1,0,1
ACACIO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,2,2
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,3,3
AIQUILE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,1,0,1
APOLO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,1,0,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,8,0,8
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,4,14,18
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,1,1,2
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,4,0,4
CALACOTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,2,1,3
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,4,1,5
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,1,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,38,0,38
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,4,4,8
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,5,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,22,4,26
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,1,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,1,0,1
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,1,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,1,1,2
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,1,0,1
COMANCHE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,1,0,1
CUEVO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,7,1,8
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,13,8,21
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,2,2
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,17,1,18
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,3,2,5
ICHOCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,2,2
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,1,0,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,4,0,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,25,1,26
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,5,0,5
MIZQUE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,1,1
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,4,3,7
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,1,1
OCURI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,17,17
ORURO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,3,0,3
PAILON,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,15,15
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,2,0,2
PAZÑA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,1,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,2,2,4
POTOSI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,10,3,13
PUERTO ACOSTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,2,2
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,7,0,7
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,3,3
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,1,0,1
PUNA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,1,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,18,5,23
RAVELO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,56,56
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,2,2
SACABA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,5,3,8
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,1,1
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,2,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,2,0,2
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,6,4,10
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,4,4
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,4,0,4
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,1,4,5
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,7,11,18
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,2,2
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,1,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,83,3,86
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,0,2,2
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,2,2,4
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,8,4,12
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 2da dosis,2014-06-01,1,4,5
