,group,variable,month,TOTAL 19.3 DPT 3RA DOSIS CANTIDAD,TOTAL 19.3 DPT 3RA DOSIS CANTIDAD,TOTALES
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,0,10,10
BAURES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,1,0,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,2,0,2
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,1,1,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,0,1,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,0,3,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,11,7,18
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,16,6,22
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,1,0,1
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,2,11,13
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,0,4,4
ICHOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,0,1,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,12,13,25
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,1,3,4
LORETO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,1,0,1
LURIBAY,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,3,0,3
OKINAWA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,1,1,2
PAILON,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,0,17,17
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,0,2,2
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,5,1,6
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,2,0,2
PUNA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,3,15,18
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,1,0,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,1,0,1
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,2,5,7
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,0,1,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,0,2,2
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,22,3,25
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,13,0,13
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,2,0,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,3,0,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,2,0,2
TOMAVE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,2,7,9
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,0,1,1
VACAS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,2,1,3
WARNES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-06-01,3,0,3
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,0,3,3
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,0,2,2
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,1,1,2
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,1,0,1
CHUA COCANI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,3,0,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,12,54,66
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,0,1,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,0,2,2
CORQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,9,17,26
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,0,2,2
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,1,2,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,4,0,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,13,13,26
LURIBAY,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,1,0,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,3,0,3
OCURI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,4,1,5
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,6,1,7
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,4,0,4
PUNATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,5,2,7
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,1,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,2,1,3
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,0,2,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,5,1,6
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,1,0,1
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,1,7,8
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,1,0,1
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,0,1,1
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,0,1,1
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,1,0,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,1,3,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,36,6,42
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,2,0,2
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,3,1,4
SUCRE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,4,0,4
TARIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,1,1,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,2,1,3
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,2,2,4
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,7,0,7
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-07-01,0,2,2
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,1,1,2
ARQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,0,3,3
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,0,1,1
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,0,4,4
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,0,2,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,1,0,1
CHUA COCANI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,2,3,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,0,1,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,0,1,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,3,0,3
COCAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,46,3,49
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,3,3,6
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,0,1,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,1,0,1
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,2,1,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,15,19,34
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,4,0,4
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,0,1,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,2,0,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,14,0,14
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,2,0,2
MINEROS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,3,1,4
OKINAWA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,4,2,6
PAILON,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,0,9,9
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,1,1,2
PAZÑA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,0,1,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,2,4,6
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,2,0,2
PUNATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,3,0,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,0,8,8
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,3,2,5
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,0,1,1
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,31,2,33
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,0,2,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,0,1,1
TODOS SANTOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,2,1,3
UYUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,0,1,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,2,0,2
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,2,1,3
WARNES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,3,1,4
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,2,1,3
YANACACHI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,1,0,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-08-01,0,3,3
ARBIETO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,0,1
ATOCHA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,0,7,7
BATALLAS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,2,3
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,0,2,2
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,0,1,1
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,0,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,0,1,1
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,0,3,3
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,1,2
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,0,2,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,0,1,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,2,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,15,22,37
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,2,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,1,2
CORO CORO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,0,3,3
COROICO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,1,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,8,47,55
HUACARETA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,0,2,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,2,0,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,12,0,12
MIZQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,2,3
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,3,0,3
OCURI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,2,3
OKINAWA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,10,1,11
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,3,0,3
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,16,3,19
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,2,8,10
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,4,5
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,2,0,2
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,18,3,21
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,3,4
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,3,3,6
TARIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,4,6,10
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,3,1,4
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,0,3,3
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,0,1
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,0,1
VILLAZON,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,6,0,6
WARNES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,4,2,6
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-09-01,0,5,5
ARBIETO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,0,1,1
ATOCHA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,0,1,1
CAIROMA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,1,0,1
CAJUATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,0,2,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,0,2,2
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,0,3,3
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,0,1,1
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,7,0,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,1,0,1
CLIZA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,0,1,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,24,6,30
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,2,0,2
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,1,10,11
COLOMI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,0,3,3
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,1,0,1
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,31,17,48
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,0,1,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,4,0,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,8,6,14
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,0,1,1
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,2,3,5
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,3,2,5
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-10-01,10,13,23
