municipality,group,variable,month,Partos atendidos por personal de salud,TOTAL
CALAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
CAMARGO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
CAMIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,6,6
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
CARACOLLO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
CARANAVI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,20,20
CARAPARI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
CARIPUYO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,4,4
CHALLAPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,7,7
CHAQUI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
CHARAGUA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,8,8
CHARAÑA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,7,7
CHIMORE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
CHIPAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
CHUMA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
COCHABAMBA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,4,4
"COLCHA ""K""",atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,11,11
COLOMI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,21,21
COLQUENCHA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
COLQUIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,15,15
COMANCHE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
COMARAPA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
CONCEPCION,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
CORIPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
CORO CORO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
COROICO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
CORQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,6,6
COTAGAITA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,20,20
CUATRO CAÑADAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
CUEVO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
CULPINA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,10,10
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
CURVA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
EL ALTO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
EL CHORO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,6,6
EL TORNO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
ENTRE RIOS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
ENTRE RIOS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,8,8
EUCALIPTUS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,4,4
FERNANDEZ ALONSO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
FILADELFIA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,4,4
GENERAL SAAVEDRA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,6,6
GUANAY,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
GUAQUI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
GUTIERREZ,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
HUACARETA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
HUANUNI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,6,6
HUAYLLAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
ICHOCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
ICLA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
INCAHUASI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,19,19
INGAVI (HUMAITA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
INQUISIVI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,4,4
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,4,4
IXIAMAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,4,4
LA ASUNTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,7,7
LAGUNILLAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
LAJA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,10,10
LAS CARRERAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
LLALLAGUA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
LORETO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
LURIBAY,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
MACHARETI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
MAGDALENA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
MALLA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
MIZQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
MOCOMOCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,4,4
MOJINETE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
MOJOCOYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
MONTEAGUDO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,6,6
MOROCHATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,16,16
NAZACARA DE PACAJES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
OCURI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,8,8
OMEREQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
PADCAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,4,4
PAILON,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,6,6
PAMPA AULLAGAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
PAPEL PAMPA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,8,8
PASORAPA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
PATACAMAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
PAZÑA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
PELECHUCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
POCOATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,17,17
POJO (CBBA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
POOPO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
PORCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
POROMA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,12,12
POTOSI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,13,13
PRESTO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
PUCARANI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,12,12
PUERTO ACOSTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,8,8
PUERTO CARABUCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,9,9
PUERTO PEREZ,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
PUERTO RICO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
PUNA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,23,23
QUIABAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
QUIME,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,16,16
REYES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
RIBERALTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
ROBORE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,4,4
SABAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,4,4
SACABA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,7,7
SACABAMBA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
SACACA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,7,7
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,12,12
SAMAIPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
SAN ANDRES DE MACHACA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
SAN BENITO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,6,6
SAN CARLOS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,4,4
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,11,11
SAN JAVIER(BNI),atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,4,4
SAN JOAQUIN,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
SAN JULIAN,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,6,6
SAN LORENZO(PND),atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,11,11
SAN LORENZO(TJA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,4,4
SAN LUCAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,39,39
SAN MATIAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,4,4
SAN PABLO DE LIPEZ,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
SAN PEDRO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,4,4
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,7,7
SAN RAFAEL,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
SANTA ANA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,6,6
SANTA ROSA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
SANTA ROSA DEL SARA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
SANTIAGO DE CALLAPA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
SANTIAGO DE HUARI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
SANTIAGO DE MACHACA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
SANTIVAÑES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
SAPAHAQUI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
SENA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,6,6
SICAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
SIPE SIPE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
SOPACHUY,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
SORACACHI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,9,9
SORATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,9,9
SUCRE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,4,4
TACACHI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
TACACOMA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,4,4
TACOBAMBA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,4,4
TACOPAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,4,4
TAPACARI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,40,40
TARABUCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,11,11
TARACO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
TARIJA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
TARVITA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
TIAWANACU,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,8,8
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,15,15
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
TIRAQUE (CBBA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
TITO YUPANQUI (PARQUIPUJIO),atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
TOLEDO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
TOMAVE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
TOMINA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,4,4
TORO TORO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,11,11
TOTORA(CBBA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
TOTORA(ORR),atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
TUPIZA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,10,10
UNCIA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,13,13
URIONDO (A. CONCEPCION),atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
UYUNI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
VACAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
VIACHA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,7,7
VILLA MONTES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
VILLA NUEVA (LOMA ALTA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
VILLA SERRANO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,6,6
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,8,8
VILLAZON,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,2,2
VITICHI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,10,10
WARNES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
YACO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,5,5
YACUIBA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
YAMPARAEZ,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
YAPACANI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,4,4
YOCALLA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
YOTALA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
YUNCHARA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,3,3
ZUDAÑEZ,atencion de partos en domicilio,partos atendidos por personal de salud,2005-03-01,1,1
ACACIO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,2,2
ACHACACHI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,26,26
ACHOCALLA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,6,6
AIQUILE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,3,3
ALALAY,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,5,5
ALCALA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,2,2
ANCORAIMES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,3,3
ANDAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
ANZALDO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,3,3
APOLO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,9,9
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,5,5
ARANI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,2,2
ARBIETO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,4,4
ATOCHA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
AUCAPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,2,2
AYATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,6,6
AYO AYO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,7,7
AZURDUY,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,8,8
BATALLAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,9,9
BAURES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,3,3
BELEN DE ANDAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
BELEN DE URMIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,2,2
BETANZOS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,14,14
BOLIVAR,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,7,7
BOYUIBE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
CAIROMA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,10,10
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,5,5
CAJUATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,3,3
CALACOTO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,3,3
CALAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,4,4
CAMARGO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,2,2
CAMIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,5,5
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,7,7
CARACOLLO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,4,4
CARANAVI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,32,32
CARAPARI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,4,4
CARIPUYO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,7,7
CHALLAPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,11,11
CHAQUI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
CHARAGUA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,9,9
CHAYANTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,6,6
CHIMORE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
CHIPAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,4,4
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
CHUMA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,5,5
CLIZA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,2,2
"COLCHA ""K""",atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,14,14
COLLANA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
COLOMI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,26,26
COLQUENCHA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,4,4
COLQUIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,16,16
COMANCHE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,3,3
COMARAPA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,2,2
COMBAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,2,2
CORIPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,4,4
CORO CORO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,2,2
COROICO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
CORQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,8,8
COTAGAITA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,14,14
CUATRO CAÑADAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
CULPINA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,7,7
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,7,7
CURVA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,4,4
EL ALTO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
EL PUENTE(STC),atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,2,2
EL TORNO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
EL VILLAR,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
ENTRE RIOS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,7,7
ENTRE RIOS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,2,2
EUCALIPTUS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,5,5
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,2,2
EXALTACION,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
FERNANDEZ ALONSO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
FILADELFIA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,3,3
GENERAL SAAVEDRA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,3,3
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,6,6
GUANAY,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
GUAQUI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,4,4
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,2,2
GUTIERREZ,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,6,6
HUACARETA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,2,2
HUANUNI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,3,3
HUAYLLAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
ICHOCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,3,3
ICLA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,5,5
INCAHUASI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,16,16
INGAVI (HUMAITA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,8,8
IXIAMAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,2,2
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,5,5
LA ASUNTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,6,6
LA GUARDIA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,1,1
LA PAZ,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,2,2
LAJA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,3,3
LLALLAGUA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,3,3
LLICA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,2,2
LORETO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,3,3
LURIBAY,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,5,5
MACHARETI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,4,4
MAGDALENA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,5,5
MALLA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-04-01,5,5
