municipality,group,variable,month,Nacidos vivos atendidos por partera capacitad,TOTAL
VILLAZON,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
VITICHI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,3,3
YAMPARAEZ,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
YAPACANI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,3,3
YUNCHARA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
ZUDAÑEZ,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
ACACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,11,11
ALCALA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
ANCORAIMES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,7,7
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,3,3
ARANI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,7,7
AZURDUY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,11,11
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
BOYUIBE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
BUENA VISTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,5,5
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,3,3
CALAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,3,3
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
CAMIRI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,3,3
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,10,10
CHARAGUA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,10,10
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
CHOQUE COTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
CHUMA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,3,3
COBIJA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
COLLANA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,21,21
COMARAPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,3,3
CONCEPCION,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,4,4
COPACABANA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
COROICO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
CORQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,4,4
COTAGAITA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,4,4
CUEVO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
CULPINA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
DESAGUADERO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,8,8
ENTRE RIOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,4,4
FILADELFIA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,9,9
GENERAL SAAVEDRA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
GUANAY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,3,3
HUACARETA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,3,3
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
HUAYLLAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
ICHOCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,3,3
ICLA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,3,3
INCAHUASI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,7,7
INQUISIVI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,3,3
LA PAZ,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
LAGUNILLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,8,8
LURIBAY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,4,4
MINEROS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
MIZQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
MONTEAGUDO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,6,6
NUEVO MANOA (NUEVA ESPERANZA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
OCURI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,12,12
PADCAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
PADILLA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,4,4
PALOS BLANCOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
PAMPA AULLAGAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
PASORAPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,3,3
PAZÑA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
POCOATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,13,13
POCONA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
POJO (CBBA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
POOPO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
POROMA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,4,4
PORTACHUELO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,6,6
PRESTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,3,3
PUCARANI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
PUERTO CARABUCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,3,3
PUERTO QUIJARRO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
PUERTO RICO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
PUERTO VILLARROEL,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
PUNA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,8,8
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
RAVELO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,8,8
REYES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
RURRENABAQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,5,5
SACABA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,21,21
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
SAN ANDRES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
SAN ANDRES DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,22,22
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
SAN CARLOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,11,11
SAN JAVIER(BNI),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
SAN JAVIER(STC),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
SAN JULIAN,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
SAN LUCAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,11,11
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,16,16
SAN RAFAEL,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
SANTA ANA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
SANTIAGO DE HUARI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
SAPAHAQUI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
SENA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,3,3
SICA SICA (VILLA AROMA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
SOPACHUY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,12,12
SORACACHI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,3,3
SUCRE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
TACOBAMBA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,22,22
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
TARABUCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
TARVITA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,8,8
TIAWANACU,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,3,3
TOMAVE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,4,4
TOMINA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,12,12
TRINIDAD,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,3,3
TUPIZA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,3,3
UMALA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
UNCIA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,9,9
URUBICHA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,4,4
UYUNI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
VILA VILA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
VILLA NUEVA (LOMA ALTA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
VILLA SERRANO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,5,5
VITICHI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,5,5
YAMPARAEZ,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,1,1
YAPACANI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,4,4
YUNCHARA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-03-01,2,2
ACACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,6,6
AIQUILE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
ALCALA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
ANCORAIMES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
ANDAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,3,3
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
ARANI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,4,4
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
AYATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
AZURDUY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,8,8
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
BERMEJO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
BOYUIBE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,3,3
CAIROMA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,7,7
CALACOTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,3,3
CALAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,3,3
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,4,4
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,8,8
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,3,3
CHARAGUA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,8,8
CHUMA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
COBIJA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,4,4
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
COLLANA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,34,34
COMARAPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
CORO CORO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
CORQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,6,6
COTOCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
CUATRO CAÑADAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
CUEVO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
CULPINA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,3,3
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,6,6
EL PUENTE(STC),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
EL TORNO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
ENTRE RIOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
ENTRE RIOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
FERNANDEZ ALONSO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
GENERAL SAAVEDRA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
GUANAY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
GUAQUI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
HUACARETA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
ICHOCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,3,3
ICLA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,4,4
INCAHUASI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
JESUS DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,4,4
LA ASUNTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
LA GUARDIA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
LAGUNILLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,4,4
LAJA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,6,6
LLICA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
LORETO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
MAGDALENA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
MONTEAGUDO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,4,4
MOROCHATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,15,15
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
OCURI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,9,9
OMEREQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,5,5
PADCAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
PADILLA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
PAILON,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,3,3
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
PASORAPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
PAZÑA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
PELECHUCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,4,4
POCOATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,10,10
POCONA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,3,3
POJO (CBBA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,3,3
POROMA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,4,4
PORTACHUELO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,4,4
POSTRER VALLE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,6,6
PRESTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,4,4
PUCARANI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,4,4
PUERTO CARABUCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
PUERTO GONZALO MORENO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,4,4
PUERTO RICO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,6,6
PUNA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,3,3
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
RAVELO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,14,14
REYES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,20,20
RIBERALTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
ROBORE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,9,9
RURRENABAQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
SABAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
SACABA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
SACABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,21,21
SAIPINA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,3,3
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
SAN ANDRES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,5,5
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,13,13
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
SAN LORENZO(PND),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
SAN LORENZO(TJA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
SAN LUCAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,14,14
SAN PABLO DE LIPEZ,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,11,11
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
SAN PEDRO(PND),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
SAN RAMON,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
SANTIAGO DE HUARI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
SANTIVAÑES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
SENA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,4,4
SOPACHUY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,7,7
SORACACHI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,4,4
TACOBAMBA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,3,3
TACOPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,16,16
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
TARABUCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,2,2
TARVITA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,5,5
TIAWANACU,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-04-01,1,1
