municipality,group,variable,month,Total 13.9 Días camas disponibles maternidad,TOTAL
INCAHUASI,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,195,195
IRUPANA (VILLA DE LANZA),internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,93,93
IXIAMAS,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,62,62
JESUS DE MACHACA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,124,124
LA ASUNTA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,248,248
LA GUARDIA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,744,744
LA PAZ,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,13633,13633
LAGUNILLAS,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,62,62
LAJA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,62,62
LAS CARRERAS,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,239,239
LLALLAGUA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,372,372
LORETO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,28,28
LURIBAY,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,62,62
MACHARETI,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,208,208
MAGDALENA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,155,155
MAIRANA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,186,186
MAPIRI,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,154,154
MECAPACA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,31,31
MINEROS,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,124,124
MIZQUE,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,837,837
MOCOMOCO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,62,62
MOJOCOYA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,264,264
MONTEAGUDO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,744,744
MONTERO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,1368,1368
MORO MORO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,93,93
MOROCHATA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,279,279
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,58,58
OCURI,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,248,248
OKINAWA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,157,157
OMEREQUE,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,306,306
ORURO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,4251,4251
PADILLA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,341,341
PAILON,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,405,405
PALCA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,2,2
PALOS BLANCOS,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,310,310
PAMPA GRANDE,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,62,62
PAPEL PAMPA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,62,62
PASORAPA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,124,124
PATACAMAYA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,210,210
PAZÑA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,93,93
PELECHUCO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,62,62
POCOATA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,93,93
POCONA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,527,527
POJO (CBBA),internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,310,310
POOPO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,93,93
POROMA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,682,682
PORONGO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,372,372
PORTACHUELO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,434,434
PORVENIR,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,150,150
POSTRER VALLE,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,62,62
POTOSI,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,2294,2294
PRESTO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,140,140
PUCARA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,62,62
PUCARANI,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,155,155
PUERTO ACOSTA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,60,60
PUERTO CARABUCO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,62,62
PUERTO GONZALO MORENO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,117,117
PUERTO QUIJARRO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,57,57
PUERTO RICO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,129,129
PUERTO VILLARROEL,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,1272,1272
PUNA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,186,186
PUNATA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,651,651
QUIABAYA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,31,31
QUILLACOLLO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,1228,1228
QUIME,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,124,124
QUIRUSILLAS,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,31,31
RAVELO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,62,62
REYES,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,93,93
RIBERALTA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,903,903
ROBORE,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,310,310
RURRENABAQUE,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,248,248
SABAYA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,62,62
SACABA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,1395,1395
SACABAMBA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,124,124
SACACA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,93,93
SAIPINA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,148,148
SALINAS DE GARCI MENDOZA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,248,248
SAMAIPATA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,155,155
SAN ANTONIO DE LOMERIO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,62,62
SAN BENITO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,186,186
SAN BORJA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,465,465
SAN BUENA VENTURA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,124,124
SAN CARLOS,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,442,442
SAN IGNACIO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,490,490
SAN IGNACIO DE VELASCO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,992,992
SAN JAVIER(BNI),internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,30,30
SAN JAVIER(STC),internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,124,124
SAN JOAQUIN,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,992,992
SAN JUAN DE YAPACANI,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,142,142
SAN JULIAN,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,744,744
SAN LUCAS,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,651,651
SAN MATIAS,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,223,223
SAN MIGUEL DE VELASCO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,155,155
SAN PEDRO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,422,422
SAN PEDRO DE BUENA VISTA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,31,31
SAN PEDRO DE CURAHUARA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,31,31
SAN PEDRO DE TIQUINA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,31,31
SAN RAFAEL,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,124,124
SAN RAMON BENI,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,93,93
SAN RAMON SCZ,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,186,186
SANTA ANA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,248,248
SANTA CRUZ DE LA SIERRA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,22336,22336
SANTA ROSA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,93,93
SANTA ROSA DEL SARA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,339,339
SANTIAGO DE CALLAPA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,32,32
SANTIAGO DE HUARI,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,246,246
SANTIAGO DE MACHACA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,62,62
SANTIVAÑES,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,155,155
SANTUARIO DE QUILLACAS,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,124,124
SAPAHAQUI,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,31,31
SENA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,69,69
SHINAOTA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,279,279
SICA SICA (VILLA AROMA),internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,155,155
SICAYA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,29,29
SIPE SIPE,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,960,960
SOPACHUY,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,303,303
SORACACHI,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,124,124
SORATA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,124,124
SUCRE,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,4830,4830
TACACHI,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,62,62
TACACOMA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,146,146
TACOPAYA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,217,217
TAPACARI,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,619,619
TARABUCO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,371,371
TARACO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,31,31
TARATA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,186,186
TARIJA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,1554,1554
TARVITA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,741,741
TEOPONTE,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,155,155
TIAWANACU,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,34,34
TIPUANI,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,124,124
TIQUIPAYA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,618,618
TIRAQUE (CBBA),internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,589,589
TOCO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,155,155
TOLATA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,62,62
TOLEDO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,121,121
TOMINA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,589,589
TORO TORO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,31,31
TOTORA(CBBA),internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,341,341
TOTORA(ORR),internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,93,93
TRIGAL,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,31,31
TRINIDAD,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,1783,1783
TUPIZA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,558,558
UMALA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,31,31
UNCIA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,155,155
URUBICHA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,62,62
UYUNI,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,557,557
VACAS,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,248,248
VALLEGRANDE,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,217,217
VIACHA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,754,754
VILA VILA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,93,93
VILLA CHARCAS,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,137,137
VILLA MONTES,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,372,372
VILLA RIVERO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,124,124
VILLA SERRANO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,465,465
VILLA TUNARI,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,1388,1388
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,248,248
VILLAZON,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,434,434
VINTO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,15,15
VITICHI,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,62,62
WARNES,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,1331,1331
YACO,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,124,124
YACUIBA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,644,644
YAMPARAEZ,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,124,124
YANACACHI,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,93,93
YAPACANI,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,554,554
YOTALA,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,93,93
ZUDAÑEZ,internaciones dias camas,      dias camas disponibles maternidad,2014-03-01,124,124
ACACIO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,30,30
ACHACACHI,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,330,330
ACHOCALLA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,90,90
AIQUILE,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,510,510
ALALAY,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,100,100
ALCALA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,120,120
ALTO BENI,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,120,120
ANCORAIMES,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,90,90
ANTEQUERA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,30,30
ANZALDO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,90,90
APOLO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,90,90
ARAMPAMPA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,30,30
ARANI,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,210,210
ARBIETO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,180,180
ARQUE,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,236,236
ASCENCION DE GUARAYOS,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,300,300
ATOCHA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,510,510
AYO AYO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,991,991
AZURDUY,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,260,260
BAURES,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
BELEN DE ANDAMARCA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,26,26
BERMEJO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,246,246
BETANZOS,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,240,240
BOLIVAR,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,120,120
BOYUIBE,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,121,121
BUENA VISTA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,347,347
CABEZAS,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,90,90
CAIROMA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,270,270
"CAIZA ""D""",internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
CAJUATA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,30,30
CALAMARCA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,150,150
CAMARGO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,300,300
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,90,90
CAMIRI,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,570,570
CAPINOTA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,298,298
CAQUIAVIRI,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,28,28
CARACOLLO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,210,210
CARANAVI,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,270,270
CARAPARI,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
CARIPUYO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,30,30
CARMEN RIVERO TORREZ,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,129,129
CHALLAPATA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,210,210
CHAQUI,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,28,28
CHARAGUA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,270,270
CHAYANTA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
CHIMORE,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,330,330
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,240,240
CHUMA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,48,48
CKOCHAS,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,30,30
CLIZA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,330,330
COBIJA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,1069,1069
COCAPATA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,382,382
COCHABAMBA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,10864,10864
COIPASA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
COLCAPIRHUA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,273,273
"COLCHA ""K""",internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
COLOMI,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,391,391
COLPA BELGICA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,61,61
COLQUECHACA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,120,120
COLQUENCHA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
COLQUIRI,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,90,90
COMARAPA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,241,241
COMBAYA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,30,30
CONCEPCION,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,150,150
CORIPATA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,90,90
CORO CORO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,54,54
COROICO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,54,54
COTAGAITA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,90,90
COTOCA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,690,690
CUATRO CAÑADAS,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,270,270
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,30,30
CUEVO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
CULPINA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,390,390
CURAHUARA DE CARANGAS,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
DESAGUADERO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
EL ALTO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,6074,6074
EL CHORO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
EL PUENTE(STC),internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,180,180
EL PUENTE(TJA),internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,90,90
EL TORNO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,720,720
EL VILLAR,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,240,240
ENTRE RIOS TRJ,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,42,42
ENTRE RIOS CBBA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,390,390
ESCOMA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,120,120
EUCALIPTUS,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
EXALTACION,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,30,30
FERNANDEZ ALONSO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,300,300
FILADELFIA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,58,58
GENERAL SAAVEDRA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,120,120
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
GUANAY,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,180,180
GUAQUI,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
GUAYARAMERIN,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,752,752
GUTIERREZ,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,150,150
HUACARETA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,429,429
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,87,87
HUACHACALLA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,90,90
HUANUNI,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,372,372
HUARACAJE,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
HUARINA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
HUATAJATA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,61,61
HUAYLLAMARCA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,120,120
ICLA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,291,291
INCAHUASI,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,188,188
IRUPANA (VILLA DE LANZA),internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,180,180
IXIAMAS,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
JESUS DE MACHACA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,150,150
LA ASUNTA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,306,306
LA GUARDIA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,720,720
LA PAZ,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,13374,13374
LAGUNILLAS,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
LAJA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
LAS CARRERAS,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,204,204
LLALLAGUA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,360,360
LURIBAY,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
MACHACAMARCA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
MACHARETI,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,180,180
MAGDALENA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,150,150
MAIRANA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,180,180
MAPIRI,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,180,180
MINEROS,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,120,120
MIZQUE,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,780,780
MOCOMOCO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,61,61
MOJOCOYA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,230,230
MONTEAGUDO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,750,750
MONTERO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,1440,1440
MORO MORO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,90,90
MOROCHATA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,180,180
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,56,56
NAZACARA DE PACAJES,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,30,30
OCURI,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,240,240
OKINAWA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,210,210
OMEREQUE,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,240,240
ORURO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,4040,4040
PADILLA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,330,330
PAILON,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,336,336
PALCA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
PALOS BLANCOS,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,180,180
PAMPA AULLAGAS,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,31,31
PAMPA GRANDE,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,60,60
PAPEL PAMPA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,90,90
PASORAPA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,150,150
PATACAMAYA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,210,210
PAZÑA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,120,120
PELECHUCO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,120,120
POCOATA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,90,90
POCONA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,480,480
POJO (CBBA),internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,240,240
POOPO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,90,90
POROMA,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,688,688
PORONGO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,300,300
PORTACHUELO,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,404,404
PORVENIR,internaciones dias camas,      dias camas disponibles maternidad,2014-04-01,174,174
