municipality,group,variable,month,Total 13.7 Días camas ocupadas maternidad,TOTAL
CARACOLLO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,25,25
CARANAVI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,161,161
CARAPARI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,4,4
CARIPUYO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2,2
CARMEN RIVERO TORREZ,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,8,8
CHACARILLA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2,2
CHALLAPATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,103,103
CHAQUI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,12,12
CHARAGUA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,132,132
CHAYANTA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,8,8
CHIMORE,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,34,34
CHIPAYA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,93,93
CHUMA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,12,12
CKOCHAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,9,9
CLIZA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,119,119
COBIJA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,637,637
COCAPATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,36,36
COCHABAMBA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,6107,6107
COIPASA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2,2
COLCAPIRHUA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,128,128
COLOMI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,32,32
COLPA BELGICA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,8,8
COLQUECHACA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,10,10
COLQUENCHA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,10,10
COLQUIRI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,11,11
COMARAPA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,77,77
CONCEPCION,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,44,44
COPACABANA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,14,14
CORIPATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,10,10
CORO CORO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,7,7
COROICO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,49,49
COTOCA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,241,241
CUATRO CAÑADAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,30,30
CUEVO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,9,9
CULPINA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,24,24
CURAHUARA DE CARANGAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,10,10
CURVA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,1,1
DESAGUADERO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,3,3
EL ALTO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,3812,3812
EL PUENTE(STC),internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,21,21
EL TORNO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,305,305
EL VILLAR,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,14,14
ENTRE RIOS TRJ,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,45,45
ENTRE RIOS CBBA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,31,31
ESCOMA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,30,30
EUCALIPTUS,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,16,16
EXALTACION,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2,2
FERNANDEZ ALONSO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,19,19
FILADELFIA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2,2
GENERAL SAAVEDRA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,16,16
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,1,1
GUANAY,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,37,37
GUAQUI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2,2
GUAYARAMERIN,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,274,274
GUTIERREZ,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,41,41
HUACARETA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,33,33
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,5,5
HUACHACALLA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2,2
HUANUNI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,86,86
HUARACAJE,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,24,24
HUARINA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2,2
HUATAJATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,4,4
HUAYLLAMARCA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,4,4
HUMANATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,1,1
ICLA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,20,20
INCAHUASI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,15,15
IRUPANA (VILLA DE LANZA),internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,17,17
IXIAMAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,17,17
JESUS DE MACHACA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,26,26
LA ASUNTA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,45,45
LA GUARDIA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,103,103
LA PAZ,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,5996,5996
LAGUNILLAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,4,4
LAJA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,5,5
LAS CARRERAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,6,6
LLALLAGUA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,234,234
LURIBAY,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2,2
MACHARETI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,14,14
MAGDALENA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,101,101
MAIRANA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,62,62
MAPIRI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,22,22
MECAPACA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2,2
MINEROS,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,34,34
MIZQUE,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,138,138
MOCOMOCO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,4,4
MOJOCOYA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,15,15
MONTEAGUDO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,338,338
MONTERO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,855,855
MORO MORO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,6,6
MOROCHATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,14,14
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2,2
OCURI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,31,31
OKINAWA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,86,86
OMEREQUE,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,7,7
ORURO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2034,2034
PADILLA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,87,87
PAILON,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,88,88
PALCA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2,2
PALOS BLANCOS,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,56,56
PAMPA GRANDE,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,15,15
PAPEL PAMPA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,6,6
PASORAPA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,3,3
PATACAMAYA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,56,56
PELECHUCO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2,2
POCOATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,6,6
POCONA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,24,24
POJO (CBBA),internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,29,29
POOPO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,3,3
POROMA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,9,9
PORONGO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,3,3
PORTACHUELO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,162,162
PORVENIR,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,5,5
POSTRER VALLE,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,6,6
POTOSI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,1249,1249
PRESTO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,15,15
PUCARA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2,2
PUCARANI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,20,20
PUERTO ACOSTA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,6,6
PUERTO CARABUCO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,4,4
PUERTO GONZALO MORENO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,4,4
PUERTO QUIJARRO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,90,90
PUERTO RICO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,26,26
PUERTO VILLARROEL,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,201,201
PUNA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,24,24
PUNATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,285,285
QUIABAYA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2,2
QUILLACOLLO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,571,571
QUIME,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,10,10
QUIRUSILLAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,3,3
REYES,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,74,74
RIBERALTA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,633,633
ROBORE,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,61,61
RURRENABAQUE,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,183,183
SABAYA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,3,3
SACABA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,383,383
SACABAMBA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,7,7
SACACA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,19,19
SAIPINA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,7,7
SALINAS DE GARCI MENDOZA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,12,12
SAMAIPATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,43,43
SAN ANDRES,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,12,12
SAN ANDRES DE MACHACA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,1,1
SAN ANTONIO DE LOMERIO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,27,27
SAN BENITO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,17,17
SAN BORJA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,201,201
SAN BUENA VENTURA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,58,58
SAN CARLOS,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,116,116
SAN IGNACIO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,96,96
SAN IGNACIO DE VELASCO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,363,363
SAN JAVIER(STC),internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,75,75
SAN JOAQUIN,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,8,8
SAN JOSE DE CHIQUITOS,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,179,179
SAN JUAN DE YAPACANI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,44,44
SAN JULIAN,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,175,175
SAN LUCAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,62,62
SAN MATIAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,101,101
SAN MIGUEL DE VELASCO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,43,43
SAN PEDRO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,264,264
SAN PEDRO DE BUENA VISTA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,28,28
SAN PEDRO DE CURAHUARA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,1,1
SAN PEDRO DE TIQUINA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,93,93
SAN RAFAEL,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,20,20
SAN RAMON BENI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,38,38
SANTA ANA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,202,202
SANTA CRUZ DE LA SIERRA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,13273,13273
SANTA ROSA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,48,48
SANTA ROSA DEL SARA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,18,18
SANTIAGO DE HUARI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,9,9
SANTIAGO DE MACHACA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,4,4
SANTIVAÑES,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,18,18
SANTUARIO DE QUILLACAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2,2
SAPAHAQUI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2,2
SENA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,24,24
SHINAOTA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,77,77
SICA SICA (VILLA AROMA),internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,12,12
SICAYA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2,2
SIPE SIPE,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,48,48
SOPACHUY,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,34,34
SORACACHI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,13,13
SORATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,8,8
SUCRE,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2572,2572
TACACOMA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,10,10
TACOPAYA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,5,5
TAPACARI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,1,1
TARABUCO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,36,36
TARACO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,1,1
TARATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,22,22
TARIJA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,1622,1622
TARVITA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,92,92
TEOPONTE,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,13,13
TIAWANACU,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,36,36
TIPUANI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,33,33
TIQUIPAYA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,484,484
TIRAQUE (CBBA),internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,34,34
TOCO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,8,8
TOLATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,8,8
TOLEDO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,3,3
TOMINA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,33,33
TORO TORO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,3,3
TOTORA(CBBA),internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,46,46
TOTORA(ORR),internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,3,3
TRIGAL,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,4,4
TRINIDAD,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,1316,1316
TUPIZA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,238,238
TURCO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,2,2
UMALA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,1,1
UNCIA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,23,23
URUBICHA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,4,4
UYUNI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,229,229
VALLEGRANDE,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,121,121
VIACHA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,78,78
VILA VILA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,1,1
VILLA CHARCAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,18,18
VILLA MONTES,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,273,273
VILLA RIVERO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,6,6
VILLA SERRANO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,20,20
VILLA TUNARI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,503,503
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,163,163
VILLAZON,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,146,146
VINTO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,237,237
VITICHI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,3,3
WARNES,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,284,284
YACO,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,6,6
YACUIBA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,413,413
YAMPARAEZ,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,13,13
YANACACHI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,5,5
YAPACANI,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,195,195
YOTALA,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,18,18
ZUDAÑEZ,internaciones dias camas,      dias camas ocupadas maternidad,2014-03-01,7,7
ACACIO,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,8,8
ACHACACHI,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,61,61
ACHOCALLA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,5,5
AIQUILE,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,98,98
ALALAY,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,2,2
ALCALA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,14,14
ALTO BENI,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,17,17
ANCORAIMES,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,13,13
ANTEQUERA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,1,1
ANZALDO,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,3,3
APOLO,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,20,20
ARAMPAMPA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,2,2
ARANI,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,6,6
ARBIETO,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,16,16
ARQUE,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,4,4
ASCENCION DE GUARAYOS,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,245,245
ATOCHA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,48,48
AYO AYO,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,34,34
AZURDUY,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,28,28
BAURES,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,36,36
BELEN DE ANDAMARCA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,4,4
BERMEJO,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,617,617
BETANZOS,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,42,42
BOLIVAR,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,2,2
BOYUIBE,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,4,4
BUENA VISTA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,20,20
CABEZAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,30,30
CAIROMA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,12,12
"CAIZA ""D""",internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,4,4
CAJUATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,2,2
CALAMARCA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,14,14
CAMARGO,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,78,78
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,11,11
CAMIRI,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,288,288
CAPINOTA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,14,14
CAQUIAVIRI,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,2,2
CARACOLLO,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,33,33
CARANAVI,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,211,211
CARIPUYO,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,2,2
CARMEN RIVERO TORREZ,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,22,22
CHALLAPATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,147,147
CHAQUI,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,2,2
CHARAGUA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,149,149
CHAYANTA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,32,32
CHIMORE,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,10,10
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,102,102
CHUMA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,4,4
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,12,12
CLIZA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,101,101
COBIJA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,606,606
COCAPATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,9,9
COCHABAMBA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,5729,5729
COLCAPIRHUA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,234,234
COLOMI,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,42,42
COLPA BELGICA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,9,9
COLQUECHACA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,12,12
COLQUENCHA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,3,3
COLQUIRI,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,12,12
COMARAPA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,78,78
COMBAYA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,2,2
CONCEPCION,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,49,49
COPACABANA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,1,1
CORIPATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,11,11
CORO CORO,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,6,6
COROICO,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,69,69
COTAGAITA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,33,33
COTOCA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,311,311
CUATRO CAÑADAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,52,52
CUEVO,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,4,4
CULPINA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,74,74
CURAHUARA DE CARANGAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,8,8
DESAGUADERO,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,4,4
EL ALTO,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,3825,3825
EL PUENTE(STC),internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,23,23
EL PUENTE(TJA),internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,9,9
EL TORNO,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,391,391
ENTRE RIOS TRJ,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,7,7
ENTRE RIOS CBBA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,29,29
ESCOMA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,9,9
EUCALIPTUS,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,6,6
EXALTACION,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,6,6
FERNANDEZ ALONSO,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,28,28
FILADELFIA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,2,2
GENERAL SAAVEDRA,internaciones dias camas,      dias camas ocupadas maternidad,2014-04-01,19,19
