municipality,group,variable,month,PCD referidos a Servicios/Centros de Rehabilitación,TOTAL
CALAMARCA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,1,1
CAMARGO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,1,1
CARACOLLO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,10,10
CARANAVI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,17,17
CHIMORE,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,1,1
COBIJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,9,9
COCHABAMBA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,2,2
CORO CORO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,1,1
COTAGAITA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,1,1
COTOCA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,9,9
CULPINA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,9,9
EL ALTO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,76,76
ENTRE RIOS TRJ,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,2,2
FERNANDEZ ALONSO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,3,3
GENERAL SAAVEDRA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,2,2
GUAYARAMERIN,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,9,9
HUANUNI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,3,3
LA PAZ,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,214,214
LAS CARRERAS,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,4,4
LLALLAGUA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,1,1
MONTERO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,3,3
MOROCHATA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,2,2
ORURO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,26,26
POOPO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,3,3
PUERTO CARABUCO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,1,1
RIBERALTA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,23,23
SACABA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,3,3
SAN BORJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,132,132
SAN LORENZO(TJA),referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,15,15
SAN LUCAS,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,5,5
SAN RAMON SCZ,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,1,1
SUCRE,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,69,69
TARIJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,30,30
TOLATA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,1,1
VIACHA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,5,5
WARNES,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,16,16
YACUIBA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,12,12
YAMPARAEZ,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,8,8
BERMEJO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,9,9
CALAMARCA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,1,1
CARACOLLO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,3,3
CARANAVI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,14,14
CHIMORE,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,3,3
COCHABAMBA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,1,1
COLOMI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,1,1
COTOCA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,20,20
EL ALTO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,12,12
EL TORNO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,8,8
ENTRE RIOS CBBA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,2,2
GENERAL SAAVEDRA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,4,4
GUAYARAMERIN,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,1,1
HUANUNI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,4,4
LA PAZ,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,222,222
LAJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,1,1
LLALLAGUA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,4,4
MONTEAGUDO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,1,1
MONTERO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,17,17
MOROCHATA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,1,1
ORURO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,22,22
PADCAYA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,2,2
POTOSI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,6,6
PUERTO VILLARROEL,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,1,1
QUIRUSILLAS,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,1,1
RIBERALTA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,7,7
SAN BORJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,104,104
SAN LORENZO(TJA),referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,2,2
SAN LUCAS,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,42,42
SHINAOTA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,1,1
SUCRE,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,56,56
TARIJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,3,3
TUPIZA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,3,3
VIACHA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,11,11
VILLA MONTES,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,10,10
WARNES,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,15,15
YACUIBA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,1,1
YAMPARAEZ,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-11-01,2,2
BERMEJO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,19,19
CALAMARCA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,3,3
CARACOLLO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,1,1
CARANAVI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,5,5
CHUQUIHUTA AYLLU JUCUMANI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,1,1
COCHABAMBA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,4,4
COTAGAITA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,4,4
COTOCA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,21,21
EL ALTO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,16,16
GENERAL SAAVEDRA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,6,6
GUANAY,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,1,1
GUAYARAMERIN,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,7,7
HUANUNI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,1,1
IXIAMAS,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,1,1
JESUS DE MACHACA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,1,1
LA PAZ,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,205,205
MONTERO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,4,4
ORURO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,27,27
POOPO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,2,2
QUILLACOLLO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,1,1
RIBERALTA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,3,3
SACABA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,2,2
SAMAIPATA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,1,1
SAN BORJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,58,58
SAN LORENZO(TJA),referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,9,9
SUCRE,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,1,1
TARIJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,5,5
URIONDO (A. CONCEPCION),referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,1,1
VIACHA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,4,4
VILLA VACA GUZMAN (MUYUPAMPA),referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,5,5
VILLAZON,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,1,1
WARNES,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,8,8
YACUIBA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,3,3
YAMPARAEZ,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-12-01,1,1
