municipality,group,variable,month,Pacientes contrarreferidos al establecimiento,TOTAL
EL ALTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,817,817
EL CHORO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,2,2
EL PUENTE(STC),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,5,5
EL PUENTE(TJA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,5,5
EL TORNO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,42,42
EL VILLAR,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,2,2
ENTRE RIOS TRJ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,3,3
ENTRE RIOS CBBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,2,2
EUCALIPTUS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,2,2
FERNANDEZ ALONSO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,6,6
GENERAL SAAVEDRA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,2,2
GUANAY,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
GUAYARAMERIN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,229,229
GUTIERREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,3,3
HUACARETA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
HUANUNI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,3,3
HUATAJATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,2,2
ICLA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
INCAHUASI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
LA ASUNTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,2,2
LA GUARDIA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,51,51
LA PAZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,2114,2114
LAGUNILLAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,9,9
LAS CARRERAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,6,6
LLALLAGUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
MACHACAMARCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
MACHARETI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
MAIRANA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,10,10
MINEROS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,3,3
MIZQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
MONTEAGUDO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,2,2
MONTERO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,113,113
OCURI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
OKINAWA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
OMEREQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
ORURO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,399,399
PADCAYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,2,2
PADILLA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,3,3
PAILON,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
PALOS BLANCOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
PAMPA GRANDE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
PAZÑA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
POCOATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,4,4
POOPO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,7,7
POROMA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
PORTACHUELO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,2,2
POTOSI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,123,123
PRESTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
PUCARANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
PUERTO GONZALO MORENO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,2,2
PUERTO PEREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
PUERTO VILLARROEL,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,6,6
PUNATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,12,12
QUILLACOLLO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,33,33
QUIME,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
QUIRUSILLAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
RAVELO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,2,2
RIBERALTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,34,34
ROBORE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,5,5
RURRENABAQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,7,7
SACABA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,30,30
SAIPINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
SALINAS DE GARCI MENDOZA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,3,3
SAMAIPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
SAN CARLOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,16,16
SAN IGNACIO DE VELASCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,61,61
SAN JUAN DE YAPACANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
SAN LORENZO(TJA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,7,7
SAN LUCAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,19,19
SAN MIGUEL DE VELASCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,4,4
SAN PEDRO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,4,4
SAN PEDRO DE QUEMES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
SAN RAFAEL,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1290,1290
SANTA ROSA DEL SARA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,3,3
SANTIAGO DE HUARI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,2,2
SENA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
SHINAOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,11,11
SOPACHUY,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,3,3
SORACACHI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,2,2
SUCRE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,92,92
TARABUCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,4,4
TARIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,51,51
TARVITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,5,5
TEOPONTE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
TIAHUANACU,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
TOLEDO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,2,2
TOMINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,9,9
TRINIDAD,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,507,507
TUPIZA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,26,26
URUBICHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,3,3
VACAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
VIACHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,3,3
VILLA CHARCAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
VILLA MONTES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,18,18
VILLA SERRANO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,9,9
VILLA TUNARI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,6,6
VILLAZON,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,7,7
WALDO BALLIVIAN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
WARNES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,203,203
YACUIBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,29,29
YAMPARAEZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,5,5
ZUDAÑEZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,7,7
ALCALA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,7,7
ANCORAIMES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
ANTEQUERA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
ARBIETO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
ASCENCION DE GUARAYOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,20,20
ATOCHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,4,4
AYATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
BERMEJO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,91,91
BETANZOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,4,4
BOYUIBE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,3,3
BUENA VISTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,8,8
CAIROMA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
"CAIZA ""D""",referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,4,4
CAMATAQUI (C. VILLA ABECIA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
CAMIRI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,8,8
CAPINOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,8,8
CARANAVI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
CARAPARI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,3,3
CARMEN RIVERO TORREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,7,7
CHALLAPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,19,19
CHARAGUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,6,6
CKOCHAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
COBIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,79,79
COCHABAMBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,927,927
COLCAPIRHUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
COLQUECHACA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
COLQUENCHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
COLQUIRI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,3,3
COMARAPA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
CORIPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
CORO CORO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
COROICO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,14,14
COTAGAITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
COTOCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,310,310
CUATRO CAÑADAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
CUEVO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
EL ALTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1001,1001
EL CHORO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
EL PUENTE(STC),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
EL PUENTE(TJA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
EL TORNO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,30,30
EL VILLAR,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
ENTRE RIOS TRJ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
ENTRE RIOS CBBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
FERNANDEZ ALONSO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,5,5
GENERAL SAAVEDRA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,10,10
GUAYARAMERIN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,278,278
GUTIERREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
HUACARETA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
HUANUNI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
INCAHUASI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,5,5
INQUISIVI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
LA ASUNTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,4,4
LA GUARDIA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,53,53
LA PAZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2320,2320
LA RIVERA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
LAGUNILLAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,4,4
LAJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
LLALLAGUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
MACHACAMARCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
MACHARETI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
MAIRANA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,14,14
MINEROS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
MOCOMOCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
MOJOCOYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
MONTEAGUDO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,6,6
MONTERO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,138,138
OCURI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,5,5
OKINAWA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
ORURO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1005,1005
PADCAYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,4,4
PADILLA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,4,4
PAILON,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,5,5
PALCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
PAMPA GRANDE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
POCOATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
POCONA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
POOPO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,6,6
POROMA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
PORTACHUELO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,3,3
POTOSI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,140,140
PRESTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,5,5
PUERTO GONZALO MORENO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
PUERTO VILLARROEL,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,10,10
PUNATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,7,7
QUILLACOLLO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,50,50
QUIRUSILLAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
RAVELO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,6,6
RIBERALTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,26,26
ROBORE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,4,4
RURRENABAQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
SACABA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,33,33
SACABAMBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
SAMAIPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,4,4
SAN ANDRES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
SAN BORJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,4,4
SAN CARLOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,16,16
SAN IGNACIO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
SAN IGNACIO DE VELASCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
SAN LORENZO(TJA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,7,7
SAN LUCAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,24,24
SAN MIGUEL DE VELASCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,7,7
SAN PEDRO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
SAN PEDRO DE BUENA VISTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
SAN PEDRO DE MACHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
SAN PEDRO DE TIQUINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
SAN RAFAEL,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1667,1667
SANTA ROSA DEL SARA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
SENA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
SHINAOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,18,18
SORACACHI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
SORATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
SUCRE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,56,56
TARABUCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,3,3
TARIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,61,61
TARVITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,3,3
TIAHUANACU,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,2,2
TIPUANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
TOMINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,11,11
TRINIDAD,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,525,525
TUPIZA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,349,349
URUBICHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,3,3
VIACHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,6,6
VILLA MONTES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,17,17
VILLA SERRANO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,4,4
VILLA VACA GUZMAN (MUYUPAMPA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
VILLAZON,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,36,36
WARNES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,6,6
YACUIBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,24,24
YAPACANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,1,1
ZUDAÑEZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-04-01,3,3
AIQUILE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,5,5
ALCALA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,8,8
ARBIETO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2,2
ARQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
ASCENCION DE GUARAYOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,12,12
ATOCHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
BELEN DE ANDAMARCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2,2
BERMEJO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,82,82
BETANZOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,6,6
BOYUIBE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,3,3
BUENA VISTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,5,5
CAIROMA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
"CAIZA ""D""",referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,3,3
CAJUATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
CAMARGO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2,2
CAMATAQUI (C. VILLA ABECIA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,10,10
CAMIRI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,13,13
CAPINOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,4,4
CARANAVI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,4,4
CARAPARI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,3,3
CARMEN RIVERO TORREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,7,7
CHALLAPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,27,27
CKOCHAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2,2
COBIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,75,75
COCHABAMBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,925,925
COLCAPIRHUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
COLQUECHACA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
COMARAPA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,5,5
CORIPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,7,7
COROICO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,9,9
CORQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
COTAGAITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,7,7
COTOCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,3,3
CULPINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,2,2
EL ALTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1317,1317
EL PUENTE(STC),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,5,5
EL PUENTE(TJA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,5,5
EL TORNO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,32,32
ENTRE RIOS TRJ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,3,3
ENTRE RIOS CBBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,4,4
FERNANDEZ ALONSO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,6,6
GENERAL SAAVEDRA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,9,9
GUAYARAMERIN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,194,194
GUTIERREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,6,6
HUACAYA (VILLA DE HUACAYA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
HUANUNI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
ICLA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-05-01,1,1
