municipality,group,variable,month,Pacientes referidos de la comunidad o medicina tradicional,TOTAL
YUNCHARA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,1,1
ZUDAÑEZ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,1,1
AZURDUY,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,2,2
COLCAPIRHUA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,1,1
EL ALTO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,1,1
EL VILLAR,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,4,4
ENTRE RIOS TRJ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,1,1
GENERAL SAAVEDRA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,1,1
GUAYARAMERIN,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,1,1
ICLA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,9,9
LA PAZ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,38,38
MOJOCOYA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,2,2
MONTEAGUDO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,4,4
PADCAYA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,2,2
POROMA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,8,8
PRESTO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,6,6
RIBERALTA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,2,2
SAN BORJA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,2,2
SAN JUAN DE YAPACANI,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,3,3
SAN LUCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,2,2
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,4,4
TARIJA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,2,2
TARVITA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,15,15
TOMINA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,4,4
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-12-01,10,10
