,group,variable,month,L 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,L 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,L 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,L 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
CARANAVI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,12,3,2,1,14,4,18
CHIMORE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,2,0,4,0,6,0,6
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,1,2,0,1,1,3,4
COBIJA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,15,5,5,1,20,6,26
CORIPATA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,1,2,1,0,2,2,4
COROICO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,4,0,2,0,6,0,6
EL TORNO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,11,0,9,3,20,3,23
ENTRE RIOS CBBA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,2,0,1,0,3,0,3
EUREKA (SANTOS MERCADO),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,2,1,0,1,2,2,4
FILADELFIA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,1,0,0,3,1,3,4
GUAYARAMERIN,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,19,0,23,0,42,0,42
INGAVI (HUMAITA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,1,0,1,0,2,0,2
IRUPANA (VILLA DE LANZA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,0,2,0,1,0,3,3
IXIAMAS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,2,0,0,0,2,0,2
LA ASUNTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,27,25,14,15,41,40,81
MAGDALENA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,1,0,0,1,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,1,0,1,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,8,0,0,0,8,0,8
PALOS BLANCOS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,0,1,1,0,1,1,2
PUERTO GONZALO MORENO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,7,3,3,2,10,5,15
QUILLACOLLO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,1,0,1,0,2,0,2
REYES,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,2,1,6,3,8,4,12
RIBERALTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,4,0,1,0,5,0,5
RURRENABAQUE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,4,0,1,0,5,0,5
SACABA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,0,0,1,0,1,0,1
SAN BORJA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,5,2,7,2,12,4,16
SAN BUENA VENTURA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,3,0,2,1,5,1,6
SAN IGNACIO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,1,1,1,0,2,1,3
SAN JOAQUIN,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,1,0,0,0,1,0,1
SAN LORENZO(PND),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,1,1,1,0,2,1,3
SAN PEDRO(PND),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,0,0,1,1,1,1,2
SENA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,1,1,0,0,1,1,2
TACACOMA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,1,0,0,0,1,0,1
TACOPAYA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,1,0,1,0,2,0,2
TRINIDAD,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,1,0,1,0,2,0,2
VILLA TUNARI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,3,2,4,2,7,4,11
VINTO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,0,0,1,0,1,0,1
BELLA FLOR,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,4,2,0,0,4,2,6
BERMEJO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,0,1,0,0,0,1,1
BOLPEBRA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,1,2,2,1,3,3,6
CARANAVI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,7,5,12,4,19,9,28
CHIMORE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,2,0,1,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,2,2,1,0,3,2,5
COBIJA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,4,6,13,7,17,13,30
COCAPATA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,1,0,0,0,1,0,1
COCHABAMBA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,1,0,0,0,1,0,1
COLOMI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,0,1,0,1,0,2,2
EL TORNO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,14,1,13,0,27,1,28
ENTRE RIOS CBBA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,0,1,2,0,2,1,3
FILADELFIA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,0,0,1,0,1,0,1
GUAYARAMERIN,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,6,1,8,0,14,1,15
IRUPANA (VILLA DE LANZA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,3,4,3,3,6,7,13
IXIAMAS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,1,2,0,0,1,2,3
LA ASUNTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,4,4,4,4,8,8,16
MAGDALENA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,2,1,0,0,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,1,0,9,0,10,0,10
PALOS BLANCOS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,4,2,0,1,4,3,7
PORVENIR,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,1,0,4,0,5,0,5
PUERTO GONZALO MORENO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,1,0,2,2,3,2,5
PUERTO RICO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,2,1,2,2,4,3,7
PUERTO VILLARROEL,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,1,0,0,0,1,0,1
QUILLACOLLO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,0,0,1,0,1,0,1
REYES,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,2,0,1,1,3,1,4
RURRENABAQUE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,2,2,4,1,6,3,9
SAN BORJA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,1,1,1,1,2,2,4
SAN BUENA VENTURA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,2,10,0,2,2,12,14
SAN IGNACIO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,1,0,1,1,2,1,3
SAN LORENZO(PND),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,2,3,3,2,5,5,10
SAN PEDRO(PND),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,0,2,0,0,0,2,2
SENA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,1,1,1,0,2,1,3
TACACOMA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,0,0,1,0,1,0,1
TACOPAYA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,1,0,0,0,1,0,1
TEOPONTE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,1,0,1,0,2,0,2
VILLA NUEVA (LOMA ALTA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,0,1,0,0,0,1,1
VILLA TUNARI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,2,3,1,1,3,4,7
VINTO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,0,0,0,1,0,1,1
YACUIBA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-09-01,1,0,1,0,2,0,2
BAURES,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,1,1,0,0,1,1,2
BELLA FLOR,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,2,1,4,2,6,3,9
BOLPEBRA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,2,0,1,2,3,2,5
CARANAVI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,3,2,2,1,5,3,8
CARAPARI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,1,0,0,0,1,0,1
CHIMORE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,1,0,2,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,1,0,1,0,2,0,2
COBIJA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,7,1,1,0,8,1,9
COLOMI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,0,1,0,0,0,1,1
COROICO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,0,0,2,1,2,1,3
EL TORNO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,6,0,15,1,21,1,22
EUREKA (SANTOS MERCADO),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,2,0,2,0,4,0,4
FILADELFIA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,3,1,0,0,3,1,4
GUANAY,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,0,1,0,0,0,1,1
GUAYARAMERIN,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,2,2,2,2,4,4,8
IRUPANA (VILLA DE LANZA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,2,1,4,3,6,4,10
IXIAMAS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,1,3,1,2,2,5,7
LA ASUNTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,15,11,8,5,23,16,39
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,3,3,4,4,7,7,14
PALOS BLANCOS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,9,2,5,4,14,6,20
PORVENIR,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,5,0,2,0,7,0,7
PUERTO GONZALO MORENO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,1,0,1,0,2,0,2
PUERTO RICO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,0,1,0,0,0,1,1
PUERTO VILLARROEL,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,1,0,2,0,3,0,3
QUILLACOLLO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,2,0,1,0,3,0,3
REYES,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,2,2,4,1,6,3,9
RIBERALTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,12,5,0,0,12,5,17
RURRENABAQUE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,1,1,1,0,2,1,3
SAN BORJA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,5,1,0,0,5,1,6
SAN BUENA VENTURA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,3,1,0,1,3,2,5
SAN IGNACIO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,2,0,2,0,4,0,4
SAN LORENZO(PND),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,1,1,0,0,1,1,2
SHINAOTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,0,0,1,0,1,0,1
TRINIDAD,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,2,2,0,0,2,2,4
VILLA NUEVA (LOMA ALTA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,0,1,0,0,0,1,1
VILLA TUNARI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-10-01,7,2,5,3,12,5,17
APOLO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,2,0,2,0,4,0,4
BERMEJO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,1,0,1,0,2,0,2
BOLPEBRA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,1,0,3,0,4,0,4
CAIROMA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,0,0,0,1,0,1,1
CAJUATA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,1,0,0,0,1,0,1
CARANAVI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,0,0,1,0,1,0,1
CHIMORE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,1,1,0,1,1,2,3
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,3,2,7,1,10,3,13
COCHABAMBA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,0,1,0,1,0,2,2
COLOMI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,0,0,0,1,0,1,1
EL TORNO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,6,0,6,0,12,0,12
ENTRE RIOS CBBA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,1,0,1,0,2,0,2
EUREKA (SANTOS MERCADO),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,0,1,0,0,0,1,1
FILADELFIA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,1,1,2,1,3,2,5
GUAYARAMERIN,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,2,0,0,0,2,0,2
IRUPANA (VILLA DE LANZA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,1,2,2,2,3,4,7
IXIAMAS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,4,7,2,6,6,13,19
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,1,0,0,0,1,0,1
PALOS BLANCOS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,4,0,0,1,4,1,5
PORVENIR,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,0,0,2,0,2,0,2
PUERTO GONZALO MORENO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,2,0,0,0,2,0,2
PUERTO RICO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,1,0,1,0,2,0,2
QUILLACOLLO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,1,0,1,0,2,0,2
REYES,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,0,1,0,1,0,2,2
RIBERALTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,0,0,12,5,12,5,17
RURRENABAQUE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,3,1,0,0,3,1,4
SACABA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,1,0,0,0,1,0,1
SAN BORJA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,7,1,7,1,14,2,16
SAN BUENA VENTURA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,3,1,2,0,5,1,6
SAN LORENZO(PND),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,0,0,1,0,1,0,1
SENA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,1,0,0,0,1,0,1
SHINAOTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,0,0,1,0,1,0,1
SIPE SIPE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,0,1,0,1,0,2,2
URIONDO (A. CONCEPCION),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,0,1,0,1,0,2,2
VILLA NUEVA (LOMA ALTA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,0,1,0,1,0,2,2
VILLA TUNARI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-11-01,3,2,2,2,5,4,9
AZURDUY,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,0,1,0,0,0,1,1
BELLA FLOR,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,1,0,0,0,1,0,1
BERMEJO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,0,0,1,0,1,0,1
BOLPEBRA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,0,1,0,0,0,1,1
CHIMORE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,6,3,4,2,10,5,15
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,0,1,0,0,0,1,1
COBIJA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,3,0,3,2,6,2,8
COCHABAMBA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,0,0,1,0,1,0,1
CORIPATA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,2,0,0,0,2,0,2
COROICO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,7,0,9,0,16,0,16
FILADELFIA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,0,1,1,1,1,2,3
GUANAY,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,1,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,7,0,5,0,12,0,12
INGAVI (HUMAITA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,2,0,0,0,2,0,2
IRUPANA (VILLA DE LANZA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,2,1,2,1,4,2,6
IXIAMAS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,0,1,0,1,0,2,2
LA ASUNTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,4,4,7,7,11,11,22
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,0,0,1,0,1,0,1
PALOS BLANCOS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,3,0,6,2,9,2,11
PORVENIR,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,1,1,0,1,1,2,3
PUERTO RICO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,1,0,2,0,3,0,3
PUERTO VILLARROEL,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,0,2,1,1,1,3,4
QUILLACOLLO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,2,0,3,0,5,0,5
REYES,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,0,0,0,1,0,1,1
RIBERALTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,3,1,0,0,3,1,4
RURRENABAQUE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,1,0,2,2,3,2,5
SACABA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,0,0,1,0,1,0,1
SAN BORJA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,5,0,5,0,10,0,10
SAN BUENA VENTURA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,1,0,2,1,3,1,4
SAN IGNACIO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,1,1,1,2,2,3,5
SAN JOAQUIN,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,1,0,0,0,1,0,1
TRINIDAD,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,3,1,0,0,3,1,4
VILLA TUNARI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-12-01,5,6,3,2,8,8,16
