municipality,group,variable,month,Nacidos vivos atendidos por otros,TOTAL
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,2,2
TOCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
TOTORA(CBBA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
TURCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
VIACHA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,2,2
VILA VILA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
VILLA MONTES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
VILLA RIVERO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,2,2
VILLAZON,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
WALDO BALLIVIAN,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
WARNES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
ACHOCALLA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
AIQUILE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,2,2
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,11,11
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,2,2
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
CHUMA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,3,3
COLOMI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,2,2
COLQUENCHA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,7,7
GENERAL SAAVEDRA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
GUTIERREZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
LA GUARDIA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,2,2
LA PAZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,2,2
MAIRANA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
MIZQUE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,4,4
PALOS BLANCOS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,3,3
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,3,3
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,6,6
PUCARANI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
QUIME,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
RURRENABAQUE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,2,2
SACABA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,2,2
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
SANTA ANA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,2,2
SAPAHAQUI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,4,4
TACOPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,3,3
TARABUCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,2,2
TIAHUANACU,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
TIQUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,2,2
TOTORA(CBBA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,4,4
VIACHA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
VILA VILA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,2,2
VILLAZON,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-10-01,1,1
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,2,2
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
BERMEJO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,17,17
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
COBIJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
CORO CORO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
COTOCA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,3,3
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,4,4
ENTRE RIOS CBBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
GUTIERREZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,3,3
HUACARETA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
HUMANATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
LA GUARDIA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,4,4
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,3,3
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
POCOATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,3,3
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
RIBERALTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,2,2
SACABA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
SACABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
SAN ANDRES DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
SAN BENITO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,3,3
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,3,3
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,4,4
SAPAHAQUI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,2,2
SHINAOTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,4,4
TACOPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,3,3
TARABUCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
TIAHUANACU,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,4,4
TOMAVE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
VALLEGRANDE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
VIACHA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
VILA VILA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
VILLAZON,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,2,2
WARNES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-11-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,2,2
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,2,2
AYATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,4,4
CAIROMA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,2,2
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,2,2
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
COBIJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,5,5
COLOMI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
COMARAPA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
CORQUE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,6,6
EL PUENTE(STC),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
EL TORNO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,2,2
HUANUNI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
LA GUARDIA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,2,2
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
MACHACAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
MAIRANA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,5,5
PAZÑA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,5,5
PUCARANI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
PUERTO PEREZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
RIBERALTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,2,2
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
SAN BENITO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,4,4
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,5,5
TACOPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,3,3
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,2,2
TARABUCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
TIAHUANACU,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
TIQUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
URIONDO (A. CONCEPCION),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
VIACHA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,2,2
VILA VILA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
VILLAZON,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,3,3
WARNES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-12-01,1,1
