,group,variable,month,TOTAL 4.3 REPETIDAS TOTAL 4.3 REPETIDAS,TOTAL 4.3 REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES
PUERTO RICO,consultas prenatales, repetidas,2014-03-01,79,13,92
PUERTO SILES,consultas prenatales, repetidas,2014-03-01,3,0,3
PUERTO SUAREZ,consultas prenatales, repetidas,2014-03-01,154,0,154
PUERTO VILLARROEL,consultas prenatales, repetidas,2014-03-01,620,0,620
PUNA,consultas prenatales, repetidas,2014-03-01,85,19,104
PUNATA,consultas prenatales, repetidas,2014-03-01,209,0,209
QUIABAYA,consultas prenatales, repetidas,2014-03-01,4,0,4
QUILLACOLLO,consultas prenatales, repetidas,2014-03-01,735,71,806
QUIME,consultas prenatales, repetidas,2014-03-01,58,0,58
QUIRUSILLAS,consultas prenatales, repetidas,2014-03-01,10,0,10
RAVELO,consultas prenatales, repetidas,2014-03-01,27,32,59
REYES,consultas prenatales, repetidas,2014-03-01,90,10,100
RIBERALTA,consultas prenatales, repetidas,2014-03-01,1215,31,1246
ROBORE,consultas prenatales, repetidas,2014-03-01,57,0,57
RURRENABAQUE,consultas prenatales, repetidas,2014-03-01,204,0,204
SABAYA,consultas prenatales, repetidas,2014-03-01,15,0,15
SACABA,consultas prenatales, repetidas,2014-03-01,1223,0,1223
SACABAMBA,consultas prenatales, repetidas,2014-03-01,28,1,29
SACACA,consultas prenatales, repetidas,2014-03-01,82,13,95
SAIPINA,consultas prenatales, repetidas,2014-03-01,41,0,41
SALINAS DE GARCI MENDOZA,consultas prenatales, repetidas,2014-03-01,59,21,80
SAMAIPATA,consultas prenatales, repetidas,2014-03-01,62,0,62
SAN AGUSTIN,consultas prenatales, repetidas,2014-03-01,10,0,10
SAN ANDRES,consultas prenatales, repetidas,2014-03-01,49,0,49
SAN ANDRES DE MACHACA,consultas prenatales, repetidas,2014-03-01,7,3,10
SAN ANTONIO DE ESMORUCO,consultas prenatales, repetidas,2014-03-01,11,0,11
SAN ANTONIO DE LOMERIO,consultas prenatales, repetidas,2014-03-01,28,22,50
SAN BENITO,consultas prenatales, repetidas,2014-03-01,112,1,113
SAN BORJA,consultas prenatales, repetidas,2014-03-01,283,9,292
SAN BUENA VENTURA,consultas prenatales, repetidas,2014-03-01,110,0,110
SAN CARLOS,consultas prenatales, repetidas,2014-03-01,185,0,185
SAN IGNACIO,consultas prenatales, repetidas,2014-03-01,223,0,223
SAN IGNACIO DE VELASCO,consultas prenatales, repetidas,2014-03-01,352,34,386
SAN JAVIER(BNI),consultas prenatales, repetidas,2014-03-01,8,0,8
SAN JAVIER(STC),consultas prenatales, repetidas,2014-03-01,137,0,137
SAN JOAQUIN,consultas prenatales, repetidas,2014-03-01,44,0,44
SAN JOSE DE CHIQUITOS,consultas prenatales, repetidas,2014-03-01,42,0,42
SAN JUAN DE YAPACANI,consultas prenatales, repetidas,2014-03-01,83,0,83
SAN JULIAN,consultas prenatales, repetidas,2014-03-01,388,10,398
SAN LORENZO(PND),consultas prenatales, repetidas,2014-03-01,17,0,17
SAN LORENZO(TJA),consultas prenatales, repetidas,2014-03-01,174,8,182
SAN LUCAS,consultas prenatales, repetidas,2014-03-01,144,43,187
SAN MATIAS,consultas prenatales, repetidas,2014-03-01,127,0,127
SAN MIGUEL DE VELASCO,consultas prenatales, repetidas,2014-03-01,103,0,103
SAN PABLO DE LIPEZ,consultas prenatales, repetidas,2014-03-01,12,0,12
SAN PEDRO,consultas prenatales, repetidas,2014-03-01,134,0,134
SAN PEDRO DE BUENA VISTA,consultas prenatales, repetidas,2014-03-01,71,18,89
SAN PEDRO DE CURAHUARA,consultas prenatales, repetidas,2014-03-01,15,2,17
SAN PEDRO DE QUEMES,consultas prenatales, repetidas,2014-03-01,5,0,5
SAN PEDRO DE TIQUINA,consultas prenatales, repetidas,2014-03-01,20,2,22
SAN PEDRO(PND),consultas prenatales, repetidas,2014-03-01,3,2,5
SAN RAFAEL,consultas prenatales, repetidas,2014-03-01,45,2,47
SAN RAMON BENI,consultas prenatales, repetidas,2014-03-01,53,1,54
SAN RAMON SCZ,consultas prenatales, repetidas,2014-03-01,100,0,100
SANTA ANA,consultas prenatales, repetidas,2014-03-01,244,0,244
SANTA CRUZ DE LA SIERRA,consultas prenatales, repetidas,2014-03-01,10648,0,10648
SANTA ROSA,consultas prenatales, repetidas,2014-03-01,75,0,75
SANTA ROSA DEL SARA,consultas prenatales, repetidas,2014-03-01,97,0,97
SANTIAGO DE CALLAPA,consultas prenatales, repetidas,2014-03-01,7,10,17
SANTIAGO DE HUARI,consultas prenatales, repetidas,2014-03-01,36,0,36
SANTIAGO DE HUATA,consultas prenatales, repetidas,2014-03-01,17,1,18
SANTIAGO DE MACHACA,consultas prenatales, repetidas,2014-03-01,18,1,19
SANTIVAÑES,consultas prenatales, repetidas,2014-03-01,41,0,41
SANTUARIO DE QUILLACAS,consultas prenatales, repetidas,2014-03-01,18,1,19
SAPAHAQUI,consultas prenatales, repetidas,2014-03-01,26,5,31
SENA,consultas prenatales, repetidas,2014-03-01,35,0,35
SHINAOTA,consultas prenatales, repetidas,2014-03-01,365,1,366
SICA SICA (VILLA AROMA),consultas prenatales, repetidas,2014-03-01,92,3,95
SICAYA,consultas prenatales, repetidas,2014-03-01,21,0,21
SIPE SIPE,consultas prenatales, repetidas,2014-03-01,429,0,429
SOPACHUY,consultas prenatales, repetidas,2014-03-01,31,8,39
SORACACHI,consultas prenatales, repetidas,2014-03-01,36,0,36
SORATA,consultas prenatales, repetidas,2014-03-01,70,4,74
SUCRE,consultas prenatales, repetidas,2014-03-01,3158,13,3171
TACACHI,consultas prenatales, repetidas,2014-03-01,4,0,4
TACACOMA,consultas prenatales, repetidas,2014-03-01,31,0,31
TACOBAMBA,consultas prenatales, repetidas,2014-03-01,25,10,35
TACOPAYA,consultas prenatales, repetidas,2014-03-01,33,2,35
TAHUA,consultas prenatales, repetidas,2014-03-01,3,0,3
TAPACARI,consultas prenatales, repetidas,2014-03-01,73,11,84
TARABUCO,consultas prenatales, repetidas,2014-03-01,51,13,64
TARACO,consultas prenatales, repetidas,2014-03-01,8,1,9
TARATA,consultas prenatales, repetidas,2014-03-01,55,3,58
TARIJA,consultas prenatales, repetidas,2014-03-01,1906,43,1949
TARVITA,consultas prenatales, repetidas,2014-03-01,64,23,87
TEOPONTE,consultas prenatales, repetidas,2014-03-01,52,4,56
TIAWANACU,consultas prenatales, repetidas,2014-03-01,72,0,72
TINGUIPAYA,consultas prenatales, repetidas,2014-03-01,64,6,70
TIPUANI,consultas prenatales, repetidas,2014-03-01,85,0,85
TIQUIPAYA,consultas prenatales, repetidas,2014-03-01,510,1,511
TIRAQUE (CBBA),consultas prenatales, repetidas,2014-03-01,123,9,132
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales, repetidas,2014-03-01,6,0,6
TOCO,consultas prenatales, repetidas,2014-03-01,45,2,47
TODOS SANTOS,consultas prenatales, repetidas,2014-03-01,0,1,1
TOLATA,consultas prenatales, repetidas,2014-03-01,48,0,48
TOLEDO,consultas prenatales, repetidas,2014-03-01,23,2,25
TOMAVE,consultas prenatales, repetidas,2014-03-01,37,16,53
TOMINA,consultas prenatales, repetidas,2014-03-01,59,1,60
TORO TORO,consultas prenatales, repetidas,2014-03-01,28,8,36
TOTORA(CBBA),consultas prenatales, repetidas,2014-03-01,169,3,172
TOTORA(ORR),consultas prenatales, repetidas,2014-03-01,9,4,13
TRIGAL,consultas prenatales, repetidas,2014-03-01,4,0,4
TRINIDAD,consultas prenatales, repetidas,2014-03-01,1152,6,1158
TUPIZA,consultas prenatales, repetidas,2014-03-01,410,2,412
TURCO,consultas prenatales, repetidas,2014-03-01,13,1,14
UMALA,consultas prenatales, repetidas,2014-03-01,22,15,37
UNCIA,consultas prenatales, repetidas,2014-03-01,123,1,124
URIONDO (A. CONCEPCION),consultas prenatales, repetidas,2014-03-01,90,1,91
URUBICHA,consultas prenatales, repetidas,2014-03-01,53,0,53
UYUNI,consultas prenatales, repetidas,2014-03-01,296,9,305
VACAS,consultas prenatales, repetidas,2014-03-01,40,0,40
VALLEGRANDE,consultas prenatales, repetidas,2014-03-01,104,1,105
VIACHA,consultas prenatales, repetidas,2014-03-01,398,2,400
VILA VILA,consultas prenatales, repetidas,2014-03-01,11,4,15
VILLA CHARCAS,consultas prenatales, repetidas,2014-03-01,69,26,95
VILLA MONTES,consultas prenatales, repetidas,2014-03-01,393,6,399
VILLA NUEVA (LOMA ALTA),consultas prenatales, repetidas,2014-03-01,13,3,16
VILLA RIVERO,consultas prenatales, repetidas,2014-03-01,65,2,67
VILLA SERRANO,consultas prenatales, repetidas,2014-03-01,42,15,57
VILLA TUNARI,consultas prenatales, repetidas,2014-03-01,767,0,767
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales, repetidas,2014-03-01,50,7,57
VILLAZON,consultas prenatales, repetidas,2014-03-01,360,17,377
VINTO,consultas prenatales, repetidas,2014-03-01,270,0,270
VITICHI,consultas prenatales, repetidas,2014-03-01,40,9,49
WALDO BALLIVIAN,consultas prenatales, repetidas,2014-03-01,11,1,12
WARNES,consultas prenatales, repetidas,2014-03-01,606,3,609
YACO,consultas prenatales, repetidas,2014-03-01,13,7,20
YACUIBA,consultas prenatales, repetidas,2014-03-01,581,6,587
YAMPARAEZ,consultas prenatales, repetidas,2014-03-01,31,4,35
YANACACHI,consultas prenatales, repetidas,2014-03-01,19,0,19
YAPACANI,consultas prenatales, repetidas,2014-03-01,402,3,405
YOCALLA,consultas prenatales, repetidas,2014-03-01,32,0,32
YOTALA,consultas prenatales, repetidas,2014-03-01,62,2,64
YUNCHARA,consultas prenatales, repetidas,2014-03-01,17,17,34
ZUDAÑEZ,consultas prenatales, repetidas,2014-03-01,38,4,42
ACACIO,consultas prenatales, repetidas,2014-04-01,21,2,23
ACHACACHI,consultas prenatales, repetidas,2014-04-01,191,6,197
ACHOCALLA,consultas prenatales, repetidas,2014-04-01,67,25,92
AIQUILE,consultas prenatales, repetidas,2014-04-01,173,6,179
ALALAY,consultas prenatales, repetidas,2014-04-01,4,1,5
ALCALA,consultas prenatales, repetidas,2014-04-01,26,1,27
ALTO BENI,consultas prenatales, repetidas,2014-04-01,28,1,29
ANCORAIMES,consultas prenatales, repetidas,2014-04-01,48,10,58
ANDAMARCA,consultas prenatales, repetidas,2014-04-01,11,6,17
ANTEQUERA,consultas prenatales, repetidas,2014-04-01,8,6,14
ANZALDO,consultas prenatales, repetidas,2014-04-01,21,3,24
APOLO,consultas prenatales, repetidas,2014-04-01,103,5,108
ARAMPAMPA,consultas prenatales, repetidas,2014-04-01,12,12,24
ARANI,consultas prenatales, repetidas,2014-04-01,107,1,108
ARBIETO,consultas prenatales, repetidas,2014-04-01,74,1,75
ARQUE,consultas prenatales, repetidas,2014-04-01,39,0,39
ASCENCION DE GUARAYOS,consultas prenatales, repetidas,2014-04-01,150,0,150
ATOCHA,consultas prenatales, repetidas,2014-04-01,72,1,73
AUCAPATA,consultas prenatales, repetidas,2014-04-01,15,5,20
AYATA,consultas prenatales, repetidas,2014-04-01,14,17,31
AYO AYO,consultas prenatales, repetidas,2014-04-01,34,0,34
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales, repetidas,2014-04-01,113,8,121
AZURDUY,consultas prenatales, repetidas,2014-04-01,34,24,58
BATALLAS,consultas prenatales, repetidas,2014-04-01,87,3,90
BAURES,consultas prenatales, repetidas,2014-04-01,27,0,27
BELEN DE ANDAMARCA,consultas prenatales, repetidas,2014-04-01,8,5,13
BELEN DE URMIRI,consultas prenatales, repetidas,2014-04-01,5,3,8
BELLA FLOR,consultas prenatales, repetidas,2014-04-01,18,2,20
BERMEJO,consultas prenatales, repetidas,2014-04-01,300,4,304
BETANZOS,consultas prenatales, repetidas,2014-04-01,145,18,163
BOLIVAR,consultas prenatales, repetidas,2014-04-01,12,2,14
BOLPEBRA,consultas prenatales, repetidas,2014-04-01,4,1,5
BOYUIBE,consultas prenatales, repetidas,2014-04-01,17,1,18
BUENA VISTA,consultas prenatales, repetidas,2014-04-01,54,0,54
CABEZAS,consultas prenatales, repetidas,2014-04-01,119,0,119
CAIROMA,consultas prenatales, repetidas,2014-04-01,39,3,42
"CAIZA ""D""",consultas prenatales, repetidas,2014-04-01,57,5,62
CAJUATA,consultas prenatales, repetidas,2014-04-01,65,2,67
CALACOTO,consultas prenatales, repetidas,2014-04-01,7,1,8
CALAMARCA,consultas prenatales, repetidas,2014-04-01,51,3,54
CAMARGO,consultas prenatales, repetidas,2014-04-01,109,9,118
CAMATAQUI (C. VILLA ABECIA),consultas prenatales, repetidas,2014-04-01,11,3,14
CAMIRI,consultas prenatales, repetidas,2014-04-01,300,4,304
CAPINOTA,consultas prenatales, repetidas,2014-04-01,187,0,187
CAQUIAVIRI,consultas prenatales, repetidas,2014-04-01,33,9,42
CARACOLLO,consultas prenatales, repetidas,2014-04-01,134,1,135
CARANAVI,consultas prenatales, repetidas,2014-04-01,376,5,381
CARANGAS,consultas prenatales, repetidas,2014-04-01,0,1,1
CARAPARI,consultas prenatales, repetidas,2014-04-01,100,5,105
CARIPUYO,consultas prenatales, repetidas,2014-04-01,15,23,38
CARMEN RIVERO TORREZ,consultas prenatales, repetidas,2014-04-01,40,0,40
CATACORA,consultas prenatales, repetidas,2014-04-01,3,0,3
CHACARILLA,consultas prenatales, repetidas,2014-04-01,0,2,2
CHALLAPATA,consultas prenatales, repetidas,2014-04-01,266,14,280
CHAQUI,consultas prenatales, repetidas,2014-04-01,38,1,39
CHARAGUA,consultas prenatales, repetidas,2014-04-01,200,3,203
CHARAÑA,consultas prenatales, repetidas,2014-04-01,2,1,3
CHAYANTA,consultas prenatales, repetidas,2014-04-01,49,10,59
CHIMORE,consultas prenatales, repetidas,2014-04-01,106,3,109
CHIPAYA,consultas prenatales, repetidas,2014-04-01,5,0,5
CHOQUE COTA,consultas prenatales, repetidas,2014-04-01,5,0,5
CHUA COCANI,consultas prenatales, repetidas,2014-04-01,8,1,9
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales, repetidas,2014-04-01,147,0,147
CHUMA,consultas prenatales, repetidas,2014-04-01,22,6,28
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales, repetidas,2014-04-01,37,0,37
CKOCHAS,consultas prenatales, repetidas,2014-04-01,65,11,76
CLIZA,consultas prenatales, repetidas,2014-04-01,247,2,249
COBIJA,consultas prenatales, repetidas,2014-04-01,580,1,581
COCAPATA,consultas prenatales, repetidas,2014-04-01,34,33,67
COCHABAMBA,consultas prenatales, repetidas,2014-04-01,6569,20,6589
COIPASA,consultas prenatales, repetidas,2014-04-01,10,0,10
COLCAPIRHUA,consultas prenatales, repetidas,2014-04-01,437,0,437
"COLCHA ""K""",consultas prenatales, repetidas,2014-04-01,71,3,74
COLLANA,consultas prenatales, repetidas,2014-04-01,8,2,10
COLOMI,consultas prenatales, repetidas,2014-04-01,125,1,126
COLPA BELGICA,consultas prenatales, repetidas,2014-04-01,46,0,46
COLQUECHACA,consultas prenatales, repetidas,2014-04-01,107,36,143
COLQUENCHA,consultas prenatales, repetidas,2014-04-01,43,0,43
COLQUIRI,consultas prenatales, repetidas,2014-04-01,51,23,74
COMANCHE,consultas prenatales, repetidas,2014-04-01,5,2,7
COMARAPA,consultas prenatales, repetidas,2014-04-01,173,0,173
COMBAYA,consultas prenatales, repetidas,2014-04-01,4,2,6
CONCEPCION,consultas prenatales, repetidas,2014-04-01,146,5,151
COPACABANA,consultas prenatales, repetidas,2014-04-01,62,3,65
CORIPATA,consultas prenatales, repetidas,2014-04-01,105,0,105
CORO CORO,consultas prenatales, repetidas,2014-04-01,23,3,26
COROICO,consultas prenatales, repetidas,2014-04-01,115,1,116
CORQUE,consultas prenatales, repetidas,2014-04-01,14,10,24
COTAGAITA,consultas prenatales, repetidas,2014-04-01,99,20,119
COTOCA,consultas prenatales, repetidas,2014-04-01,418,0,418
CRUZ DE MACHACAMARCA,consultas prenatales, repetidas,2014-04-01,1,0,1
CUATRO CAÑADAS,consultas prenatales, repetidas,2014-04-01,226,0,226
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales, repetidas,2014-04-01,5,0,5
CUEVO,consultas prenatales, repetidas,2014-04-01,15,3,18
CULPINA,consultas prenatales, repetidas,2014-04-01,74,19,93
CURAHUARA DE CARANGAS,consultas prenatales, repetidas,2014-04-01,35,0,35
CURVA,consultas prenatales, repetidas,2014-04-01,9,1,10
DESAGUADERO,consultas prenatales, repetidas,2014-04-01,28,0,28
EL ALTO,consultas prenatales, repetidas,2014-04-01,6528,295,6823
EL CHORO,consultas prenatales, repetidas,2014-04-01,13,5,18
EL PUENTE(STC),consultas prenatales, repetidas,2014-04-01,79,0,79
EL PUENTE(TJA),consultas prenatales, repetidas,2014-04-01,64,2,66
EL TORNO,consultas prenatales, repetidas,2014-04-01,441,1,442
EL VILLAR,consultas prenatales, repetidas,2014-04-01,22,6,28
ENTRE RIOS TRJ,consultas prenatales, repetidas,2014-04-01,146,10,156
ENTRE RIOS CBBA,consultas prenatales, repetidas,2014-04-01,215,0,215
ESCOMA,consultas prenatales, repetidas,2014-04-01,31,1,32
EUCALIPTUS,consultas prenatales, repetidas,2014-04-01,20,0,20
EUREKA (SANTOS MERCADO),consultas prenatales, repetidas,2014-04-01,2,2,4
EXALTACION,consultas prenatales, repetidas,2014-04-01,6,0,6
FERNANDEZ ALONSO,consultas prenatales, repetidas,2014-04-01,80,4,84
FILADELFIA,consultas prenatales, repetidas,2014-04-01,33,6,39
GENERAL SAAVEDRA,consultas prenatales, repetidas,2014-04-01,83,0,83
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales, repetidas,2014-04-01,34,3,37
GUANAY,consultas prenatales, repetidas,2014-04-01,98,4,102
GUAQUI,consultas prenatales, repetidas,2014-04-01,26,3,29
GUAYARAMERIN,consultas prenatales, repetidas,2014-04-01,518,1,519
GUTIERREZ,consultas prenatales, repetidas,2014-04-01,60,2,62
HUACARETA,consultas prenatales, repetidas,2014-04-01,32,13,45
HUACAYA (VILLA DE HUACAYA),consultas prenatales, repetidas,2014-04-01,13,2,15
HUACHACALLA,consultas prenatales, repetidas,2014-04-01,5,0,5
HUANUNI,consultas prenatales, repetidas,2014-04-01,168,0,168
HUARACAJE,consultas prenatales, repetidas,2014-04-01,20,0,20
HUARINA,consultas prenatales, repetidas,2014-04-01,24,1,25
HUATAJATA,consultas prenatales, repetidas,2014-04-01,15,0,15
HUAYLLAMARCA,consultas prenatales, repetidas,2014-04-01,13,0,13
HUMANATA,consultas prenatales, repetidas,2014-04-01,3,5,8
ICHOCA,consultas prenatales, repetidas,2014-04-01,7,6,13
ICLA,consultas prenatales, repetidas,2014-04-01,35,14,49
INCAHUASI,consultas prenatales, repetidas,2014-04-01,35,33,68
INGAVI (HUMAITA),consultas prenatales, repetidas,2014-04-01,4,0,4
INQUISIVI,consultas prenatales, repetidas,2014-04-01,21,13,34
IRUPANA (VILLA DE LANZA),consultas prenatales, repetidas,2014-04-01,91,0,91
IXIAMAS,consultas prenatales, repetidas,2014-04-01,43,2,45
JESUS DE MACHACA,consultas prenatales, repetidas,2014-04-01,79,1,80
LA ASUNTA,consultas prenatales, repetidas,2014-04-01,306,2,308
LA GUARDIA,consultas prenatales, repetidas,2014-04-01,582,0,582
LA PAZ,consultas prenatales, repetidas,2014-04-01,7312,0,7312
LAGUNILLAS,consultas prenatales, repetidas,2014-04-01,30,6,36
LAJA,consultas prenatales, repetidas,2014-04-01,57,1,58
LAS CARRERAS,consultas prenatales, repetidas,2014-04-01,32,2,34
LICOMA PAMPA,consultas prenatales, repetidas,2014-04-01,11,0,11
LLALLAGUA,consultas prenatales, repetidas,2014-04-01,334,7,341
LLICA,consultas prenatales, repetidas,2014-04-01,21,4,25
LORETO,consultas prenatales, repetidas,2014-04-01,4,0,4
LURIBAY,consultas prenatales, repetidas,2014-04-01,22,4,26
MACHACAMARCA,consultas prenatales, repetidas,2014-04-01,15,1,16
MACHARETI,consultas prenatales, repetidas,2014-04-01,46,0,46
MAGDALENA,consultas prenatales, repetidas,2014-04-01,117,2,119
MAIRANA,consultas prenatales, repetidas,2014-04-01,112,0,112
MALLA,consultas prenatales, repetidas,2014-04-01,4,0,4
MAPIRI,consultas prenatales, repetidas,2014-04-01,125,1,126
MECAPACA,consultas prenatales, repetidas,2014-04-01,35,10,45
MINEROS,consultas prenatales, repetidas,2014-04-01,181,0,181
MIZQUE,consultas prenatales, repetidas,2014-04-01,174,1,175
MOCOMOCO,consultas prenatales, repetidas,2014-04-01,36,4,40
MOJINETE,consultas prenatales, repetidas,2014-04-01,7,0,7
MOJOCOYA,consultas prenatales, repetidas,2014-04-01,32,8,40
MONTEAGUDO,consultas prenatales, repetidas,2014-04-01,285,1,286
MONTERO,consultas prenatales, repetidas,2014-04-01,1155,1,1156
MORO MORO,consultas prenatales, repetidas,2014-04-01,8,5,13
MOROCHATA,consultas prenatales, repetidas,2014-04-01,31,14,45
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales, repetidas,2014-04-01,22,0,22
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales, repetidas,2014-04-01,16,5,21
OCURI,consultas prenatales, repetidas,2014-04-01,59,16,75
OKINAWA,consultas prenatales, repetidas,2014-04-01,117,0,117
OMEREQUE,consultas prenatales, repetidas,2014-04-01,31,2,33
ORURO,consultas prenatales, repetidas,2014-04-01,3038,0,3038
PADCAYA,consultas prenatales, repetidas,2014-04-01,108,3,111
PADILLA,consultas prenatales, repetidas,2014-04-01,54,8,62
PAILON,consultas prenatales, repetidas,2014-04-01,159,15,174
PALCA,consultas prenatales, repetidas,2014-04-01,79,2,81
PALOS BLANCOS,consultas prenatales, repetidas,2014-04-01,239,1,240
PAMPA AULLAGAS,consultas prenatales, repetidas,2014-04-01,13,0,13
PAMPA GRANDE,consultas prenatales, repetidas,2014-04-01,60,0,60
PAPEL PAMPA,consultas prenatales, repetidas,2014-04-01,22,8,30
PASORAPA,consultas prenatales, repetidas,2014-04-01,12,0,12
PATACAMAYA,consultas prenatales, repetidas,2014-04-01,185,0,185
PAZÑA,consultas prenatales, repetidas,2014-04-01,26,3,29
PELECHUCO,consultas prenatales, repetidas,2014-04-01,23,1,24
POCOATA,consultas prenatales, repetidas,2014-04-01,62,44,106
POCONA,consultas prenatales, repetidas,2014-04-01,66,3,69
POJO (CBBA),consultas prenatales, repetidas,2014-04-01,37,0,37
POOPO,consultas prenatales, repetidas,2014-04-01,21,1,22
PORCO,consultas prenatales, repetidas,2014-04-01,77,1,78
POROMA,consultas prenatales, repetidas,2014-04-01,57,14,71
PORONGO,consultas prenatales, repetidas,2014-04-01,28,2,30
PORTACHUELO,consultas prenatales, repetidas,2014-04-01,311,0,311
PORVENIR,consultas prenatales, repetidas,2014-04-01,30,8,38
POSTRER VALLE,consultas prenatales, repetidas,2014-04-01,1,2,3
POTOSI,consultas prenatales, repetidas,2014-04-01,1703,0,1703
PRESTO,consultas prenatales, repetidas,2014-04-01,28,22,50
PUCARA,consultas prenatales, repetidas,2014-04-01,1,0,1
PUCARANI,consultas prenatales, repetidas,2014-04-01,103,20,123
PUERTO ACOSTA,consultas prenatales, repetidas,2014-04-01,25,12,37
PUERTO CARABUCO,consultas prenatales, repetidas,2014-04-01,23,10,33
PUERTO GONZALO MORENO,consultas prenatales, repetidas,2014-04-01,40,1,41
PUERTO PEREZ,consultas prenatales, repetidas,2014-04-01,13,6,19
PUERTO QUIJARRO,consultas prenatales, repetidas,2014-04-01,65,0,65
PUERTO RICO,consultas prenatales, repetidas,2014-04-01,72,2,74
PUERTO SILES,consultas prenatales, repetidas,2014-04-01,2,0,2
PUERTO SUAREZ,consultas prenatales, repetidas,2014-04-01,164,1,165
PUERTO VILLARROEL,consultas prenatales, repetidas,2014-04-01,584,0,584
PUNA,consultas prenatales, repetidas,2014-04-01,84,11,95
PUNATA,consultas prenatales, repetidas,2014-04-01,222,0,222
QUIABAYA,consultas prenatales, repetidas,2014-04-01,21,0,21
QUILLACOLLO,consultas prenatales, repetidas,2014-04-01,966,78,1044
QUIME,consultas prenatales, repetidas,2014-04-01,57,0,57
QUIRUSILLAS,consultas prenatales, repetidas,2014-04-01,5,0,5
RAVELO,consultas prenatales, repetidas,2014-04-01,38,26,64
REYES,consultas prenatales, repetidas,2014-04-01,90,6,96
RIBERALTA,consultas prenatales, repetidas,2014-04-01,1254,47,1301
ROBORE,consultas prenatales, repetidas,2014-04-01,92,0,92
RURRENABAQUE,consultas prenatales, repetidas,2014-04-01,188,1,189
SABAYA,consultas prenatales, repetidas,2014-04-01,9,2,11
SACABA,consultas prenatales, repetidas,2014-04-01,1291,0,1291
SACABAMBA,consultas prenatales, repetidas,2014-04-01,13,2,15
SACACA,consultas prenatales, repetidas,2014-04-01,87,14,101
SAIPINA,consultas prenatales, repetidas,2014-04-01,45,1,46
SALINAS DE GARCI MENDOZA,consultas prenatales, repetidas,2014-04-01,53,39,92
SAMAIPATA,consultas prenatales, repetidas,2014-04-01,57,0,57
SAN AGUSTIN,consultas prenatales, repetidas,2014-04-01,8,0,8
SAN ANDRES,consultas prenatales, repetidas,2014-04-01,41,8,49
SAN ANDRES DE MACHACA,consultas prenatales, repetidas,2014-04-01,2,3,5
SAN ANTONIO DE ESMORUCO,consultas prenatales, repetidas,2014-04-01,4,0,4
SAN ANTONIO DE LOMERIO,consultas prenatales, repetidas,2014-04-01,19,22,41
SAN BENITO,consultas prenatales, repetidas,2014-04-01,114,0,114
SAN BORJA,consultas prenatales, repetidas,2014-04-01,310,0,310
SAN BUENA VENTURA,consultas prenatales, repetidas,2014-04-01,94,1,95
SAN CARLOS,consultas prenatales, repetidas,2014-04-01,208,0,208
SAN IGNACIO,consultas prenatales, repetidas,2014-04-01,197,3,200
SAN IGNACIO DE VELASCO,consultas prenatales, repetidas,2014-04-01,355,31,386
SAN JAVIER(BNI),consultas prenatales, repetidas,2014-04-01,14,2,16
SAN JAVIER(STC),consultas prenatales, repetidas,2014-04-01,132,0,132
SAN JOAQUIN,consultas prenatales, repetidas,2014-04-01,34,0,34
SAN JOSE DE CHIQUITOS,consultas prenatales, repetidas,2014-04-01,110,0,110
SAN JUAN DE YAPACANI,consultas prenatales, repetidas,2014-04-01,73,0,73
SAN JULIAN,consultas prenatales, repetidas,2014-04-01,393,11,404
SAN LORENZO(PND),consultas prenatales, repetidas,2014-04-01,7,9,16
SAN LORENZO(TJA),consultas prenatales, repetidas,2014-04-01,160,9,169
SAN LUCAS,consultas prenatales, repetidas,2014-04-01,150,62,212
SAN MATIAS,consultas prenatales, repetidas,2014-04-01,87,0,87
SAN MIGUEL DE VELASCO,consultas prenatales, repetidas,2014-04-01,98,2,100
SAN PABLO DE LIPEZ,consultas prenatales, repetidas,2014-04-01,14,0,14
SAN PEDRO,consultas prenatales, repetidas,2014-04-01,91,0,91
SAN PEDRO DE BUENA VISTA,consultas prenatales, repetidas,2014-04-01,78,19,97
SAN PEDRO DE CURAHUARA,consultas prenatales, repetidas,2014-04-01,11,6,17
SAN PEDRO DE QUEMES,consultas prenatales, repetidas,2014-04-01,5,0,5
SAN PEDRO DE TIQUINA,consultas prenatales, repetidas,2014-04-01,16,1,17
SAN PEDRO(PND),consultas prenatales, repetidas,2014-04-01,1,2,3
SAN RAFAEL,consultas prenatales, repetidas,2014-04-01,41,0,41
SAN RAMON BENI,consultas prenatales, repetidas,2014-04-01,55,0,55
SAN RAMON SCZ,consultas prenatales, repetidas,2014-04-01,92,0,92
SANTA ANA,consultas prenatales, repetidas,2014-04-01,243,0,243
SANTA CRUZ DE LA SIERRA,consultas prenatales, repetidas,2014-04-01,10798,71,10869
