,group,variable,month,TOTAL 4.1 NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,TOTAL 4.1 NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES
RURRENABAQUE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,41,0,41
SACABA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,307,0,307
SACABAMBA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,6,0,6
SACACA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,15,2,17
SAIPINA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,16,1,17
SALINAS DE GARCI MENDOZA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,18,5,23
SAMAIPATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,18,0,18
SAN AGUSTIN,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,2,0,2
SAN ANDRES,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,18,0,18
SAN ANDRES DE MACHACA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,2,0,2
SAN ANTONIO DE LOMERIO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,2,2,4
SAN BENITO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,11,1,12
SAN BORJA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,96,17,113
SAN BUENA VENTURA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,24,0,24
SAN CARLOS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,41,0,41
SAN IGNACIO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,47,1,48
SAN IGNACIO DE VELASCO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,94,11,105
SAN JAVIER(BNI),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,5,2,7
SAN JAVIER(STC),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,20,0,20
SAN JOAQUIN,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,7,0,7
SAN JOSE DE CHIQUITOS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,26,0,26
SAN JUAN DE YAPACANI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,11,1,12
SAN JULIAN,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,65,2,67
SAN LORENZO(PND),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,9,0,9
SAN LORENZO(TJA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,23,2,25
SAN LUCAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,29,10,39
SAN MATIAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,28,0,28
SAN MIGUEL DE VELASCO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,17,2,19
SAN PABLO DE LIPEZ,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,1,1,2
SAN PEDRO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,31,0,31
SAN PEDRO DE BUENA VISTA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,39,5,44
SAN PEDRO DE CURAHUARA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,8,0,8
SAN PEDRO DE TIQUINA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,1,0,1
SAN PEDRO(PND),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,0,3,3
SAN RAFAEL,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,10,1,11
SAN RAMON BENI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,9,0,9
SAN RAMON SCZ,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,29,0,29
SANTA ANA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,32,0,32
SANTA CRUZ DE LA SIERRA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,3747,5,3752
SANTA ROSA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,13,0,13
SANTA ROSA DEL SARA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,31,0,31
SANTIAGO DE CALLAPA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,1,1,2
SANTIAGO DE HUARI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,5,0,5
SANTIAGO DE HUATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,3,0,3
SANTIAGO DE MACHACA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,4,0,4
SANTIVAÑES,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,6,0,6
SANTUARIO DE QUILLACAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,7,1,8
SAPAHAQUI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,5,1,6
SENA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,9,0,9
SHINAOTA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,71,0,71
SICA SICA (VILLA AROMA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,18,0,18
SICAYA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,5,0,5
SIPE SIPE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,81,0,81
SOPACHUY,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,8,2,10
SORACACHI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,4,1,5
SORATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,22,4,26
SUCRE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,627,0,627
TACACHI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,2,0,2
TACACOMA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,13,0,13
TACOBAMBA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,4,2,6
TACOPAYA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,6,1,7
TAHUA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,2,0,2
TAPACARI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,25,3,28
TARABUCO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,19,3,22
TARACO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,3,1,4
TARATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,13,1,14
TARIJA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,481,9,490
TARVITA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,12,2,14
TEOPONTE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,18,1,19
TIAWANACU,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,18,1,19
TINGUIPAYA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,17,0,17
TIPUANI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,17,0,17
TIQUIPAYA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,139,2,141
TIRAQUE (CBBA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,21,3,24
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,1,0,1
TOCO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,10,0,10
TODOS SANTOS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,0,1,1
TOLATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,9,0,9
TOLEDO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,6,2,8
TOMAVE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,15,4,19
TOMINA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,16,4,20
TORO TORO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,11,5,16
TOTORA(CBBA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,34,0,34
TOTORA(ORR),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,6,2,8
TRINIDAD,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,293,7,300
TUPIZA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,55,2,57
TURCO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,6,0,6
UMALA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,10,1,11
UNCIA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,31,4,35
URIONDO (A. CONCEPCION),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,19,0,19
URUBICHA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,8,0,8
UYUNI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,56,1,57
VACAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,10,0,10
VALLEGRANDE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,27,0,27
VIACHA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,94,0,94
VILA VILA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,2,0,2
VILLA CHARCAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,17,10,27
VILLA MONTES,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,67,2,69
VILLA NUEVA (LOMA ALTA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,2,0,2
VILLA RIVERO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,15,0,15
VILLA SERRANO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,7,2,9
VILLA TUNARI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,247,1,248
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,14,1,15
VILLAZON,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,77,1,78
VINTO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,108,0,108
VITICHI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,4,1,5
WALDO BALLIVIAN,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,3,0,3
WARNES,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,162,1,163
YACO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,9,4,13
YACUIBA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,245,2,247
YAMPARAEZ,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,6,1,7
YANACACHI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,6,0,6
YAPACANI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,122,21,143
YOCALLA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,14,0,14
YOTALA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,11,0,11
YUNCHARA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,9,2,11
ZUDAÑEZ,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-03-01,13,2,15
ACACIO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,5,1,6
ACHACACHI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,33,0,33
ACHOCALLA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,15,4,19
AIQUILE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,63,2,65
ALCALA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,10,0,10
ALTO BENI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,11,1,12
ANCORAIMES,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,9,1,10
ANDAMARCA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,1,1,2
ANTEQUERA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,2,2,4
ANZALDO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,4,2,6
APOLO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,17,1,18
ARAMPAMPA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,1,3,4
ARANI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,22,5,27
ARBIETO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,11,1,12
ARQUE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,10,0,10
ASCENCION DE GUARAYOS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,43,0,43
ATOCHA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,14,0,14
AUCAPATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,5,2,7
AYATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,6,2,8
AYO AYO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,6,0,6
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,24,1,25
AZURDUY,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,11,4,15
BATALLAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,10,1,11
BAURES,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,9,0,9
BELEN DE ANDAMARCA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,1,0,1
BELLA FLOR,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,2,0,2
BERMEJO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,71,0,71
BETANZOS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,41,4,45
BOLIVAR,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,5,3,8
BOLPEBRA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,1,0,1
BOYUIBE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,3,0,3
BUENA VISTA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,27,0,27
CABEZAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,43,0,43
CAIROMA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,13,0,13
"CAIZA ""D""",consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,5,1,6
CAJUATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,10,0,10
CALACOTO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,2,2,4
CALAMARCA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,7,0,7
CAMARGO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,18,1,19
CAMATAQUI (C. VILLA ABECIA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,2,0,2
CAMIRI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,87,4,91
CAPINOTA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,31,0,31
CAQUIAVIRI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,7,1,8
CARACOLLO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,26,0,26
CARANAVI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,109,3,112
CARANGAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,0,1,1
CARAPARI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,10,0,10
CARIPUYO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,0,11,11
CARMEN RIVERO TORREZ,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,8,0,8
CATACORA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,2,0,2
CHACARILLA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,2,0,2
CHALLAPATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,44,4,48
CHAQUI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,8,1,9
CHARAGUA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,35,3,38
CHAYANTA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,27,3,30
CHIMORE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,30,3,33
CHIPAYA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,4,0,4
CHUA COCANI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,3,0,3
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,38,0,38
CHUMA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,5,1,6
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,9,0,9
CKOCHAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,12,1,13
CLIZA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,30,1,31
COBIJA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,150,0,150
COCAPATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,20,6,26
COCHABAMBA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,1891,4,1895
COLCAPIRHUA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,94,2,96
"COLCHA ""K""",consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,17,0,17
COLLANA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,4,0,4
COLOMI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,23,4,27
COLPA BELGICA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,5,0,5
COLQUECHACA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,30,11,41
COLQUENCHA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,5,0,5
COLQUIRI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,21,4,25
COMANCHE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,3,0,3
COMARAPA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,34,0,34
COMBAYA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,4,0,4
CONCEPCION,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,42,1,43
COPACABANA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,13,3,16
CORIPATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,29,0,29
CORO CORO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,6,1,7
COROICO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,19,0,19
CORQUE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,8,2,10
COTAGAITA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,32,5,37
COTOCA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,104,0,104
CUATRO CAÑADAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,50,1,51
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,1,0,1
CUEVO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,5,0,5
CULPINA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,19,4,23
CURAHUARA DE CARANGAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,5,0,5
CURVA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,4,1,5
DESAGUADERO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,12,0,12
EL ALTO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,1629,80,1709
EL CHORO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,4,1,5
EL PUENTE(STC),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,24,0,24
EL PUENTE(TJA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,19,4,23
EL TORNO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,139,0,139
EL VILLAR,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,2,0,2
ENTRE RIOS TRJ,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,26,2,28
ENTRE RIOS CBBA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,74,0,74
ESCOMA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,6,1,7
EUCALIPTUS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,8,0,8
EUREKA (SANTOS MERCADO),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,1,1,2
EXALTACION,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,1,0,1
FERNANDEZ ALONSO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,22,0,22
FILADELFIA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,7,2,9
GENERAL SAAVEDRA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,19,0,19
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,15,1,16
GUANAY,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,25,3,28
GUAQUI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,1,3,4
GUAYARAMERIN,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,118,1,119
GUTIERREZ,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,14,3,17
HUACARETA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,15,2,17
HUACAYA (VILLA DE HUACAYA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,5,1,6
HUACHACALLA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,1,0,1
HUANUNI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,51,0,51
HUARACAJE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,9,0,9
HUARINA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,7,1,8
HUATAJATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,4,0,4
HUAYLLAMARCA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,2,0,2
HUMANATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,1,0,1
ICHOCA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,3,0,3
ICLA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,6,2,8
INCAHUASI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,14,9,23
INGAVI (HUMAITA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,2,0,2
INQUISIVI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,10,3,13
IRUPANA (VILLA DE LANZA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,24,2,26
IXIAMAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,12,2,14
JESUS DE MACHACA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,17,0,17
LA ASUNTA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,86,0,86
LA GUARDIA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,157,0,157
LA PAZ,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,1873,0,1873
LAGUNILLAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,7,0,7
LAJA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,9,0,9
LAS CARRERAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,1,0,1
LICOMA PAMPA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,1,0,1
LLALLAGUA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,90,1,91
LLICA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,4,0,4
LORETO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,5,4,9
LURIBAY,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,7,1,8
MACHACAMARCA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,4,0,4
MACHARETI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,13,1,14
MAGDALENA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,19,4,23
MAIRANA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,17,0,17
MALLA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,1,0,1
MAPIRI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,23,0,23
MECAPACA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,11,0,11
MINEROS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,39,0,39
MIZQUE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,24,0,24
MOCOMOCO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,7,2,9
MOJINETE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,0,1,1
MOJOCOYA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,5,1,6
MONTEAGUDO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,56,0,56
MONTERO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,251,0,251
MORO MORO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,1,1,2
MOROCHATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,5,4,9
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,9,0,9
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,0,1,1
OCURI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,12,9,21
OKINAWA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,23,1,24
OMEREQUE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,6,1,7
ORURO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,748,0,748
PADCAYA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,29,0,29
PADILLA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,16,2,18
PAILON,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,37,4,41
PALCA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,29,1,30
PALOS BLANCOS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,67,1,68
PAMPA AULLAGAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,8,1,9
PAMPA GRANDE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,9,0,9
PASORAPA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-04-01,4,0,4
