,group,variable,month,TOTAL 4.2 NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,TOTAL 4.2 NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES
SANTA ROSA DEL SARA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,7,0,7
SANTIAGO DE CALLAPA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,3,5,8
SANTIAGO DE HUARI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,10,0,10
SANTIAGO DE HUATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,4,1,5
SANTIAGO DE MACHACA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,2,0,2
SANTIVAÑES,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,4,1,5
SANTUARIO DE QUILLACAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,2,0,2
SAPAHAQUI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,1,1,2
SENA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,4,0,4
SHINAOTA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,5,6,11
SICA SICA (VILLA AROMA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,5,4,9
SICAYA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,3,0,3
SIPE SIPE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,46,0,46
SOPACHUY,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,2,2,4
SORACACHI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,2,0,2
SORATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,7,1,8
SUCRE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,82,0,82
TACACOMA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,5,1,6
TACOBAMBA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,1,3,4
TACOPAYA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,1,0,1
TAPACARI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,13,0,13
TARABUCO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,2,0,2
TARACO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,1,0,1
TARATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,7,0,7
TARIJA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,231,20,251
TARVITA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,1,1,2
TEOPONTE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,6,1,7
TIAWANACU,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,6,2,8
TINGUIPAYA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,8,6,14
TIPUANI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,2,0,2
TIQUIPAYA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,60,0,60
TIRAQUE (CBBA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,17,0,17
TOCO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,1,0,1
TOLATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,3,0,3
TOLEDO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,2,1,3
TOMAVE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,3,3,6
TOMINA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,2,0,2
TORO TORO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,2,2,4
TOTORA(CBBA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,12,0,12
TOTORA(ORR),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,0,1,1
TRINIDAD,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,186,0,186
TUPIZA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,22,0,22
TURCO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,0,1,1
UMALA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,5,2,7
UNCIA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,17,0,17
URIONDO (A. CONCEPCION),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,8,0,8
URUBICHA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,4,0,4
UYUNI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,31,5,36
VACAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,8,1,9
VALLEGRANDE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,7,1,8
VIACHA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,51,0,51
VILA VILA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,4,1,5
VILLA CHARCAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,4,0,4
VILLA MONTES,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,25,0,25
VILLA NUEVA (LOMA ALTA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,2,1,3
VILLA RIVERO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,4,2,6
VILLA SERRANO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,2,0,2
VILLA TUNARI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,46,2,48
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,3,1,4
VILLAZON,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,13,1,14
VINTO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,24,0,24
VITICHI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,4,0,4
WARNES,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,81,1,82
YACO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,5,1,6
YACUIBA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,108,2,110
YANACACHI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,3,0,3
YAPACANI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,22,0,22
YOCALLA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,5,0,5
YOTALA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,2,0,2
YUNCHARA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,0,1,1
ZUDAÑEZ,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-02-01,1,0,1
ACACIO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,1,3
ACHACACHI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,18,3,21
ACHOCALLA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,1,3
AIQUILE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,16,2,18
ALALAY,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,4,6
ALCALA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,0,2
ALTO BENI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,1,0,1
ANCORAIMES,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,10,5,15
ANDAMARCA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,0,2,2
ANTEQUERA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,3,1,4
ANZALDO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,1,3,4
APOLO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,6,3,9
ARAMPAMPA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,1,2,3
ARANI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,10,0,10
ARBIETO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,1,3
ARQUE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,11,0,11
ASCENCION DE GUARAYOS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,4,7,11
ATOCHA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,26,0,26
AUCAPATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,3,2,5
AYATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,5,1,6
AYO AYO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,13,5,18
AZURDUY,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,1,0,1
BATALLAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,8,1,9
BAURES,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,0,2
BELEN DE ANDAMARCA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,1,3
BELEN DE URMIRI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,1,0,1
BELLA FLOR,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,0,2,2
BERMEJO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,21,1,22
BETANZOS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,21,3,24
BOLIVAR,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,7,1,8
BOYUIBE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,1,2,3
BUENA VISTA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,8,0,8
CABEZAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,11,1,12
CAIROMA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,6,1,7
"CAIZA ""D""",consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,5,2,7
CAJUATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,0,2
CALAMARCA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,7,0,7
CAMARGO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,7,0,7
CAMIRI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,14,0,14
CAPINOTA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,14,0,14
CAQUIAVIRI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,0,1,1
CARACOLLO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,16,0,16
CARANAVI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,26,5,31
CARAPARI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,9,0,9
CARIPUYO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,4,5,9
CARMEN RIVERO TORREZ,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,4,0,4
CHALLAPATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,27,6,33
CHAQUI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,0,2
CHARAGUA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,24,1,25
CHAYANTA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,19,4,23
CHIMORE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,15,0,15
CHIPAYA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,1,0,1
CHOQUE COTA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,14,0,14
CHUMA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,4,0,4
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,0,2
CKOCHAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,6,2,8
CLIZA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,27,10,37
COBIJA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,70,0,70
COCAPATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,5,8,13
COCHABAMBA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,1275,11,1286
COLCAPIRHUA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,34,20,54
"COLCHA ""K""",consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,7,3,10
COLLANA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,0,2
COLOMI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,23,0,23
COLPA BELGICA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,4,0,4
COLQUECHACA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,15,2,17
COLQUENCHA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,6,1,7
COLQUIRI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,13,2,15
COMANCHE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,0,2,2
COMARAPA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,8,0,8
COMBAYA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,1,0,1
CONCEPCION,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,6,2,8
COPACABANA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,6,1,7
CORIPATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,15,0,15
CORO CORO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,5,3,8
COROICO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,17,0,17
CORQUE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,3,2,5
COTAGAITA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,10,1,11
COTOCA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,43,0,43
CUATRO CAÑADAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,8,0,8
CUEVO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,1,3
CULPINA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,6,11,17
CURAHUARA DE CARANGAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,4,0,4
CURVA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,1,0,1
DESAGUADERO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,9,0,9
EL ALTO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,794,48,842
EL CHORO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,1,2,3
EL PUENTE(STC),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,6,0,6
EL PUENTE(TJA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,5,1,6
EL TORNO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,40,0,40
ENTRE RIOS TRJ,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,14,0,14
ENTRE RIOS CBBA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,31,3,34
ESCOMA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,3,0,3
EUCALIPTUS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,3,0,3
EUREKA (SANTOS MERCADO),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,0,1,1
EXALTACION,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,4,0,4
FERNANDEZ ALONSO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,10,0,10
FILADELFIA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,6,3,9
GENERAL SAAVEDRA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,5,0,5
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,5,1,6
GUANAY,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,11,0,11
GUAQUI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,3,3,6
GUAYARAMERIN,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,28,1,29
GUTIERREZ,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,7,0,7
HUACARETA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,4,0,4
HUACHACALLA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,1,0,1
HUANUNI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,24,1,25
HUARACAJE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,0,2
HUARINA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,0,2
HUATAJATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,0,2
HUAYLLAMARCA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,1,0,1
HUMANATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,1,3
ICHOCA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,0,3,3
ICLA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,0,1,1
INCAHUASI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,1,0,1
INGAVI (HUMAITA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,0,2,2
INQUISIVI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,4,2,6
IRUPANA (VILLA DE LANZA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,17,0,17
IXIAMAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,14,0,14
JESUS DE MACHACA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,6,0,6
LA ASUNTA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,30,1,31
LA GUARDIA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,77,1,78
LA PAZ,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,945,0,945
LA RIVERA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,0,1,1
LAJA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,8,0,8
LAS CARRERAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,0,1,1
LICOMA PAMPA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,0,2
LLALLAGUA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,48,1,49
LLICA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,0,2
LORETO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,1,3
LURIBAY,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,6,0,6
MACHACAMARCA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,0,2
MACHARETI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,1,0,1
MAGDALENA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,6,0,6
MAIRANA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,4,0,4
MALLA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,0,1,1
MAPIRI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,5,0,5
MECAPACA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,5,1,6
MINEROS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,9,1,10
MIZQUE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,15,3,18
MOCOMOCO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,6,2,8
MOJOCOYA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,0,2
MONTEAGUDO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,9,1,10
MONTERO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,102,0,102
MOROCHATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,8,4,12
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,4,1,5
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,0,2
OCURI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,7,1,8
OKINAWA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,14,3,17
OMEREQUE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,1,0,1
ORURO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,352,0,352
PADCAYA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,8,2,10
PADILLA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,0,2
PAILON,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,27,2,29
PALCA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,9,1,10
PALOS BLANCOS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,15,0,15
PAMPA AULLAGAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,0,1,1
PAMPA GRANDE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,3,0,3
PAPEL PAMPA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,5,0,5
PATACAMAYA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,16,1,17
PAZÑA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,1,0,1
PELECHUCO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,0,2
POCOATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,7,7,14
POCONA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,12,0,12
POJO (CBBA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,10,0,10
POOPO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,3,0,3
PORCO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,13,0,13
POROMA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,5,4,9
PORONGO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,4,6,10
PORTACHUELO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,9,0,9
PORVENIR,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,0,2
POTOSI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,491,0,491
PRESTO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,1,1,2
PUCARA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,1,0,1
PUCARANI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,15,2,17
PUERTO ACOSTA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,7,2,9
PUERTO CARABUCO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,8,10
PUERTO GONZALO MORENO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,5,1,6
PUERTO QUIJARRO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,35,0,35
PUERTO RICO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,4,4,8
PUERTO SUAREZ,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,8,0,8
PUERTO VILLARROEL,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,84,0,84
PUNA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,7,0,7
PUNATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,14,0,14
QUILLACOLLO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,131,13,144
QUIME,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,4,0,4
RAVELO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,7,6,13
REYES,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,12,4,16
RIBERALTA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,134,7,141
ROBORE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,37,0,37
RURRENABAQUE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,11,0,11
SABAYA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,5,1,6
SACABA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,204,0,204
SACABAMBA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,4,0,4
SACACA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,10,5,15
SAIPINA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,5,0,5
SALINAS DE GARCI MENDOZA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,10,5,15
SAMAIPATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,2,0,2
SAN ANDRES,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,10,0,10
SAN ANDRES DE MACHACA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,0,1,1
SAN ANTONIO DE LOMERIO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,0,1,1
SAN BENITO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,6,1,7
SAN BORJA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,25,16,41
SAN BUENA VENTURA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,3,0,3
SAN CARLOS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,7,0,7
SAN IGNACIO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,27,6,33
SAN IGNACIO DE VELASCO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,47,7,54
SAN JAVIER(BNI),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,3,1,4
SAN JAVIER(STC),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,18,0,18
SAN JOAQUIN,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,3,0,3
SAN JOSE DE CHIQUITOS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-03-01,32,0,32
