,group,variable,month,MENORES DE 5 AÑOS NUEVA,MENORES DE 5 AÑOS NUEVA,MENORES DE 5 AÑOS REPETIDAS,MENORES DE 5 AÑOS REPETIDAS,TOTALES,TOTALES,TOTALES
SAN PEDRO DE CURAHUARA,consulta externa,menores de 5 anos,2008-03-01,51,33,0,2,51,35,86
SAN PEDRO DE QUEMES,consulta externa,menores de 5 anos,2008-03-01,8,13,0,0,8,13,21
SAN PEDRO DE TIQUINA,consulta externa,menores de 5 anos,2008-03-01,26,39,0,0,26,39,65
SAN PEDRO(PND),consulta externa,menores de 5 anos,2008-03-01,32,34,6,2,38,36,74
SAN RAFAEL,consulta externa,menores de 5 anos,2008-03-01,252,194,11,4,263,198,461
SAN RAMON,consulta externa,menores de 5 anos,2008-03-01,176,188,5,5,181,193,374
SAN RAMON,consulta externa,menores de 5 anos,2008-03-01,183,180,0,0,183,180,363
SANTA ANA,consulta externa,menores de 5 anos,2008-03-01,251,259,69,91,320,350,670
SANTA CRUZ DE LA SIERRA,consulta externa,menores de 5 anos,2008-03-01,22058,20884,3265,3154,25323,24038,49361
SANTA ROSA,consulta externa,menores de 5 anos,2008-03-01,213,203,13,3,226,206,432
SANTA ROSA DEL SARA,consulta externa,menores de 5 anos,2008-03-01,472,507,21,14,493,521,1014
SANTIAGO DE CALLAPA,consulta externa,menores de 5 anos,2008-03-01,61,49,2,1,63,50,113
SANTIAGO DE HUARI,consulta externa,menores de 5 anos,2008-03-01,148,134,16,11,164,145,309
SANTIAGO DE MACHACA,consulta externa,menores de 5 anos,2008-03-01,22,16,0,2,22,18,40
SANTIVAÑES,consulta externa,menores de 5 anos,2008-03-01,54,69,3,6,57,75,132
SANTUARIO DE QUILLACAS,consulta externa,menores de 5 anos,2008-03-01,48,42,3,0,51,42,93
SAPAHAQUI,consulta externa,menores de 5 anos,2008-03-01,72,78,1,3,73,81,154
SENA,consulta externa,menores de 5 anos,2008-03-01,65,65,2,0,67,65,132
SICA SICA (VILLA AROMA),consulta externa,menores de 5 anos,2008-03-01,207,128,24,4,231,132,363
SICAYA,consulta externa,menores de 5 anos,2008-03-01,37,29,0,0,37,29,66
SIPE SIPE,consulta externa,menores de 5 anos,2008-03-01,363,320,77,76,440,396,836
SOPACHUY,consulta externa,menores de 5 anos,2008-03-01,175,155,4,3,179,158,337
SORACACHI,consulta externa,menores de 5 anos,2008-03-01,87,76,1,0,88,76,164
SORATA,consulta externa,menores de 5 anos,2008-03-01,174,139,6,5,180,144,324
SUCRE,consulta externa,menores de 5 anos,2008-03-01,6405,5632,964,892,7369,6524,13893
TACACHI,consulta externa,menores de 5 anos,2008-03-01,16,12,4,2,20,14,34
TACACOMA,consulta externa,menores de 5 anos,2008-03-01,100,77,2,0,102,77,179
TACOBAMBA,consulta externa,menores de 5 anos,2008-03-01,127,125,1,1,128,126,254
TACOPAYA,consulta externa,menores de 5 anos,2008-03-01,57,73,0,1,57,74,131
TAHUA,consulta externa,menores de 5 anos,2008-03-01,27,24,0,0,27,24,51
TAPACARI,consulta externa,menores de 5 anos,2008-03-01,609,502,43,17,652,519,1171
TARABUCO,consulta externa,menores de 5 anos,2008-03-01,731,758,111,128,842,886,1728
TARACO,consulta externa,menores de 5 anos,2008-03-01,30,35,0,0,30,35,65
TARATA,consulta externa,menores de 5 anos,2008-03-01,52,46,76,64,128,110,238
TARIJA,consulta externa,menores de 5 anos,2008-03-01,4098,3427,1067,993,5165,4420,9585
TARVITA,consulta externa,menores de 5 anos,2008-03-01,659,628,29,32,688,660,1348
TEOPONTE,consulta externa,menores de 5 anos,2008-03-01,177,177,29,24,206,201,407
TIAWANACU,consulta externa,menores de 5 anos,2008-03-01,54,66,1,3,55,69,124
TINGUIPAYA,consulta externa,menores de 5 anos,2008-03-01,324,255,7,1,331,256,587
TIPUANI,consulta externa,menores de 5 anos,2008-03-01,196,132,1,0,197,132,329
TIQUIPAYA,consulta externa,menores de 5 anos,2008-03-01,701,639,272,277,973,916,1889
TIRAQUE (CBBA),consulta externa,menores de 5 anos,2008-03-01,844,771,108,88,952,859,1811
TITO YUPANQUI (PARQUIPUJIO),consulta externa,menores de 5 anos,2008-03-01,22,28,2,0,24,28,52
TOCO,consulta externa,menores de 5 anos,2008-03-01,70,61,6,9,76,70,146
TODOS SANTOS,consulta externa,menores de 5 anos,2008-03-01,10,7,0,0,10,7,17
TOLATA,consulta externa,menores de 5 anos,2008-03-01,90,80,12,9,102,89,191
TOLEDO,consulta externa,menores de 5 anos,2008-03-01,105,111,3,2,108,113,221
TOMAVE,consulta externa,menores de 5 anos,2008-03-01,178,213,5,6,183,219,402
TOMINA,consulta externa,menores de 5 anos,2008-03-01,302,389,2,7,304,396,700
TORO TORO,consulta externa,menores de 5 anos,2008-03-01,242,245,3,4,245,249,494
TOTORA(CBBA),consulta externa,menores de 5 anos,2008-03-01,131,106,242,151,373,257,630
TOTORA(ORR),consulta externa,menores de 5 anos,2008-03-01,67,59,3,2,70,61,131
TRIGAL,consulta externa,menores de 5 anos,2008-03-01,32,36,1,2,33,38,71
TRINIDAD,consulta externa,menores de 5 anos,2008-03-01,2802,2663,304,289,3106,2952,6058
TUPIZA,consulta externa,menores de 5 anos,2008-03-01,1000,906,50,64,1050,970,2020
TURCO,consulta externa,menores de 5 anos,2008-03-01,91,62,0,1,91,63,154
UMALA,consulta externa,menores de 5 anos,2008-03-01,48,54,0,0,48,54,102
UNCIA,consulta externa,menores de 5 anos,2008-03-01,707,650,27,36,734,686,1420
URIONDO (A. CONCEPCION),consulta externa,menores de 5 anos,2008-03-01,449,426,14,13,463,439,902
URUBICHA,consulta externa,menores de 5 anos,2008-03-01,141,177,17,8,158,185,343
UYUNI,consulta externa,menores de 5 anos,2008-03-01,331,260,8,3,339,263,602
VACAS,consulta externa,menores de 5 anos,2008-03-01,134,91,10,12,144,103,247
VALLEGRANDE,consulta externa,menores de 5 anos,2008-03-01,156,140,19,14,175,154,329
VIACHA,consulta externa,menores de 5 anos,2008-03-01,515,526,67,72,582,598,1180
VILA VILA,consulta externa,menores de 5 anos,2008-03-01,71,74,4,1,75,75,150
VILLA MONTES,consulta externa,menores de 5 anos,2008-03-01,670,589,22,18,692,607,1299
VILLA NUEVA (LOMA ALTA),consulta externa,menores de 5 anos,2008-03-01,63,68,12,12,75,80,155
VILLA RIVERO,consulta externa,menores de 5 anos,2008-03-01,49,41,6,3,55,44,99
VILLA SERRANO,consulta externa,menores de 5 anos,2008-03-01,357,364,1,2,358,366,724
VILLA TUNARI,consulta externa,menores de 5 anos,2008-03-01,2949,1902,138,114,3087,2016,5103
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,menores de 5 anos,2008-03-01,222,226,13,8,235,234,469
VILLAZON,consulta externa,menores de 5 anos,2008-03-01,829,748,45,39,874,787,1661
VINTO,consulta externa,menores de 5 anos,2008-03-01,392,355,52,32,444,387,831
VITICHI,consulta externa,menores de 5 anos,2008-03-01,156,162,6,4,162,166,328
WALDO BALLIVIAN,consulta externa,menores de 5 anos,2008-03-01,31,29,0,0,31,29,60
WARNES,consulta externa,menores de 5 anos,2008-03-01,1576,1609,131,86,1707,1695,3402
YACO,consulta externa,menores de 5 anos,2008-03-01,73,73,3,0,76,73,149
YACUIBA,consulta externa,menores de 5 anos,2008-03-01,1944,1642,120,117,2064,1759,3823
YAMPARAEZ,consulta externa,menores de 5 anos,2008-03-01,125,112,17,11,142,123,265
YANACACHI,consulta externa,menores de 5 anos,2008-03-01,80,81,11,1,91,82,173
YAPACANI,consulta externa,menores de 5 anos,2008-03-01,688,627,19,17,707,644,1351
YOCALLA,consulta externa,menores de 5 anos,2008-03-01,97,92,1,1,98,93,191
YOTALA,consulta externa,menores de 5 anos,2008-03-01,121,114,16,29,137,143,280
YUNCHARA,consulta externa,menores de 5 anos,2008-03-01,109,93,20,7,129,100,229
ZUDAÑEZ,consulta externa,menores de 5 anos,2008-03-01,283,252,7,5,290,257,547
ACACIO,consulta externa,menores de 5 anos,2008-04-01,158,119,4,1,162,120,282
ACHACACHI,consulta externa,menores de 5 anos,2008-04-01,341,301,9,6,350,307,657
ACHOCALLA,consulta externa,menores de 5 anos,2008-04-01,86,85,1,1,87,86,173
AIQUILE,consulta externa,menores de 5 anos,2008-04-01,430,447,30,41,460,488,948
ALALAY,consulta externa,menores de 5 anos,2008-04-01,53,42,0,0,53,42,95
ALCALA,consulta externa,menores de 5 anos,2008-04-01,183,188,0,2,183,190,373
ANCORAIMES,consulta externa,menores de 5 anos,2008-04-01,210,187,11,0,221,187,408
ANDAMARCA,consulta externa,menores de 5 anos,2008-04-01,93,88,6,1,99,89,188
ANTEQUERA,consulta externa,menores de 5 anos,2008-04-01,6,12,0,0,6,12,18
ANZALDO,consulta externa,menores de 5 anos,2008-04-01,99,89,22,18,121,107,228
APOLO,consulta externa,menores de 5 anos,2008-04-01,386,340,8,21,394,361,755
ARAMPAMPA,consulta externa,menores de 5 anos,2008-04-01,153,124,0,1,153,125,278
ARANI,consulta externa,menores de 5 anos,2008-04-01,111,107,0,1,111,108,219
ARBIETO,consulta externa,menores de 5 anos,2008-04-01,159,168,7,10,166,178,344
ARQUE,consulta externa,menores de 5 anos,2008-04-01,196,188,8,4,204,192,396
ASCENCION DE GUARAYOS,consulta externa,menores de 5 anos,2008-04-01,387,394,36,47,423,441,864
ATOCHA,consulta externa,menores de 5 anos,2008-04-01,295,253,42,36,337,289,626
AUCAPATA,consulta externa,menores de 5 anos,2008-04-01,106,64,9,2,115,66,181
AYATA,consulta externa,menores de 5 anos,2008-04-01,186,133,4,6,190,139,329
AYO AYO,consulta externa,menores de 5 anos,2008-04-01,65,56,9,1,74,57,131
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,menores de 5 anos,2008-04-01,553,568,24,14,577,582,1159
AZURDUY,consulta externa,menores de 5 anos,2008-04-01,479,532,4,4,483,536,1019
BATALLAS,consulta externa,menores de 5 anos,2008-04-01,115,97,2,3,117,100,217
BAURES,consulta externa,menores de 5 anos,2008-04-01,122,113,6,2,128,115,243
BELEN DE ANDAMARCA,consulta externa,menores de 5 anos,2008-04-01,8,14,0,1,8,15,23
BELEN DE URMIRI,consulta externa,menores de 5 anos,2008-04-01,44,24,1,0,45,24,69
BELLA FLOR,consulta externa,menores de 5 anos,2008-04-01,52,45,4,3,56,48,104
BERMEJO,consulta externa,menores de 5 anos,2008-04-01,804,731,86,69,890,800,1690
BETANZOS,consulta externa,menores de 5 anos,2008-04-01,774,608,31,26,805,634,1439
BOLIVAR,consulta externa,menores de 5 anos,2008-04-01,125,91,2,1,127,92,219
BOLPEBRA,consulta externa,menores de 5 anos,2008-04-01,44,33,6,10,50,43,93
BOYUIBE,consulta externa,menores de 5 anos,2008-04-01,80,82,11,10,91,92,183
BUENA VISTA,consulta externa,menores de 5 anos,2008-04-01,286,253,34,32,320,285,605
CABEZAS,consulta externa,menores de 5 anos,2008-04-01,653,597,11,8,664,605,1269
CAIROMA,consulta externa,menores de 5 anos,2008-04-01,174,128,1,1,175,129,304
"CAIZA ""D""",consulta externa,menores de 5 anos,2008-04-01,193,137,7,2,200,139,339
CAJUATA,consulta externa,menores de 5 anos,2008-04-01,227,190,11,4,238,194,432
CALACOTO,consulta externa,menores de 5 anos,2008-04-01,71,108,3,15,74,123,197
CALAMARCA,consulta externa,menores de 5 anos,2008-04-01,158,133,5,10,163,143,306
CAMARGO,consulta externa,menores de 5 anos,2008-04-01,348,406,3,3,351,409,760
CAMATAQUI (C. VILLA ABECIA),consulta externa,menores de 5 anos,2008-04-01,119,111,6,7,125,118,243
CAMIRI,consulta externa,menores de 5 anos,2008-04-01,1188,1151,55,60,1243,1211,2454
CAPINOTA,consulta externa,menores de 5 anos,2008-04-01,424,410,122,110,546,520,1066
CAQUIAVIRI,consulta externa,menores de 5 anos,2008-04-01,99,78,1,1,100,79,179
CARACOLLO,consulta externa,menores de 5 anos,2008-04-01,206,196,3,5,209,201,410
CARANAVI,consulta externa,menores de 5 anos,2008-04-01,1382,1261,41,34,1423,1295,2718
CARANGAS,consulta externa,menores de 5 anos,2008-04-01,2,4,0,0,2,4,6
CARAPARI,consulta externa,menores de 5 anos,2008-04-01,315,285,3,3,318,288,606
CARIPUYO,consulta externa,menores de 5 anos,2008-04-01,167,152,0,1,167,153,320
CARMEN RIVERO TORREZ,consulta externa,menores de 5 anos,2008-04-01,67,64,5,7,72,71,143
CATACORA,consulta externa,menores de 5 anos,2008-04-01,26,18,0,0,26,18,44
CHACARILLA,consulta externa,menores de 5 anos,2008-04-01,42,41,1,0,43,41,84
CHALLAPATA,consulta externa,menores de 5 anos,2008-04-01,381,328,22,25,403,353,756
CHAQUI,consulta externa,menores de 5 anos,2008-04-01,123,101,1,3,124,104,228
CHARAGUA,consulta externa,menores de 5 anos,2008-04-01,1000,918,59,90,1059,1008,2067
CHARAÑA,consulta externa,menores de 5 anos,2008-04-01,27,36,1,3,28,39,67
CHAYANTA,consulta externa,menores de 5 anos,2008-04-01,365,343,8,5,373,348,721
CHIMORE,consulta externa,menores de 5 anos,2008-04-01,712,738,32,29,744,767,1511
CHIPAYA,consulta externa,menores de 5 anos,2008-04-01,18,25,1,0,19,25,44
CHOQUE COTA,consulta externa,menores de 5 anos,2008-04-01,26,23,1,1,27,24,51
CHULUMANI (V. DE LA LIBERTAD),consulta externa,menores de 5 anos,2008-04-01,254,229,47,32,301,261,562
CHUMA,consulta externa,menores de 5 anos,2008-04-01,135,135,0,3,135,138,273
CLIZA,consulta externa,menores de 5 anos,2008-04-01,238,221,78,59,316,280,596
COBIJA,consulta externa,menores de 5 anos,2008-04-01,1157,1029,192,186,1349,1215,2564
COCHABAMBA,consulta externa,menores de 5 anos,2008-04-01,11320,10309,4839,4785,16159,15094,31253
COIPASA,consulta externa,menores de 5 anos,2008-04-01,12,20,2,2,14,22,36
COLCAPIRHUA,consulta externa,menores de 5 anos,2008-04-01,653,591,222,196,875,787,1662
"COLCHA ""K""",consulta externa,menores de 5 anos,2008-04-01,167,139,3,5,170,144,314
COLLANA,consulta externa,menores de 5 anos,2008-04-01,27,17,1,2,28,19,47
COLOMI,consulta externa,menores de 5 anos,2008-04-01,248,263,21,15,269,278,547
COLPA BELGICA,consulta externa,menores de 5 anos,2008-04-01,163,160,66,56,229,216,445
COLQUECHACA,consulta externa,menores de 5 anos,2008-04-01,850,764,1,0,851,764,1615
COLQUENCHA,consulta externa,menores de 5 anos,2008-04-01,108,111,2,4,110,115,225
COLQUIRI,consulta externa,menores de 5 anos,2008-04-01,301,314,36,50,337,364,701
COMANCHE,consulta externa,menores de 5 anos,2008-04-01,23,27,1,1,24,28,52
COMARAPA,consulta externa,menores de 5 anos,2008-04-01,481,472,37,43,518,515,1033
COMBAYA,consulta externa,menores de 5 anos,2008-04-01,33,28,1,1,34,29,63
CONCEPCION,consulta externa,menores de 5 anos,2008-04-01,169,172,3,3,172,175,347
COPACABANA,consulta externa,menores de 5 anos,2008-04-01,113,117,0,2,113,119,232
CORIPATA,consulta externa,menores de 5 anos,2008-04-01,283,351,16,19,299,370,669
CORO CORO,consulta externa,menores de 5 anos,2008-04-01,69,84,1,1,70,85,155
COROICO,consulta externa,menores de 5 anos,2008-04-01,257,221,34,33,291,254,545
CORQUE,consulta externa,menores de 5 anos,2008-04-01,105,110,11,7,116,117,233
COTAGAITA,consulta externa,menores de 5 anos,2008-04-01,454,457,12,9,466,466,932
COTOCA,consulta externa,menores de 5 anos,2008-04-01,964,916,60,80,1024,996,2020
CUATRO CAÑADAS,consulta externa,menores de 5 anos,2008-04-01,399,402,14,12,413,414,827
CUCHUMUELA (V. G. VILLARROEL),consulta externa,menores de 5 anos,2008-04-01,37,20,0,0,37,20,57
CUEVO,consulta externa,menores de 5 anos,2008-04-01,77,92,2,4,79,96,175
CULPINA,consulta externa,menores de 5 anos,2008-04-01,483,510,4,5,487,515,1002
CURAHUARA DE CARANGAS,consulta externa,menores de 5 anos,2008-04-01,104,76,4,4,108,80,188
CURVA,consulta externa,menores de 5 anos,2008-04-01,52,48,0,0,52,48,100
DESAGUADERO,consulta externa,menores de 5 anos,2008-04-01,31,35,1,0,32,35,67
EL ALTO,consulta externa,menores de 5 anos,2008-04-01,12109,11069,2216,2223,14325,13292,27617
EL CHORO,consulta externa,menores de 5 anos,2008-04-01,107,71,2,3,109,74,183
EL PUENTE(STC),consulta externa,menores de 5 anos,2008-04-01,361,357,17,18,378,375,753
EL PUENTE(TJA),consulta externa,menores de 5 anos,2008-04-01,311,283,1,2,312,285,597
EL TORNO,consulta externa,menores de 5 anos,2008-04-01,1148,988,28,18,1176,1006,2182
EL VILLAR,consulta externa,menores de 5 anos,2008-04-01,84,89,2,0,86,89,175
ENTRE RIOS,consulta externa,menores de 5 anos,2008-04-01,575,520,52,51,627,571,1198
ENTRE RIOS,consulta externa,menores de 5 anos,2008-04-01,428,413,6,1,434,414,848
ESCARA,consulta externa,menores de 5 anos,2008-04-01,1,1,0,0,1,1,2
ESMERALDA,consulta externa,menores de 5 anos,2008-04-01,1,2,0,0,1,2,3
EUCALIPTUS,consulta externa,menores de 5 anos,2008-04-01,143,144,8,8,151,152,303
EUREKA (SANTOS MERCADO),consulta externa,menores de 5 anos,2008-04-01,33,38,0,0,33,38,71
EXALTACION,consulta externa,menores de 5 anos,2008-04-01,135,59,9,6,144,65,209
FERNANDEZ ALONSO,consulta externa,menores de 5 anos,2008-04-01,408,336,12,4,420,340,760
FILADELFIA,consulta externa,menores de 5 anos,2008-04-01,170,135,5,10,175,145,320
GENERAL SAAVEDRA,consulta externa,menores de 5 anos,2008-04-01,541,528,6,7,547,535,1082
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,menores de 5 anos,2008-04-01,120,98,11,25,131,123,254
GUANAY,consulta externa,menores de 5 anos,2008-04-01,249,264,8,9,257,273,530
GUAQUI,consulta externa,menores de 5 anos,2008-04-01,60,46,10,7,70,53,123
GUAYARAMERIN,consulta externa,menores de 5 anos,2008-04-01,1406,1326,64,42,1470,1368,2838
GUTIERREZ,consulta externa,menores de 5 anos,2008-04-01,564,500,14,12,578,512,1090
HUACARETA,consulta externa,menores de 5 anos,2008-04-01,258,273,21,15,279,288,567
HUACAYA (VILLA DE HUACAYA),consulta externa,menores de 5 anos,2008-04-01,80,84,0,3,80,87,167
HUACHACALLA,consulta externa,menores de 5 anos,2008-04-01,21,16,4,1,25,17,42
HUANUNI,consulta externa,menores de 5 anos,2008-04-01,387,324,149,163,536,487,1023
HUARACAJE,consulta externa,menores de 5 anos,2008-04-01,137,138,9,2,146,140,286
HUAYLLAMARCA,consulta externa,menores de 5 anos,2008-04-01,45,40,0,3,45,43,88
ICHOCA,consulta externa,menores de 5 anos,2008-04-01,37,33,14,16,51,49,100
ICLA,consulta externa,menores de 5 anos,2008-04-01,465,443,2,0,467,443,910
INCAHUASI,consulta externa,menores de 5 anos,2008-04-01,670,726,3,3,673,729,1402
INGAVI (HUMAITA),consulta externa,menores de 5 anos,2008-04-01,54,42,6,5,60,47,107
INQUISIVI,consulta externa,menores de 5 anos,2008-04-01,151,126,0,1,151,127,278
IRUPANA (VILLA DE LANZA),consulta externa,menores de 5 anos,2008-04-01,291,354,9,1,300,355,655
IXIAMAS,consulta externa,menores de 5 anos,2008-04-01,325,294,16,9,341,303,644
JESUS DE MACHACA,consulta externa,menores de 5 anos,2008-04-01,191,189,3,2,194,191,385
LA ASUNTA,consulta externa,menores de 5 anos,2008-04-01,662,538,4,6,666,544,1210
LA GUARDIA,consulta externa,menores de 5 anos,2008-04-01,1619,1472,88,85,1707,1557,3264
LA PAZ,consulta externa,menores de 5 anos,2008-04-01,15438,14430,4091,4118,19529,18548,38077
LA RIVERA,consulta externa,menores de 5 anos,2008-04-01,4,5,0,0,4,5,9
LAGUNILLAS,consulta externa,menores de 5 anos,2008-04-01,201,199,12,4,213,203,416
LAJA,consulta externa,menores de 5 anos,2008-04-01,136,120,14,3,150,123,273
LAS CARRERAS,consulta externa,menores de 5 anos,2008-04-01,58,52,1,4,59,56,115
LICOMA PAMPA,consulta externa,menores de 5 anos,2008-04-01,43,50,4,7,47,57,104
LLALLAGUA,consulta externa,menores de 5 anos,2008-04-01,903,830,30,19,933,849,1782
LLICA,consulta externa,menores de 5 anos,2008-04-01,63,48,2,0,65,48,113
LORETO,consulta externa,menores de 5 anos,2008-04-01,72,93,9,9,81,102,183
LURIBAY,consulta externa,menores de 5 anos,2008-04-01,127,110,1,2,128,112,240
MACHACAMARCA,consulta externa,menores de 5 anos,2008-04-01,48,74,1,2,49,76,125
MACHARETI,consulta externa,menores de 5 anos,2008-04-01,350,280,6,6,356,286,642
MAGDALENA,consulta externa,menores de 5 anos,2008-04-01,196,198,15,22,211,220,431
MAIRANA,consulta externa,menores de 5 anos,2008-04-01,173,151,8,3,181,154,335
MALLA,consulta externa,menores de 5 anos,2008-04-01,44,27,0,1,44,28,72
MAPIRI,consulta externa,menores de 5 anos,2008-04-01,295,223,14,6,309,229,538
MECAPACA,consulta externa,menores de 5 anos,2008-04-01,143,118,9,16,152,134,286
MINEROS,consulta externa,menores de 5 anos,2008-04-01,459,419,8,7,467,426,893
MIZQUE,consulta externa,menores de 5 anos,2008-04-01,358,362,34,29,392,391,783
MOCOMOCO,consulta externa,menores de 5 anos,2008-04-01,116,100,3,2,119,102,221
MOJINETE,consulta externa,menores de 5 anos,2008-04-01,18,21,0,0,18,21,39
MOJOCOYA,consulta externa,menores de 5 anos,2008-04-01,176,169,9,13,185,182,367
MONTEAGUDO,consulta externa,menores de 5 anos,2008-04-01,714,586,41,53,755,639,1394
MONTERO,consulta externa,menores de 5 anos,2008-04-01,2810,2492,318,280,3128,2772,5900
MORO MORO,consulta externa,menores de 5 anos,2008-04-01,37,34,0,0,37,34,71
MOROCHATA,consulta externa,menores de 5 anos,2008-04-01,327,446,119,129,446,575,1021
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,menores de 5 anos,2008-04-01,80,60,21,11,101,71,172
NAZACARA DE PACAJES,consulta externa,menores de 5 anos,2008-04-01,5,3,0,0,5,3,8
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,menores de 5 anos,2008-04-01,31,39,3,4,34,43,77
OCURI,consulta externa,menores de 5 anos,2008-04-01,473,415,5,6,478,421,899
OKINAWA,consulta externa,menores de 5 anos,2008-04-01,348,336,7,16,355,352,707
OMEREQUE,consulta externa,menores de 5 anos,2008-04-01,133,104,4,3,137,107,244
ORURO,consulta externa,menores de 5 anos,2008-04-01,5485,4674,719,675,6204,5349,11553
PADCAYA,consulta externa,menores de 5 anos,2008-04-01,423,391,6,10,429,401,830
PADILLA,consulta externa,menores de 5 anos,2008-04-01,380,418,42,3,422,421,843
PAILON,consulta externa,menores de 5 anos,2008-04-01,554,490,28,27,582,517,1099
PALCA,consulta externa,menores de 5 anos,2008-04-01,116,99,2,3,118,102,220
PALOS BLANCOS,consulta externa,menores de 5 anos,2008-04-01,749,668,55,35,804,703,1507
PAMPA AULLAGAS,consulta externa,menores de 5 anos,2008-04-01,39,19,3,1,42,20,62
PAMPA GRANDE,consulta externa,menores de 5 anos,2008-04-01,135,117,3,2,138,119,257
PAPEL PAMPA,consulta externa,menores de 5 anos,2008-04-01,69,66,1,2,70,68,138
PASORAPA,consulta externa,menores de 5 anos,2008-04-01,87,62,13,16,100,78,178
PATACAMAYA,consulta externa,menores de 5 anos,2008-04-01,284,246,2,3,286,249,535
PAZÑA,consulta externa,menores de 5 anos,2008-04-01,129,84,2,1,131,85,216
PELECHUCO,consulta externa,menores de 5 anos,2008-04-01,96,108,2,0,98,108,206
POCOATA,consulta externa,menores de 5 anos,2008-04-01,473,465,13,8,486,473,959
POCONA,consulta externa,menores de 5 anos,2008-04-01,226,237,13,8,239,245,484
POJO (CBBA),consulta externa,menores de 5 anos,2008-04-01,180,133,5,12,185,145,330
POOPO,consulta externa,menores de 5 anos,2008-04-01,96,101,7,10,103,111,214
PORCO,consulta externa,menores de 5 anos,2008-04-01,157,162,3,0,160,162,322
POROMA,consulta externa,menores de 5 anos,2008-04-01,379,381,10,4,389,385,774
PORONGO,consulta externa,menores de 5 anos,2008-04-01,179,188,11,33,190,221,411
PORTACHUELO,consulta externa,menores de 5 anos,2008-04-01,612,578,36,42,648,620,1268
PORVENIR,consulta externa,menores de 5 anos,2008-04-01,186,168,2,4,188,172,360
POSTRER VALLE,consulta externa,menores de 5 anos,2008-04-01,30,26,2,0,32,26,58
POTOSI,consulta externa,menores de 5 anos,2008-04-01,2902,2799,573,465,3475,3264,6739
PRESTO,consulta externa,menores de 5 anos,2008-04-01,367,287,9,1,376,288,664
PUCARA,consulta externa,menores de 5 anos,2008-04-01,47,25,3,2,50,27,77
PUCARANI,consulta externa,menores de 5 anos,2008-04-01,172,143,11,16,183,159,342
PUERTO ACOSTA,consulta externa,menores de 5 anos,2008-04-01,204,181,0,0,204,181,385
PUERTO CARABUCO,consulta externa,menores de 5 anos,2008-04-01,152,142,0,0,152,142,294
PUERTO GONZALO MORENO,consulta externa,menores de 5 anos,2008-04-01,206,206,9,7,215,213,428
PUERTO PEREZ,consulta externa,menores de 5 anos,2008-04-01,58,46,1,0,59,46,105
PUERTO QUIJARRO,consulta externa,menores de 5 anos,2008-04-01,315,304,16,14,331,318,649
PUERTO RICO,consulta externa,menores de 5 anos,2008-04-01,246,250,14,18,260,268,528
PUERTO SILES,consulta externa,menores de 5 anos,2008-04-01,34,33,20,10,54,43,97
PUERTO SUAREZ,consulta externa,menores de 5 anos,2008-04-01,350,343,32,43,382,386,768
PUERTO VILLARROEL,consulta externa,menores de 5 anos,2008-04-01,1301,1243,64,59,1365,1302,2667
PUNA,consulta externa,menores de 5 anos,2008-04-01,677,560,19,9,696,569,1265
PUNATA,consulta externa,menores de 5 anos,2008-04-01,465,446,102,95,567,541,1108
QUIABAYA,consulta externa,menores de 5 anos,2008-04-01,52,57,0,2,52,59,111
QUILLACOLLO,consulta externa,menores de 5 anos,2008-04-01,1281,1168,371,341,1652,1509,3161
QUIME,consulta externa,menores de 5 anos,2008-04-01,106,112,3,4,109,116,225
QUIRUSILLAS,consulta externa,menores de 5 anos,2008-04-01,52,43,4,4,56,47,103
RAVELO,consulta externa,menores de 5 anos,2008-04-01,517,455,4,2,521,457,978
REYES,consulta externa,menores de 5 anos,2008-04-01,265,230,22,10,287,240,527
RIBERALTA,consulta externa,menores de 5 anos,2008-04-01,2783,2315,474,430,3257,2745,6002
ROBORE,consulta externa,menores de 5 anos,2008-04-01,406,387,7,9,413,396,809
RURRENABAQUE,consulta externa,menores de 5 anos,2008-04-01,436,437,65,80,501,517,1018
SABAYA,consulta externa,menores de 5 anos,2008-04-01,66,63,5,2,71,65,136
SACABA,consulta externa,menores de 5 anos,2008-04-01,1334,1155,334,315,1668,1470,3138
SACABAMBA,consulta externa,menores de 5 anos,2008-04-01,42,35,26,16,68,51,119
SACACA,consulta externa,menores de 5 anos,2008-04-01,464,460,0,3,464,463,927
SAIPINA,consulta externa,menores de 5 anos,2008-04-01,128,114,19,4,147,118,265
SALINAS DE GARCI MENDOZA,consulta externa,menores de 5 anos,2008-04-01,284,254,6,5,290,259,549
SAMAIPATA,consulta externa,menores de 5 anos,2008-04-01,164,111,10,2,174,113,287
SAN AGUSTIN,consulta externa,menores de 5 anos,2008-04-01,20,30,0,1,20,31,51
SAN ANDRES,consulta externa,menores de 5 anos,2008-04-01,932,372,12,15,944,387,1331
SAN ANDRES DE MACHACA,consulta externa,menores de 5 anos,2008-04-01,55,72,0,0,55,72,127
SAN ANTONIO DE ESMORUCO,consulta externa,menores de 5 anos,2008-04-01,34,26,0,0,34,26,60
SAN ANTONIO DE LOMERIO,consulta externa,menores de 5 anos,2008-04-01,170,178,3,2,173,180,353
