,group,variable,month,PERSONAS DE 10 A 20 AÑOS NUEVA,PERSONAS DE 10 A 20 AÑOS NUEVA,PERSONAS DE 10 A 20 AÑOS REPETIDAS,PERSONAS DE 10 A 20 AÑOS REPETIDAS,TOTALES,TOTALES,TOTALES
TIRAQUE (CBBA),consulta externa,personas de 10 a 20 anos,2008-03-01,177,195,15,71,192,266,458
TITO YUPANQUI (PARQUIPUJIO),consulta externa,personas de 10 a 20 anos,2008-03-01,6,16,0,2,6,18,24
TOCO,consulta externa,personas de 10 a 20 anos,2008-03-01,10,17,0,0,10,17,27
TODOS SANTOS,consulta externa,personas de 10 a 20 anos,2008-03-01,5,6,0,0,5,6,11
TOLATA,consulta externa,personas de 10 a 20 anos,2008-03-01,14,37,2,12,16,49,65
TOLEDO,consulta externa,personas de 10 a 20 anos,2008-03-01,22,57,1,3,23,60,83
TOMAVE,consulta externa,personas de 10 a 20 anos,2008-03-01,70,93,2,6,72,99,171
TOMINA,consulta externa,personas de 10 a 20 anos,2008-03-01,43,79,1,3,44,82,126
TORO TORO,consulta externa,personas de 10 a 20 anos,2008-03-01,49,69,1,1,50,70,120
TOTORA(CBBA),consulta externa,personas de 10 a 20 anos,2008-03-01,23,28,1,0,24,28,52
TOTORA(ORR),consulta externa,personas de 10 a 20 anos,2008-03-01,27,35,0,0,27,35,62
TRIGAL,consulta externa,personas de 10 a 20 anos,2008-03-01,11,18,0,0,11,18,29
TRINIDAD,consulta externa,personas de 10 a 20 anos,2008-03-01,580,716,42,101,622,817,1439
TUPIZA,consulta externa,personas de 10 a 20 anos,2008-03-01,407,411,133,57,540,468,1008
TURCO,consulta externa,personas de 10 a 20 anos,2008-03-01,16,14,1,0,17,14,31
UMALA,consulta externa,personas de 10 a 20 anos,2008-03-01,12,12,0,0,12,12,24
UNCIA,consulta externa,personas de 10 a 20 anos,2008-03-01,375,128,0,1,375,129,504
URIONDO (A. CONCEPCION),consulta externa,personas de 10 a 20 anos,2008-03-01,210,422,1,10,211,432,643
UYUNI,consulta externa,personas de 10 a 20 anos,2008-03-01,130,159,7,8,137,167,304
VACAS,consulta externa,personas de 10 a 20 anos,2008-03-01,29,43,2,4,31,47,78
VALLEGRANDE,consulta externa,personas de 10 a 20 anos,2008-03-01,85,213,60,82,145,295,440
VIACHA,consulta externa,personas de 10 a 20 anos,2008-03-01,152,263,20,53,172,316,488
VILA VILA,consulta externa,personas de 10 a 20 anos,2008-03-01,12,14,3,0,15,14,29
VILLA MONTES,consulta externa,personas de 10 a 20 anos,2008-03-01,339,457,108,39,447,496,943
VILLA NUEVA (LOMA ALTA),consulta externa,personas de 10 a 20 anos,2008-03-01,14,18,1,1,15,19,34
VILLA RIVERO,consulta externa,personas de 10 a 20 anos,2008-03-01,14,11,4,1,18,12,30
VILLA SERRANO,consulta externa,personas de 10 a 20 anos,2008-03-01,26,49,0,0,26,49,75
VILLA TUNARI,consulta externa,personas de 10 a 20 anos,2008-03-01,405,549,23,19,428,568,996
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,personas de 10 a 20 anos,2008-03-01,126,128,6,3,132,131,263
VILLAZON,consulta externa,personas de 10 a 20 anos,2008-03-01,301,438,27,64,328,502,830
VINTO,consulta externa,personas de 10 a 20 anos,2008-03-01,28,26,7,10,35,36,71
VITICHI,consulta externa,personas de 10 a 20 anos,2008-03-01,73,108,10,5,83,113,196
WALDO BALLIVIAN,consulta externa,personas de 10 a 20 anos,2008-03-01,10,9,3,0,13,9,22
YACO,consulta externa,personas de 10 a 20 anos,2008-03-01,45,68,1,1,46,69,115
YACUIBA,consulta externa,personas de 10 a 20 anos,2008-03-01,810,1207,101,104,911,1311,2222
YAMPARAEZ,consulta externa,personas de 10 a 20 anos,2008-03-01,47,46,3,7,50,53,103
YANACACHI,consulta externa,personas de 10 a 20 anos,2008-03-01,27,52,1,5,28,57,85
YAPACANI,consulta externa,personas de 10 a 20 anos,2008-03-01,1062,1289,34,35,1096,1324,2420
YOCALLA,consulta externa,personas de 10 a 20 anos,2008-03-01,49,72,2,2,51,74,125
YOTALA,consulta externa,personas de 10 a 20 anos,2008-03-01,37,57,6,5,43,62,105
YUNCHARA,consulta externa,personas de 10 a 20 anos,2008-03-01,56,102,0,1,56,103,159
ZUDAÑEZ,consulta externa,personas de 10 a 20 anos,2008-03-01,49,50,2,1,51,51,102
ACACIO,consulta externa,personas de 10 a 20 anos,2008-04-01,38,34,0,0,38,34,72
ACHACACHI,consulta externa,personas de 10 a 20 anos,2008-04-01,88,119,11,21,99,140,239
ACHOCALLA,consulta externa,personas de 10 a 20 anos,2008-04-01,10,8,1,0,11,8,19
AIQUILE,consulta externa,personas de 10 a 20 anos,2008-04-01,117,166,36,67,153,233,386
ALALAY,consulta externa,personas de 10 a 20 anos,2008-04-01,7,3,0,0,7,3,10
ALCALA,consulta externa,personas de 10 a 20 anos,2008-04-01,39,51,0,0,39,51,90
ANCORAIMES,consulta externa,personas de 10 a 20 anos,2008-04-01,31,44,0,4,31,48,79
ANDAMARCA,consulta externa,personas de 10 a 20 anos,2008-04-01,13,18,0,0,13,18,31
ANTEQUERA,consulta externa,personas de 10 a 20 anos,2008-04-01,4,11,1,1,5,12,17
ANZALDO,consulta externa,personas de 10 a 20 anos,2008-04-01,26,25,2,1,28,26,54
APOLO,consulta externa,personas de 10 a 20 anos,2008-04-01,37,61,2,9,39,70,109
ARAMPAMPA,consulta externa,personas de 10 a 20 anos,2008-04-01,16,28,0,0,16,28,44
ARANI,consulta externa,personas de 10 a 20 anos,2008-04-01,21,28,0,0,21,28,49
ARBIETO,consulta externa,personas de 10 a 20 anos,2008-04-01,24,25,0,1,24,26,50
ARQUE,consulta externa,personas de 10 a 20 anos,2008-04-01,51,73,0,2,51,75,126
ATOCHA,consulta externa,personas de 10 a 20 anos,2008-04-01,147,228,22,32,169,260,429
AUCAPATA,consulta externa,personas de 10 a 20 anos,2008-04-01,29,30,1,1,30,31,61
AYATA,consulta externa,personas de 10 a 20 anos,2008-04-01,55,49,2,2,57,51,108
AYO AYO,consulta externa,personas de 10 a 20 anos,2008-04-01,28,29,3,1,31,30,61
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 10 a 20 anos,2008-04-01,110,144,6,1,116,145,261
AZURDUY,consulta externa,personas de 10 a 20 anos,2008-04-01,120,111,0,0,120,111,231
BATALLAS,consulta externa,personas de 10 a 20 anos,2008-04-01,28,56,0,4,28,60,88
BAURES,consulta externa,personas de 10 a 20 anos,2008-04-01,31,43,1,4,32,47,79
BELEN DE ANDAMARCA,consulta externa,personas de 10 a 20 anos,2008-04-01,11,11,0,0,11,11,22
BELEN DE URMIRI,consulta externa,personas de 10 a 20 anos,2008-04-01,11,17,0,2,11,19,30
BELLA FLOR,consulta externa,personas de 10 a 20 anos,2008-04-01,10,15,1,0,11,15,26
BERMEJO,consulta externa,personas de 10 a 20 anos,2008-04-01,437,571,33,32,470,603,1073
BETANZOS,consulta externa,personas de 10 a 20 anos,2008-04-01,168,228,4,1,172,229,401
BOLIVAR,consulta externa,personas de 10 a 20 anos,2008-04-01,16,18,0,1,16,19,35
BOLPEBRA,consulta externa,personas de 10 a 20 anos,2008-04-01,16,25,0,3,16,28,44
BOYUIBE,consulta externa,personas de 10 a 20 anos,2008-04-01,6,13,3,3,9,16,25
BUENA VISTA,consulta externa,personas de 10 a 20 anos,2008-04-01,93,107,13,14,106,121,227
CABEZAS,consulta externa,personas de 10 a 20 anos,2008-04-01,79,93,5,3,84,96,180
CAIROMA,consulta externa,personas de 10 a 20 anos,2008-04-01,27,37,2,2,29,39,68
"CAIZA ""D""",consulta externa,personas de 10 a 20 anos,2008-04-01,127,149,7,9,134,158,292
CAJUATA,consulta externa,personas de 10 a 20 anos,2008-04-01,48,56,2,7,50,63,113
CALACOTO,consulta externa,personas de 10 a 20 anos,2008-04-01,38,47,1,1,39,48,87
CALAMARCA,consulta externa,personas de 10 a 20 anos,2008-04-01,18,41,5,2,23,43,66
CAMARGO,consulta externa,personas de 10 a 20 anos,2008-04-01,63,100,0,0,63,100,163
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 10 a 20 anos,2008-04-01,25,40,0,2,25,42,67
CAMIRI,consulta externa,personas de 10 a 20 anos,2008-04-01,255,230,14,17,269,247,516
CAPINOTA,consulta externa,personas de 10 a 20 anos,2008-04-01,178,249,99,171,277,420,697
CAQUIAVIRI,consulta externa,personas de 10 a 20 anos,2008-04-01,21,41,0,1,21,42,63
CARACOLLO,consulta externa,personas de 10 a 20 anos,2008-04-01,41,56,1,4,42,60,102
CARANAVI,consulta externa,personas de 10 a 20 anos,2008-04-01,289,390,2,2,291,392,683
CARANGAS,consulta externa,personas de 10 a 20 anos,2008-04-01,1,2,0,0,1,2,3
CARAPARI,consulta externa,personas de 10 a 20 anos,2008-04-01,224,303,0,2,224,305,529
CARIPUYO,consulta externa,personas de 10 a 20 anos,2008-04-01,19,19,0,0,19,19,38
CATACORA,consulta externa,personas de 10 a 20 anos,2008-04-01,10,9,0,0,10,9,19
CHACARILLA,consulta externa,personas de 10 a 20 anos,2008-04-01,5,9,2,0,7,9,16
CHALLAPATA,consulta externa,personas de 10 a 20 anos,2008-04-01,124,133,11,11,135,144,279
CHAQUI,consulta externa,personas de 10 a 20 anos,2008-04-01,55,54,3,1,58,55,113
CHARAGUA,consulta externa,personas de 10 a 20 anos,2008-04-01,97,210,12,27,109,237,346
CHARAÑA,consulta externa,personas de 10 a 20 anos,2008-04-01,15,16,1,0,16,16,32
CHAYANTA,consulta externa,personas de 10 a 20 anos,2008-04-01,54,81,1,1,55,82,137
CHIMORE,consulta externa,personas de 10 a 20 anos,2008-04-01,61,72,1,9,62,81,143
CHIPAYA,consulta externa,personas de 10 a 20 anos,2008-04-01,3,5,0,0,3,5,8
CHOQUE COTA,consulta externa,personas de 10 a 20 anos,2008-04-01,10,21,0,1,10,22,32
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 10 a 20 anos,2008-04-01,47,68,7,25,54,93,147
CHUMA,consulta externa,personas de 10 a 20 anos,2008-04-01,44,50,1,3,45,53,98
CLIZA,consulta externa,personas de 10 a 20 anos,2008-04-01,46,43,1,5,47,48,95
COBIJA,consulta externa,personas de 10 a 20 anos,2008-04-01,386,548,149,252,535,800,1335
COCHABAMBA,consulta externa,personas de 10 a 20 anos,2008-04-01,3162,4434,2238,2797,5400,7231,12631
COIPASA,consulta externa,personas de 10 a 20 anos,2008-04-01,3,8,0,0,3,8,11
COLCAPIRHUA,consulta externa,personas de 10 a 20 anos,2008-04-01,147,234,51,65,198,299,497
"COLCHA ""K""",consulta externa,personas de 10 a 20 anos,2008-04-01,61,100,1,5,62,105,167
COLLANA,consulta externa,personas de 10 a 20 anos,2008-04-01,6,11,0,3,6,14,20
COLOMI,consulta externa,personas de 10 a 20 anos,2008-04-01,35,64,1,2,36,66,102
COLPA BELGICA,consulta externa,personas de 10 a 20 anos,2008-04-01,15,34,2,10,17,44,61
COLQUECHACA,consulta externa,personas de 10 a 20 anos,2008-04-01,111,144,1,0,112,144,256
COLQUENCHA,consulta externa,personas de 10 a 20 anos,2008-04-01,36,56,1,3,37,59,96
COLQUIRI,consulta externa,personas de 10 a 20 anos,2008-04-01,58,94,0,4,58,98,156
COMANCHE,consulta externa,personas de 10 a 20 anos,2008-04-01,14,22,1,2,15,24,39
COMARAPA,consulta externa,personas de 10 a 20 anos,2008-04-01,146,251,22,27,168,278,446
COMBAYA,consulta externa,personas de 10 a 20 anos,2008-04-01,5,15,0,0,5,15,20
COPACABANA,consulta externa,personas de 10 a 20 anos,2008-04-01,32,37,0,0,32,37,69
CORIPATA,consulta externa,personas de 10 a 20 anos,2008-04-01,43,66,1,2,44,68,112
CORO CORO,consulta externa,personas de 10 a 20 anos,2008-04-01,22,34,0,1,22,35,57
COROICO,consulta externa,personas de 10 a 20 anos,2008-04-01,58,65,11,12,69,77,146
CORQUE,consulta externa,personas de 10 a 20 anos,2008-04-01,23,32,1,1,24,33,57
COTAGAITA,consulta externa,personas de 10 a 20 anos,2008-04-01,233,330,7,11,240,341,581
CUATRO CAÑADAS,consulta externa,personas de 10 a 20 anos,2008-04-01,16,16,0,0,16,16,32
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 10 a 20 anos,2008-04-01,9,9,0,1,9,10,19
CUEVO,consulta externa,personas de 10 a 20 anos,2008-04-01,37,43,1,4,38,47,85
CULPINA,consulta externa,personas de 10 a 20 anos,2008-04-01,81,95,0,1,81,96,177
CURAHUARA DE CARANGAS,consulta externa,personas de 10 a 20 anos,2008-04-01,23,35,1,1,24,36,60
CURVA,consulta externa,personas de 10 a 20 anos,2008-04-01,8,16,0,0,8,16,24
DESAGUADERO,consulta externa,personas de 10 a 20 anos,2008-04-01,10,13,0,2,10,15,25
EL ALTO,consulta externa,personas de 10 a 20 anos,2008-04-01,3139,4583,980,1579,4119,6162,10281
EL CHORO,consulta externa,personas de 10 a 20 anos,2008-04-01,15,22,0,0,15,22,37
EL PUENTE(STC),consulta externa,personas de 10 a 20 anos,2008-04-01,69,76,2,1,71,77,148
EL PUENTE(TJA),consulta externa,personas de 10 a 20 anos,2008-04-01,169,242,4,0,173,242,415
EL VILLAR,consulta externa,personas de 10 a 20 anos,2008-04-01,35,48,1,2,36,50,86
ENTRE RIOS,consulta externa,personas de 10 a 20 anos,2008-04-01,78,92,2,9,80,101,181
ENTRE RIOS,consulta externa,personas de 10 a 20 anos,2008-04-01,344,529,6,2,350,531,881
ESCARA,consulta externa,personas de 10 a 20 anos,2008-04-01,2,4,0,0,2,4,6
EUCALIPTUS,consulta externa,personas de 10 a 20 anos,2008-04-01,9,23,1,1,10,24,34
EXALTACION,consulta externa,personas de 10 a 20 anos,2008-04-01,16,36,0,1,16,37,53
FERNANDEZ ALONSO,consulta externa,personas de 10 a 20 anos,2008-04-01,48,106,2,1,50,107,157
FILADELFIA,consulta externa,personas de 10 a 20 anos,2008-04-01,73,74,3,1,76,75,151
GENERAL SAAVEDRA,consulta externa,personas de 10 a 20 anos,2008-04-01,78,205,8,9,86,214,300
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 10 a 20 anos,2008-04-01,24,24,1,4,25,28,53
GUANAY,consulta externa,personas de 10 a 20 anos,2008-04-01,35,58,1,0,36,58,94
GUAQUI,consulta externa,personas de 10 a 20 anos,2008-04-01,18,24,3,5,21,29,50
GUAYARAMERIN,consulta externa,personas de 10 a 20 anos,2008-04-01,249,552,21,74,270,626,896
GUTIERREZ,consulta externa,personas de 10 a 20 anos,2008-04-01,67,79,1,1,68,80,148
HUACARETA,consulta externa,personas de 10 a 20 anos,2008-04-01,83,87,7,8,90,95,185
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 10 a 20 anos,2008-04-01,17,15,1,0,18,15,33
HUACHACALLA,consulta externa,personas de 10 a 20 anos,2008-04-01,199,72,1,1,200,73,273
HUANUNI,consulta externa,personas de 10 a 20 anos,2008-04-01,174,268,148,167,322,435,757
HUARACAJE,consulta externa,personas de 10 a 20 anos,2008-04-01,35,44,4,3,39,47,86
HUAYLLAMARCA,consulta externa,personas de 10 a 20 anos,2008-04-01,10,11,0,0,10,11,21
ICHOCA,consulta externa,personas de 10 a 20 anos,2008-04-01,8,11,3,4,11,15,26
ICLA,consulta externa,personas de 10 a 20 anos,2008-04-01,37,33,0,0,37,33,70
INCAHUASI,consulta externa,personas de 10 a 20 anos,2008-04-01,81,161,2,2,83,163,246
INGAVI (HUMAITA),consulta externa,personas de 10 a 20 anos,2008-04-01,1,1,0,0,1,1,2
INQUISIVI,consulta externa,personas de 10 a 20 anos,2008-04-01,23,29,0,1,23,30,53
IRUPANA (VILLA DE LANZA),consulta externa,personas de 10 a 20 anos,2008-04-01,70,111,1,2,71,113,184
IXIAMAS,consulta externa,personas de 10 a 20 anos,2008-04-01,21,30,3,0,24,30,54
JESUS DE MACHACA,consulta externa,personas de 10 a 20 anos,2008-04-01,104,156,1,5,105,161,266
LA ASUNTA,consulta externa,personas de 10 a 20 anos,2008-04-01,113,195,2,4,115,199,314
LA PAZ,consulta externa,personas de 10 a 20 anos,2008-04-01,5294,6729,2226,5150,7520,11879,19399
LA RIVERA,consulta externa,personas de 10 a 20 anos,2008-04-01,1,3,1,0,2,3,5
LAGUNILLAS,consulta externa,personas de 10 a 20 anos,2008-04-01,46,30,3,2,49,32,81
LAJA,consulta externa,personas de 10 a 20 anos,2008-04-01,31,64,2,1,33,65,98
LAS CARRERAS,consulta externa,personas de 10 a 20 anos,2008-04-01,17,26,1,0,18,26,44
LICOMA PAMPA,consulta externa,personas de 10 a 20 anos,2008-04-01,13,15,1,0,14,15,29
LLALLAGUA,consulta externa,personas de 10 a 20 anos,2008-04-01,399,198,11,125,410,323,733
LLICA,consulta externa,personas de 10 a 20 anos,2008-04-01,19,50,1,1,20,51,71
LORETO,consulta externa,personas de 10 a 20 anos,2008-04-01,37,45,0,0,37,45,82
LURIBAY,consulta externa,personas de 10 a 20 anos,2008-04-01,44,42,6,1,50,43,93
MACHACAMARCA,consulta externa,personas de 10 a 20 anos,2008-04-01,15,23,1,1,16,24,40
MACHARETI,consulta externa,personas de 10 a 20 anos,2008-04-01,88,158,0,12,88,170,258
MAGDALENA,consulta externa,personas de 10 a 20 anos,2008-04-01,83,123,21,21,104,144,248
MAIRANA,consulta externa,personas de 10 a 20 anos,2008-04-01,30,44,1,0,31,44,75
MALLA,consulta externa,personas de 10 a 20 anos,2008-04-01,17,45,2,2,19,47,66
MAPIRI,consulta externa,personas de 10 a 20 anos,2008-04-01,47,67,3,1,50,68,118
MECAPACA,consulta externa,personas de 10 a 20 anos,2008-04-01,40,48,5,6,45,54,99
MINEROS,consulta externa,personas de 10 a 20 anos,2008-04-01,52,142,0,22,52,164,216
MIZQUE,consulta externa,personas de 10 a 20 anos,2008-04-01,28,37,5,10,33,47,80
MOCOMOCO,consulta externa,personas de 10 a 20 anos,2008-04-01,108,99,3,3,111,102,213
MOJINETE,consulta externa,personas de 10 a 20 anos,2008-04-01,0,3,0,0,0,3,3
MOJOCOYA,consulta externa,personas de 10 a 20 anos,2008-04-01,35,57,3,3,38,60,98
MONTEAGUDO,consulta externa,personas de 10 a 20 anos,2008-04-01,305,335,41,88,346,423,769
MONTERO,consulta externa,personas de 10 a 20 anos,2008-04-01,799,1950,149,497,948,2447,3395
MORO MORO,consulta externa,personas de 10 a 20 anos,2008-04-01,5,10,0,0,5,10,15
MOROCHATA,consulta externa,personas de 10 a 20 anos,2008-04-01,33,50,0,4,33,54,87
NAZACARA DE PACAJES,consulta externa,personas de 10 a 20 anos,2008-04-01,2,8,0,0,2,8,10
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 10 a 20 anos,2008-04-01,7,7,0,0,7,7,14
OCURI,consulta externa,personas de 10 a 20 anos,2008-04-01,60,95,1,0,61,95,156
OKINAWA,consulta externa,personas de 10 a 20 anos,2008-04-01,49,97,2,3,51,100,151
OMEREQUE,consulta externa,personas de 10 a 20 anos,2008-04-01,21,24,32,20,53,44,97
ORURO,consulta externa,personas de 10 a 20 anos,2008-04-01,2199,2667,414,698,2613,3365,5978
PADCAYA,consulta externa,personas de 10 a 20 anos,2008-04-01,443,488,7,14,450,502,952
PADILLA,consulta externa,personas de 10 a 20 anos,2008-04-01,86,159,1,2,87,161,248
PALCA,consulta externa,personas de 10 a 20 anos,2008-04-01,45,51,2,2,47,53,100
PALOS BLANCOS,consulta externa,personas de 10 a 20 anos,2008-04-01,141,107,24,11,165,118,283
PAMPA AULLAGAS,consulta externa,personas de 10 a 20 anos,2008-04-01,13,15,0,0,13,15,28
PAMPA GRANDE,consulta externa,personas de 10 a 20 anos,2008-04-01,24,56,1,3,25,59,84
PAPEL PAMPA,consulta externa,personas de 10 a 20 anos,2008-04-01,33,31,0,0,33,31,64
PASORAPA,consulta externa,personas de 10 a 20 anos,2008-04-01,23,29,0,2,23,31,54
PATACAMAYA,consulta externa,personas de 10 a 20 anos,2008-04-01,71,64,0,1,71,65,136
PAZÑA,consulta externa,personas de 10 a 20 anos,2008-04-01,17,35,0,2,17,37,54
PELECHUCO,consulta externa,personas de 10 a 20 anos,2008-04-01,46,23,0,0,46,23,69
POCOATA,consulta externa,personas de 10 a 20 anos,2008-04-01,63,86,0,0,63,86,149
POCONA,consulta externa,personas de 10 a 20 anos,2008-04-01,50,49,1,0,51,49,100
POJO (CBBA),consulta externa,personas de 10 a 20 anos,2008-04-01,15,29,0,0,15,29,44
POOPO,consulta externa,personas de 10 a 20 anos,2008-04-01,15,23,0,0,15,23,38
PORCO,consulta externa,personas de 10 a 20 anos,2008-04-01,43,51,0,0,43,51,94
POROMA,consulta externa,personas de 10 a 20 anos,2008-04-01,83,135,0,1,83,136,219
PORTACHUELO,consulta externa,personas de 10 a 20 anos,2008-04-01,106,191,8,7,114,198,312
PORVENIR,consulta externa,personas de 10 a 20 anos,2008-04-01,33,57,1,0,34,57,91
POSTRER VALLE,consulta externa,personas de 10 a 20 anos,2008-04-01,11,18,1,0,12,18,30
POTOSI,consulta externa,personas de 10 a 20 anos,2008-04-01,1410,2339,743,1339,2153,3678,5831
PRESTO,consulta externa,personas de 10 a 20 anos,2008-04-01,54,70,4,4,58,74,132
PUCARA,consulta externa,personas de 10 a 20 anos,2008-04-01,4,9,0,0,4,9,13
PUCARANI,consulta externa,personas de 10 a 20 anos,2008-04-01,64,153,5,7,69,160,229
PUERTO ACOSTA,consulta externa,personas de 10 a 20 anos,2008-04-01,79,81,1,1,80,82,162
PUERTO CARABUCO,consulta externa,personas de 10 a 20 anos,2008-04-01,154,49,1,0,155,49,204
PUERTO GONZALO MORENO,consulta externa,personas de 10 a 20 anos,2008-04-01,23,39,0,0,23,39,62
PUERTO PEREZ,consulta externa,personas de 10 a 20 anos,2008-04-01,19,17,2,3,21,20,41
PUERTO RICO,consulta externa,personas de 10 a 20 anos,2008-04-01,122,100,2,1,124,101,225
PUERTO SILES,consulta externa,personas de 10 a 20 anos,2008-04-01,19,13,2,0,21,13,34
PUERTO VILLARROEL,consulta externa,personas de 10 a 20 anos,2008-04-01,123,189,4,6,127,195,322
PUNA,consulta externa,personas de 10 a 20 anos,2008-04-01,217,255,5,4,222,259,481
PUNATA,consulta externa,personas de 10 a 20 anos,2008-04-01,67,245,20,34,87,279,366
QUIABAYA,consulta externa,personas de 10 a 20 anos,2008-04-01,15,5,0,0,15,5,20
QUILLACOLLO,consulta externa,personas de 10 a 20 anos,2008-04-01,271,296,80,226,351,522,873
QUIME,consulta externa,personas de 10 a 20 anos,2008-04-01,36,34,11,1,47,35,82
QUIRUSILLAS,consulta externa,personas de 10 a 20 anos,2008-04-01,28,36,3,0,31,36,67
RAVELO,consulta externa,personas de 10 a 20 anos,2008-04-01,72,109,0,1,72,110,182
REYES,consulta externa,personas de 10 a 20 anos,2008-04-01,110,134,28,51,138,185,323
RIBERALTA,consulta externa,personas de 10 a 20 anos,2008-04-01,554,1147,32,171,586,1318,1904
RURRENABAQUE,consulta externa,personas de 10 a 20 anos,2008-04-01,72,125,9,8,81,133,214
SABAYA,consulta externa,personas de 10 a 20 anos,2008-04-01,23,24,0,0,23,24,47
SACABA,consulta externa,personas de 10 a 20 anos,2008-04-01,208,314,46,57,254,371,625
SACABAMBA,consulta externa,personas de 10 a 20 anos,2008-04-01,14,5,5,3,19,8,27
SACACA,consulta externa,personas de 10 a 20 anos,2008-04-01,84,115,0,0,84,115,199
SAIPINA,consulta externa,personas de 10 a 20 anos,2008-04-01,22,41,2,2,24,43,67
SALINAS DE GARCI MENDOZA,consulta externa,personas de 10 a 20 anos,2008-04-01,39,66,1,0,40,66,106
SAMAIPATA,consulta externa,personas de 10 a 20 anos,2008-04-01,32,28,0,2,32,30,62
SAN AGUSTIN,consulta externa,personas de 10 a 20 anos,2008-04-01,15,32,0,0,15,32,47
SAN ANDRES,consulta externa,personas de 10 a 20 anos,2008-04-01,28,33,0,0,28,33,61
SAN ANDRES DE MACHACA,consulta externa,personas de 10 a 20 anos,2008-04-01,46,51,2,4,48,55,103
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 10 a 20 anos,2008-04-01,21,12,0,0,21,12,33
SAN ANTONIO DE LOMERIO,consulta externa,personas de 10 a 20 anos,2008-04-01,21,20,1,0,22,20,42
SAN BENITO,consulta externa,personas de 10 a 20 anos,2008-04-01,10,25,2,3,12,28,40
SAN BORJA,consulta externa,personas de 10 a 20 anos,2008-04-01,61,140,8,37,69,177,246
SAN BUENA VENTURA,consulta externa,personas de 10 a 20 anos,2008-04-01,71,80,1,1,72,81,153
SAN CARLOS,consulta externa,personas de 10 a 20 anos,2008-04-01,119,140,20,17,139,157,296
SAN IGNACIO,consulta externa,personas de 10 a 20 anos,2008-04-01,170,308,12,24,182,332,514
SAN IGNACIO DE VELASCO,consulta externa,personas de 10 a 20 anos,2008-04-01,247,419,29,61,276,480,756
SAN JAVIER(BNI),consulta externa,personas de 10 a 20 anos,2008-04-01,22,117,1,3,23,120,143
SAN JAVIER(STC),consulta externa,personas de 10 a 20 anos,2008-04-01,57,76,5,4,62,80,142
SAN JOAQUIN,consulta externa,personas de 10 a 20 anos,2008-04-01,265,357,92,137,357,494,851
SAN JOSE DE CHIQUITOS,consulta externa,personas de 10 a 20 anos,2008-04-01,4,9,0,0,4,9,13
SAN JUAN DE YAPACANI,consulta externa,personas de 10 a 20 anos,2008-04-01,98,222,11,20,109,242,351
SAN JULIAN,consulta externa,personas de 10 a 20 anos,2008-04-01,100,112,3,5,103,117,220
SAN LORENZO(PND),consulta externa,personas de 10 a 20 anos,2008-04-01,11,17,0,0,11,17,28
SAN LORENZO(TJA),consulta externa,personas de 10 a 20 anos,2008-04-01,275,417,5,8,280,425,705
SAN LUCAS,consulta externa,personas de 10 a 20 anos,2008-04-01,151,244,4,8,155,252,407
SAN MIGUEL DE VELASCO,consulta externa,personas de 10 a 20 anos,2008-04-01,35,52,2,4,37,56,93
SAN PABLO DE LIPEZ,consulta externa,personas de 10 a 20 anos,2008-04-01,30,57,2,1,32,58,90
SAN PEDRO,consulta externa,personas de 10 a 20 anos,2008-04-01,326,506,17,26,343,532,875
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 10 a 20 anos,2008-04-01,111,157,0,0,111,157,268
SAN PEDRO DE CURAHUARA,consulta externa,personas de 10 a 20 anos,2008-04-01,79,77,0,0,79,77,156
SAN PEDRO DE QUEMES,consulta externa,personas de 10 a 20 anos,2008-04-01,9,11,1,0,10,11,21
SAN PEDRO DE TIQUINA,consulta externa,personas de 10 a 20 anos,2008-04-01,5,13,1,0,6,13,19
SAN PEDRO(PND),consulta externa,personas de 10 a 20 anos,2008-04-01,1,0,0,0,1,0,1
SAN RAFAEL,consulta externa,personas de 10 a 20 anos,2008-04-01,47,67,3,5,50,72,122
SAN RAMON,consulta externa,personas de 10 a 20 anos,2008-04-01,39,200,18,80,57,280,337
SAN RAMON,consulta externa,personas de 10 a 20 anos,2008-04-01,15,42,0,0,15,42,57
SANTA ANA,consulta externa,personas de 10 a 20 anos,2008-04-01,128,151,0,7,128,158,286
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 10 a 20 anos,2008-04-01,5490,9286,1434,2186,6924,11472,18396
SANTA ROSA,consulta externa,personas de 10 a 20 anos,2008-04-01,69,127,0,5,69,132,201
SANTA ROSA DEL SARA,consulta externa,personas de 10 a 20 anos,2008-04-01,65,93,0,0,65,93,158
SANTIAGO DE CALLAPA,consulta externa,personas de 10 a 20 anos,2008-04-01,27,31,0,0,27,31,58
SANTIAGO DE HUARI,consulta externa,personas de 10 a 20 anos,2008-04-01,40,68,2,6,42,74,116
