,group,variable,month,PERSONAS DE 21 A 59 AÑOS NUEVA,PERSONAS DE 21 A 59 AÑOS NUEVA,PERSONAS DE 21 A 59 AÑOS REPETIDAS,PERSONAS DE 21 A 59 AÑOS REPETIDAS,TOTALES,TOTALES,TOTALES
HUAYLLAMARCA,consulta externa,personas de 21 a 59 anos,2008-03-01,45,79,1,1,46,80,126
ICHOCA,consulta externa,personas de 21 a 59 anos,2008-03-01,33,56,2,3,35,59,94
ICLA,consulta externa,personas de 21 a 59 anos,2008-03-01,95,280,2,3,97,283,380
INCAHUASI,consulta externa,personas de 21 a 59 anos,2008-03-01,185,610,8,4,193,614,807
INGAVI (HUMAITA),consulta externa,personas de 21 a 59 anos,2008-03-01,37,28,6,7,43,35,78
INQUISIVI,consulta externa,personas de 21 a 59 anos,2008-03-01,73,161,7,2,80,163,243
IRUPANA (VILLA DE LANZA),consulta externa,personas de 21 a 59 anos,2008-03-01,179,344,7,11,186,355,541
IXIAMAS,consulta externa,personas de 21 a 59 anos,2008-03-01,74,100,4,8,78,108,186
JESUS DE MACHACA,consulta externa,personas de 21 a 59 anos,2008-03-01,92,287,1,16,93,303,396
LA ASUNTA,consulta externa,personas de 21 a 59 anos,2008-03-01,237,353,8,8,245,361,606
LA PAZ,consulta externa,personas de 21 a 59 anos,2008-03-01,20506,41123,12336,29604,32842,70727,103569
LA RIVERA,consulta externa,personas de 21 a 59 anos,2008-03-01,6,15,0,0,6,15,21
LAGUNILLAS,consulta externa,personas de 21 a 59 anos,2008-03-01,117,216,4,11,121,227,348
LAJA,consulta externa,personas de 21 a 59 anos,2008-03-01,56,148,6,8,62,156,218
LAS CARRERAS,consulta externa,personas de 21 a 59 anos,2008-03-01,55,162,4,5,59,167,226
LICOMA PAMPA,consulta externa,personas de 21 a 59 anos,2008-03-01,36,46,2,1,38,47,85
LLALLAGUA,consulta externa,personas de 21 a 59 anos,2008-03-01,436,596,77,126,513,722,1235
LLICA,consulta externa,personas de 21 a 59 anos,2008-03-01,48,107,1,4,49,111,160
LORETO,consulta externa,personas de 21 a 59 anos,2008-03-01,60,64,5,4,65,68,133
LURIBAY,consulta externa,personas de 21 a 59 anos,2008-03-01,151,213,12,27,163,240,403
MACHACAMARCA,consulta externa,personas de 21 a 59 anos,2008-03-01,58,92,18,29,76,121,197
MACHARETI,consulta externa,personas de 21 a 59 anos,2008-03-01,189,390,19,76,208,466,674
MAGDALENA,consulta externa,personas de 21 a 59 anos,2008-03-01,125,222,53,185,178,407,585
MAIRANA,consulta externa,personas de 21 a 59 anos,2008-03-01,98,242,2,5,100,247,347
MALLA,consulta externa,personas de 21 a 59 anos,2008-03-01,26,44,1,1,27,45,72
MAPIRI,consulta externa,personas de 21 a 59 anos,2008-03-01,169,247,4,1,173,248,421
MECAPACA,consulta externa,personas de 21 a 59 anos,2008-03-01,106,212,5,7,111,219,330
MINEROS,consulta externa,personas de 21 a 59 anos,2008-03-01,30,107,6,6,36,113,149
MIZQUE,consulta externa,personas de 21 a 59 anos,2008-03-01,65,137,19,14,84,151,235
MOCOMOCO,consulta externa,personas de 21 a 59 anos,2008-03-01,140,188,3,9,143,197,340
MOJINETE,consulta externa,personas de 21 a 59 anos,2008-03-01,13,23,0,0,13,23,36
MOJOCOYA,consulta externa,personas de 21 a 59 anos,2008-03-01,111,247,6,82,117,329,446
MONTEAGUDO,consulta externa,personas de 21 a 59 anos,2008-03-01,750,1392,55,244,805,1636,2441
MONTERO,consulta externa,personas de 21 a 59 anos,2008-03-01,456,1393,87,384,543,1777,2320
MORO MORO,consulta externa,personas de 21 a 59 anos,2008-03-01,9,45,0,3,9,48,57
MOROCHATA,consulta externa,personas de 21 a 59 anos,2008-03-01,88,227,2,45,90,272,362
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 21 a 59 anos,2008-03-01,104,116,12,11,116,127,243
NAZACARA DE PACAJES,consulta externa,personas de 21 a 59 anos,2008-03-01,6,18,0,1,6,19,25
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 21 a 59 anos,2008-03-01,26,32,16,1,42,33,75
OCURI,consulta externa,personas de 21 a 59 anos,2008-03-01,166,409,1,5,167,414,581
OKINAWA,consulta externa,personas de 21 a 59 anos,2008-03-01,161,469,6,25,167,494,661
OMEREQUE,consulta externa,personas de 21 a 59 anos,2008-03-01,92,141,4,11,96,152,248
ORURO,consulta externa,personas de 21 a 59 anos,2008-03-01,5868,9551,1415,3422,7283,12973,20256
PADCAYA,consulta externa,personas de 21 a 59 anos,2008-03-01,440,829,22,35,462,864,1326
PADILLA,consulta externa,personas de 21 a 59 anos,2008-03-01,311,777,6,39,317,816,1133
PAILON,consulta externa,personas de 21 a 59 anos,2008-03-01,263,235,5,6,268,241,509
PALCA,consulta externa,personas de 21 a 59 anos,2008-03-01,106,161,6,10,112,171,283
PALOS BLANCOS,consulta externa,personas de 21 a 59 anos,2008-03-01,351,559,26,28,377,587,964
PAMPA AULLAGAS,consulta externa,personas de 21 a 59 anos,2008-03-01,17,24,0,3,17,27,44
PAMPA GRANDE,consulta externa,personas de 21 a 59 anos,2008-03-01,87,141,7,11,94,152,246
PAPEL PAMPA,consulta externa,personas de 21 a 59 anos,2008-03-01,47,73,0,1,47,74,121
PASORAPA,consulta externa,personas de 21 a 59 anos,2008-03-01,44,99,0,1,44,100,144
PATACAMAYA,consulta externa,personas de 21 a 59 anos,2008-03-01,212,297,2,15,214,312,526
PAZÑA,consulta externa,personas de 21 a 59 anos,2008-03-01,82,138,14,31,96,169,265
PELECHUCO,consulta externa,personas de 21 a 59 anos,2008-03-01,84,91,1,0,85,91,176
POCOATA,consulta externa,personas de 21 a 59 anos,2008-03-01,178,427,2,2,180,429,609
POCONA,consulta externa,personas de 21 a 59 anos,2008-03-01,136,174,2,4,138,178,316
POJO (CBBA),consulta externa,personas de 21 a 59 anos,2008-03-01,33,58,0,0,33,58,91
POOPO,consulta externa,personas de 21 a 59 anos,2008-03-01,69,97,7,7,76,104,180
PORCO,consulta externa,personas de 21 a 59 anos,2008-03-01,81,120,1,3,82,123,205
POROMA,consulta externa,personas de 21 a 59 anos,2008-03-01,141,364,7,8,148,372,520
PORTACHUELO,consulta externa,personas de 21 a 59 anos,2008-03-01,145,331,8,16,153,347,500
PORVENIR,consulta externa,personas de 21 a 59 anos,2008-03-01,98,132,1,8,99,140,239
POSTRER VALLE,consulta externa,personas de 21 a 59 anos,2008-03-01,42,54,1,0,43,54,97
POTOSI,consulta externa,personas de 21 a 59 anos,2008-03-01,2318,5434,754,1430,3072,6864,9936
PRESTO,consulta externa,personas de 21 a 59 anos,2008-03-01,147,285,1,13,148,298,446
PUCARA,consulta externa,personas de 21 a 59 anos,2008-03-01,55,84,1,1,56,85,141
PUCARANI,consulta externa,personas de 21 a 59 anos,2008-03-01,120,230,6,17,126,247,373
PUERTO ACOSTA,consulta externa,personas de 21 a 59 anos,2008-03-01,236,293,11,5,247,298,545
PUERTO CARABUCO,consulta externa,personas de 21 a 59 anos,2008-03-01,123,168,4,6,127,174,301
PUERTO GONZALO MORENO,consulta externa,personas de 21 a 59 anos,2008-03-01,44,88,5,0,49,88,137
PUERTO PEREZ,consulta externa,personas de 21 a 59 anos,2008-03-01,74,66,7,2,81,68,149
PUERTO QUIJARRO,consulta externa,personas de 21 a 59 anos,2008-03-01,432,403,10,32,442,435,877
PUERTO RICO,consulta externa,personas de 21 a 59 anos,2008-03-01,104,98,0,1,104,99,203
PUERTO SILES,consulta externa,personas de 21 a 59 anos,2008-03-01,20,28,0,0,20,28,48
PUERTO SUAREZ,consulta externa,personas de 21 a 59 anos,2008-03-01,290,387,36,80,326,467,793
PUERTO VILLARROEL,consulta externa,personas de 21 a 59 anos,2008-03-01,502,961,25,52,527,1013,1540
PUNA,consulta externa,personas de 21 a 59 anos,2008-03-01,347,636,8,27,355,663,1018
PUNATA,consulta externa,personas de 21 a 59 anos,2008-03-01,142,387,26,80,168,467,635
QUIABAYA,consulta externa,personas de 21 a 59 anos,2008-03-01,18,52,0,1,18,53,71
QUILLACOLLO,consulta externa,personas de 21 a 59 anos,2008-03-01,502,854,180,524,682,1378,2060
QUIME,consulta externa,personas de 21 a 59 anos,2008-03-01,299,99,11,2,310,101,411
QUIRUSILLAS,consulta externa,personas de 21 a 59 anos,2008-03-01,27,74,2,8,29,82,111
RAVELO,consulta externa,personas de 21 a 59 anos,2008-03-01,171,296,2,2,173,298,471
REYES,consulta externa,personas de 21 a 59 anos,2008-03-01,70,120,25,28,95,148,243
RIBERALTA,consulta externa,personas de 21 a 59 anos,2008-03-01,836,1917,37,207,873,2124,2997
ROBORE,consulta externa,personas de 21 a 59 anos,2008-03-01,290,675,43,106,333,781,1114
RURRENABAQUE,consulta externa,personas de 21 a 59 anos,2008-03-01,241,420,38,118,279,538,817
SABAYA,consulta externa,personas de 21 a 59 anos,2008-03-01,90,70,0,0,90,70,160
SACABA,consulta externa,personas de 21 a 59 anos,2008-03-01,714,1141,220,434,934,1575,2509
SACABAMBA,consulta externa,personas de 21 a 59 anos,2008-03-01,32,31,8,10,40,41,81
SACACA,consulta externa,personas de 21 a 59 anos,2008-03-01,141,343,0,1,141,344,485
SAIPINA,consulta externa,personas de 21 a 59 anos,2008-03-01,66,120,10,17,76,137,213
SALINAS DE GARCI MENDOZA,consulta externa,personas de 21 a 59 anos,2008-03-01,96,160,0,2,96,162,258
SAMAIPATA,consulta externa,personas de 21 a 59 anos,2008-03-01,121,189,4,4,125,193,318
SAN AGUSTIN,consulta externa,personas de 21 a 59 anos,2008-03-01,36,68,1,0,37,68,105
SAN ANDRES,consulta externa,personas de 21 a 59 anos,2008-03-01,42,87,7,17,49,104,153
SAN ANDRES DE MACHACA,consulta externa,personas de 21 a 59 anos,2008-03-01,66,148,10,14,76,162,238
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 21 a 59 anos,2008-03-01,18,44,2,9,20,53,73
SAN ANTONIO DE LOMERIO,consulta externa,personas de 21 a 59 anos,2008-03-01,43,88,0,0,43,88,131
SAN BENITO,consulta externa,personas de 21 a 59 anos,2008-03-01,30,80,6,12,36,92,128
SAN BORJA,consulta externa,personas de 21 a 59 anos,2008-03-01,275,492,15,99,290,591,881
SAN BUENA VENTURA,consulta externa,personas de 21 a 59 anos,2008-03-01,204,368,10,44,214,412,626
SAN CARLOS,consulta externa,personas de 21 a 59 anos,2008-03-01,115,147,0,0,115,147,262
SAN IGNACIO,consulta externa,personas de 21 a 59 anos,2008-03-01,231,444,44,30,275,474,749
SAN IGNACIO DE VELASCO,consulta externa,personas de 21 a 59 anos,2008-03-01,734,1422,56,139,790,1561,2351
SAN JAVIER(BNI),consulta externa,personas de 21 a 59 anos,2008-03-01,10,11,0,3,10,14,24
SAN JAVIER(STC),consulta externa,personas de 21 a 59 anos,2008-03-01,124,178,11,82,135,260,395
SAN JOAQUIN,consulta externa,personas de 21 a 59 anos,2008-03-01,103,126,7,15,110,141,251
SAN JOSE DE CHIQUITOS,consulta externa,personas de 21 a 59 anos,2008-03-01,224,376,23,28,247,404,651
SAN JUAN DE YAPACANI,consulta externa,personas de 21 a 59 anos,2008-03-01,37,67,0,0,37,67,104
SAN JULIAN,consulta externa,personas de 21 a 59 anos,2008-03-01,1346,1617,57,248,1403,1865,3268
SAN LORENZO(PND),consulta externa,personas de 21 a 59 anos,2008-03-01,24,22,0,0,24,22,46
SAN LORENZO(TJA),consulta externa,personas de 21 a 59 anos,2008-03-01,379,866,21,64,400,930,1330
SAN LUCAS,consulta externa,personas de 21 a 59 anos,2008-03-01,412,1243,15,41,427,1284,1711
SAN MATIAS,consulta externa,personas de 21 a 59 anos,2008-03-01,104,192,4,10,108,202,310
SAN MIGUEL DE VELASCO,consulta externa,personas de 21 a 59 anos,2008-03-01,82,211,13,27,95,238,333
SAN PABLO DE LIPEZ,consulta externa,personas de 21 a 59 anos,2008-03-01,109,173,9,30,118,203,321
SAN PEDRO,consulta externa,personas de 21 a 59 anos,2008-03-01,118,236,8,18,126,254,380
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 21 a 59 anos,2008-03-01,216,446,1,2,217,448,665
SAN PEDRO DE CURAHUARA,consulta externa,personas de 21 a 59 anos,2008-03-01,38,80,0,4,38,84,122
SAN PEDRO DE QUEMES,consulta externa,personas de 21 a 59 anos,2008-03-01,6,14,1,1,7,15,22
SAN PEDRO DE TIQUINA,consulta externa,personas de 21 a 59 anos,2008-03-01,29,41,6,1,35,42,77
SAN PEDRO(PND),consulta externa,personas de 21 a 59 anos,2008-03-01,10,10,1,0,11,10,21
SAN RAFAEL,consulta externa,personas de 21 a 59 anos,2008-03-01,68,105,10,3,78,108,186
SAN RAMON,consulta externa,personas de 21 a 59 anos,2008-03-01,131,299,28,196,159,495,654
SAN RAMON,consulta externa,personas de 21 a 59 anos,2008-03-01,71,209,1,1,72,210,282
SANTA ANA,consulta externa,personas de 21 a 59 anos,2008-03-01,406,802,49,89,455,891,1346
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 21 a 59 anos,2008-03-01,15047,31096,5220,13534,20267,44630,64897
SANTA ROSA,consulta externa,personas de 21 a 59 anos,2008-03-01,52,127,5,6,57,133,190
SANTA ROSA DEL SARA,consulta externa,personas de 21 a 59 anos,2008-03-01,137,228,2,8,139,236,375
SANTIAGO DE CALLAPA,consulta externa,personas de 21 a 59 anos,2008-03-01,20,52,0,1,20,53,73
SANTIAGO DE HUARI,consulta externa,personas de 21 a 59 anos,2008-03-01,80,138,20,26,100,164,264
SANTIAGO DE MACHACA,consulta externa,personas de 21 a 59 anos,2008-03-01,11,28,10,10,21,38,59
SANTIVAÑES,consulta externa,personas de 21 a 59 anos,2008-03-01,25,52,2,2,27,54,81
SANTUARIO DE QUILLACAS,consulta externa,personas de 21 a 59 anos,2008-03-01,20,47,3,2,23,49,72
SAPAHAQUI,consulta externa,personas de 21 a 59 anos,2008-03-01,105,120,5,3,110,123,233
SENA,consulta externa,personas de 21 a 59 anos,2008-03-01,25,30,0,0,25,30,55
SICA SICA (VILLA AROMA),consulta externa,personas de 21 a 59 anos,2008-03-01,124,171,22,5,146,176,322
SICAYA,consulta externa,personas de 21 a 59 anos,2008-03-01,10,26,0,0,10,26,36
SIPE SIPE,consulta externa,personas de 21 a 59 anos,2008-03-01,77,272,19,108,96,380,476
SOPACHUY,consulta externa,personas de 21 a 59 anos,2008-03-01,89,207,1,0,90,207,297
SORACACHI,consulta externa,personas de 21 a 59 anos,2008-03-01,39,65,0,0,39,65,104
SORATA,consulta externa,personas de 21 a 59 anos,2008-03-01,129,211,5,9,134,220,354
SUCRE,consulta externa,personas de 21 a 59 anos,2008-03-01,7222,14607,2434,5592,9656,20199,29855
TACACHI,consulta externa,personas de 21 a 59 anos,2008-03-01,5,31,1,5,6,36,42
TACACOMA,consulta externa,personas de 21 a 59 anos,2008-03-01,68,101,1,0,69,101,170
TACOBAMBA,consulta externa,personas de 21 a 59 anos,2008-03-01,89,159,2,3,91,162,253
TACOPAYA,consulta externa,personas de 21 a 59 anos,2008-03-01,50,99,0,2,50,101,151
TAHUA,consulta externa,personas de 21 a 59 anos,2008-03-01,27,31,2,0,29,31,60
TAPACARI,consulta externa,personas de 21 a 59 anos,2008-03-01,146,355,1,15,147,370,517
TARABUCO,consulta externa,personas de 21 a 59 anos,2008-03-01,173,386,25,65,198,451,649
TARACO,consulta externa,personas de 21 a 59 anos,2008-03-01,23,46,0,0,23,46,69
TARATA,consulta externa,personas de 21 a 59 anos,2008-03-01,24,52,5,7,29,59,88
TARIJA,consulta externa,personas de 21 a 59 anos,2008-03-01,4573,10454,2104,5716,6677,16170,22847
TARVITA,consulta externa,personas de 21 a 59 anos,2008-03-01,201,628,10,15,211,643,854
TEOPONTE,consulta externa,personas de 21 a 59 anos,2008-03-01,116,137,7,11,123,148,271
TIAWANACU,consulta externa,personas de 21 a 59 anos,2008-03-01,48,85,10,8,58,93,151
TINGUIPAYA,consulta externa,personas de 21 a 59 anos,2008-03-01,110,365,4,11,114,376,490
TIPUANI,consulta externa,personas de 21 a 59 anos,2008-03-01,54,90,2,1,56,91,147
TIQUIPAYA,consulta externa,personas de 21 a 59 anos,2008-03-01,143,650,18,456,161,1106,1267
TIRAQUE (CBBA),consulta externa,personas de 21 a 59 anos,2008-03-01,379,581,40,198,419,779,1198
TITO YUPANQUI (PARQUIPUJIO),consulta externa,personas de 21 a 59 anos,2008-03-01,33,41,1,6,34,47,81
TOCO,consulta externa,personas de 21 a 59 anos,2008-03-01,19,49,1,1,20,50,70
TODOS SANTOS,consulta externa,personas de 21 a 59 anos,2008-03-01,10,22,2,2,12,24,36
TOLATA,consulta externa,personas de 21 a 59 anos,2008-03-01,22,82,2,23,24,105,129
TOLEDO,consulta externa,personas de 21 a 59 anos,2008-03-01,120,173,2,16,122,189,311
TOMAVE,consulta externa,personas de 21 a 59 anos,2008-03-01,202,299,7,7,209,306,515
TOMINA,consulta externa,personas de 21 a 59 anos,2008-03-01,145,309,6,5,151,314,465
TORO TORO,consulta externa,personas de 21 a 59 anos,2008-03-01,123,246,0,5,123,251,374
TOTORA(CBBA),consulta externa,personas de 21 a 59 anos,2008-03-01,34,76,4,1,38,77,115
TOTORA(ORR),consulta externa,personas de 21 a 59 anos,2008-03-01,52,79,0,0,52,79,131
TRIGAL,consulta externa,personas de 21 a 59 anos,2008-03-01,44,58,0,2,44,60,104
TRINIDAD,consulta externa,personas de 21 a 59 anos,2008-03-01,2169,3925,276,657,2445,4582,7027
TUPIZA,consulta externa,personas de 21 a 59 anos,2008-03-01,788,1544,187,163,975,1707,2682
TURCO,consulta externa,personas de 21 a 59 anos,2008-03-01,60,84,0,0,60,84,144
UMALA,consulta externa,personas de 21 a 59 anos,2008-03-01,21,28,0,2,21,30,51
UNCIA,consulta externa,personas de 21 a 59 anos,2008-03-01,198,1011,71,221,269,1232,1501
URIONDO (A. CONCEPCION),consulta externa,personas de 21 a 59 anos,2008-03-01,229,570,12,22,241,592,833
URUBICHA,consulta externa,personas de 21 a 59 anos,2008-03-01,47,99,1,66,48,165,213
UYUNI,consulta externa,personas de 21 a 59 anos,2008-03-01,495,719,38,80,533,799,1332
VACAS,consulta externa,personas de 21 a 59 anos,2008-03-01,47,138,3,7,50,145,195
VALLEGRANDE,consulta externa,personas de 21 a 59 anos,2008-03-01,253,546,76,153,329,699,1028
VIACHA,consulta externa,personas de 21 a 59 anos,2008-03-01,451,979,112,321,563,1300,1863
VILA VILA,consulta externa,personas de 21 a 59 anos,2008-03-01,26,63,0,1,26,64,90
VILLA MONTES,consulta externa,personas de 21 a 59 anos,2008-03-01,581,1035,112,239,693,1274,1967
VILLA NUEVA (LOMA ALTA),consulta externa,personas de 21 a 59 anos,2008-03-01,29,49,2,3,31,52,83
VILLA RIVERO,consulta externa,personas de 21 a 59 anos,2008-03-01,37,66,4,7,41,73,114
VILLA SERRANO,consulta externa,personas de 21 a 59 anos,2008-03-01,105,369,1,19,106,388,494
VILLA TUNARI,consulta externa,personas de 21 a 59 anos,2008-03-01,1105,1940,69,101,1174,2041,3215
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,personas de 21 a 59 anos,2008-03-01,233,400,11,12,244,412,656
VILLAZON,consulta externa,personas de 21 a 59 anos,2008-03-01,399,1207,66,172,465,1379,1844
VINTO,consulta externa,personas de 21 a 59 anos,2008-03-01,248,428,72,166,320,594,914
VITICHI,consulta externa,personas de 21 a 59 anos,2008-03-01,130,276,7,14,137,290,427
WALDO BALLIVIAN,consulta externa,personas de 21 a 59 anos,2008-03-01,5,39,6,0,11,39,50
WARNES,consulta externa,personas de 21 a 59 anos,2008-03-01,931,1524,7,124,938,1648,2586
YACO,consulta externa,personas de 21 a 59 anos,2008-03-01,66,115,2,3,68,118,186
YACUIBA,consulta externa,personas de 21 a 59 anos,2008-03-01,1907,3851,316,940,2223,4791,7014
YAMPARAEZ,consulta externa,personas de 21 a 59 anos,2008-03-01,70,182,11,14,81,196,277
YANACACHI,consulta externa,personas de 21 a 59 anos,2008-03-01,120,116,15,3,135,119,254
YAPACANI,consulta externa,personas de 21 a 59 anos,2008-03-01,287,177,1,1,288,178,466
YOCALLA,consulta externa,personas de 21 a 59 anos,2008-03-01,70,155,1,6,71,161,232
YOTALA,consulta externa,personas de 21 a 59 anos,2008-03-01,69,125,10,32,79,157,236
YUNCHARA,consulta externa,personas de 21 a 59 anos,2008-03-01,92,266,1,1,93,267,360
ZUDAÑEZ,consulta externa,personas de 21 a 59 anos,2008-03-01,156,312,5,8,161,320,481
ACACIO,consulta externa,personas de 21 a 59 anos,2008-04-01,85,143,0,5,85,148,233
ACHACACHI,consulta externa,personas de 21 a 59 anos,2008-04-01,287,481,29,62,316,543,859
ACHOCALLA,consulta externa,personas de 21 a 59 anos,2008-04-01,16,39,1,0,17,39,56
AIQUILE,consulta externa,personas de 21 a 59 anos,2008-04-01,180,503,17,141,197,644,841
ALALAY,consulta externa,personas de 21 a 59 anos,2008-04-01,20,41,0,0,20,41,61
ALCALA,consulta externa,personas de 21 a 59 anos,2008-04-01,48,275,0,0,48,275,323
ANCORAIMES,consulta externa,personas de 21 a 59 anos,2008-04-01,64,145,10,18,74,163,237
ANDAMARCA,consulta externa,personas de 21 a 59 anos,2008-04-01,48,58,1,5,49,63,112
ANTEQUERA,consulta externa,personas de 21 a 59 anos,2008-04-01,17,42,2,6,19,48,67
ANZALDO,consulta externa,personas de 21 a 59 anos,2008-04-01,35,83,8,10,43,93,136
APOLO,consulta externa,personas de 21 a 59 anos,2008-04-01,83,223,6,37,89,260,349
ARAMPAMPA,consulta externa,personas de 21 a 59 anos,2008-04-01,41,102,2,0,43,102,145
ARANI,consulta externa,personas de 21 a 59 anos,2008-04-01,29,67,1,1,30,68,98
ARBIETO,consulta externa,personas de 21 a 59 anos,2008-04-01,35,113,1,18,36,131,167
ARQUE,consulta externa,personas de 21 a 59 anos,2008-04-01,71,201,0,3,71,204,275
ASCENCION DE GUARAYOS,consulta externa,personas de 21 a 59 anos,2008-04-01,134,261,12,24,146,285,431
ATOCHA,consulta externa,personas de 21 a 59 anos,2008-04-01,716,850,235,292,951,1142,2093
AUCAPATA,consulta externa,personas de 21 a 59 anos,2008-04-01,58,95,0,0,58,95,153
AYATA,consulta externa,personas de 21 a 59 anos,2008-04-01,78,156,3,2,81,158,239
AYO AYO,consulta externa,personas de 21 a 59 anos,2008-04-01,38,60,6,0,44,60,104
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 21 a 59 anos,2008-04-01,256,475,8,24,264,499,763
AZURDUY,consulta externa,personas de 21 a 59 anos,2008-04-01,181,383,1,1,182,384,566
BATALLAS,consulta externa,personas de 21 a 59 anos,2008-04-01,84,172,3,4,87,176,263
BAURES,consulta externa,personas de 21 a 59 anos,2008-04-01,73,116,14,44,87,160,247
BELEN DE ANDAMARCA,consulta externa,personas de 21 a 59 anos,2008-04-01,31,36,1,1,32,37,69
BELEN DE URMIRI,consulta externa,personas de 21 a 59 anos,2008-04-01,18,52,1,2,19,54,73
BELLA FLOR,consulta externa,personas de 21 a 59 anos,2008-04-01,34,28,3,0,37,28,65
BERMEJO,consulta externa,personas de 21 a 59 anos,2008-04-01,933,1979,81,233,1014,2212,3226
BETANZOS,consulta externa,personas de 21 a 59 anos,2008-04-01,351,731,22,49,373,780,1153
BOLIVAR,consulta externa,personas de 21 a 59 anos,2008-04-01,42,61,2,2,44,63,107
BOLPEBRA,consulta externa,personas de 21 a 59 anos,2008-04-01,37,23,5,5,42,28,70
BOYUIBE,consulta externa,personas de 21 a 59 anos,2008-04-01,50,92,12,35,62,127,189
BUENA VISTA,consulta externa,personas de 21 a 59 anos,2008-04-01,152,162,32,40,184,202,386
CABEZAS,consulta externa,personas de 21 a 59 anos,2008-04-01,228,429,6,35,234,464,698
CAIROMA,consulta externa,personas de 21 a 59 anos,2008-04-01,117,170,8,5,125,175,300
"CAIZA ""D""",consulta externa,personas de 21 a 59 anos,2008-04-01,343,584,44,56,387,640,1027
CAJUATA,consulta externa,personas de 21 a 59 anos,2008-04-01,160,205,3,14,163,219,382
CALACOTO,consulta externa,personas de 21 a 59 anos,2008-04-01,58,121,3,10,61,131,192
CALAMARCA,consulta externa,personas de 21 a 59 anos,2008-04-01,55,104,9,22,64,126,190
CAMARGO,consulta externa,personas de 21 a 59 anos,2008-04-01,261,585,4,2,265,587,852
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 21 a 59 anos,2008-04-01,113,165,8,7,121,172,293
CAMIRI,consulta externa,personas de 21 a 59 anos,2008-04-01,544,1358,53,224,597,1582,2179
CAPINOTA,consulta externa,personas de 21 a 59 anos,2008-04-01,79,269,7,142,86,411,497
CAQUIAVIRI,consulta externa,personas de 21 a 59 anos,2008-04-01,55,85,2,2,57,87,144
CARACOLLO,consulta externa,personas de 21 a 59 anos,2008-04-01,77,149,4,8,81,157,238
CARANAVI,consulta externa,personas de 21 a 59 anos,2008-04-01,774,1335,13,10,787,1345,2132
CARANGAS,consulta externa,personas de 21 a 59 anos,2008-04-01,1,4,0,1,1,5,6
CARAPARI,consulta externa,personas de 21 a 59 anos,2008-04-01,451,691,5,6,456,697,1153
CARIPUYO,consulta externa,personas de 21 a 59 anos,2008-04-01,45,107,0,0,45,107,152
CARMEN RIVERO TORREZ,consulta externa,personas de 21 a 59 anos,2008-04-01,43,73,3,8,46,81,127
CATACORA,consulta externa,personas de 21 a 59 anos,2008-04-01,20,41,6,6,26,47,73
CHACARILLA,consulta externa,personas de 21 a 59 anos,2008-04-01,10,13,1,0,11,13,24
CHALLAPATA,consulta externa,personas de 21 a 59 anos,2008-04-01,485,767,29,76,514,843,1357
CHAQUI,consulta externa,personas de 21 a 59 anos,2008-04-01,57,140,2,2,59,142,201
CHARAGUA,consulta externa,personas de 21 a 59 anos,2008-04-01,134,270,4,10,138,280,418
CHARAÑA,consulta externa,personas de 21 a 59 anos,2008-04-01,46,68,2,0,48,68,116
CHAYANTA,consulta externa,personas de 21 a 59 anos,2008-04-01,104,249,2,3,106,252,358
CHIMORE,consulta externa,personas de 21 a 59 anos,2008-04-01,140,160,4,30,144,190,334
CHIPAYA,consulta externa,personas de 21 a 59 anos,2008-04-01,9,12,0,0,9,12,21
CHOQUE COTA,consulta externa,personas de 21 a 59 anos,2008-04-01,19,18,0,0,19,18,37
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 21 a 59 anos,2008-04-01,138,238,35,33,173,271,444
CHUMA,consulta externa,personas de 21 a 59 anos,2008-04-01,75,163,5,5,80,168,248
CLIZA,consulta externa,personas de 21 a 59 anos,2008-04-01,40,82,7,3,47,85,132
COBIJA,consulta externa,personas de 21 a 59 anos,2008-04-01,992,2026,488,1047,1480,3073,4553
COCHABAMBA,consulta externa,personas de 21 a 59 anos,2008-04-01,12046,20942,8150,18379,20196,39321,59517
COIPASA,consulta externa,personas de 21 a 59 anos,2008-04-01,11,18,0,1,11,19,30
COLCAPIRHUA,consulta externa,personas de 21 a 59 anos,2008-04-01,326,805,97,263,423,1068,1491
"COLCHA ""K""",consulta externa,personas de 21 a 59 anos,2008-04-01,147,280,3,7,150,287,437
COLLANA,consulta externa,personas de 21 a 59 anos,2008-04-01,19,29,5,9,24,38,62
COLOMI,consulta externa,personas de 21 a 59 anos,2008-04-01,85,172,2,24,87,196,283
COLPA BELGICA,consulta externa,personas de 21 a 59 anos,2008-04-01,25,68,7,16,32,84,116
COLQUECHACA,consulta externa,personas de 21 a 59 anos,2008-04-01,262,541,8,1,270,542,812
COLQUENCHA,consulta externa,personas de 21 a 59 anos,2008-04-01,69,139,6,18,75,157,232
COLQUIRI,consulta externa,personas de 21 a 59 anos,2008-04-01,199,362,4,20,203,382,585
