,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVA,PERSONAS DE 60 AÑOS Y MÁS NUEVA,PERSONAS DE 60 AÑOS Y MÁS REPETIDAS,PERSONAS DE 60 AÑOS Y MÁS REPETIDAS,TOTALES,TOTALES,TOTALES
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 60 anos y mas,2008-04-01,14,1,5,2,19,3,22
NAZACARA DE PACAJES,consulta externa,personas de 60 anos y mas,2008-04-01,6,10,0,0,6,10,16
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 60 anos y mas,2008-04-01,8,3,1,0,9,3,12
OCURI,consulta externa,personas de 60 anos y mas,2008-04-01,34,87,1,0,35,87,122
OKINAWA,consulta externa,personas de 60 anos y mas,2008-04-01,92,103,7,10,99,113,212
OMEREQUE,consulta externa,personas de 60 anos y mas,2008-04-01,10,24,1,0,11,24,35
ORURO,consulta externa,personas de 60 anos y mas,2008-04-01,3180,3708,1903,2205,5083,5913,10996
PADCAYA,consulta externa,personas de 60 anos y mas,2008-04-01,43,52,2,4,45,56,101
PADILLA,consulta externa,personas de 60 anos y mas,2008-04-01,148,275,7,16,155,291,446
PAILON,consulta externa,personas de 60 anos y mas,2008-04-01,25,19,3,0,28,19,47
PALCA,consulta externa,personas de 60 anos y mas,2008-04-01,37,46,11,3,48,49,97
PALOS BLANCOS,consulta externa,personas de 60 anos y mas,2008-04-01,96,66,13,4,109,70,179
PAMPA AULLAGAS,consulta externa,personas de 60 anos y mas,2008-04-01,7,8,0,1,7,9,16
PAMPA GRANDE,consulta externa,personas de 60 anos y mas,2008-04-01,20,28,3,6,23,34,57
PAPEL PAMPA,consulta externa,personas de 60 anos y mas,2008-04-01,43,38,0,0,43,38,81
PASORAPA,consulta externa,personas de 60 anos y mas,2008-04-01,12,34,1,3,13,37,50
PATACAMAYA,consulta externa,personas de 60 anos y mas,2008-04-01,89,55,0,4,89,59,148
PAZÑA,consulta externa,personas de 60 anos y mas,2008-04-01,31,41,19,22,50,63,113
PELECHUCO,consulta externa,personas de 60 anos y mas,2008-04-01,25,12,2,0,27,12,39
POCOATA,consulta externa,personas de 60 anos y mas,2008-04-01,71,91,0,1,71,92,163
POCONA,consulta externa,personas de 60 anos y mas,2008-04-01,50,71,3,1,53,72,125
POJO (CBBA),consulta externa,personas de 60 anos y mas,2008-04-01,21,15,1,0,22,15,37
POOPO,consulta externa,personas de 60 anos y mas,2008-04-01,41,46,13,12,54,58,112
PORCO,consulta externa,personas de 60 anos y mas,2008-04-01,18,29,0,6,18,35,53
POROMA,consulta externa,personas de 60 anos y mas,2008-04-01,94,80,0,0,94,80,174
PORONGO,consulta externa,personas de 60 anos y mas,2008-04-01,41,28,1,0,42,28,70
PORTACHUELO,consulta externa,personas de 60 anos y mas,2008-04-01,157,140,17,26,174,166,340
PORVENIR,consulta externa,personas de 60 anos y mas,2008-04-01,9,8,1,0,10,8,18
POSTRER VALLE,consulta externa,personas de 60 anos y mas,2008-04-01,33,35,1,1,34,36,70
POTOSI,consulta externa,personas de 60 anos y mas,2008-04-01,1640,1936,1035,1230,2675,3166,5841
PRESTO,consulta externa,personas de 60 anos y mas,2008-04-01,91,65,0,0,91,65,156
PUCARA,consulta externa,personas de 60 anos y mas,2008-04-01,28,52,0,3,28,55,83
PUCARANI,consulta externa,personas de 60 anos y mas,2008-04-01,48,31,4,7,52,38,90
PUERTO ACOSTA,consulta externa,personas de 60 anos y mas,2008-04-01,136,116,23,5,159,121,280
PUERTO CARABUCO,consulta externa,personas de 60 anos y mas,2008-04-01,68,51,4,0,72,51,123
PUERTO GONZALO MORENO,consulta externa,personas de 60 anos y mas,2008-04-01,35,12,1,0,36,12,48
PUERTO PEREZ,consulta externa,personas de 60 anos y mas,2008-04-01,22,37,3,5,25,42,67
PUERTO QUIJARRO,consulta externa,personas de 60 anos y mas,2008-04-01,76,61,6,8,82,69,151
PUERTO RICO,consulta externa,personas de 60 anos y mas,2008-04-01,8,11,0,0,8,11,19
PUERTO SILES,consulta externa,personas de 60 anos y mas,2008-04-01,16,17,0,0,16,17,33
PUERTO SUAREZ,consulta externa,personas de 60 anos y mas,2008-04-01,105,93,7,9,112,102,214
PUERTO VILLARROEL,consulta externa,personas de 60 anos y mas,2008-04-01,48,39,1,2,49,41,90
PUNA,consulta externa,personas de 60 anos y mas,2008-04-01,180,288,8,7,188,295,483
PUNATA,consulta externa,personas de 60 anos y mas,2008-04-01,170,355,80,96,250,451,701
QUIABAYA,consulta externa,personas de 60 anos y mas,2008-04-01,17,10,4,1,21,11,32
QUILLACOLLO,consulta externa,personas de 60 anos y mas,2008-04-01,439,642,248,502,687,1144,1831
QUIME,consulta externa,personas de 60 anos y mas,2008-04-01,33,16,2,1,35,17,52
QUIRUSILLAS,consulta externa,personas de 60 anos y mas,2008-04-01,23,21,2,5,25,26,51
RAVELO,consulta externa,personas de 60 anos y mas,2008-04-01,74,114,0,1,74,115,189
REYES,consulta externa,personas de 60 anos y mas,2008-04-01,80,94,74,99,154,193,347
RIBERALTA,consulta externa,personas de 60 anos y mas,2008-04-01,147,156,21,30,168,186,354
ROBORE,consulta externa,personas de 60 anos y mas,2008-04-01,69,81,23,29,92,110,202
RURRENABAQUE,consulta externa,personas de 60 anos y mas,2008-04-01,98,119,70,99,168,218,386
SABAYA,consulta externa,personas de 60 anos y mas,2008-04-01,38,60,0,1,38,61,99
SACABA,consulta externa,personas de 60 anos y mas,2008-04-01,141,161,70,78,211,239,450
SACABAMBA,consulta externa,personas de 60 anos y mas,2008-04-01,15,18,1,5,16,23,39
SACACA,consulta externa,personas de 60 anos y mas,2008-04-01,31,69,2,2,33,71,104
SAIPINA,consulta externa,personas de 60 anos y mas,2008-04-01,11,15,0,0,11,15,26
SALINAS DE GARCI MENDOZA,consulta externa,personas de 60 anos y mas,2008-04-01,36,55,3,4,39,59,98
SAMAIPATA,consulta externa,personas de 60 anos y mas,2008-04-01,83,50,3,0,86,50,136
SAN AGUSTIN,consulta externa,personas de 60 anos y mas,2008-04-01,9,16,0,0,9,16,25
SAN ANDRES,consulta externa,personas de 60 anos y mas,2008-04-01,20,28,24,2,44,30,74
SAN ANDRES DE MACHACA,consulta externa,personas de 60 anos y mas,2008-04-01,89,105,10,10,99,115,214
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 60 anos y mas,2008-04-01,5,8,0,1,5,9,14
SAN ANTONIO DE LOMERIO,consulta externa,personas de 60 anos y mas,2008-04-01,38,39,0,0,38,39,77
SAN BENITO,consulta externa,personas de 60 anos y mas,2008-04-01,20,25,3,7,23,32,55
SAN BORJA,consulta externa,personas de 60 anos y mas,2008-04-01,77,131,88,127,165,258,423
SAN BUENA VENTURA,consulta externa,personas de 60 anos y mas,2008-04-01,65,73,13,9,78,82,160
SAN CARLOS,consulta externa,personas de 60 anos y mas,2008-04-01,87,106,12,0,99,106,205
SAN IGNACIO,consulta externa,personas de 60 anos y mas,2008-04-01,149,184,46,60,195,244,439
SAN IGNACIO DE VELASCO,consulta externa,personas de 60 anos y mas,2008-04-01,310,272,29,55,339,327,666
SAN JAVIER(BNI),consulta externa,personas de 60 anos y mas,2008-04-01,30,21,0,0,30,21,51
SAN JAVIER(STC),consulta externa,personas de 60 anos y mas,2008-04-01,59,58,3,12,62,70,132
SAN JOAQUIN,consulta externa,personas de 60 anos y mas,2008-04-01,155,160,47,51,202,211,413
SAN JOSE DE CHIQUITOS,consulta externa,personas de 60 anos y mas,2008-04-01,81,102,9,11,90,113,203
SAN JUAN DE YAPACANI,consulta externa,personas de 60 anos y mas,2008-04-01,68,60,20,11,88,71,159
SAN JULIAN,consulta externa,personas de 60 anos y mas,2008-04-01,155,113,24,25,179,138,317
SAN LORENZO(PND),consulta externa,personas de 60 anos y mas,2008-04-01,1,0,0,0,1,0,1
SAN LORENZO(TJA),consulta externa,personas de 60 anos y mas,2008-04-01,44,83,3,13,47,96,143
SAN LUCAS,consulta externa,personas de 60 anos y mas,2008-04-01,183,322,25,36,208,358,566
SAN MATIAS,consulta externa,personas de 60 anos y mas,2008-04-01,43,44,2,0,45,44,89
SAN MIGUEL DE VELASCO,consulta externa,personas de 60 anos y mas,2008-04-01,42,61,48,100,90,161,251
SAN PABLO DE LIPEZ,consulta externa,personas de 60 anos y mas,2008-04-01,23,19,2,1,25,20,45
SAN PEDRO,consulta externa,personas de 60 anos y mas,2008-04-01,96,112,6,9,102,121,223
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 60 anos y mas,2008-04-01,44,73,0,1,44,74,118
SAN PEDRO DE CURAHUARA,consulta externa,personas de 60 anos y mas,2008-04-01,36,37,3,4,39,41,80
SAN PEDRO DE QUEMES,consulta externa,personas de 60 anos y mas,2008-04-01,5,14,2,1,7,15,22
SAN PEDRO DE TIQUINA,consulta externa,personas de 60 anos y mas,2008-04-01,13,27,3,3,16,30,46
SAN PEDRO(PND),consulta externa,personas de 60 anos y mas,2008-04-01,7,5,2,0,9,5,14
SAN RAFAEL,consulta externa,personas de 60 anos y mas,2008-04-01,10,8,0,0,10,8,18
SAN RAMON,consulta externa,personas de 60 anos y mas,2008-04-01,20,3,8,9,28,12,40
SAN RAMON,consulta externa,personas de 60 anos y mas,2008-04-01,90,124,0,1,90,125,215
SANTA ANA,consulta externa,personas de 60 anos y mas,2008-04-01,183,294,65,81,248,375,623
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 60 anos y mas,2008-04-01,7692,10466,3738,5949,11430,16415,27845
SANTA ROSA,consulta externa,personas de 60 anos y mas,2008-04-01,81,97,0,0,81,97,178
SANTA ROSA DEL SARA,consulta externa,personas de 60 anos y mas,2008-04-01,48,46,1,3,49,49,98
SANTIAGO DE CALLAPA,consulta externa,personas de 60 anos y mas,2008-04-01,13,16,1,4,14,20,34
SANTIAGO DE HUARI,consulta externa,personas de 60 anos y mas,2008-04-01,59,66,18,14,77,80,157
SANTIAGO DE MACHACA,consulta externa,personas de 60 anos y mas,2008-04-01,32,30,2,0,34,30,64
SANTIVAÑES,consulta externa,personas de 60 anos y mas,2008-04-01,16,45,1,1,17,46,63
SANTUARIO DE QUILLACAS,consulta externa,personas de 60 anos y mas,2008-04-01,9,13,1,1,10,14,24
SAPAHAQUI,consulta externa,personas de 60 anos y mas,2008-04-01,29,48,4,5,33,53,86
SENA,consulta externa,personas de 60 anos y mas,2008-04-01,2,1,0,0,2,1,3
SICA SICA (VILLA AROMA),consulta externa,personas de 60 anos y mas,2008-04-01,52,52,7,1,59,53,112
SICAYA,consulta externa,personas de 60 anos y mas,2008-04-01,8,16,0,2,8,18,26
SIPE SIPE,consulta externa,personas de 60 anos y mas,2008-04-01,25,43,4,13,29,56,85
SOPACHUY,consulta externa,personas de 60 anos y mas,2008-04-01,52,90,0,0,52,90,142
SORACACHI,consulta externa,personas de 60 anos y mas,2008-04-01,11,26,2,2,13,28,41
SORATA,consulta externa,personas de 60 anos y mas,2008-04-01,85,88,12,4,97,92,189
SUCRE,consulta externa,personas de 60 anos y mas,2008-04-01,2261,3393,1728,2674,3989,6067,10056
TACACHI,consulta externa,personas de 60 anos y mas,2008-04-01,0,10,1,7,1,17,18
TACACOMA,consulta externa,personas de 60 anos y mas,2008-04-01,16,8,3,4,19,12,31
TACOBAMBA,consulta externa,personas de 60 anos y mas,2008-04-01,35,43,0,0,35,43,78
TACOPAYA,consulta externa,personas de 60 anos y mas,2008-04-01,27,34,0,0,27,34,61
TAHUA,consulta externa,personas de 60 anos y mas,2008-04-01,12,14,0,2,12,16,28
TAPACARI,consulta externa,personas de 60 anos y mas,2008-04-01,54,71,0,2,54,73,127
TARABUCO,consulta externa,personas de 60 anos y mas,2008-04-01,50,106,32,42,82,148,230
TARACO,consulta externa,personas de 60 anos y mas,2008-04-01,19,24,0,0,19,24,43
TARATA,consulta externa,personas de 60 anos y mas,2008-04-01,26,30,3,3,29,33,62
TARIJA,consulta externa,personas de 60 anos y mas,2008-04-01,1983,2658,1463,1644,3446,4302,7748
TARVITA,consulta externa,personas de 60 anos y mas,2008-04-01,100,181,2,7,102,188,290
TEOPONTE,consulta externa,personas de 60 anos y mas,2008-04-01,65,29,5,6,70,35,105
TIAWANACU,consulta externa,personas de 60 anos y mas,2008-04-01,31,30,1,0,32,30,62
TINGUIPAYA,consulta externa,personas de 60 anos y mas,2008-04-01,32,63,0,1,32,64,96
TIPUANI,consulta externa,personas de 60 anos y mas,2008-04-01,50,24,11,10,61,34,95
TIQUIPAYA,consulta externa,personas de 60 anos y mas,2008-04-01,38,42,7,18,45,60,105
TIRAQUE (CBBA),consulta externa,personas de 60 anos y mas,2008-04-01,86,81,30,14,116,95,211
TITO YUPANQUI (PARQUIPUJIO),consulta externa,personas de 60 anos y mas,2008-04-01,10,11,1,2,11,13,24
TOCO,consulta externa,personas de 60 anos y mas,2008-04-01,13,15,0,0,13,15,28
TODOS SANTOS,consulta externa,personas de 60 anos y mas,2008-04-01,2,6,0,1,2,7,9
TOLATA,consulta externa,personas de 60 anos y mas,2008-04-01,15,34,2,7,17,41,58
TOLEDO,consulta externa,personas de 60 anos y mas,2008-04-01,30,35,4,0,34,35,69
TOMAVE,consulta externa,personas de 60 anos y mas,2008-04-01,82,119,6,12,88,131,219
TOMINA,consulta externa,personas de 60 anos y mas,2008-04-01,74,84,6,3,80,87,167
TORO TORO,consulta externa,personas de 60 anos y mas,2008-04-01,34,57,0,0,34,57,91
TOTORA(CBBA),consulta externa,personas de 60 anos y mas,2008-04-01,14,20,0,2,14,22,36
TOTORA(ORR),consulta externa,personas de 60 anos y mas,2008-04-01,23,29,1,0,24,29,53
TRIGAL,consulta externa,personas de 60 anos y mas,2008-04-01,22,33,0,5,22,38,60
TRINIDAD,consulta externa,personas de 60 anos y mas,2008-04-01,385,405,122,219,507,624,1131
TUPIZA,consulta externa,personas de 60 anos y mas,2008-04-01,342,358,202,78,544,436,980
TURCO,consulta externa,personas de 60 anos y mas,2008-04-01,37,34,0,0,37,34,71
UMALA,consulta externa,personas de 60 anos y mas,2008-04-01,5,10,0,0,5,10,15
UNCIA,consulta externa,personas de 60 anos y mas,2008-04-01,163,56,21,29,184,85,269
URIONDO (A. CONCEPCION),consulta externa,personas de 60 anos y mas,2008-04-01,42,65,1,3,43,68,111
URUBICHA,consulta externa,personas de 60 anos y mas,2008-04-01,12,20,1,8,13,28,41
UYUNI,consulta externa,personas de 60 anos y mas,2008-04-01,222,254,42,52,264,306,570
VACAS,consulta externa,personas de 60 anos y mas,2008-04-01,53,85,12,23,65,108,173
VALLEGRANDE,consulta externa,personas de 60 anos y mas,2008-04-01,261,306,139,209,400,515,915
VIACHA,consulta externa,personas de 60 anos y mas,2008-04-01,306,291,115,146,421,437,858
VILA VILA,consulta externa,personas de 60 anos y mas,2008-04-01,13,14,2,2,15,16,31
VILLA MONTES,consulta externa,personas de 60 anos y mas,2008-04-01,63,144,57,68,120,212,332
VILLA NUEVA (LOMA ALTA),consulta externa,personas de 60 anos y mas,2008-04-01,9,6,4,2,13,8,21
VILLA RIVERO,consulta externa,personas de 60 anos y mas,2008-04-01,13,18,6,4,19,22,41
VILLA SERRANO,consulta externa,personas de 60 anos y mas,2008-04-01,72,89,3,2,75,91,166
VILLA TUNARI,consulta externa,personas de 60 anos y mas,2008-04-01,308,208,61,54,369,262,631
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,personas de 60 anos y mas,2008-04-01,70,64,8,4,78,68,146
VILLAZON,consulta externa,personas de 60 anos y mas,2008-04-01,97,189,38,62,135,251,386
VINTO,consulta externa,personas de 60 anos y mas,2008-04-01,44,75,43,77,87,152,239
VITICHI,consulta externa,personas de 60 anos y mas,2008-04-01,52,128,3,14,55,142,197
WALDO BALLIVIAN,consulta externa,personas de 60 anos y mas,2008-04-01,10,7,0,1,10,8,18
WARNES,consulta externa,personas de 60 anos y mas,2008-04-01,170,186,132,134,302,320,622
YACO,consulta externa,personas de 60 anos y mas,2008-04-01,48,56,14,15,62,71,133
YACUIBA,consulta externa,personas de 60 anos y mas,2008-04-01,628,859,233,296,861,1155,2016
YAMPARAEZ,consulta externa,personas de 60 anos y mas,2008-04-01,59,73,10,3,69,76,145
YANACACHI,consulta externa,personas de 60 anos y mas,2008-04-01,19,19,3,0,22,19,41
YAPACANI,consulta externa,personas de 60 anos y mas,2008-04-01,297,241,27,22,324,263,587
YOCALLA,consulta externa,personas de 60 anos y mas,2008-04-01,36,93,1,7,37,100,137
YOTALA,consulta externa,personas de 60 anos y mas,2008-04-01,46,80,7,19,53,99,152
YUNCHARA,consulta externa,personas de 60 anos y mas,2008-04-01,10,23,0,0,10,23,33
ZUDAÑEZ,consulta externa,personas de 60 anos y mas,2008-04-01,82,106,2,6,84,112,196
ACACIO,consulta externa,personas de 60 anos y mas,2008-05-01,19,37,1,0,20,37,57
ACHACACHI,consulta externa,personas de 60 anos y mas,2008-05-01,330,299,59,59,389,358,747
ACHOCALLA,consulta externa,personas de 60 anos y mas,2008-05-01,27,33,0,1,27,34,61
AIQUILE,consulta externa,personas de 60 anos y mas,2008-05-01,96,108,38,40,134,148,282
ALALAY,consulta externa,personas de 60 anos y mas,2008-05-01,16,4,0,0,16,4,20
ALCALA,consulta externa,personas de 60 anos y mas,2008-05-01,16,42,0,2,16,44,60
ANCORAIMES,consulta externa,personas de 60 anos y mas,2008-05-01,35,34,3,9,38,43,81
ANDAMARCA,consulta externa,personas de 60 anos y mas,2008-05-01,28,40,2,7,30,47,77
ANTEQUERA,consulta externa,personas de 60 anos y mas,2008-05-01,10,22,1,1,11,23,34
ANZALDO,consulta externa,personas de 60 anos y mas,2008-05-01,19,17,0,1,19,18,37
APOLO,consulta externa,personas de 60 anos y mas,2008-05-01,22,37,14,22,36,59,95
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2008-05-01,10,17,0,0,10,17,27
ARANI,consulta externa,personas de 60 anos y mas,2008-05-01,7,24,1,3,8,27,35
ARBIETO,consulta externa,personas de 60 anos y mas,2008-05-01,22,43,5,9,27,52,79
ARQUE,consulta externa,personas de 60 anos y mas,2008-05-01,15,25,0,3,15,28,43
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2008-05-01,50,38,4,4,54,42,96
ATOCHA,consulta externa,personas de 60 anos y mas,2008-05-01,123,175,59,73,182,248,430
AUCAPATA,consulta externa,personas de 60 anos y mas,2008-05-01,21,15,1,0,22,15,37
AYATA,consulta externa,personas de 60 anos y mas,2008-05-01,46,42,2,3,48,45,93
AYO AYO,consulta externa,personas de 60 anos y mas,2008-05-01,21,24,0,0,21,24,45
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 60 anos y mas,2008-05-01,69,69,4,5,73,74,147
AZURDUY,consulta externa,personas de 60 anos y mas,2008-05-01,51,71,0,0,51,71,122
BATALLAS,consulta externa,personas de 60 anos y mas,2008-05-01,64,62,5,2,69,64,133
BAURES,consulta externa,personas de 60 anos y mas,2008-05-01,15,11,24,30,39,41,80
BELEN DE ANDAMARCA,consulta externa,personas de 60 anos y mas,2008-05-01,18,15,8,1,26,16,42
BELEN DE URMIRI,consulta externa,personas de 60 anos y mas,2008-05-01,10,12,4,1,14,13,27
BELLA FLOR,consulta externa,personas de 60 anos y mas,2008-05-01,5,3,0,0,5,3,8
BERMEJO,consulta externa,personas de 60 anos y mas,2008-05-01,198,230,56,59,254,289,543
BETANZOS,consulta externa,personas de 60 anos y mas,2008-05-01,222,300,59,70,281,370,651
BOLIVAR,consulta externa,personas de 60 anos y mas,2008-05-01,12,26,0,2,12,28,40
BOLPEBRA,consulta externa,personas de 60 anos y mas,2008-05-01,10,1,1,0,11,1,12
BOYUIBE,consulta externa,personas de 60 anos y mas,2008-05-01,17,30,3,15,20,45,65
BUENA VISTA,consulta externa,personas de 60 anos y mas,2008-05-01,82,60,4,7,86,67,153
CABEZAS,consulta externa,personas de 60 anos y mas,2008-05-01,47,55,10,15,57,70,127
CAIROMA,consulta externa,personas de 60 anos y mas,2008-05-01,39,30,5,0,44,30,74
"CAIZA ""D""",consulta externa,personas de 60 anos y mas,2008-05-01,102,130,8,12,110,142,252
CAJUATA,consulta externa,personas de 60 anos y mas,2008-05-01,38,55,0,4,38,59,97
CALACOTO,consulta externa,personas de 60 anos y mas,2008-05-01,53,54,6,0,59,54,113
CALAMARCA,consulta externa,personas de 60 anos y mas,2008-05-01,29,22,8,1,37,23,60
CAMARGO,consulta externa,personas de 60 anos y mas,2008-05-01,201,285,10,20,211,305,516
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 60 anos y mas,2008-05-01,62,88,4,12,66,100,166
CAMIRI,consulta externa,personas de 60 anos y mas,2008-05-01,155,293,39,63,194,356,550
CAPINOTA,consulta externa,personas de 60 anos y mas,2008-05-01,68,56,27,22,95,78,173
CAQUIAVIRI,consulta externa,personas de 60 anos y mas,2008-05-01,47,49,4,4,51,53,104
CARACOLLO,consulta externa,personas de 60 anos y mas,2008-05-01,55,41,4,6,59,47,106
CARANAVI,consulta externa,personas de 60 anos y mas,2008-05-01,355,213,15,13,370,226,596
CARANGAS,consulta externa,personas de 60 anos y mas,2008-05-01,1,5,0,0,1,5,6
CARAPARI,consulta externa,personas de 60 anos y mas,2008-05-01,38,40,0,1,38,41,79
CARIPUYO,consulta externa,personas de 60 anos y mas,2008-05-01,19,21,0,0,19,21,40
CARMEN RIVERO TORREZ,consulta externa,personas de 60 anos y mas,2008-05-01,15,17,2,2,17,19,36
CATACORA,consulta externa,personas de 60 anos y mas,2008-05-01,14,6,0,2,14,8,22
CHALLAPATA,consulta externa,personas de 60 anos y mas,2008-05-01,193,138,18,22,211,160,371
CHAQUI,consulta externa,personas de 60 anos y mas,2008-05-01,38,64,2,1,40,65,105
CHARAGUA,consulta externa,personas de 60 anos y mas,2008-05-01,66,58,18,17,84,75,159
CHARAÑA,consulta externa,personas de 60 anos y mas,2008-05-01,21,18,2,1,23,19,42
CHAYANTA,consulta externa,personas de 60 anos y mas,2008-05-01,32,32,0,3,32,35,67
CHIMORE,consulta externa,personas de 60 anos y mas,2008-05-01,18,11,1,1,19,12,31
CHIPAYA,consulta externa,personas de 60 anos y mas,2008-05-01,3,2,0,0,3,2,5
CHOQUE COTA,consulta externa,personas de 60 anos y mas,2008-05-01,15,13,0,0,15,13,28
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 60 anos y mas,2008-05-01,70,61,36,26,106,87,193
CHUMA,consulta externa,personas de 60 anos y mas,2008-05-01,52,51,1,8,53,59,112
CLIZA,consulta externa,personas de 60 anos y mas,2008-05-01,22,38,6,8,28,46,74
COBIJA,consulta externa,personas de 60 anos y mas,2008-05-01,351,287,59,71,410,358,768
COCHABAMBA,consulta externa,personas de 60 anos y mas,2008-05-01,5315,6726,6710,8434,12025,15160,27185
COIPASA,consulta externa,personas de 60 anos y mas,2008-05-01,5,0,0,0,5,0,5
COLCAPIRHUA,consulta externa,personas de 60 anos y mas,2008-05-01,96,57,170,92,266,149,415
"COLCHA ""K""",consulta externa,personas de 60 anos y mas,2008-05-01,45,49,4,2,49,51,100
COLLANA,consulta externa,personas de 60 anos y mas,2008-05-01,17,16,12,9,29,25,54
COLOMI,consulta externa,personas de 60 anos y mas,2008-05-01,13,22,1,0,14,22,36
COLPA BELGICA,consulta externa,personas de 60 anos y mas,2008-05-01,117,76,46,53,163,129,292
COLQUECHACA,consulta externa,personas de 60 anos y mas,2008-05-01,86,112,1,1,87,113,200
COLQUENCHA,consulta externa,personas de 60 anos y mas,2008-05-01,33,37,9,13,42,50,92
COLQUIRI,consulta externa,personas de 60 anos y mas,2008-05-01,53,71,0,1,53,72,125
COMANCHE,consulta externa,personas de 60 anos y mas,2008-05-01,22,17,2,3,24,20,44
COMARAPA,consulta externa,personas de 60 anos y mas,2008-05-01,149,205,15,11,164,216,380
COMBAYA,consulta externa,personas de 60 anos y mas,2008-05-01,14,10,0,0,14,10,24
CONCEPCION,consulta externa,personas de 60 anos y mas,2008-05-01,50,58,1,0,51,58,109
COPACABANA,consulta externa,personas de 60 anos y mas,2008-05-01,26,36,0,2,26,38,64
CORIPATA,consulta externa,personas de 60 anos y mas,2008-05-01,39,34,11,8,50,42,92
CORO CORO,consulta externa,personas de 60 anos y mas,2008-05-01,35,32,0,1,35,33,68
COROICO,consulta externa,personas de 60 anos y mas,2008-05-01,68,70,67,99,135,169,304
CORQUE,consulta externa,personas de 60 anos y mas,2008-05-01,29,34,3,7,32,41,73
COTAGAITA,consulta externa,personas de 60 anos y mas,2008-05-01,234,382,10,11,244,393,637
COTOCA,consulta externa,personas de 60 anos y mas,2008-05-01,136,195,11,11,147,206,353
CUATRO CAÑADAS,consulta externa,personas de 60 anos y mas,2008-05-01,25,19,2,3,27,22,49
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 60 anos y mas,2008-05-01,2,8,0,0,2,8,10
CUEVO,consulta externa,personas de 60 anos y mas,2008-05-01,29,42,2,14,31,56,87
CULPINA,consulta externa,personas de 60 anos y mas,2008-05-01,89,136,0,0,89,136,225
CURAHUARA DE CARANGAS,consulta externa,personas de 60 anos y mas,2008-05-01,60,31,0,1,60,32,92
CURVA,consulta externa,personas de 60 anos y mas,2008-05-01,6,16,0,0,6,16,22
DESAGUADERO,consulta externa,personas de 60 anos y mas,2008-05-01,25,33,4,1,29,34,63
EL ALTO,consulta externa,personas de 60 anos y mas,2008-05-01,1153,1441,941,811,2094,2252,4346
EL CHORO,consulta externa,personas de 60 anos y mas,2008-05-01,40,32,6,1,46,33,79
EL PUENTE(STC),consulta externa,personas de 60 anos y mas,2008-05-01,16,25,1,2,17,27,44
EL PUENTE(TJA),consulta externa,personas de 60 anos y mas,2008-05-01,30,54,13,23,43,77,120
EL TORNO,consulta externa,personas de 60 anos y mas,2008-05-01,463,448,38,40,501,488,989
EL VILLAR,consulta externa,personas de 60 anos y mas,2008-05-01,23,48,1,3,24,51,75
ENTRE RIOS,consulta externa,personas de 60 anos y mas,2008-05-01,23,27,3,5,26,32,58
ENTRE RIOS,consulta externa,personas de 60 anos y mas,2008-05-01,85,102,1,1,86,103,189
ESCARA,consulta externa,personas de 60 anos y mas,2008-05-01,2,3,1,3,3,6,9
ESMERALDA,consulta externa,personas de 60 anos y mas,2008-05-01,26,21,6,10,32,31,63
EUCALIPTUS,consulta externa,personas de 60 anos y mas,2008-05-01,27,18,0,1,27,19,46
EUREKA (SANTOS MERCADO),consulta externa,personas de 60 anos y mas,2008-05-01,0,1,0,0,0,1,1
EXALTACION,consulta externa,personas de 60 anos y mas,2008-05-01,20,14,5,2,25,16,41
FERNANDEZ ALONSO,consulta externa,personas de 60 anos y mas,2008-05-01,14,14,2,2,16,16,32
FILADELFIA,consulta externa,personas de 60 anos y mas,2008-05-01,3,9,0,1,3,10,13
GENERAL SAAVEDRA,consulta externa,personas de 60 anos y mas,2008-05-01,33,45,0,0,33,45,78
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 60 anos y mas,2008-05-01,28,41,6,9,34,50,84
GUANAY,consulta externa,personas de 60 anos y mas,2008-05-01,79,55,14,24,93,79,172
GUAQUI,consulta externa,personas de 60 anos y mas,2008-05-01,35,44,8,6,43,50,93
GUAYARAMERIN,consulta externa,personas de 60 anos y mas,2008-05-01,404,408,186,144,590,552,1142
GUTIERREZ,consulta externa,personas de 60 anos y mas,2008-05-01,63,69,2,5,65,74,139
HUACARETA,consulta externa,personas de 60 anos y mas,2008-05-01,47,68,11,21,58,89,147
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 60 anos y mas,2008-05-01,7,43,0,0,7,43,50
HUACHACALLA,consulta externa,personas de 60 anos y mas,2008-05-01,136,80,0,0,136,80,216
