,group,variable,month,TOTAL 20.1 DPT 5TA DOSIS CANTIDAD,TOTAL 20.1 DPT 5TA DOSIS CANTIDAD,TOTALES
IXIAMAS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,7,0,7
JESUS DE MACHACA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,8,3,11
LA ASUNTA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,5,1,6
LA GUARDIA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,14,0,14
LA PAZ,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,132,65,197
LAGUNILLAS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,1,5,6
LAS CARRERAS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,3,1,4
LICOMA PAMPA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,1,1,2
LLALLAGUA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,0,1,1
LORETO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,0,2,2
LURIBAY,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,3,2,5
MACHARETI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,6,6,12
MAGDALENA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,4,0,4
MAIRANA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,4,15,19
MECAPACA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,2,1,3
MINEROS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,27,11,38
MIZQUE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,5,8,13
MOJOCOYA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,3,2,5
MONTEAGUDO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,31,30,61
MONTERO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,105,26,131
MORO MORO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,2,4,6
MOROCHATA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,1,2,3
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,0,2,2
OKINAWA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,16,16,32
OMEREQUE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,3,16,19
ORURO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,74,0,74
PADCAYA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,17,6,23
PADILLA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,13,14,27
PAILON,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,5,30,35
PAMPA AULLAGAS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,0,1,1
PAMPA GRANDE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,6,1,7
PASORAPA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,1,0,1
POCONA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,4,7,11
POJO (CBBA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,4,4,8
POROMA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,7,14,21
PORONGO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,2,0,2
PORVENIR,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,1,16,17
POSTRER VALLE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,0,2,2
POTOSI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,89,13,102
PRESTO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,1,0,1
PUCARA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,0,2,2
PUCARANI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,0,2,2
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,1,7,8
PUERTO PEREZ,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,2,4,6
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,6,2,8
PUERTO SUAREZ,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,12,0,12
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,33,9,42
PUNA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,1,4,5
PUNATA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,19,1,20
QUILLACOLLO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,22,98,120
REYES,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,7,0,7
RIBERALTA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,32,0,32
ROBORE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,5,2,7
RURRENABAQUE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,12,0,12
SACABA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,56,39,95
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,5,11,16
SAMAIPATA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,2,3,5
SAN ANDRES,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,7,6,13
SAN ANTONIO DE LOMERIO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,3,3,6
SAN BENITO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,4,1,5
SAN BORJA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,26,8,34
SAN CARLOS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,3,39,42
SAN IGNACIO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,18,3,21
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,8,1,9
SAN JAVIER(STC),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,3,5,8
SAN JOAQUIN,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,0,1,1
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,13,1,14
SAN JULIAN,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,7,11,18
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,11,14,25
SAN LUCAS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,7,11,18
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,13,4,17
SAN PEDRO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,10,0,10
SAN PEDRO DE TIQUINA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,4,7,11
SAN RAFAEL,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,9,0,9
SAN RAMON BENI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,13,10,23
SANTA ANA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,8,22,30
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,346,78,424
SANTA ROSA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,5,0,5
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,11,0,11
SANTIAGO DE HUARI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,1,3,4
SANTUARIO DE QUILLACAS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,3,0,3
SAPAHAQUI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,0,3,3
SENA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,1,5,6
SHINAOTA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,6,9,15
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,2,1,3
SIPE SIPE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,3,7,10
SOPACHUY,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,1,4,5
SORACACHI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,1,1,2
SORATA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,0,6,6
SUCRE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,85,114,199
TACOBAMBA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,4,6,10
TACOPAYA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,3,4,7
TAPACARI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,3,3,6
TARABUCO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,14,11,25
TARACO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,5,0,5
TARATA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,3,3,6
TARIJA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,128,25,153
TARVITA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,7,13,20
TIQUIPAYA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,31,11,42
TOCO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,1,0,1
TOLATA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,6,2,8
TOMINA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,2,5,7
TOTORA(CBBA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,2,5,7
TOTORA(ORR),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,0,1,1
TRIGAL,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,0,2,2
TRINIDAD,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,29,27,56
TUPIZA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,13,2,15
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,12,6,18
URUBICHA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,2,1,3
UYUNI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,1,1,2
VACAS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,0,1,1
VALLEGRANDE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,21,0,21
VIACHA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,21,0,21
VILLA CHARCAS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,3,3,6
VILLA MONTES,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,28,12,40
VILLA SERRANO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,11,9,20
VILLA TUNARI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,18,7,25
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,7,11,18
VILLAZON,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,22,1,23
VITICHI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,0,1,1
WARNES,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,83,47,130
YACUIBA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,44,16,60
YAMPARAEZ,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,3,5,8
YAPACANI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,2,0,2
YOTALA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,2,12,14
YUNCHARA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,1,18,19
ZUDAÑEZ,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-04-01,0,1,1
ACACIO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,11,6,17
ACHOCALLA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,1,0,1
AIQUILE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,3,7,10
ALALAY,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,1,5,6
ALCALA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,2,2,4
ALTO BENI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,11,0,11
ANDAMARCA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,1,2,3
ANTEQUERA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,1,4,5
ANZALDO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,2,9,11
ARANI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,1,8,9
ARBIETO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,10,9,19
ARQUE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,0,4,4
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,17,86,103
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,7,18,25
AZURDUY,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,12,5,17
BATALLAS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,0,3,3
BAURES,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,0,3,3
BELEN DE URMIRI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,0,3,3
BELLA FLOR,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,2,13,15
BERMEJO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,34,40,74
BOLIVAR,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,1,1,2
BOYUIBE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,2,0,2
BUENA VISTA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,20,0,20
CABEZAS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,0,1,1
CAIROMA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,4,1,5
CAMARGO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,9,3,12
CAMATAQUI (C. VILLA ABECIA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,4,3,7
CAPINOTA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,12,7,19
CARACOLLO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,6,19,25
CARANAVI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,33,18,51
CARAPARI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,12,13,25
CARIPUYO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,3,11,14
CHALLAPATA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,12,15,27
CHIMORE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,21,5,26
CHIPAYA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,2,8,10
CHOQUE COTA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,2,0,2
CHUMA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,1,1,2
CKOCHAS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,9,9,18
CLIZA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,17,17,34
COBIJA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,28,57,85
COCAPATA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,6,21,27
COCHABAMBA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,127,108,235
COLCAPIRHUA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,5,0,5
COLOMI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,5,5,10
COLQUIRI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,5,0,5
COMARAPA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,6,0,6
COMBAYA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,0,3,3
CONCEPCION,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,9,54,63
COPACABANA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,3,19,22
CORIPATA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,1,2,3
COROICO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,11,6,17
CORQUE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,3,3,6
COTAGAITA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,16,16,32
COTOCA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,3,3,6
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,36,72,108
CURAHUARA DE CARANGAS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,3,4,7
EL ALTO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,259,873,1132
EL PUENTE(STC),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,8,95,103
EL PUENTE(TJA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,12,7,19
EL TORNO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,58,79,137
EL VILLAR,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,4,5,9
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,16,55,71
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,32,14,46
ESCARA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,0,1,1
EUREKA (SANTOS MERCADO),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,0,11,11
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,32,28,60
FILADELFIA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,1,7,8
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,4,2,6
GUANAY,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,1,0,1
GUAQUI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,0,3,3
GUAYARAMERIN,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,19,18,37
HUACARETA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,12,3,15
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,0,4,4
HUANUNI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,7,5,12
ICHOCA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,1,0,1
ICLA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,17,10,27
INCAHUASI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,7,6,13
INGAVI (HUMAITA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,0,9,9
INQUISIVI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,4,0,4
IRUPANA (VILLA DE LANZA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,1,4,5
IXIAMAS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,6,2,8
JESUS DE MACHACA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,3,3,6
LA ASUNTA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,17,4,21
LA GUARDIA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,58,115,173
LA PAZ,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,215,114,329
LAGUNILLAS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,5,8,13
LAS CARRERAS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,2,0,2
LICOMA PAMPA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,3,1,4
LLALLAGUA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,2,8,10
LORETO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,0,1,1
LURIBAY,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,5,3,8
MACHACAMARCA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,2,5,7
MACHARETI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,3,9,12
MAIRANA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,6,0,6
MALLA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,0,2,2
MECAPACA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,6,0,6
MINEROS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,21,77,98
MIZQUE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,8,7,15
MOJOCOYA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,2,0,2
MONTEAGUDO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,24,11,35
MONTERO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,97,39,136
MORO MORO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,9,2,11
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,2,7,9
OKINAWA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,18,7,25
OMEREQUE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,2,14,16
ORURO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,86,167,253
PADCAYA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,13,20,33
PADILLA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,11,6,17
PAILON,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,2,42,44
PALCA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,1,0,1
PAMPA GRANDE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,8,5,13
PAPEL PAMPA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,2,4,6
PASORAPA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,3,3,6
PATACAMAYA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,7,3,10
PAZÑA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,3,5,8
POCONA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,4,6,10
POJO (CBBA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,2,2,4
POOPO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,0,1,1
POROMA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,16,15,31
PORONGO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,12,9,21
PORVENIR,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,4,11,15
POSTRER VALLE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,0,5,5
POTOSI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,83,30,113
PRESTO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,0,17,17
PUCARA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,3,1,4
PUCARANI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,5,8,13
PUERTO CARABUCO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,1,0,1
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,2,18,20
PUERTO PEREZ,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,1,3,4
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,1,59,60
PUERTO RICO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,0,1,1
PUERTO SUAREZ,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,9,38,47
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,30,41,71
PUNA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,8,10,18
PUNATA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,15,3,18
QUILLACOLLO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,37,156,193
QUIME,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,2,0,2
RAVELO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,11,21,32
REYES,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,5,0,5
RIBERALTA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,7,0,7
ROBORE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,2,0,2
RURRENABAQUE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,11,6,17
SACABA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,29,19,48
SACABAMBA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,3,5,8
SACACA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,1,20,21
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,7,8,15
SAMAIPATA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,14,12,26
SAN ANDRES,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,6,2,8
SAN ANDRES DE MACHACA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,3,0,3
SAN ANTONIO DE LOMERIO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-05-01,2,2,4
