,group,variable,month,TOTAL 20.2 ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTAL 20.2 ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTALES
ALTO BENI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,8,0,8
ANDAMARCA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,1,2,3
ANTEQUERA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,1,4,5
ANZALDO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,13,15
ARANI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,1,8,9
ARBIETO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,10,9,19
ARQUE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,4,4
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,17,86,103
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,7,18,25
AZURDUY,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,12,5,17
BATALLAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,3,3
BAURES,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,3,3
BELEN DE URMIRI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,3,3
BELLA FLOR,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,13,15
BERMEJO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,34,43,77
BOLIVAR,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,1,1,2
BOYUIBE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,0,2
BUENA VISTA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,20,0,20
CABEZAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,1,1
CAIROMA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,4,1,5
"CAIZA ""D""",vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,4,4
CAMARGO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,9,3,12
CAMATAQUI (C. VILLA ABECIA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,4,3,7
CAPINOTA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,12,7,19
CARACOLLO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,6,19,25
CARANAVI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,33,18,51
CARAPARI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,12,13,25
CARIPUYO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,3,11,14
CHALLAPATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,12,15,27
CHIMORE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,21,5,26
CHIPAYA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,8,10
CHOQUE COTA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,0,2
CHUMA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,1,0,1
CKOCHAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,9,9,18
CLIZA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,17,17,34
COBIJA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,28,57,85
COCAPATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,6,21,27
COCHABAMBA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,129,108,237
COLCAPIRHUA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,7,0,7
COLOMI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,5,5,10
COLQUIRI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,5,0,5
COMARAPA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,6,0,6
COMBAYA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,3,3
CONCEPCION,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,9,54,63
COPACABANA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,3,19,22
CORIPATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,1,2,3
COROICO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,11,6,17
CORQUE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,3,3,6
COTAGAITA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,16,16,32
COTOCA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,3,3,6
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,36,72,108
CURAHUARA DE CARANGAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,3,5,8
EL ALTO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,269,883,1152
EL PUENTE(STC),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,8,95,103
EL PUENTE(TJA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,12,7,19
EL TORNO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,58,79,137
EL VILLAR,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,4,5,9
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,16,55,71
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,32,20,52
ESCARA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,1,1
EUREKA (SANTOS MERCADO),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,11,11
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,32,28,60
FILADELFIA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,1,7,8
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,4,2,6
GUANAY,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,1,0,1
GUAQUI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,3,3
GUAYARAMERIN,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,22,18,40
HUACARETA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,12,3,15
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,4,4
HUANUNI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,7,5,12
ICHOCA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,1,0,1
ICLA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,17,10,27
INCAHUASI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,7,6,13
INGAVI (HUMAITA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,9,9
INQUISIVI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,4,0,4
IRUPANA (VILLA DE LANZA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,1,1,2
IXIAMAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,6,2,8
JESUS DE MACHACA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,3,3,6
LA ASUNTA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,17,4,21
LA GUARDIA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,58,115,173
LA PAZ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,215,113,328
LAGUNILLAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,5,8,13
LAS CARRERAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,0,2
LICOMA PAMPA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,3,1,4
LLALLAGUA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,8,10
LORETO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,1,1
LURIBAY,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,5,3,8
MACHACAMARCA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,5,7
MACHARETI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,3,9,12
MAGDALENA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,9,0,9
MAIRANA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,6,0,6
MALLA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,2,2
MECAPACA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,6,0,6
MINEROS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,21,77,98
MIZQUE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,8,7,15
MOJOCOYA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,0,2
MONTEAGUDO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,24,11,35
MONTERO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,97,39,136
MORO MORO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,9,2,11
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,7,9
OKINAWA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,18,7,25
OMEREQUE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,14,16
ORURO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,85,164,249
PADCAYA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,13,20,33
PADILLA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,11,6,17
PAILON,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,42,44
PALCA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,1,0,1
PAMPA GRANDE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,8,5,13
PAPEL PAMPA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,4,6
PASORAPA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,3,3,6
PATACAMAYA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,7,3,10
PAZÑA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,3,5,8
POCOATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,4,4
POCONA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,4,6,10
POJO (CBBA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,2,4
POOPO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,1,1
POROMA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,16,15,31
PORONGO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,12,9,21
PORVENIR,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,4,11,15
POSTRER VALLE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,5,5
POTOSI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,83,30,113
PRESTO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,17,17
PUCARA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,3,1,4
PUCARANI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,5,8,13
PUERTO CARABUCO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,1,0,1
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,18,20
PUERTO PEREZ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,1,3,4
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,1,59,60
PUERTO RICO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,1,1
PUERTO SUAREZ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,9,38,47
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,36,41,77
PUNA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,9,10,19
PUNATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,15,3,18
QUILLACOLLO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,37,156,193
QUIME,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,0,2
RAVELO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,11,21,32
REYES,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,5,0,5
RIBERALTA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,6,0,6
ROBORE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,9,1,10
RURRENABAQUE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,11,6,17
SACABA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,29,19,48
SACABAMBA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,3,5,8
SACACA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,3,28,31
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,7,8,15
SAMAIPATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,14,12,26
SAN ANDRES,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,6,2,8
SAN ANDRES DE MACHACA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,3,0,3
SAN ANTONIO DE LOMERIO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,2,4
SAN BENITO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,9,10,19
SAN BORJA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,17,29,46
SAN BUENA VENTURA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,10,15,25
SAN CARLOS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,33,19,52
SAN IGNACIO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,11,3,14
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,6,42,48
SAN JAVIER(STC),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,14,11,25
SAN JOAQUIN,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,3,3,6
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,8,147,155
SAN JUAN DE YAPACANI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,2,4
SAN JULIAN,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,8,49,57
SAN LORENZO(PND),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,1,1
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,19,14,33
SAN LUCAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,13,23,36
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,18,10,28
SAN PEDRO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,10,1,11
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,5,5
SAN PEDRO DE TIQUINA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,6,6
SAN PEDRO(PND),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,5,7
SAN RAFAEL,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,5,8,13
SAN RAMON BENI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,3,20,23
SANTA ANA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,583,338,921
SANTA ROSA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,4,0,4
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,16,51,67
SANTIAGO DE HUARI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,3,5
SAPAHAQUI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,2,4
SENA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,8,4,12
SHINAOTA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,6,8
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,10,7,17
SIPE SIPE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,8,10,18
SOPACHUY,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,2,4
SORACACHI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,1,1
SORATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,11,11
SUCRE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,107,104,211
TACOBAMBA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,5,5
TACOPAYA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,3,6,9
TAPACARI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,5,10,15
TARABUCO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,9,22,31
TARACO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,4,0,4
TARATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,4,2,6
TARIJA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,133,62,195
TARVITA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,3,5,8
TEOPONTE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,10,22,32
TIQUIPAYA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,15,23,38
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,5,5
TITO YUPANQUI (PARQUIPUJIO),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,3,3,6
TOCO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,3,3,6
TOLATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,1,3
TOLEDO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,3,3
TOMINA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,4,7,11
TORO TORO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,2,3,5
TOTORA(CBBA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,4,13,17
TOTORA(ORR),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,8,6,14
TRIGAL,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,1,2,3
TRINIDAD,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,74,93,167
TUPIZA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,16,21,37
UNCIA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,7,7
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,8,5,13
URUBICHA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,0,28,28
UYUNI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,8,7,15
VACAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,1,4,5
VALLEGRANDE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,27,3,30
VIACHA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,15,4,19
VILA VILA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,1,3,4
VILLA CHARCAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,6,0,6
VILLA MONTES,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,42,56,98
VILLA NUEVA (LOMA ALTA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,10,2,12
VILLA RIVERO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,1,2,3
VILLA SERRANO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,10,14,24
VILLA TUNARI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,34,10,44
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,7,8,15
VILLAZON,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,37,7,44
VITICHI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,4,0,4
WARNES,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,71,95,166
YACUIBA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,64,104,168
YAMPARAEZ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,14,8,22
YAPACANI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,11,0,11
YOTALA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,4,11,15
YUNCHARA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,1,3,4
ZUDAÑEZ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-05-01,3,2,5
AIQUILE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-06-01,4,4,8
ALALAY,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-06-01,1,3,4
ALCALA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-06-01,3,5,8
ALTO BENI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-06-01,5,0,5
ANCORAIMES,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-06-01,1,0,1
ANDAMARCA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-06-01,1,1,2
ANTEQUERA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-06-01,2,1,3
ARAMPAMPA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-06-01,0,7,7
ARANI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-06-01,5,2,7
ARBIETO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-06-01,6,12,18
ARQUE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-06-01,2,1,3
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-06-01,12,1,13
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-06-01,11,39,50
AZURDUY,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-06-01,2,4,6
BATALLAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-06-01,3,1,4
BAURES,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-06-01,5,0,5
BELEN DE URMIRI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-06-01,0,1,1
BELLA FLOR,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-06-01,0,7,7
BERMEJO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-06-01,19,53,72
BETANZOS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-06-01,0,2,2
BOLIVAR,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-06-01,0,2,2
