,group,variable,month,2. NRO DE NEONATOS (DE 7 A 28 DÍAS) A LOS QUE SE LES HA REALIZADO TAMIZAJE NEONATAL TEMPRANO CANTIDAD,2. NRO DE NEONATOS (DE 7 A 28 DÍAS) A LOS QUE SE LES HA REALIZADO TAMIZAJE NEONATAL TEMPRANO CANTIDAD,TOTALES,TOTALES,TOTALES
VILLA TUNARI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,1,0,1,0,1
WALDO BALLIVIAN,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,0,2,0,2,2
WARNES,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,0,1,0,1,1
ANCORAIMES,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,3,0,3,0,3
APOLO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,0,1,0,1
AUCAPATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,0,1,0,1
AYATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,1,1,1,2
AYO AYO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,5,2,5,2,7
BERMEJO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,0,1,0,1,1
CAIROMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,1,1,1,2
CAMARGO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,2,1,2,3
CHUMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,3,4,3,4,7
COCHABAMBA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,5,4,5,4,9
EL ALTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,181,251,181,251,432
EL PUENTE(STC),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,0,3,0,3,3
HUANUNI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,0,1,0,1,1
ICLA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,0,1,0,1
INQUISIVI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,0,2,0,2,2
LA GUARDIA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,8,4,8,4,12
LA PAZ,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,66,66,66,66,132
LAJA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,2,1,2,1,3
MACHARETI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,2,1,2,1,3
MINEROS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,2,4,2,4,6
MOCOMOCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,0,1,0,1,1
MOJOCOYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,0,1,0,1,1
MONTERO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,4,4,4,4,8
PAILON,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,0,2,0,2,2
PATACAMAYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,7,7,7,7,14
PELECHUCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,2,1,2,3
PORTACHUELO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,5,1,5,6
POTOSI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,0,1,0,1
PRESTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,2,1,2,3
PUERTO ACOSTA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,2,1,2,3
QUIME,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,3,0,3,0,3
RIBERALTA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,7,8,7,8,15
SAN BUENA VENTURA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,4,3,4,3,7
SAN IGNACIO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,2,1,2,3
SAN JUAN DE YAPACANI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,0,1,0,1
SAN LUCAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,13,10,13,10,23
SAN PEDRO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,40,35,40,35,75
SANTIAGO DE MACHACA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,0,1,0,1
SAPAHAQUI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,0,1,0,1
SUCRE,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,9,7,9,7,16
TARVITA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,3,1,3,1,4
TOTORA(CBBA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,3,4,3,4,7
URUBICHA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,1,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,0,1,0,1
WALDO BALLIVIAN,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,0,1,0,1
WARNES,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,2,0,2,0,2
YOTALA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-05-01,1,0,1,0,1
ALCALA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,0,1,0,1,1
APOLO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,3,0,3,0,3
AYATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,2,1,2,3
AYO AYO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,0,1,0,1
BATALLAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,0,2,0,2,2
CABEZAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,0,1,0,1,1
CALAMARCA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,3,4,3,4,7
CAQUIAVIRI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,0,1,0,1
CHUMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,3,1,3,1,4
COCHABAMBA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,3,2,3,5
COLQUIRI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,0,1,0,1
CONCEPCION,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,0,2,0,2
CORO CORO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,1,1,1,2
COTOCA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,3,5,3,5,8
CUATRO CAÑADAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,1,1,1,2
EL ALTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,54,63,54,63,117
ESCOMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,0,1,0,1,1
GENERAL SAAVEDRA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,2,1,2,3
GRAL. J.J. PEREZ (CHARAZANI),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,0,2,0,2
HUACARETA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,0,1,0,1,1
HUATAJATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,0,1,0,1
INQUISIVI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,4,0,4,0,4
IRUPANA (VILLA DE LANZA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,0,1,0,1
JESUS DE MACHACA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,0,1,0,1,1
LA GUARDIA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,3,2,3,2,5
LA PAZ,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,56,54,56,54,110
LAJA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,5,2,5,7
MACHARETI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,0,1,0,1
MINEROS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,1,2,1,3
MOCOMOCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,2,2,2,4
MOJOCOYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,0,1,0,1,1
MONTEAGUDO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,0,1,0,1
MONTERO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,4,4,4,4,8
ORURO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,1,1,1,2
PATACAMAYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,4,2,4,2,6
PELECHUCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,0,2,0,2,2
POROMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,0,1,0,1
PORONGO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,0,1,0,1,1
PORTACHUELO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,0,1,0,1
POTOSI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,2,2,2,4
PRESTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,3,2,3,5
PUERTO ACOSTA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,1,2,1,3
PUERTO CARABUCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,0,1,0,1
RIBERALTA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,8,4,8,4,12
SAN IGNACIO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,3,2,3,5
SAN LUCAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,9,3,9,3,12
SAN PEDRO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,29,31,29,31,60
SAPAHAQUI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,1,0,1,0,1
SICA SICA (VILLA AROMA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,1,2,1,3
SUCRE,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,10,11,10,11,21
TARABUCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,0,2,0,2
TARVITA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,3,3,3,3,6
TOTORA(CBBA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,4,7,4,7,11
UMALA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,0,1,0,1,1
VALLEGRANDE,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,2,5,2,5,7
VILLA VACA GUZMAN (MUYUPAMPA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,0,1,0,1,1
WALDO BALLIVIAN,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-06-01,0,2,0,2,2
APOLO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,4,1,4,5
AUCAPATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,1,1,1,2
AYATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,2,1,2,3
AYO AYO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,2,1,2,3
CARANAVI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,2,1,2,3
CHUMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,3,0,3,3
COCHABAMBA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,5,15,5,15,20
COLQUIRI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,2,0,2,2
CONCEPCION,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,0,1,0,1
CUATRO CAÑADAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,1,0,1,1
EL ALTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,66,65,66,65,131
EL PUENTE(STC),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,0,1,0,1
ESCOMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,2,0,2,0,2
FERNANDEZ ALONSO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,2,1,2,1,3
GENERAL SAAVEDRA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,3,0,3,3
GRAL. J.J. PEREZ (CHARAZANI),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,4,1,4,5
HUACAYA (VILLA DE HUACAYA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,1,0,1,1
HUARINA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,1,0,1,1
ICLA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,1,1,1,2
INQUISIVI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,6,4,6,4,10
IRUPANA (VILLA DE LANZA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,0,1,0,1
LA GUARDIA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,7,3,7,3,10
LA PAZ,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,23,33,23,33,56
LAJA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,5,4,5,4,9
LICOMA PAMPA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,1,0,1,1
MACHARETI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,2,0,2,2
MALLA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,1,1,1,2
MINEROS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,1,1,1,2
MOCOMOCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,4,3,4,3,7
MONTERO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,3,4,3,4,7
PATACAMAYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,7,3,7,3,10
PELECHUCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,4,2,4,2,6
PORTACHUELO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,3,1,3,1,4
PRESTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,2,1,2,3
PUERTO VILLARROEL,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,1,0,1,1
RIBERALTA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,8,6,8,6,14
SAN BUENA VENTURA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,5,6,5,6,11
SAN JAVIER(STC),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,9,7,9,7,16
SAN LUCAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,5,9,5,9,14
SAN PEDRO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,57,48,57,48,105
SANTIAGO DE HUATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,1,0,1,1
SAPAHAQUI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,2,0,2,2
SUCRE,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,12,11,12,11,23
TACOPAYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,0,1,0,1
TARVITA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,2,0,2,2
TOTORA(CBBA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,8,1,8,1,9
VILLA CHARCAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,3,0,3,0,3
WALDO BALLIVIAN,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,0,1,0,1
WARNES,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,2,0,2,2
APOLO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,0,1,0,1
AYATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,2,1,2,1,3
AYO AYO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,0,1,0,1
CAIROMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,0,1,0,1,1
CALAMARCA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,2,0,2,0,2
COCHABAMBA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,6,6,6,6,12
COLLANA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,1,1,1,2
COLQUIRI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,2,3,2,3,5
