,group,variable,month,VACUNACIONES SRP,VACUNACIONES SRP,VACUNACIONES SRP,VACUNACIONES SRP,TOTALES,TOTALES,TOTALES
ZUDAÑEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-02-01,10,7,0,0,10,7,17
ACACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,4,13,0,0,4,13,17
ACHACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,10,121,0,0,10,121,131
ACHOCALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,0,29,0,0,0,29,29
AIQUILE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,32,32,0,0,32,32,64
ALALAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,0,10,0,0,0,10,10
ALCALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,5,0,0,0,5,0,5
ANCORAIMES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,8,32,0,0,8,32,40
ANDAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,3,3,0,0,3,3,6
ANTEQUERA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,6,1,0,0,6,1,7
ANZALDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,2,23,0,0,2,23,25
APOLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,11,28,0,0,11,28,39
ARAMPAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,1,10,0,0,1,10,11
ARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,2,13,0,0,2,13,15
ARBIETO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,10,11,0,0,10,11,21
ARQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,25,18,0,0,25,18,43
ASCENCION DE GUARAYOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,32,0,0,0,32,0,32
ATOCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,18,6,0,0,18,6,24
AUCAPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,0,8,0,0,0,8,8
AYATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,0,12,0,0,0,12,12
AYO AYO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,0,2,0,0,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,19,45,0,0,19,45,64
AZURDUY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,6,18,0,0,6,18,24
BATALLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,15,15,0,0,15,15,30
BAURES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,6,7,0,0,6,7,13
BELEN DE ANDAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,2,1,0,0,2,1,3
BELEN DE URMIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,1,2,0,0,1,2,3
BELLA FLOR,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,3,5,0,0,3,5,8
BERMEJO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,53,39,0,0,53,39,92
BETANZOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,39,53,0,0,39,53,92
BOLIVAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,6,15,0,0,6,15,21
BOYUIBE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,0,8,0,0,0,8,8
BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,16,23,0,0,16,23,39
CABEZAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,35,18,0,0,35,18,53
CAIROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,0,17,0,0,0,17,17
"CAIZA ""D""",vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,5,18,0,0,5,18,23
CAJUATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,9,3,0,0,9,3,12
CALACOTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,1,3,0,0,1,3,4
CALAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,1,12,0,0,1,12,13
CAMARGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,7,9,0,0,7,9,16
CAMATAQUI (C. VILLA ABECIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,4,0,0,0,4,0,4
CAMIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,31,16,0,0,31,16,47
CAPINOTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,14,28,0,0,14,28,42
CAQUIAVIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,6,13,0,0,6,13,19
CARACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,19,14,0,0,19,14,33
CARANAVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,99,90,0,0,99,90,189
CARAPARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,19,20,0,0,19,20,39
CARIPUYO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,4,24,0,0,4,24,28
CARMEN RIVERO TORREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,8,5,0,0,8,5,13
CATACORA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,2,0,0,0,2,0,2
CHALLAPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,19,39,0,0,19,39,58
CHAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,2,7,0,0,2,7,9
CHARAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,14,63,0,0,14,63,77
CHARAÑA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,0,7,0,0,0,7,7
CHAYANTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,20,27,0,0,20,27,47
CHIMORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,27,12,0,0,27,12,39
CHIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,5,0,0,0,5,0,5
CHOQUE COTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,3,0,0,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,5,27,0,0,5,27,32
CHUMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,7,13,0,0,7,13,20
CLIZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,21,30,0,0,21,30,51
COBIJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,52,43,0,0,52,43,95
COCHABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,1105,106,0,0,1105,106,1211
COIPASA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,1,0,0,0,1,0,1
COLCAPIRHUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,85,30,0,0,85,30,115
"COLCHA ""K""",vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,21,9,0,0,21,9,30
COLLANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,0,5,0,0,0,5,5
COLOMI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,11,19,0,0,11,19,30
COLPA BELGICA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,12,3,0,0,12,3,15
COLQUECHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,19,97,0,0,19,97,116
COLQUENCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,4,6,0,0,4,6,10
COLQUIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,4,33,0,0,4,33,37
COMANCHE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,6,3,0,0,6,3,9
COMARAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,24,14,0,0,24,14,38
COMBAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,0,4,0,0,0,4,4
CONCEPCION,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,41,8,0,0,41,8,49
COPACABANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,10,23,0,0,10,23,33
CORIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,20,8,0,0,20,8,28
CORO CORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,0,14,0,0,0,14,14
COROICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,2,19,0,0,2,19,21
CORQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,3,8,0,0,3,8,11
COTAGAITA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,4,44,0,0,4,44,48
COTOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,92,57,0,0,92,57,149
CUATRO CAÑADAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,16,24,0,0,16,24,40
CUCHUMUELA (V. G. VILLARROEL),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,1,2,0,0,1,2,3
CUEVO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,3,5,0,0,3,5,8
CULPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,15,26,0,0,15,26,41
CURAHUARA DE CARANGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,9,3,0,0,9,3,12
DESAGUADERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,3,4,0,0,3,4,7
EL ALTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,1222,263,0,0,1222,263,1485
EL CHORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,3,5,0,0,3,5,8
EL PUENTE(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,12,5,0,0,12,5,17
EL PUENTE(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,9,16,0,0,9,16,25
EL TORNO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,58,18,0,0,58,18,76
EL VILLAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,2,0,0,0,2,0,2
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,55,15,0,0,55,15,70
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,23,17,0,0,23,17,40
EUCALIPTUS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,5,1,0,0,5,1,6
EUREKA (SANTOS MERCADO),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,1,0,0,0,1,0,1
EXALTACION,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,1,0,0,0,1,0,1
FERNANDEZ ALONSO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,27,11,0,0,27,11,38
FILADELFIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,8,4,0,0,8,4,12
GENERAL SAAVEDRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,31,13,0,0,31,13,44
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,5,24,0,0,5,24,29
GUANAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,12,23,0,0,12,23,35
GUAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,8,11,0,0,8,11,19
GUAYARAMERIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,43,34,0,0,43,34,77
GUTIERREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,7,20,0,0,7,20,27
HUACARETA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,23,7,0,0,23,7,30
HUACAYA (VILLA DE HUACAYA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,1,0,0,0,1,0,1
HUACHACALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,2,1,0,0,2,1,3
HUANUNI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,36,12,0,0,36,12,48
HUARACAJE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,5,1,0,0,5,1,6
HUAYLLAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,1,4,0,0,1,4,5
ICHOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,0,8,0,0,0,8,8
ICLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,6,13,0,0,6,13,19
INCAHUASI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,28,47,0,0,28,47,75
INQUISIVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,8,25,0,0,8,25,33
IRUPANA (VILLA DE LANZA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,8,24,0,0,8,24,32
IXIAMAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,6,3,0,0,6,3,9
JESUS DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,13,15,0,0,13,15,28
LA ASUNTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,51,34,0,0,51,34,85
LA GUARDIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,122,9,0,0,122,9,131
LA PAZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,1254,101,0,0,1254,101,1355
LAGUNILLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,6,7,0,0,6,7,13
LAJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,13,32,0,0,13,32,45
LAS CARRERAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,4,6,0,0,4,6,10
LICOMA PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,3,1,0,0,3,1,4
LLALLAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,13,77,0,0,13,77,90
LLICA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,3,4,0,0,3,4,7
LORETO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,4,1,0,0,4,1,5
LURIBAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,1,20,0,0,1,20,21
MACHACAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,7,6,0,0,7,6,13
MACHARETI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,12,3,0,0,12,3,15
MAGDALENA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,18,20,0,0,18,20,38
MAIRANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,10,6,0,0,10,6,16
MALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,0,5,0,0,0,5,5
MAPIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,12,9,0,0,12,9,21
MECAPACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,16,18,0,0,16,18,34
MINEROS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,44,30,0,0,44,30,74
MIZQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,23,39,0,0,23,39,62
MOCOMOCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,2,43,0,0,2,43,45
MOJOCOYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,7,4,0,0,7,4,11
MONTEAGUDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,31,16,0,0,31,16,47
MONTERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,195,28,0,0,195,28,223
MORO MORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,2,3,0,0,2,3,5
MOROCHATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,11,41,0,0,11,41,52
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,1,13,0,0,1,13,14
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,2,0,0,0,2,0,2
OCURI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,13,44,0,0,13,44,57
OKINAWA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,21,4,0,0,21,4,25
OMEREQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,2,10,0,0,2,10,12
ORURO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,394,29,0,0,394,29,423
PADCAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,16,17,0,0,16,17,33
PADILLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,5,7,0,0,5,7,12
PAILON,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,38,85,0,0,38,85,123
PALCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,4,44,0,0,4,44,48
PALOS BLANCOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,48,29,0,0,48,29,77
PAMPA AULLAGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,4,3,0,0,4,3,7
PAMPA GRANDE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,8,3,0,0,8,3,11
PAPEL PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,1,14,0,0,1,14,15
PASORAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,4,3,0,0,4,3,7
PATACAMAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,22,56,0,0,22,56,78
PAZÑA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,3,7,0,0,3,7,10
PELECHUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,5,16,0,0,5,16,21
POCOATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,7,61,0,0,7,61,68
POCONA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,13,13,0,0,13,13,26
POJO (CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,15,13,0,0,15,13,28
POOPO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,5,3,0,0,5,3,8
PORCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,11,4,0,0,11,4,15
POROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,8,30,0,0,8,30,38
PORONGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,11,9,0,0,11,9,20
PORTACHUELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,28,7,0,0,28,7,35
PORVENIR,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,5,8,0,0,5,8,13
POSTRER VALLE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,2,1,0,0,2,1,3
POTOSI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,257,66,0,0,257,66,323
PRESTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,11,15,0,0,11,15,26
PUCARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,3,3,0,0,3,3,6
PUCARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,8,42,0,0,8,42,50
PUERTO ACOSTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,8,40,0,0,8,40,48
PUERTO CARABUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,2,41,0,0,2,41,43
PUERTO GONZALO MORENO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,2,13,0,0,2,13,15
PUERTO PEREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,0,15,0,0,0,15,15
PUERTO QUIJARRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,20,23,0,0,20,23,43
PUERTO RICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,9,3,0,0,9,3,12
PUERTO SUAREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,27,13,0,0,27,13,40
PUERTO VILLARROEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,84,25,0,0,84,25,109
PUNA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,11,56,0,0,11,56,67
PUNATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,28,11,0,0,28,11,39
QUIABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,0,1,0,0,0,1,1
QUILLACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,153,61,0,0,153,61,214
QUIME,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,0,9,0,0,0,9,9
QUIRUSILLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,0,1,0,0,0,1,1
RAVELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,12,47,0,0,12,47,59
REYES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,37,11,0,0,37,11,48
RIBERALTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,206,79,0,0,206,79,285
ROBORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,24,16,0,0,24,16,40
RURRENABAQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,25,15,0,0,25,15,40
SABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,4,5,0,0,4,5,9
SACABA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,97,74,0,0,97,74,171
SACABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,5,6,0,0,5,6,11
SACACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,6,43,0,0,6,43,49
SAIPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,5,7,0,0,5,7,12
SALINAS DE GARCI MENDOZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,7,12,0,0,7,12,19
SAMAIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,6,9,0,0,6,9,15
SAN AGUSTIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,1,0,0,0,1,0,1
SAN ANDRES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,7,9,0,0,7,9,16
SAN ANDRES DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,2,8,0,0,2,8,10
SAN ANTONIO DE ESMORUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,2,0,0,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,2,3,0,0,2,3,5
SAN BENITO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,7,5,0,0,7,5,12
SAN BORJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,43,80,0,0,43,80,123
SAN BUENA VENTURA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,1,22,0,0,1,22,23
SAN CARLOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,34,24,0,0,34,24,58
SAN IGNACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,27,4,0,0,27,4,31
SAN IGNACIO DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,138,26,0,0,138,26,164
SAN JAVIER(BNI),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,1,4,0,0,1,4,5
SAN JAVIER(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,35,7,0,0,35,7,42
SAN JOAQUIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,2,4,0,0,2,4,6
SAN JOSE DE CHIQUITOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,19,46,0,0,19,46,65
SAN JUAN DE YAPACANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,20,18,0,0,20,18,38
SAN JULIAN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,28,104,0,0,28,104,132
SAN LORENZO(PND),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,5,12,0,0,5,12,17
SAN LORENZO(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,17,13,0,0,17,13,30
SAN LUCAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,43,52,0,0,43,52,95
SAN MATIAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,35,15,0,0,35,15,50
SAN MIGUEL DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,22,9,0,0,22,9,31
SAN PABLO DE LIPEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,4,3,0,0,4,3,7
SAN PEDRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,50,0,0,0,50,0,50
SAN PEDRO DE BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,14,108,0,0,14,108,122
SAN PEDRO DE CURAHUARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-03-01,4,19,0,0,4,19,23
