,group,variable,month,VACUNACIONES FIEBRE AMARILLA,VACUNACIONES FIEBRE AMARILLA,VACUNACIONES FIEBRE AMARILLA,VACUNACIONES FIEBRE AMARILLA,TOTALES,TOTALES,TOTALES
SAN PEDRO DE TIQUINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,3,11,0,0,3,11,14
SAN PEDRO(PND),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,1,0,0,0,1,0,1
SAN RAFAEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,9,6,0,0,9,6,15
SAN RAMON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,21,1,0,0,21,1,22
SAN RAMON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,0,6,0,0,0,6,6
SANTA ANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,26,43,0,0,26,43,69
SANTA CRUZ DE LA SIERRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,2112,128,0,0,2112,128,2240
SANTA ROSA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,4,14,0,0,4,14,18
SANTA ROSA DEL SARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,24,6,0,0,24,6,30
SANTIAGO DE CALLAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,0,1,0,0,0,1,1
SANTIAGO DE HUARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,4,11,0,0,4,11,15
SANTIAGO DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,0,7,0,0,0,7,7
SANTIVAÑES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,6,1,0,0,6,1,7
SANTUARIO DE QUILLACAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,0,3,0,0,0,3,3
SAPAHAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,2,13,0,0,2,13,15
SENA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,12,0,0,0,12,0,12
SICA SICA (VILLA AROMA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,4,58,0,0,4,58,62
SICAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,0,3,0,0,0,3,3
SIPE SIPE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,18,32,0,0,18,32,50
SOPACHUY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,5,14,0,0,5,14,19
SORACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,3,3,0,0,3,3,6
SORATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,11,65,0,0,11,65,76
SUCRE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,302,81,0,0,302,81,383
TACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,4,0,0,0,4,0,4
TACACOMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,9,7,0,0,9,7,16
TACOBAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,2,22,0,0,2,22,24
TACOPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,6,7,0,0,6,7,13
TAHUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,0,1,0,0,0,1,1
TAPACARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,31,42,0,0,31,42,73
TARABUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,19,25,0,0,19,25,44
TARACO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,0,8,0,0,0,8,8
TARATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,8,1,0,0,8,1,9
TARIJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,354,151,0,0,354,151,505
TARVITA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,18,17,0,0,18,17,35
TEOPONTE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,6,18,0,0,6,18,24
TIAWANACU,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,5,25,0,0,5,25,30
TINGUIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,5,29,0,0,5,29,34
TIPUANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,7,12,0,0,7,12,19
TIQUIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,64,67,0,0,64,67,131
TIRAQUE (CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,53,40,0,0,53,40,93
TITO YUPANQUI (PARQUIPUJIO),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,2,3,0,0,2,3,5
TOCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,5,12,0,0,5,12,17
TOLATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,5,8,0,0,5,8,13
TOLEDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,2,9,0,0,2,9,11
TOMAVE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,2,14,0,0,2,14,16
TOMINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,15,5,0,0,15,5,20
TORO TORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,10,23,0,0,10,23,33
TOTORA(CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,40,18,0,0,40,18,58
TOTORA(ORR),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,2,5,0,0,2,5,7
TRIGAL,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,5,3,0,0,5,3,8
TRINIDAD,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,108,98,0,0,108,98,206
TUPIZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,48,13,0,0,48,13,61
TURCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,4,14,0,0,4,14,18
UMALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,0,20,0,0,0,20,20
UNCIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,4,44,0,0,4,44,48
URIONDO (A. CONCEPCION),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,4,8,0,0,4,8,12
URUBICHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,19,0,0,0,19,0,19
UYUNI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,41,24,0,0,41,24,65
VACAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,3,25,0,0,3,25,28
VALLEGRANDE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,20,2,0,0,20,2,22
VIACHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,31,46,0,0,31,46,77
VILA VILA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,6,8,0,0,6,8,14
VILLA MONTES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,44,59,0,0,44,59,103
VILLA NUEVA (LOMA ALTA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,0,3,0,0,0,3,3
VILLA RIVERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,2,1,0,0,2,1,3
VILLA SERRANO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,17,3,0,0,17,3,20
VILLA TUNARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,118,106,0,0,118,106,224
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,4,7,0,0,4,7,11
VILLAZON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,25,8,0,0,25,8,33
VINTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,29,13,0,0,29,13,42
VITICHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,4,15,0,0,4,15,19
WALDO BALLIVIAN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,1,1,0,0,1,1,2
WARNES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,113,41,0,0,113,41,154
YACO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,5,11,0,0,5,11,16
YACUIBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,127,100,0,0,127,100,227
YAMPARAEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,14,0,0,0,14,0,14
YANACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,7,5,0,0,7,5,12
YAPACANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,48,48,0,0,48,48,96
YOCALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,6,8,0,0,6,8,14
YOTALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,10,8,0,0,10,8,18
YUNCHARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,4,13,0,0,4,13,17
ZUDAÑEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-03-01,4,3,0,0,4,3,7
ACACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,0,4,0,0,0,4,4
ACHACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,14,97,0,0,14,97,111
ACHOCALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,3,43,0,0,3,43,46
AIQUILE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,20,40,0,0,20,40,60
ALALAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,4,9,0,0,4,9,13
ALCALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,3,2,0,0,3,2,5
ANCORAIMES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,0,17,0,0,0,17,17
ANDAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,4,5,0,0,4,5,9
ANTEQUERA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,0,9,0,0,0,9,9
ANZALDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,12,14,0,0,12,14,26
APOLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,3,40,0,0,3,40,43
ARAMPAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,1,11,0,0,1,11,12
ARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,3,7,0,0,3,7,10
ARBIETO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,4,11,0,0,4,11,15
ARQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,17,14,0,0,17,14,31
ASCENCION DE GUARAYOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,22,5,0,0,22,5,27
ATOCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,9,4,0,0,9,4,13
AUCAPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,0,17,0,0,0,17,17
AYATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,7,17,0,0,7,17,24
AYO AYO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,2,15,0,0,2,15,17
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,19,59,0,0,19,59,78
AZURDUY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,25,28,0,0,25,28,53
BATALLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,6,18,0,0,6,18,24
BAURES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,9,2,0,0,9,2,11
BELEN DE ANDAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,2,1,0,0,2,1,3
BELEN DE URMIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,2,0,0,0,2,0,2
BELLA FLOR,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,0,1,0,0,0,1,1
BERMEJO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,42,48,0,0,42,48,90
BETANZOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,8,12,0,0,8,12,20
BOLIVAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,2,10,0,0,2,10,12
BOLPEBRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,0,15,0,0,0,15,15
BOYUIBE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,0,5,0,0,0,5,5
BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,10,23,0,0,10,23,33
CABEZAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,17,113,0,0,17,113,130
CAIROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,3,22,0,0,3,22,25
"CAIZA ""D""",vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,2,6,0,0,2,6,8
CAJUATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,14,20,0,0,14,20,34
CALACOTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,4,2,0,0,4,2,6
CALAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,5,13,0,0,5,13,18
CAMARGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,13,12,0,0,13,12,25
CAMATAQUI (C. VILLA ABECIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,2,4,0,0,2,4,6
CAMIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,20,13,0,0,20,13,33
CAPINOTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,13,21,0,0,13,21,34
CAQUIAVIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,1,1,0,0,1,1,2
CARACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,31,56,0,0,31,56,87
CARANAVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,89,78,0,0,89,78,167
CARAPARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,6,11,0,0,6,11,17
CARIPUYO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,2,3,0,0,2,3,5
CARMEN RIVERO TORREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,2,42,0,0,2,42,44
CATACORA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,0,1,0,0,0,1,1
CHACARILLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,0,6,0,0,0,6,6
CHALLAPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,17,82,0,0,17,82,99
CHAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,1,4,0,0,1,4,5
CHARAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,18,66,0,0,18,66,84
CHARAÑA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,4,0,0,0,4,0,4
CHAYANTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,6,13,0,0,6,13,19
CHIMORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,17,2,0,0,17,2,19
CHIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,4,3,0,0,4,3,7
CHOQUE COTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,1,6,0,0,1,6,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,7,35,0,0,7,35,42
CHUMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,5,31,0,0,5,31,36
CLIZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,9,14,0,0,9,14,23
COBIJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,63,18,0,0,63,18,81
COCHABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,938,137,0,0,938,137,1075
COIPASA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,1,0,0,0,1,0,1
COLCAPIRHUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,51,35,0,0,51,35,86
"COLCHA ""K""",vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,15,18,0,0,15,18,33
COLLANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,3,0,0,0,3,0,3
COLOMI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,6,16,0,0,6,16,22
COLPA BELGICA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,18,1,0,0,18,1,19
COLQUECHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,22,97,0,0,22,97,119
COLQUENCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,0,6,0,0,0,6,6
COLQUIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,7,52,0,0,7,52,59
COMANCHE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,0,1,0,0,0,1,1
COMARAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,18,24,0,0,18,24,42
COMBAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,0,8,0,0,0,8,8
CONCEPCION,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,35,14,0,0,35,14,49
COPACABANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,4,20,0,0,4,20,24
CORIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,14,54,0,0,14,54,68
CORO CORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,3,12,0,0,3,12,15
COROICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,9,11,0,0,9,11,20
CORQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,9,11,0,0,9,11,20
COTAGAITA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,10,35,0,0,10,35,45
COTOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,86,80,0,0,86,80,166
CUATRO CAÑADAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,22,18,0,0,22,18,40
CUCHUMUELA (V. G. VILLARROEL),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,1,7,0,0,1,7,8
CUEVO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,0,7,0,0,0,7,7
CULPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,23,26,0,0,23,26,49
CURAHUARA DE CARANGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,6,17,0,0,6,17,23
CURVA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,0,7,0,0,0,7,7
DESAGUADERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,2,10,0,0,2,10,12
EL ALTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,1035,185,0,0,1035,185,1220
EL CHORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,0,15,0,0,0,15,15
EL PUENTE(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,13,15,0,0,13,15,28
EL PUENTE(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,7,37,0,0,7,37,44
EL TORNO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,87,50,0,0,87,50,137
EL VILLAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,5,5,0,0,5,5,10
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,34,24,0,0,34,24,58
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,17,22,0,0,17,22,39
ESCARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,0,2,0,0,0,2,2
EUCALIPTUS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,8,14,0,0,8,14,22
EUREKA (SANTOS MERCADO),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,0,9,0,0,0,9,9
EXALTACION,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,4,5,0,0,4,5,9
FERNANDEZ ALONSO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,14,9,0,0,14,9,23
FILADELFIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,2,23,0,0,2,23,25
GENERAL SAAVEDRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,24,11,0,0,24,11,35
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,4,21,0,0,4,21,25
GUANAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,8,22,0,0,8,22,30
GUAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,3,12,0,0,3,12,15
GUAYARAMERIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,47,37,0,0,47,37,84
GUTIERREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,14,18,0,0,14,18,32
HUACARETA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,10,14,0,0,10,14,24
HUACAYA (VILLA DE HUACAYA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,5,0,0,0,5,0,5
HUACHACALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,3,1,0,0,3,1,4
HUANUNI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,41,68,0,0,41,68,109
HUAYLLAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,6,21,0,0,6,21,27
ICHOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,2,3,0,0,2,3,5
ICLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,14,13,0,0,14,13,27
INCAHUASI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,20,39,0,0,20,39,59
INGAVI (HUMAITA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,0,20,0,0,0,20,20
INQUISIVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,7,23,0,0,7,23,30
IRUPANA (VILLA DE LANZA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,4,18,0,0,4,18,22
IXIAMAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,9,5,0,0,9,5,14
JESUS DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,12,3,0,0,12,3,15
LA ASUNTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,33,32,0,0,33,32,65
LA GUARDIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,109,41,0,0,109,41,150
LA PAZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,1070,134,0,0,1070,134,1204
LA RIVERA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-04-01,1,2,0,0,1,2,3
