,group,variable,month,DPT 5TA DOSIS CANTIDAD,DPT 5TA DOSIS CANTIDAD,TOTALES
PUERTO SUAREZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,14,5,19
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,5,5,10
PUNATA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,8,3,11
QUILLACOLLO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,5,7,12
REYES,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,15,0,15
RIBERALTA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,9,1,10
ROBORE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,4,0,4
RURRENABAQUE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,6,0,6
SACABA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,14,24,38
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,2,0,2
SAN ANDRES,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,3,6,9
SAN ANDRES DE MACHACA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,2,0,2
SAN BORJA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,12,37,49
SAN BUENA VENTURA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,1,1,2
SAN CARLOS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,10,0,10
SAN IGNACIO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,11,10,21
SAN JOAQUIN,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,4,0,4
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,5,0,5
SAN JULIAN,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,1,2,3
SAN LORENZO(PND),vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,0,6,6
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,2,0,2
SAN LUCAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,11,35,46
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,10,4,14
SAN PEDRO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,1,1,2
SAN PEDRO DE TIQUINA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,2,1,3
SAN RAFAEL,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,3,0,3
SAN RAMON BENI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,3,7,10
SANTA ANA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,9,22,31
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,191,36,227
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,5,0,5
SHINAOTA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,4,0,4
SUCRE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,94,121,215
TACOBAMBA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,0,1,1
TACOPAYA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,0,3,3
TAPACARI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,3,1,4
TARABUCO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,4,9,13
TARATA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,1,1,2
TARIJA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,55,44,99
TARVITA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,15,26,41
TOCO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,1,2,3
TOMINA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,16,7,23
TOTORA(CBBA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,4,12,16
TRINIDAD,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,26,2,28
TUPIZA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,2,0,2
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,4,3,7
VALLEGRANDE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,8,2,10
VIACHA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,6,0,6
VILLA CHARCAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,20,16,36
VILLA MONTES,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,27,31,58
VILLA RIVERO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,2,1,3
VILLA SERRANO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,1,7,8
VILLA TUNARI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,6,0,6
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,6,11,17
VILLAZON,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,14,3,17
WARNES,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,47,19,66
YACUIBA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,18,9,27
YAMPARAEZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,5,6,11
YOTALA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,6,13,19
YUNCHARA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,0,4,4
ZUDAÑEZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-03-01,9,13,22
AIQUILE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,7,5,12
ALCALA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,6,3,9
ANTEQUERA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,4,13,17
ANZALDO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,4,4
APOLO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,1,2
ARBIETO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,20,21
ARQUE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,28,133,161
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,22,0,22
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,3,4
AZURDUY,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,3,11,14
BATALLAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,0,1
BAURES,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,0,1
BELEN DE ANDAMARCA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,3,4
BELLA FLOR,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,4,4
BERMEJO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,13,41,54
BETANZOS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,10,10
BOLIVAR,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,15,16
BOYUIBE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,4,0,4
CAMARGO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,14,28,42
CAMATAQUI (C. VILLA ABECIA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,2,0,2
CAMIRI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,19,20
CAQUIAVIRI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,1,1
CARACOLLO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,6,1,7
CARAPARI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,1,1
CHALLAPATA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,1,1
CHARAGUA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,16,16
CHIMORE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,9,9
CHUMA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,3,4
CLIZA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,10,3,13
COBIJA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,13,10,23
COCAPATA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,2,12,14
COCHABAMBA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,80,12,92
"COLCHA ""K""",vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,2,0,2
COLLANA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,11,11
COLOMI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,8,23,31
COMBAYA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,6,6
COROICO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,2,3
COTAGAITA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,7,11,18
COTOCA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,15,24,39
EL ALTO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,65,49,114
EL PUENTE(STC),vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,18,11,29
EL PUENTE(TJA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,4,3,7
EL TORNO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,24,2,26
EL VILLAR,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,7,1,8
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,5,20,25
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,17,9,26
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,9,14,23
FILADELFIA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,8,9
GUAYARAMERIN,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,20,34,54
HUACARETA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,7,4,11
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,3,3
HUARACAJE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,0,1
ICLA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,2,8,10
INCAHUASI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,0,1
JESUS DE MACHACA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,12,1,13
LA GUARDIA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,2,0,2
LA PAZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,68,44,112
LAGUNILLAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,0,1
MACHARETI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,5,23,28
MAGDALENA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,8,4,12
MAIRANA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,7,1,8
MINEROS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,28,4,32
MIZQUE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,8,33,41
MOJOCOYA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,12,8,20
MONTEAGUDO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,30,25,55
MONTERO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,43,39,82
MORO MORO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,1,2
MOROCHATA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,2,3
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,1,1
OKINAWA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,4,4,8
OMEREQUE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,3,13,16
ORURO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,66,45,111
PADCAYA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,9,4,13
PADILLA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,12,2,14
PAILON,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,18,19
PALOS BLANCOS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,0,1
PAMPA AULLAGAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,5,5
PAMPA GRANDE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,2,0,2
PAZÑA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,0,1
POCONA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,6,27,33
POJO (CBBA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,10,15,25
POROMA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,9,22,31
PORVENIR,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,3,3
POSTRER VALLE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,2,0,2
POTOSI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,28,2,30
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,2,3
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,9,0,9
PUERTO SILES,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,0,1
PUERTO SUAREZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,12,0,12
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,30,24,54
PUNA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,3,3,6
PUNATA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,4,1,5
QUILLACOLLO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,24,68,92
QUIRUSILLAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,2,2
REYES,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,12,0,12
RIBERALTA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,8,0,8
ROBORE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,4,3,7
RURRENABAQUE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,12,2,14
SACABA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,48,125,173
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,2,3
SAN ANDRES,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,3,5,8
SAN ANDRES DE MACHACA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,1,2
SAN BENITO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,0,1
SAN BORJA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,16,9,25
SAN IGNACIO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,9,39,48
SAN JAVIER(BNI),vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,2,2
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,4,2,6
SAN JULIAN,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,20,21
SAN LORENZO(PND),vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,2,3
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,0,1
SAN LUCAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,4,6,10
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,21,26,47
SAN PEDRO DE TIQUINA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,2,6,8
SAN PEDRO(PND),vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,1,1
SAN RAMON BENI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,2,6,8
SANTA ANA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,9,0,9
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,257,170,427
SANTA ROSA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,2,0,2
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,28,43,71
SANTUARIO DE QUILLACAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,2,3
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,0,1
SIPE SIPE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,2,0,2
SORACACHI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,3,3
SUCRE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,74,73,147
TACOBAMBA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,2,6,8
TACOPAYA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,4,46,50
TAPACARI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,4,21,25
TARABUCO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,3,2,5
TARIJA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,83,119,202
TARVITA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,12,35,47
TIQUIPAYA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,16,17
TOCO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,3,3
TOLATA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,45,45
TOMINA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,4,9,13
TOTORA(CBBA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,15,28,43
TRIGAL,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,2,2
TRINIDAD,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,15,1,16
TUPIZA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,20,21
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,7,1,8
UYUNI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,0,1
VACAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,2,8,10
VALLEGRANDE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,10,1,11
VIACHA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,4,0,4
VILLA CHARCAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,16,17,33
VILLA MONTES,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,14,9,23
VILLA RIVERO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,2,2
VILLA SERRANO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,5,0,5
VILLA TUNARI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,2,3
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,8,4,12
VILLAZON,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,38,16,54
VITICHI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,1,0,1
WARNES,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,66,16,82
YACUIBA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,36,14,50
YAMPARAEZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,6,6
YOTALA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,6,6,12
YUNCHARA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,2,21,23
ZUDAÑEZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-04-01,0,2,2
ACHACACHI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,1,1,2
AIQUILE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,13,3,16
ALALAY,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,0,2,2
ALCALA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,2,14,16
ANTEQUERA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,4,4,8
ANZALDO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,0,33,33
ARANI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,0,1,1
ARBIETO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,0,14,14
ARQUE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,0,1,1
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,96,0,96
ATOCHA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,5,21,26
AZURDUY,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,1,4,5
BATALLAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,1,1,2
BAURES,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,8,0,8
BELLA FLOR,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,0,13,13
BERMEJO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,18,42,60
BOLPEBRA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,0,9,9
BUENA VISTA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,0,2,2
"CAIZA ""D""",vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,1,0,1
CAMARGO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,8,10,18
CAQUIAVIRI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,0,2,2
CARACOLLO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,3,11,14
CARAPARI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,0,4,4
CHALLAPATA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,0,1,1
CHAQUI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,2,6,8
CHARAGUA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,0,21,21
CHARAÑA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,2,0,2
CHIMORE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,9,14,23
CHOQUE COTA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,0,1,1
CKOCHAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,9,8,17
CLIZA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,16,22,38
COBIJA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,13,32,45
COCAPATA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,0,10,10
COCHABAMBA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,96,104,200
"COLCHA ""K""",vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,5,1,6
COLOMI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,4,5,9
COPACABANA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,0,11,11
CORQUE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,0,1,1
COTAGAITA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,8,24,32
COTOCA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,7,17,24
CUEVO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,0,1,1
EL ALTO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,68,345,413
EL PUENTE(STC),vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,9,64,73
EL PUENTE(TJA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,1,0,1
EL TORNO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,85,129,214
EL VILLAR,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,12,4,16
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,12,11,23
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,18,26,44
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,7,22,29
FILADELFIA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,0,1,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,10,32,42
GUTIERREZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,0,2,2
HUACARETA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,7,8,15
HUANUNI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,4,11,15
HUARACAJE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,6,0,6
ICLA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,5,4,9
INCAHUASI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,2,1,3
IXIAMAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,2,2,4
JESUS DE MACHACA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,0,1,1
LA GUARDIA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,37,154,191
LA PAZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,49,24,73
LAGUNILLAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,0,13,13
LAS CARRERAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,7,1,8
LORETO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,2,0,2
MACHACAMARCA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,0,2,2
MACHARETI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2013-05-01,2,0,2
