,group,variable,month,ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTALES
FILADELFIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,3,5,8
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,2,2
GUAYARAMERIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,12,27,39
HUACARETA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,3,12,15
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,1,4,5
ICLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,22,27,49
INCAHUASI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,10,0,10
JESUS DE MACHACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,2,4,6
LA GUARDIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,22,0,22
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,60,2,62
LAGUNILLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,2,1,3
LAJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,2,3,5
MACHARETI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,4,9,13
MAGDALENA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,7,0,7
MAIRANA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,3,14,17
MINEROS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,18,0,18
MIZQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,6,30,36
MOJOCOYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,5,5
MONTEAGUDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,28,6,34
MONTERO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,204,317,521
MOROCHATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,1,2,3
OKINAWA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,10,1,11
OMEREQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,3,14,17
ORURO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,43,4,47
PADCAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,1,0,1
PADILLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,12,11,23
PAILON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,3,3
PAMPA GRANDE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,1,0,1
PASORAPA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,1,1
PAZÑA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,1,0,1
POCONA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,6,19,25
POJO (CBBA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,1,1
POROMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,8,21,29
PORONGO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,1,2,3
PORVENIR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,1,2,3
POTOSI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,29,33,62
PRESTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,5,38,43
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,2,1,3
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,10,1,11
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,14,5,19
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,6,11,17
PUNATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,8,2,10
QUILLACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,5,7,12
REYES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,15,0,15
RIBERALTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,9,1,10
ROBORE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,4,0,4
RURRENABAQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,6,0,6
SACABA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,14,24,38
SACABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,4,4
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,2,0,2
SAN ANDRES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,3,6,9
SAN ANDRES DE MACHACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,2,0,2
SAN BORJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,12,37,49
SAN BUENA VENTURA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,1,1,2
SAN IGNACIO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,11,10,21
SAN JOAQUIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,4,0,4
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,5,0,5
SAN JULIAN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,1,2,3
SAN LORENZO(PND),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,6,6
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,1,0,1
SAN LUCAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,11,35,46
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,10,4,14
SAN PEDRO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,1,1,2
SAN PEDRO DE TIQUINA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,2,1,3
SAN RAFAEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,3,0,3
SAN RAMON BENI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,3,7,10
SANTA ANA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,9,22,31
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,235,466,701
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,5,0,5
SANTIAGO DE HUARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,1,1
SHINAOTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,4,0,4
SUCRE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,85,117,202
TACOBAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,1,1
TACOPAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,3,3
TAPACARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,3,1,4
TARABUCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,4,9,13
TARATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,3,4,7
TARIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,56,44,100
TARVITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,15,26,41
TOCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,1,4,5
TOMINA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,14,7,21
TOTORA(CBBA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,4,12,16
TRINIDAD,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,26,2,28
TUPIZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,2,0,2
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,4,3,7
VALLEGRANDE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,8,2,10
VIACHA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,6,0,6
VILLA CHARCAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,20,16,36
VILLA MONTES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,27,31,58
VILLA RIVERO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,2,1,3
VILLA SERRANO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,1,7,8
VILLA TUNARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,6,0,6
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,6,11,17
VILLAZON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,15,7,22
WARNES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,47,19,66
YACUIBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,18,12,30
YAMPARAEZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,5,6,11
YOTALA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,6,13,19
YUNCHARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,4,4
ZUDAÑEZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,9,13,22
ACACIO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,0,1
AIQUILE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,7,5,12
ALCALA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,6,3,9
ANTEQUERA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,4,13,17
ANZALDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,4,4
ARAMPAMPA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,11,12
ARBIETO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,25,26
ARQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,11,90,101
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,22,0,22
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,3,4
AZURDUY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,3,11,14
BATALLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,5,12,17
BAURES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,0,1
BELEN DE ANDAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,3,4
BELLA FLOR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,9,9
BERMEJO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,10,40,50
BETANZOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,18,18
BOLIVAR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,11,12
BOYUIBE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,4,33,37
CAMARGO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,14,28,42
CAMATAQUI (C. VILLA ABECIA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,2,0,2
CAMIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,19,20
CAQUIAVIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,1,2
CARACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,6,1,7
CARAPARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,1,1
CHALLAPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,1,1
CHARAGUA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,16,16
CHIMORE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,9,9
CHUMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,11,20,31
CLIZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,10,2,12
COBIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,13,10,23
COCAPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,2,12,14
COCHABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,80,13,93
"COLCHA ""K""",vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,7,0,7
COLOMI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,8,23,31
COLQUECHACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,14,14
COMBAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,6,6
CORO CORO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,1,1
COROICO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,2,3
COTAGAITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,5,13,18
COTOCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,15,24,39
EL ALTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,128,464,592
EL PUENTE(STC),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,18,11,29
EL PUENTE(TJA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,3,3,6
EL TORNO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,24,2,26
EL VILLAR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,7,1,8
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,5,20,25
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,18,11,29
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,12,89,101
FILADELFIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,8,9
GUAYARAMERIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,21,34,55
HUACARETA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,7,4,11
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,3,3
HUARACAJE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,0,1
HUAYLLAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,2,2
ICLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,2,8,10
INCAHUASI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,0,1
JESUS DE MACHACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,12,1,13
LA GUARDIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,2,0,2
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,98,120,218
LAGUNILLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,0,1
LAJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,42,43
LLALLAGUA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,2,4,6
MACHARETI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,5,23,28
MAGDALENA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,8,4,12
MAIRANA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,7,1,8
MINEROS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,28,4,32
MIZQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,8,33,41
MOJOCOYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,12,8,20
MONTEAGUDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,30,29,59
MONTERO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,43,294,337
MORO MORO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,1,2
MOROCHATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,2,3
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,1,1
OKINAWA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,4,4,8
OMEREQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,3,13,16
ORURO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,55,33,88
PADCAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,9,4,13
PADILLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,12,2,14
PAILON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,0,1
PALOS BLANCOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,0,1
PAMPA GRANDE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,2,0,2
PAZÑA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,0,1
POCONA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,6,27,33
POJO (CBBA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,10,21,31
POROMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,7,13,20
PORVENIR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,3,3
POSTRER VALLE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,2,0,2
POTOSI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,28,2,30
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,2,3
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,9,0,9
PUERTO SILES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,0,1
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,12,0,12
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,34,29,63
PUNA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,3,3,6
PUNATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,4,6,10
QUILLACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,24,68,92
QUIRUSILLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,2,2
REYES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,12,0,12
RIBERALTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,8,0,8
ROBORE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,6,88,94
RURRENABAQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,12,54,66
SACABA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,48,161,209
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,2,3
SAMAIPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,11,1,12
SAN ANDRES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,3,3,6
SAN ANDRES DE MACHACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,1,2
SAN BENITO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,0,1
SAN BORJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,16,15,31
SAN IGNACIO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,9,19,28
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,0,1
SAN JAVIER(BNI),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,2,2
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,4,2,6
SAN LORENZO(PND),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,2,3
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,0,1
SAN LUCAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,4,6,10
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,21,26,47
SAN PEDRO DE TIQUINA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,2,14,16
SAN PEDRO(PND),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,1,1
SAN RAMON BENI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,6,6,12
SANTA ANA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,9,0,9
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,412,1278,1690
SANTA ROSA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,2,0,2
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,28,43,71
SANTUARIO DE QUILLACAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,2,3
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,7,8
SIPE SIPE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,2,0,2
SORACACHI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,3,3
SUCRE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,74,73,147
TACOBAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,2,8,10
TACOPAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,4,38,42
TAPACARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,4,21,25
TARABUCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,3,2,5
TARIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,82,122,204
TARVITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,12,35,47
TIAWANACU,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,65,73,138
TIQUIPAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,16,17
TOCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,2,2
TOLATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,51,51
TOMINA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,4,9,13
TOTORA(CBBA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,15,33,48
TRIGAL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,2,2
TRINIDAD,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,15,1,16
TUPIZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,20,21
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,4,1,5
UYUNI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,0,1
VACAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,4,12,16
VALLEGRANDE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,10,1,11
VIACHA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,4,0,4
VILLA CHARCAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,16,17,33
VILLA MONTES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,12,9,21
VILLA RIVERO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,0,2,2
VILLA SERRANO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,5,0,5
VILLA TUNARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,1,2,3
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,8,4,12
VILLAZON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-04-01,41,306,347
