,group,variable,month,RAYOS X DENTAL MENORES DE 5 AÑOS,RAYOS X DENTAL MENORES DE 5 AÑOS,RAYOS X DENTAL 5 A 13 AÑOS,RAYOS X DENTAL 5 A 13 AÑOS,RAYOS X DENTAL 14 A 19 AÑOS,RAYOS X DENTAL 14 A 19 AÑOS,RAYOS X DENTAL 20 A 59 AÑOS,RAYOS X DENTAL 20 A 59 AÑOS,RAYOS X DENTAL 60 AÑOS Y MAS,RAYOS X DENTAL 60 AÑOS Y MAS,RAYOS X DENTAL EMB,RAYOS X DENTAL EMB,RAYOS X DENTAL POST,RAYOS X DENTAL POST,TOTALES
AYATA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,1,1,2,1,0,0,0,0,0,0,0,5
AYO AYO,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,rayos x dental,2024-04-01,1,0,5,1,0,7,15,17,1,2,0,0,0,0,49
BATALLAS,atencion odontologica,rayos x dental,2024-04-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
BELEN DE URMIRI,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
BERMEJO,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,3,5,0,0,0,0,0,0,8
BETANZOS,atencion odontologica,rayos x dental,2024-04-01,0,0,0,2,0,0,1,1,0,0,0,0,0,0,4
CABEZAS,atencion odontologica,rayos x dental,2024-04-01,7,6,7,11,4,5,6,16,0,1,0,0,0,0,63
"CAIZA ""D""",atencion odontologica,rayos x dental,2024-04-01,0,0,0,1,1,0,2,4,0,0,0,0,0,0,8
CALACOTO,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CAMARGO,atencion odontologica,rayos x dental,2024-04-01,0,1,6,4,3,4,14,19,3,11,0,0,0,0,65
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,4,1,2,5,1,0,0,0,0,0,13
CAMIRI,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,5,0,15,0,0,0,0,0,20
CAQUIAVIRI,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CARACOLLO,atencion odontologica,rayos x dental,2024-04-01,0,0,4,0,2,1,3,13,0,0,0,0,0,0,23
CARANAVI,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4
CARIPUYO,atencion odontologica,rayos x dental,2024-04-01,0,0,0,2,0,4,4,5,0,0,0,0,0,0,15
CHACARILLA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CHALLAPATA,atencion odontologica,rayos x dental,2024-04-01,0,2,0,0,0,0,3,3,0,2,0,0,0,0,10
CHARAGUA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CHAYANTA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
CHIMORE,atencion odontologica,rayos x dental,2024-04-01,0,0,4,1,3,3,3,12,1,0,0,0,0,0,27
CHUA COCANI,atencion odontologica,rayos x dental,2024-04-01,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3
CLIZA,atencion odontologica,rayos x dental,2024-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
COBIJA,atencion odontologica,rayos x dental,2024-04-01,0,0,4,8,4,2,11,54,1,0,0,0,0,0,84
COCHABAMBA,atencion odontologica,rayos x dental,2024-04-01,7,20,108,97,44,49,194,313,105,100,0,0,0,0,1037
COLCAPIRHUA,atencion odontologica,rayos x dental,2024-04-01,0,1,9,3,6,7,14,24,5,4,0,0,0,0,73
"COLCHA ""K""",atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,3,1,0,0,0,0,0,0,0,4
COLLANA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,6,2,1,3,0,0,0,0,0,0,12
COLQUECHACA,atencion odontologica,rayos x dental,2024-04-01,0,0,1,2,2,6,2,3,0,4,0,0,0,0,20
COLQUIRI,atencion odontologica,rayos x dental,2024-04-01,0,1,6,7,5,16,11,8,1,0,0,0,0,0,55
CORO CORO,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
COROICO,atencion odontologica,rayos x dental,2024-04-01,0,0,1,0,1,0,1,1,0,0,0,0,0,0,4
CORQUE,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
COTAGAITA,atencion odontologica,rayos x dental,2024-04-01,1,1,0,5,1,4,8,4,3,1,0,0,0,0,28
COTOCA,atencion odontologica,rayos x dental,2024-04-01,0,0,1,2,0,2,0,7,1,0,0,0,0,0,13
CRUZ DE MACHACAMARCA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,1,3,3,2,0,0,0,0,9
CUEVO,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,1,0,1,1,0,1,0,0,0,0,4
CULPINA,atencion odontologica,rayos x dental,2024-04-01,0,1,5,2,2,4,8,21,2,4,0,0,0,0,49
CURAHUARA DE CARANGAS,atencion odontologica,rayos x dental,2024-04-01,0,0,1,0,0,3,2,3,4,1,0,0,0,0,14
EL ALTO,atencion odontologica,rayos x dental,2024-04-01,1,4,4,11,12,10,28,38,4,4,0,0,0,0,116
EL CHORO,atencion odontologica,rayos x dental,2024-04-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
EL PUENTE(TJA),atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
EL TORNO,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
EL VILLAR,atencion odontologica,rayos x dental,2024-04-01,0,0,1,0,2,2,2,8,0,0,0,0,0,0,15
ENTRE RIOS CBBA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ESCARA,atencion odontologica,rayos x dental,2024-04-01,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3
EUCALIPTUS,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,1,0,6,0,1,0,0,0,0,8
FERNANDEZ ALONSO,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
GENERAL SAAVEDRA,atencion odontologica,rayos x dental,2024-04-01,0,0,1,0,0,0,2,6,1,0,0,0,0,0,10
GUANAY,atencion odontologica,rayos x dental,2024-04-01,0,0,2,2,0,0,1,12,1,1,0,0,0,0,19
GUAYARAMERIN,atencion odontologica,rayos x dental,2024-04-01,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3
HUACAYA (VILLA DE HUACAYA),atencion odontologica,rayos x dental,2024-04-01,0,0,0,1,0,0,0,5,0,0,0,0,0,0,6
HUACHACALLA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3
HUANUNI,atencion odontologica,rayos x dental,2024-04-01,2,0,3,6,1,4,1,19,0,0,0,0,0,0,36
HUATAJATA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,3,0,0,5,0,0,0,0,0,0,8
INCAHUASI,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11
INQUISIVI,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,1,1,3,0,0,0,0,0,0,5
IRUPANA (VILLA DE LANZA),atencion odontologica,rayos x dental,2024-04-01,0,0,0,1,0,1,2,3,0,0,0,0,0,0,7
IXIAMAS,atencion odontologica,rayos x dental,2024-04-01,0,0,2,0,3,1,3,5,0,0,0,0,0,0,14
JESUS DE MACHACA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
LA ASUNTA,atencion odontologica,rayos x dental,2024-04-01,0,0,1,0,0,3,4,4,0,0,0,0,0,0,12
LA PAZ,atencion odontologica,rayos x dental,2024-04-01,15,14,91,94,65,79,330,504,115,91,0,0,0,0,1398
LAGUNILLAS,atencion odontologica,rayos x dental,2024-04-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LAS CARRERAS,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,1,2,3,8,0,0,0,0,0,0,14
LLALLAGUA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,1,2,0,3,5,0,0,0,0,0,0,11
MACHACAMARCA,atencion odontologica,rayos x dental,2024-04-01,0,0,1,3,2,1,7,9,0,2,0,0,0,0,25
MAGDALENA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
MAIRANA,atencion odontologica,rayos x dental,2024-04-01,1,0,0,0,0,0,0,11,0,1,0,0,0,0,13
MAPIRI,atencion odontologica,rayos x dental,2024-04-01,0,0,2,0,0,0,1,5,0,0,0,0,0,0,8
MECAPACA,atencion odontologica,rayos x dental,2024-04-01,0,1,12,8,1,7,13,2,0,0,0,0,0,0,44
MIZQUE,atencion odontologica,rayos x dental,2024-04-01,0,0,1,1,0,1,1,4,0,0,0,0,0,0,8
MOJOCOYA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
MONTEAGUDO,atencion odontologica,rayos x dental,2024-04-01,0,1,3,6,0,0,3,8,0,1,0,0,0,0,22
MONTERO,atencion odontologica,rayos x dental,2024-04-01,0,1,0,0,1,3,0,8,0,0,0,0,0,0,13
NAZACARA DE PACAJES,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
OCURI,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,2,0,2,6,0,0,0,0,0,0,10
ORURO,atencion odontologica,rayos x dental,2024-04-01,12,20,59,83,60,81,234,507,69,29,0,0,0,0,1154
PADILLA,atencion odontologica,rayos x dental,2024-04-01,0,0,1,0,1,1,1,6,1,0,0,0,0,0,11
PALCA,atencion odontologica,rayos x dental,2024-04-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
PALOS BLANCOS,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
PAMPA AULLAGAS,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,1,1,1,7,1,0,0,0,0,0,11
PAMPA GRANDE,atencion odontologica,rayos x dental,2024-04-01,0,1,3,8,0,1,3,12,1,0,0,0,0,0,29
PATACAMAYA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,2,4,3,1,0,0,0,0,0,10
PAZÑA,atencion odontologica,rayos x dental,2024-04-01,0,0,6,2,0,9,7,9,1,3,0,0,0,0,37
POCOATA,atencion odontologica,rayos x dental,2024-04-01,0,0,1,0,2,6,6,7,0,0,0,0,0,0,22
POJO (CBBA),atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,1,1,2,3,0,1,0,0,0,0,8
POOPO,atencion odontologica,rayos x dental,2024-04-01,1,0,3,1,2,3,10,28,1,0,0,0,0,0,49
PORCO,atencion odontologica,rayos x dental,2024-04-01,0,0,3,3,0,1,1,3,0,1,0,0,0,0,12
PORONGO,atencion odontologica,rayos x dental,2024-04-01,0,1,4,10,1,3,4,18,3,0,0,0,0,0,44
PORTACHUELO,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,3,1,1,2,0,0,0,0,0,0,7
POTOSI,atencion odontologica,rayos x dental,2024-04-01,4,0,5,24,9,17,52,77,10,5,0,0,0,0,203
PUCARANI,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,1,4,2,0,0,0,0,0,0,7
PUERTO GONZALO MORENO,atencion odontologica,rayos x dental,2024-04-01,0,0,6,0,2,0,0,19,0,0,0,0,0,0,27
PUERTO RICO,atencion odontologica,rayos x dental,2024-04-01,0,0,0,6,1,2,5,12,0,0,0,0,0,0,26
PUNA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,1,1,2,5,5,0,1,0,0,0,0,15
PUNATA,atencion odontologica,rayos x dental,2024-04-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
QUIABAYA,atencion odontologica,rayos x dental,2024-04-01,0,0,2,0,2,2,7,8,0,0,0,0,0,0,21
QUILLACOLLO,atencion odontologica,rayos x dental,2024-04-01,0,1,5,8,5,12,27,48,26,21,0,0,0,0,153
QUIRUSILLAS,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,3,4,0,0,0,0,0,0,7
RAVELO,atencion odontologica,rayos x dental,2024-04-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3
RIBERALTA,atencion odontologica,rayos x dental,2024-04-01,0,0,3,3,7,2,5,14,5,1,0,0,0,0,40
SABAYA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,3,0,0,5,4,0,2,0,0,0,0,14
SACABA,atencion odontologica,rayos x dental,2024-04-01,3,2,13,8,1,11,33,59,18,3,0,0,0,0,151
SACACA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SALINAS DE GARCI MENDOZA,atencion odontologica,rayos x dental,2024-04-01,0,1,1,0,1,3,5,7,2,0,0,0,0,0,20
SAMAIPATA,atencion odontologica,rayos x dental,2024-04-01,0,0,2,3,1,2,2,10,1,0,0,0,0,0,21
SAN BORJA,atencion odontologica,rayos x dental,2024-04-01,0,0,3,0,1,1,6,6,0,0,0,0,0,0,17
SAN CARLOS,atencion odontologica,rayos x dental,2024-04-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
SAN JOAQUIN,atencion odontologica,rayos x dental,2024-04-01,0,0,0,1,1,0,1,1,1,1,0,0,0,0,6
SAN JULIAN,atencion odontologica,rayos x dental,2024-04-01,0,0,0,1,1,3,1,2,0,0,0,0,0,0,8
SAN LORENZO(TJA),atencion odontologica,rayos x dental,2024-04-01,0,0,0,1,0,2,1,6,0,0,0,0,0,0,10
SAN LUCAS,atencion odontologica,rayos x dental,2024-04-01,0,0,1,0,0,0,3,9,0,0,0,0,0,0,13
SAN MATIAS,atencion odontologica,rayos x dental,2024-04-01,0,0,5,5,1,1,5,5,0,2,0,0,0,0,24
SAN PEDRO,atencion odontologica,rayos x dental,2024-04-01,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3
SAN PEDRO DE BUENA VISTA,atencion odontologica,rayos x dental,2024-04-01,1,1,15,11,12,3,8,8,3,0,0,0,0,0,62
SAN PEDRO DE MACHA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,1,1,1,3,9,0,1,0,0,0,0,16
SAN PEDRO DE QUEMES,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SAN RAMON SCZ,atencion odontologica,rayos x dental,2024-04-01,0,0,1,1,1,1,1,1,0,0,0,0,0,0,6
SANTA CRUZ DE LA SIERRA,atencion odontologica,rayos x dental,2024-04-01,6,9,61,64,38,40,242,467,95,91,0,0,0,0,1113
SANTA ROSA DEL SARA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,2,0,4,19,0,0,0,0,0,0,25
SANTIAGO DE HUARI,atencion odontologica,rayos x dental,2024-04-01,1,0,1,2,1,2,3,8,1,4,0,0,0,0,23
SANTIAGO DE HUATA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,1,1,1,1,2,0,0,0,0,0,0,6
SANTIAGO DE MACHACA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3
SANTUARIO DE QUILLACAS,atencion odontologica,rayos x dental,2024-04-01,0,0,0,1,1,2,1,1,2,2,0,0,0,0,10
SAPAHAQUI,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,1,3,1,0,0,0,0,0,0,5
SENA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,1,0,3,0,0,0,0,0,0,4
SICA SICA (VILLA AROMA),atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,1,1,6,0,0,0,0,0,0,8
SOPACHUY,atencion odontologica,rayos x dental,2024-04-01,0,0,2,0,0,2,2,5,1,1,0,0,0,0,13
SORACACHI,atencion odontologica,rayos x dental,2024-04-01,0,1,0,2,0,0,5,11,2,0,0,0,0,0,21
SUCRE,atencion odontologica,rayos x dental,2024-04-01,4,5,35,15,12,19,73,140,59,46,0,0,0,0,408
TACACHI,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,3,4,0,0,0,0,0,0,7
TARABUCO,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,1,2,0,1,0,0,0,0,4
TARATA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,1,0,0,4,0,1,0,0,0,0,6
TARIJA,atencion odontologica,rayos x dental,2024-04-01,0,3,138,137,8,10,369,412,7,6,0,0,0,0,1090
TIAHUANACU,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3
TINGUIPAYA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,1,1,1,3,0,2,0,0,0,0,8
TODOS SANTOS,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
TOMAVE,atencion odontologica,rayos x dental,2024-04-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
TORO TORO,atencion odontologica,rayos x dental,2024-04-01,0,0,1,1,1,3,1,2,0,0,0,0,0,0,9
TOTORA(CBBA),atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
TOTORA(ORR),atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
TRINIDAD,atencion odontologica,rayos x dental,2024-04-01,1,2,8,3,8,10,15,33,6,6,0,0,0,0,92
TUPIZA,atencion odontologica,rayos x dental,2024-04-01,0,2,5,13,4,6,28,29,7,17,0,0,0,0,111
TURCO,atencion odontologica,rayos x dental,2024-04-01,1,0,0,1,0,3,1,8,0,3,0,0,0,0,17
UNCIA,atencion odontologica,rayos x dental,2024-04-01,0,0,1,2,1,1,3,10,0,1,0,0,0,0,19
URIONDO (A. CONCEPCION),atencion odontologica,rayos x dental,2024-04-01,0,0,0,4,2,6,8,14,1,3,0,0,0,0,38
UYUNI,atencion odontologica,rayos x dental,2024-04-01,0,0,11,2,0,7,21,31,2,1,0,0,0,0,75
VALLEGRANDE,atencion odontologica,rayos x dental,2024-04-01,0,0,0,4,5,0,9,9,2,2,0,0,0,0,31
VIACHA,atencion odontologica,rayos x dental,2024-04-01,2,0,9,5,3,5,16,23,4,1,0,0,0,0,68
VILLA MONTES,atencion odontologica,rayos x dental,2024-04-01,0,0,4,4,1,1,14,11,4,3,0,0,0,0,42
VILLA RIVERO,atencion odontologica,rayos x dental,2024-04-01,0,0,1,1,1,0,1,0,1,2,0,0,0,0,7
VILLA SERRANO,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
VILLA TUNARI,atencion odontologica,rayos x dental,2024-04-01,0,0,2,3,0,1,3,10,1,0,0,0,0,0,20
VILLAZON,atencion odontologica,rayos x dental,2024-04-01,0,0,1,0,0,0,0,4,0,0,0,0,0,0,5
WARNES,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,2,3,2,0,1,0,0,0,0,8
YACUIBA,atencion odontologica,rayos x dental,2024-04-01,0,0,2,3,1,2,4,12,3,2,0,0,0,0,29
YANACACHI,atencion odontologica,rayos x dental,2024-04-01,0,0,0,1,1,0,0,3,0,0,0,0,0,0,5
YOCALLA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,4,0,0,3,8,2,0,0,0,0,0,17
YOTALA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
YUNCHARA,atencion odontologica,rayos x dental,2024-04-01,0,0,0,2,0,0,1,1,0,0,0,0,0,0,4
ZUDAÑEZ,atencion odontologica,rayos x dental,2024-04-01,0,0,1,1,0,2,1,8,1,2,0,0,0,0,16
ACACIO,atencion odontologica,rayos x dental,2024-05-01,0,0,1,0,0,1,0,2,0,0,0,0,0,0,4
ACHACACHI,atencion odontologica,rayos x dental,2024-05-01,0,0,0,0,1,1,1,2,0,1,0,0,0,0,6
AIQUILE,atencion odontologica,rayos x dental,2024-05-01,0,0,0,0,0,1,2,6,2,3,0,0,0,0,14
ALALAY,atencion odontologica,rayos x dental,2024-05-01,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
ANDAMARCA,atencion odontologica,rayos x dental,2024-05-01,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3
ANTEQUERA,atencion odontologica,rayos x dental,2024-05-01,0,0,1,0,1,2,0,6,2,1,0,0,0,0,13
APOLO,atencion odontologica,rayos x dental,2024-05-01,0,0,1,0,1,1,0,1,0,0,0,0,0,0,4
ARANI,atencion odontologica,rayos x dental,2024-05-01,0,0,1,0,0,3,1,18,2,3,0,0,0,0,28
ATOCHA,atencion odontologica,rayos x dental,2024-05-01,0,0,1,9,2,3,14,37,3,1,0,0,0,0,70
AYATA,atencion odontologica,rayos x dental,2024-05-01,0,0,0,1,0,3,0,2,0,0,0,0,0,0,6
AYO AYO,atencion odontologica,rayos x dental,2024-05-01,0,0,0,0,1,2,2,6,1,0,0,0,0,0,12
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,rayos x dental,2024-05-01,0,0,0,1,1,3,4,15,1,6,0,0,0,0,31
BERMEJO,atencion odontologica,rayos x dental,2024-05-01,0,0,1,0,0,0,2,7,2,0,0,0,0,0,12
BETANZOS,atencion odontologica,rayos x dental,2024-05-01,0,0,1,1,0,1,3,0,0,0,0,0,0,0,6
CABEZAS,atencion odontologica,rayos x dental,2024-05-01,0,2,4,4,1,4,2,14,3,0,0,0,0,0,34
"CAIZA ""D""",atencion odontologica,rayos x dental,2024-05-01,0,0,0,0,0,1,1,6,0,0,0,0,0,0,8
CAMARGO,atencion odontologica,rayos x dental,2024-05-01,0,0,1,2,6,2,6,25,7,2,0,0,0,0,51
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,rayos x dental,2024-05-01,3,2,2,2,1,4,1,9,0,2,0,0,0,0,26
CAPINOTA,atencion odontologica,rayos x dental,2024-05-01,0,0,2,0,3,0,3,4,2,0,0,0,0,0,14
CAQUIAVIRI,atencion odontologica,rayos x dental,2024-05-01,0,0,0,2,0,0,1,2,0,0,0,0,0,0,5
CARACOLLO,atencion odontologica,rayos x dental,2024-05-01,1,0,2,3,0,5,9,21,0,0,0,0,0,0,41
CARANAVI,atencion odontologica,rayos x dental,2024-05-01,1,0,0,1,1,1,0,1,0,0,0,0,0,0,5
CARIPUYO,atencion odontologica,rayos x dental,2024-05-01,0,0,0,1,0,0,9,4,0,0,0,0,0,0,14
CATACORA,atencion odontologica,rayos x dental,2024-05-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CHALLAPATA,atencion odontologica,rayos x dental,2024-05-01,0,0,0,0,0,0,0,12,2,3,0,0,0,0,17
CHARAGUA,atencion odontologica,rayos x dental,2024-05-01,0,0,1,0,0,1,0,2,0,0,0,0,0,0,4
CHAYANTA,atencion odontologica,rayos x dental,2024-05-01,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
CHIMORE,atencion odontologica,rayos x dental,2024-05-01,1,0,1,9,0,4,6,19,1,0,0,0,0,0,41
CHUA COCANI,atencion odontologica,rayos x dental,2024-05-01,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,rayos x dental,2024-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COBIJA,atencion odontologica,rayos x dental,2024-05-01,1,0,0,4,3,6,17,31,8,1,0,0,0,0,71
COCHABAMBA,atencion odontologica,rayos x dental,2024-05-01,19,10,52,50,42,61,190,378,139,107,0,0,0,0,1048
COIPASA,atencion odontologica,rayos x dental,2024-05-01,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
COLCAPIRHUA,atencion odontologica,rayos x dental,2024-05-01,0,3,2,4,2,11,23,31,8,4,0,0,0,0,88
"COLCHA ""K""",atencion odontologica,rayos x dental,2024-05-01,0,2,6,3,2,0,3,15,1,0,0,0,0,0,32
COLLANA,atencion odontologica,rayos x dental,2024-05-01,1,0,1,0,3,4,2,3,0,0,0,0,0,0,14
COLQUECHACA,atencion odontologica,rayos x dental,2024-05-01,0,0,0,3,3,2,5,10,2,0,0,0,0,0,25
COLQUIRI,atencion odontologica,rayos x dental,2024-05-01,0,0,5,3,3,14,13,16,2,3,0,0,0,0,59
CORO CORO,atencion odontologica,rayos x dental,2024-05-01,0,0,0,0,0,0,2,0,1,1,0,0,0,0,4
COROICO,atencion odontologica,rayos x dental,2024-05-01,0,0,1,0,0,2,3,1,0,0,0,0,0,0,7
CORQUE,atencion odontologica,rayos x dental,2024-05-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
COTAGAITA,atencion odontologica,rayos x dental,2024-05-01,0,1,3,3,1,1,9,13,1,2,0,0,0,0,34
CUEVO,atencion odontologica,rayos x dental,2024-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CULPINA,atencion odontologica,rayos x dental,2024-05-01,0,0,3,7,0,7,7,10,1,2,0,0,0,0,37
CURAHUARA DE CARANGAS,atencion odontologica,rayos x dental,2024-05-01,0,0,1,1,0,2,0,6,1,2,0,0,0,0,13
EL ALTO,atencion odontologica,rayos x dental,2024-05-01,1,0,6,6,8,8,15,18,6,1,0,0,0,0,69
EL CHORO,atencion odontologica,rayos x dental,2024-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
EL PUENTE(STC),atencion odontologica,rayos x dental,2024-05-01,0,0,0,3,0,1,0,0,0,1,0,0,0,0,5
EL PUENTE(TJA),atencion odontologica,rayos x dental,2024-05-01,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8
EL TORNO,atencion odontologica,rayos x dental,2024-05-01,0,0,0,0,0,1,0,3,0,1,0,0,0,0,5
EL VILLAR,atencion odontologica,rayos x dental,2024-05-01,0,0,0,1,2,1,2,2,0,0,0,0,0,0,8
EUCALIPTUS,atencion odontologica,rayos x dental,2024-05-01,0,0,0,0,0,0,1,5,0,0,0,0,0,0,6
FERNANDEZ ALONSO,atencion odontologica,rayos x dental,2024-05-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
GAIOC JATUN AYLLU YURA,atencion odontologica,rayos x dental,2024-05-01,0,0,0,0,0,0,0,7,1,1,0,0,0,0,9
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,rayos x dental,2024-05-01,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3
GUANAY,atencion odontologica,rayos x dental,2024-05-01,0,0,2,1,3,1,4,9,0,2,0,0,0,0,22
GUAYARAMERIN,atencion odontologica,rayos x dental,2024-05-01,0,0,0,1,0,2,1,10,0,1,0,0,0,0,15
GUTIERREZ,atencion odontologica,rayos x dental,2024-05-01,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4
HUACARETA,atencion odontologica,rayos x dental,2024-05-01,0,0,1,2,0,2,0,4,0,1,0,0,0,0,10
HUACAYA (VILLA DE HUACAYA),atencion odontologica,rayos x dental,2024-05-01,0,0,1,0,0,3,0,1,0,0,0,0,0,0,5
HUACHACALLA,atencion odontologica,rayos x dental,2024-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
