,group,variable,month,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) MENORES DE 5 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) MENORES DE 5 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 5 A 13 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 5 A 13 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 14 A 19 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 14 A 19 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 20 A 59 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 20 A 59 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 60 AÑOS Y MAS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 60 AÑOS Y MAS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) POST,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) POST,TOTALES
MAIRANA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MALLA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
MAPIRI,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3
MECAPACA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3
MIZQUE,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3
MOJOCOYA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,1,1,0,3,0,1,2,4,0,0,0,0,0,0,12
MONTEAGUDO,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,2,3,6,6,1,0,4,11,0,4,0,0,0,0,37
MONTERO,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
MOROCHATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
OCURI,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ORURO,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,22,24,30,62,53,44,45,80,13,9,0,0,0,0,382
PADILLA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,1,3,1,0,3,4,0,0,0,0,0,0,12
PALCA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
PALOS BLANCOS,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,5,5,0,6,1,2,2,4,1,0,0,0,0,0,26
PASORAPA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PATACAMAYA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
PAZÑA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4
PELECHUCO,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
POCOATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,5,9,0,0,0,1,0,0,0,0,0,0,0,0,15
POCONA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,1,1,3,0,1,1,0,0,0,0,0,0,7
POJO (CBBA),atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,1,0,3,3,4,6,6,12,1,2,0,0,0,0,38
POOPO,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
POROMA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,2,3,1,3,0,2,0,0,0,0,0,0,0,0,11
PORONGO,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
PORVENIR,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,4,2,0,2,0,0,0,0,0,0,0,0,8
POTOSI,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,3,3,5,5,0,6,1,4,0,0,0,0,0,0,27
PRESTO,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,2,1,1,1,3,0,0,0,0,0,0,8
PUERTO ACOSTA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3
PUERTO QUIJARRO,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
PUERTO VILLARROEL,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,1,3,0,1,1,0,0,0,0,0,0,0,0,0,6
PUNATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,1,3,4,2,3,0,3,0,0,0,0,0,0,16
QUILLACOLLO,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,1,5,13,11,4,5,2,7,1,3,0,0,0,0,52
QUIME,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3
QUIRUSILLAS,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3
RAVELO,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
RIBERALTA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,8,8,2,2,1,0,0,4,1,0,0,0,0,0,26
SACABA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,7,13,19,19,3,4,12,36,2,5,0,0,0,0,120
SALINAS DE GARCI MENDOZA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
SAMAIPATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,4,0,0,2,0,0,0,0,0,1,0,0,0,0,7
SAN ANDRES,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SAN ANDRES DE MACHACA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
SAN BENITO,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SAN BORJA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,4,0,0,0,0,1,1,2,0,0,0,0,0,0,8
SAN BUENA VENTURA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SAN IGNACIO,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SAN JOAQUIN,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,1,1,0,1,2,0,0,0,0,0,0,5
SAN JULIAN,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,5,4,0,1,12,12,8,13,2,3,0,0,0,0,60
SAN LORENZO(TJA),atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
SAN LUCAS,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,20,15,2,1,1,0,4,8,1,0,0,0,0,0,52
SAN MATIAS,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,16,12,20,24,3,5,10,20,4,5,0,0,0,0,119
SAN PABLO DE LIPEZ,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SAN PEDRO DE BUENA VISTA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3
SAN PEDRO DE QUEMES,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,1,2,1,2,1,2,0,0,0,0,0,0,9
SANTA ANA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,2,4,0,3,1,2,1,0,0,0,0,0,13
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,231,188,72,62,17,19,44,117,27,37,0,0,0,0,814
SANTA ROSA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SANTIAGO DE HUARI,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,1,0,0,2,0,3,0,2,0,0,0,0,8
SANTIVAÑES,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SHINAOTA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
SIPE SIPE,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,1,2,1,1,1,0,0,3,1,6,0,0,0,0,16
SOPACHUY,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3
SORACACHI,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,1,0,1,1,0,0,0,1,0,0,0,0,0,0,4
SORATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
SUCRE,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,60,51,39,39,15,27,38,103,4,8,0,0,0,0,384
TAPACARI,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,12,11,2,3,0,0,1,6,0,0,0,0,0,0,35
TARABUCO,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,4,1,3,3,2,1,2,10,0,0,0,0,0,0,26
TARACO,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
TARATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
TARIJA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,2,0,5,17,4,3,13,14,3,2,0,0,0,0,63
TARVITA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,1,0,2,9,2,5,1,6,0,0,0,0,0,0,26
TEOPONTE,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
TIAHUANACU,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
TINGUIPAYA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,9,2,1,1,1,2,0,3,1,1,0,0,0,0,21
TIQUIPAYA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,1,3,0,0,1,1,4,1,1,0,0,0,0,12
TIRAQUE (CBBA),atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,2,1,2,0,1,2,5,0,0,0,0,0,0,13
TOCO,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3
TOLATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,1,3,0,0,0,0,1,1,0,0,0,0,0,0,6
TOLEDO,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
TOMAVE,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
TOMINA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,1,2,1,0,1,6,3,8,0,0,0,0,0,0,22
TOTORA(CBBA),atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,2,0,1,0,0,1,2,0,1,0,0,0,0,7
TOTORA(ORR),atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
TRIGAL,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
TRINIDAD,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,9,13,13,12,4,5,2,10,1,1,0,0,0,0,70
TUPIZA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
TURCO,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
UNCIA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
URIONDO (A. CONCEPCION),atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
UYUNI,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
VACAS,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,1,0,2,0,5,0,0,0,0,0,0,8
VALLEGRANDE,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,2,1,0,0,3,1,0,0,0,0,0,0,0,0,7
VIACHA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,1,4,2,2,1,0,0,1,0,0,0,0,0,0,11
VILLA CHARCAS,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,1,1,14,17,0,2,1,0,0,0,0,0,0,0,36
VILLA MONTES,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,2,5,10,5,5,2,17,4,2,0,0,0,0,52
VILLA RIVERO,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,2,2,0,0,0,1,0,0,0,0,0,0,5
VILLA SERRANO,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,1,4,2,3,0,1,1,5,0,0,0,0,0,0,17
VILLA TUNARI,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,3,3,3,4,5,3,7,5,1,0,0,0,0,0,34
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,1,5,5,5,1,2,2,6,0,0,0,0,0,0,27
VILLAZON,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,1,1,1,3,0,2,1,6,1,1,0,0,0,0,17
VINTO,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,1,0,0,0,0,1,0,0,1,0,0,0,0,0,3
VITICHI,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
WARNES,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,1,1,1,0,2,5,0,0,0,0,0,0,10
YACO,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,0,0,1,0,5,0,0,0,0,0,0,6
YACUIBA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,1,9,1,4,17,25,5,1,0,0,0,0,63
YAMPARAEZ,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,1,0,1,0,2,2,5,0,0,0,0,0,0,11
YANACACHI,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3
YOCALLA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,0,0,3,0,1,0,2,0,0,0,0,0,0,6
YOTALA,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,6,5,3,2,1,1,0,0,0,0,0,0,0,0,18
ZUDAÑEZ,atencion odontologica,trat. odontologico integral terminado (toit),2024-03-01,0,1,0,4,0,1,2,1,0,0,0,0,0,0,9
ACACIO,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ACHACACHI,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,1,0,0,0,1,1,1,4,0,0,0,0,0,0,8
ACHOCALLA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,6,7,3,1,0,0,0,0,0,0,0,0,0,0,17
AIQUILE,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,3,1,1,2,0,0,0,1,0,0,0,0,8
ALCALA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,2,0,0,2,2,3,0,0,0,0,0,0,9
ALTO BENI,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,2,0,1,0,0,0,1,0,0,0,0,0,0,4
ANDAMARCA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,1,0,0,3,0,0,0,0,0,0,0,0,0,0,4
ANTEQUERA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
ANZALDO,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,1,1,3,1,0,1,2,1,0,1,0,0,0,0,11
ARAMPAMPA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ARANI,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,0,0,1,1,5,0,0,0,0,0,0,7
ARBIETO,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,3,1,2,0,0,0,2,0,0,0,0,0,0,8
ARQUE,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3
ASCENCION DE GUARAYOS,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,2,0,1,1,3,0,1,0,0,0,0,8
ATOCHA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,1,0,1,3,1,1,2,4,0,2,0,0,0,0,15
AUCAPATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
AYO AYO,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,1,0,3,2,1,1,0,5,0,2,0,0,0,0,15
AZURDUY,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,1,2,3,2,1,0,1,5,1,0,0,0,0,0,16
BELEN DE URMIRI,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
BERMEJO,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,3,0,3,1,0,1,1,1,0,0,0,0,0,10
BETANZOS,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,2,2,0,1,0,1,2,2,0,0,0,0,0,0,10
CAIROMA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"CAIZA ""D""",atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,1,0,2,1,0,0,0,1,0,0,0,0,0,0,5
CAJUATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CALAMARCA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
CAMARGO,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,1,1,4,6,2,2,2,12,2,0,0,0,0,0,32
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
CAMIRI,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,7,23,53,63,15,15,11,52,3,2,0,0,0,0,244
CAPINOTA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,3,4,1,1,4,1,1,1,0,0,0,0,16
CAQUIAVIRI,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CARACOLLO,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,1,0,0,1,0,0,0,1,0,1,0,0,0,0,4
CARANAVI,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
CARAPARI,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
CATACORA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CHACARILLA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CHALLAPATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,1,3,3,0,1,4,5,1,0,0,0,0,0,18
CHARAGUA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,5,5,5,8,2,2,4,25,1,1,0,0,0,0,58
CHARAÑA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CHAYANTA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,1,0,1,0,0,0,2,0,0,0,0,0,0,4
CHIMORE,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,4,4,1,3,2,1,1,0,0,0,0,0,0,0,16
CHIPAYA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4
CHUMA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CLIZA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,1,0,1,3,0,0,0,3,0,0,0,0,0,0,8
COBIJA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,15,8,3,2,0,0,2,3,0,0,0,0,0,0,33
COCAPATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3
COCHABAMBA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,26,28,53,48,15,23,49,104,25,29,0,0,0,0,400
COLCAPIRHUA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,3,2,2,3,0,1,5,9,0,2,0,0,0,0,27
COLLANA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
COLOMI,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,4,4,0,1,0,0,0,0,0,0,0,0,0,0,9
COLPA BELGICA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,1,7,11,6,2,7,35,0,0,0,0,0,0,69
COLQUENCHA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
COLQUIRI,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,1,0,0,2,0,1,0,2,0,0,0,0,0,0,6
COMANCHE,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
COMARAPA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,2,2,1,1,0,0,0,0,0,0,0,0,6
CORQUE,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
COTAGAITA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,2,0,1,0,1,0,0,0,0,0,0,4
CUATRO CAÑADAS,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,2,5,2,6,2,0,0,1,0,1,0,0,0,0,19
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CULPINA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,1,1,3,1,3,4,0,2,0,0,0,0,0,0,15
CURAHUARA DE CARANGAS,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,1,0,1,0,0,0,4,5,5,0,0,0,0,16
EL ALTO,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,11,9,22,27,12,8,7,29,3,4,0,0,0,0,132
EL CHORO,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EL PUENTE(STC),atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,4,2,0,1,0,0,1,0,0,2,0,0,0,0,10
EL PUENTE(TJA),atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
EL TORNO,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,3,1,0,1,0,1,1,1,0,0,0,0,0,0,8
EL VILLAR,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,4,3,3,1,3,7,0,0,0,0,0,0,21
ENTRE RIOS TRJ,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,5,4,1,2,0,0,1,1,1,0,0,0,0,0,15
ENTRE RIOS CBBA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,2,0,1,2,2,2,6,1,0,0,0,0,0,16
ESCOMA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
EUCALIPTUS,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
FILADELFIA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
GAIOC JATUN AYLLU YURA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3
GUANAY,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,1,0,0,0,0,1,0,0,1,0,0,0,0,0,3
GUAYARAMERIN,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,7,5,2,1,1,0,0,0,0,0,0,0,0,0,16
GUTIERREZ,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,1,9,33,41,9,15,14,53,1,0,0,0,0,0,176
HUACARAJE,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
HUACARETA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,3,3,0,0,2,8,0,0,0,0,0,0,16
HUACAYA (VILLA DE HUACAYA),atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,1,0,0,2,0,0,0,1,0,0,0,0,0,0,4
HUANUNI,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,2,3,0,4,2,1,0,0,0,0,0,0,12
HUATAJATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,1,1,3,0,2,0,0,0,0,0,0,7
HUMANATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-04-01,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3
