,group,variable,month,TOTAL 1613 PERSONAS CON DISCAPACIDAD CANTIDAD,TOTAL 1613 PERSONAS CON DISCAPACIDAD CANTIDAD,TOTALES
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,2.0,2.0,4.0
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,1.0,1.0,2.0
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,3.0,1.0,4.0
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,3.0,1.0,4.0
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,2.0,1.0,3.0
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,1.0,0.0,1.0
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,1.0,1.0,2.0
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,2.0,0.0,2.0
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,1.0,0.0,1.0
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,1.0,17.0,18.0
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,1.0,1.0,2.0
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,14.0,22.0,36.0
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,1.0,0.0,1.0
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,2.0,1.0,3.0
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,1.0,1.0,2.0
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,2.0,1.0,3.0
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,0.0,1.0,1.0
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,210.0,123.0,333.0
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,0.0,1.0,1.0
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,3.0,3.0,6.0
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,1.0,0.0,1.0
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,18.0,4.0,22.0
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,0.0,1.0,1.0
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,1.0,0.0,1.0
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,4.0,0.0,4.0
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,1.0,0.0,1.0
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,1.0,0.0,1.0
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,1.0,1.0,2.0
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,1.0,0.0,1.0
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,1.0,0.0,1.0
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,1.0,0.0,1.0
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,3.0,1.0,4.0
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,0.0,3.0,3.0
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,2.0,0.0,2.0
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,1.0,0.0,1.0
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,1.0,0.0,1.0
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,1.0,2.0,3.0
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,1.0,1.0,2.0
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,0.0,1.0,1.0
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,0.0,1.0,1.0
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,2.0,0.0,2.0
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,0.0,1.0,1.0
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,0.0,1.0,1.0
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,18.0,24.0,42.0
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,3.0,0.0,3.0
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,2.0,0.0,2.0
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,0.0,1.0,1.0
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,85.0,43.0,128.0
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,1.0,0.0,1.0
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,1.0,2.0,3.0
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,0.0,1.0,1.0
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,3.0,1.0,4.0
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,1.0,4.0,5.0
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,2.0,0.0,2.0
IXIAMAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,2.0,2.0,4.0
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,0.0,2.0,2.0
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,23.0,30.0,53.0
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,2.0,1.0,3.0
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,0.0,1.0,1.0
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,1.0,0.0,1.0
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,4.0,3.0,7.0
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,44.0,11.0,55.0
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,2.0,0.0,2.0
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,1.0,0.0,1.0
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,5.0,5.0,10.0
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,5.0,3.0,8.0
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,1.0,0.0,1.0
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,4.0,2.0,6.0
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,0.0,2.0,2.0
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,0.0,1.0,1.0
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,2.0,0.0,2.0
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,0.0,2.0,2.0
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,2.0,1.0,3.0
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,1.0,3.0,4.0
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,0.0,1.0,1.0
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,2.0,0.0,2.0
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,1.0,0.0,1.0
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,79.0,28.0,107.0
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,1.0,0.0,1.0
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,3.0,2.0,5.0
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,1.0,0.0,1.0
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,143.0,158.0,301.0
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,0.0,1.0,1.0
TINGUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,0.0,1.0,1.0
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,10.0,7.0,17.0
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,3.0,1.0,4.0
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,1.0,0.0,1.0
TODOS SANTOS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,0.0,13.0,13.0
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,0.0,1.0,1.0
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,1.0,1.0,2.0
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,2.0,0.0,2.0
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-06-01,0.0,1.0,1.0
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,0.0,1.0
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,0.0,1.0,1.0
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,0.0,6.0,6.0
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,3.0,2.0,5.0
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,0.0,1.0
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,1.0,2.0
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,0.0,2.0,2.0
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,0.0,1.0
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,4.0,5.0
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,17.0,22.0,39.0
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,8.0,15.0,23.0
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,1.0,2.0
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,0.0,1.0,1.0
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,0.0,1.0,1.0
CUCHUMUELA (V. G. VILLARROEL),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,1.0,2.0
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,6.0,2.0,8.0
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,84.0,48.0,132.0
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,2.0,3.0,5.0
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,0.0,1.0
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,0.0,2.0,2.0
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,8.0,8.0,16.0
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,2.0,4.0,6.0
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,2.0,0.0,2.0
INGAVI (HUMAITA),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,4.0,1.0,5.0
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,3.0,14.0,17.0
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,0.0,1.0,1.0
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,3.0,4.0
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,2.0,1.0,3.0
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,0.0,1.0,1.0
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,1.0,2.0
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,5.0,0.0,5.0
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,23.0,20.0,43.0
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,0.0,1.0,1.0
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,2.0,2.0,4.0
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,0.0,1.0
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,3.0,4.0
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,0.0,1.0
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,1.0,2.0
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,2.0,0.0,2.0
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,0.0,1.0,1.0
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,0.0,5.0,5.0
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,1.0,2.0
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,0.0,2.0,2.0
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,0.0,2.0,2.0
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,2.0,3.0,5.0
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,0.0,1.0
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,4.0,0.0,4.0
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,2.0,1.0,3.0
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,0.0,1.0
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,0.0,1.0
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,0.0,1.0
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,153.0,16.0,169.0
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,0.0,1.0
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,3.0,5.0,8.0
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,0.0,1.0,1.0
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,2.0,4.0,6.0
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,104.0,101.0,205.0
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,7.0,8.0,15.0
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,22.0,10.0,32.0
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,1.0,2.0
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,2.0,0.0,2.0
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,1.0,0.0,1.0
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-07-01,2.0,5.0,7.0
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,11.0,17.0,28.0
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,0.0,1.0
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,0.0,1.0
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,1.0,2.0
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,0.0,1.0,1.0
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,0.0,1.0
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,0.0,1.0
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,2.0,1.0,3.0
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,2.0,5.0,7.0
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,1.0,2.0
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,0.0,1.0
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,0.0,1.0
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,12.0,1.0,13.0
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,0.0,1.0,1.0
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,16.0,14.0,30.0
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,0.0,1.0
COLLANA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,0.0,1.0
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,0.0,1.0
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,0.0,1.0,1.0
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,0.0,2.0,2.0
CUCHUMUELA (V. G. VILLARROEL),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,0.0,1.0
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,60.0,36.0,96.0
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,0.0,1.0
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,0.0,1.0,1.0
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,0.0,1.0
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,4.0,9.0,13.0
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,0.0,1.0
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,0.0,1.0
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,0.0,1.0
MOCOMOCO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,0.0,1.0,1.0
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,57.0,29.0,86.0
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,15.0,11.0,26.0
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,0.0,1.0,1.0
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,5.0,4.0,9.0
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,2.0,3.0
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,0.0,2.0,2.0
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,0.0,1.0
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,3.0,3.0,6.0
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,2.0,3.0
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,1.0,2.0
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,2.0,3.0
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,2.0,3.0
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,0.0,1.0
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,0.0,1.0
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,2.0,4.0,6.0
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,0.0,1.0,1.0
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,0.0,1.0,1.0
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,2.0,0.0,2.0
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,45.0,108.0,153.0
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,0.0,1.0
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,2.0,3.0,5.0
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,5.0,7.0,12.0
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,129.0,136.0,265.0
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,0.0,1.0,1.0
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,0.0,1.0
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,4.0,2.0,6.0
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,4.0,2.0,6.0
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,20.0,12.0,32.0
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,42.0,37.0,79.0
UNCIA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,0.0,1.0
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,3.0,4.0,7.0
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,8.0,2.0,10.0
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,3.0,3.0,6.0
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,2.0,1.0,3.0
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-08-01,1.0,0.0,1.0
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,4.0,3.0,7.0
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,1.0,0.0,1.0
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-09-01,2.0,4.0,6.0
