,group,variable,month,TOTAL 16.4 CÁNCER OTROS CANTIDAD,TOTAL 16.4 CÁNCER OTROS CANTIDAD,TOTALES
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,13,20,33
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,4,5,9
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,2,2,4
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,3,4,7
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,0,1,1
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,0,1,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,0,2,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,1,2,3
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,0,2,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,150,158,308
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,1,0,1
CUEVO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,16,15,31
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,2,0,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,1,2,3
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,36,66,102
MAPIRI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,0,1,1
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,0,1,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,5,7,12
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,7,10,17
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,2,0,2
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,2,2,4
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,1,1,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,0,2,2
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,0,2,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,1,0,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,0,1,1
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,116,204,320
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,1,4,5
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,10,16,26
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,3,8,11
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,2,2,4
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,1,2,3
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-08-01,1,1,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,1,0,1
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,0,1,1
CALACOTO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,1,4,5
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,1,3,4
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,1,0,1
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,1,3,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,114,120,234
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,0,2,2
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,19,17,36
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,56,45,101
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,0,1,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,0,2,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,3,2,5
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,2,8,10
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,1,1,2
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,1,0,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,1,1,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,1,2,3
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,2,0,2
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,0,2,2
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,175,217,392
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,2,0,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,3,6,9
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,10,17,27
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,2,4,6
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,3,6,9
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-09-01,0,3,3
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,2,2,4
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,1,1,2
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,0,0,0
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,1,1,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,72,58,130
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,0,1,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,0,0,0
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,10,10,20
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,1,1,2
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,1,1,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,0,1,1
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,0,0,0
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,66,75,141
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,0,3,3
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,0,0,0
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,2,1,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,5,5,10
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,3,0,3
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,8,4,12
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,1,2,3
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,0,0,0
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,86,119,205
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,21,9,30
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,3,3,6
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,1,2,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,0,0,0
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,2,0,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,1,1,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-10-01,3,3,6
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,1,0,1
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,1,1,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,76,118,194
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,0,0,0
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,20,22,42
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,1,1,2
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,0,0,0
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,5,1,6
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,0,0,0
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,50,86,136
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,0,1,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,1,1,2
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,1,2,3
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,0,0,0
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,3,1,4
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,1,4,5
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,2,3,5
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,4,5,9
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,1,1,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,2,0,2
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,1,1,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,171,193,364
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,1,0,1
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,0,0,0
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,21,22,43
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,8,4,12
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,1,0,1
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,0,0,0
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,4,1,5
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,28,0,28
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-11-01,3,3,6
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,1,0,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,0,1,1
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,2,0,2
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,0,2,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,2,0,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,81,91,172
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,7,10,17
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,0,5,5
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,0,1,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,1,1,2
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,2,4,6
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,6,0,6
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,1,0,1
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,0,0,0
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,1,0,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,0,0,0
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,68,78,146
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,1,2,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,3,4,7
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,0,0,0
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,0,0,0
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,1,2,3
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,1,3,4
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,0,0,0
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,1,4,5
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,39,26,65
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,2,0,2
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,2,1,3
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,9,6,15
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,10,13,23
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,0,0,0
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,1,1,2
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,1,1,2
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,1,2,3
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-12-01,0,0,0
