,group,variable,month,TOTAL 1611 EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,TOTAL 1611 EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,TOTALES
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-03-01,19,20,39
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-03-01,1,0,1
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-03-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-03-01,1,0,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-03-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-03-01,15,19,34
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-03-01,1,0,1
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-03-01,7,13,20
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-03-01,2,1,3
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-03-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-03-01,1,5,6
VILLA CHARCAS,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-03-01,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-03-01,6,5,11
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-03-01,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-03-01,1,2,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-03-01,19,12,31
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-03-01,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,0,2,2
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,3,2,5
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,2,3
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,7,7,14
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,1,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,2,3
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,10,4,14
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,5,8,13
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,2,0,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,57,43,100
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,4,1,5
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,29,38,67
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,0,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,2,2,4
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,2,6,8
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,0,2,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,3,4
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,93,81,174
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,0,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,7,4,11
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,2,0,2
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,0,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,0,1,1
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,0,2,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,3,0,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,7,9,16
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,8,5,13
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,1,2
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,16,11,27
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,2,0,2
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,0,1
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,0,1,1
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,0,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,0,1,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,1,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,0,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,0,2,2
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,0,1,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,2,1,3
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,4,5
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,2,2,4
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,2,3,5
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,2,0,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,4,2,6
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,155,147,302
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,0,1
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,0,1,1
SENA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,5,9,14
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,4,5
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,17,20,37
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,0,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,0,1,1
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,15,7,22
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,0,2,2
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,3,9,12
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,0,1
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,2,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,7,3,10
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,2,1,3
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,1,2
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,23,16,39
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-04-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,3,2,5
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,2,3,5
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,7,4,11
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,2,1,3
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,6,5,11
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,3,4,7
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,3,0,3
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,3,6,9
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,2,3,5
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,45,56,101
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,2,0,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,29,29,58
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,2,3
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,3,1,4
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,5,10,15
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,2,0,2
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,1,2
HUATAJATA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,0,1,1
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,0,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,0,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,0,2,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,2,3,5
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,78,94,172
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,5,4,9
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,2,0,2
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,2,2,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,10,15,25
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,11,6,17
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,0,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,4,4,8
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,0,1
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,3,4
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,0,2,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,2,1,3
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,0,1
QUIABAYA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,0,2,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,2,0,2
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,1,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,0,4,4
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,4,2,6
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,0,1
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,3,2,5
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,2,2,4
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,2,1,3
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,1,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,4,5
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,154,172,326
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,2,3
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,2,1,3
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,4,5
TACOPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,0,1,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,4,5
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,19,28,47
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,2,1,3
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,0,1,1
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,0,3,3
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,19,19,38
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,0,1
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,6,9,15
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,3,4
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,10,6,16
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,0,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,35,16,51
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-05-01,1,0,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,0,1,1
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,6,2,8
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,3,0,3
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,18,8,26
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,0,1,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,0,1,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,4,0,4
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,2,2,4
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,1,4,5
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,1,1,2
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,2,1,3
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,0,1,1
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,0,4,4
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,3,4,7
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,50,49,99
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,1,1,2
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,1,2,3
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,2,0,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,0,1,1
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,19,25,44
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,1,1,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,2,2,4
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,1,1,2
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,1,1,2
HUATAJATA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,0,2,2
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,1,3,4
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,77,92,169
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,1,1,2
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,1,0,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,2,2,4
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,1,0,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,0,1,1
MAPIRI,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,1,0,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,0,1,1
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,2,1,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,8,1,9
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,6,10,16
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,5,12,17
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       epilepsia / convulsiones / ataques,2014-06-01,0,1,1
