,group,variable,month,TOTAL 16.8 ABUSO DE ALCOHOL CANTIDAD,TOTAL 16.8 ABUSO DE ALCOHOL CANTIDAD,TOTALES
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,36,208,244
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,2,0,2
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,33,31,64
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,6,3,9
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,2,0,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,5,1,6
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,97,53,150
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,2,0,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,15,5,20
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,4,2,6
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,30,15,45
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,1,2
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,0,1,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,5,3,8
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,1,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,3,0,3
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,2,3
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,2,1,3
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,1,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,0,1,1
SAN PEDRO DE BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,1,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,41,20,61
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,2,2,4
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,2,0,2
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,2,0,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,103,27,130
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,4,3,7
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,2,1,3
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,6,0,6
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,5,1,6
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,0,2,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,3,1,4
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,1,0,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,1,1,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,1,0,1
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,2,0,2
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,5,1,6
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,8,6,14
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,42,38,80
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,2,0,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,2,0,2
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,2,0,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,49,21,70
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,7,2,9
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,2,0,2
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,2,0,2
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,1,1,2
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,5,0,5
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,125,71,196
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,1,1,2
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,4,0,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,1,0,1
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,2,0,2
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,18,5,23
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,6,2,8
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,17,6,23
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,1,0,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,2,0,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,1,1,2
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,3,0,3
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,3,1,4
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,2,1,3
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,4,0,4
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,1,1,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,52,45,97
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,2,0,2
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,2,0,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,103,26,129
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,0,3,3
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,2,0,2
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,1,1,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,5,1,6
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,2,1,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,5,1,6
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-06-01,0,1,1
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,3,2,5
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,1,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,2,0,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,0,1,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,4,0,4
CHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,1,2
CHOQUE COTA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,9,3,12
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,11,4,15
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,3,0,3
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,2,1,3
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
CUCHUMUELA (V. G. VILLARROEL),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,2,2,4
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,22,12,34
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,2,1,3
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,6,2,8
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,3,0,3
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,2,0,2
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,2,0,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,5,1,6
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,132,83,215
LA RIVERA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
MAPIRI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,2,1,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,16,3,19
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,14,2,16
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,7,2,9
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,2,1,3
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,23,6,29
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,2,1,3
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,1,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,1,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,1,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,2,1,3
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,8,0,8
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,3,0,3
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,94,84,178
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,0,2,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,112,12,124
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,3,0,3
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,2,0,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,2,1,3
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,1,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,6,1,7
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-07-01,2,0,2
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,3,3,6
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,5,0,5
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,1,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
CHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,6,2,8
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,13,1,14
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,5,1,6
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,2,0,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,32,12,44
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,8,4,12
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,2,0,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,4,2,6
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,73,52,125
LA RIVERA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,0,3,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,0,2,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,3,0,3
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,3,0,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,11,3,14
PAMPA AULLAGAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,16,2,18
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,2,0,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,44,14,58
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,1,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,3,1,4
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,7,1,8
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,2,0,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,3,0,3
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,6,0,6
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,2,0,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,2,0,2
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,106,66,172
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,3,1,4
TACOPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,130,18,148
TINGUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,2,0,2
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,5,6
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,0,1,1
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,1,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,1,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,3,0,3
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,2,0,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,11,4,15
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,1,0,1
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-08-01,2,0,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-09-01,3,1,4
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-09-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-09-01,1,0,1
