,group,variable,month,TOTAL 1612 TRASTORNOS DE COMPORTAMIENTO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS CANTIDAD,TOTAL 1612 TRASTORNOS DE COMPORTAMIENTO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS CANTIDAD,TOTALES
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-11-01,18,4,22
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-11-01,4,1,5
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-11-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-11-01,5,0,5
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-11-01,1,0,1
VILLA CHARCAS,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-11-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-11-01,4,1,5
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-11-01,1,0,1
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-12-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-12-01,17,5,22
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-12-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-12-01,32,1,33
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-12-01,3,0,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-12-01,0,2,2
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-12-01,2,0,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-12-01,12,2,14
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-12-01,1,1,2
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-12-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-12-01,7,14,21
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-12-01,5,10,15
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-12-01,5,3,8
