,group,variable,month,TOTAL 16.5 DIABETES MELLITUS I - II CANTIDAD,TOTAL 16.5 DIABETES MELLITUS I - II CANTIDAD,TOTALES
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,29.0,75.0,104.0
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,18.0,9.0,27.0
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,16.0,52.0,68.0
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,12.0,24.0,36.0
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,2.0,3.0
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,1.0,2.0
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,3.0,4.0
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,3.0,3.0
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,1.0,2.0
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,22.0,20.0,42.0
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,2.0,1.0,3.0
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,12.0,15.0,27.0
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,6.0,5.0,11.0
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,20.0,57.0,77.0
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,2.0,6.0,8.0
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,16.0,23.0,39.0
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,3.0,3.0,6.0
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,2.0,3.0,5.0
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,8.0,7.0,15.0
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,6.0,7.0
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,3.0,4.0
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,1.0,2.0
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,1.0,2.0
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,4.0,5.0,9.0
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,2.0,3.0,5.0
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,13.0,21.0,34.0
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,883.0,1492.0,2375.0
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,10.0,20.0,30.0
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,8.0,15.0,23.0
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,1.0,1.0
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,1.0,1.0
SENA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,2.0,2.0,4.0
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,0.0,1.0
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,3.0,7.0,10.0
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,0.0,1.0
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,3.0,5.0,8.0
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,79.0,133.0,212.0
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,1.0,1.0
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,2.0,3.0,5.0
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,3.0,4.0
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,1.0,1.0
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,2.0,2.0
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,189.0,401.0,590.0
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,2.0,3.0
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,0.0,1.0
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,25.0,31.0,56.0
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,8.0,10.0,18.0
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,49.0,42.0,91.0
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,23.0,31.0,54.0
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,1.0,1.0
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,18.0,32.0,50.0
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,2.0,12.0,14.0
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,2.0,3.0
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,51.0,122.0,173.0
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,2.0,2.0
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,14.0,22.0,36.0
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,4.0,5.0,9.0
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,3.0,4.0
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,0.0,1.0
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,1.0,1.0
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,0.0,1.0
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,8.0,9.0
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,2.0,3.0
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,3.0,3.0,6.0
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,2.0,3.0
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,1.0,1.0
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,5.0,6.0
BELEN DE ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,0.0,1.0
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,44.0,60.0,104.0
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,20.0,20.0
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,3.0,7.0,10.0
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,1.0,1.0
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,1.0,1.0
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,0.0,1.0
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,30.0,55.0,85.0
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,3.0,4.0
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,7.0,7.0
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,1.0,2.0
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,7.0,10.0,17.0
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,3.0,4.0,7.0
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,28.0,62.0,90.0
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,244.0,317.0,561.0
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,18.0,15.0,33.0
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,2.0,1.0,3.0
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,8.0,9.0
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,1.0,1.0
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,11.0,12.0
COMBAYA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,1.0,2.0
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,7.0,7.0
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,0.0,1.0
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,10.0,11.0
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,3.0,9.0,12.0
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,6.0,7.0
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,5.0,5.0
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,2.0,2.0
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,8.0,1.0,9.0
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,91.0,168.0,259.0
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,4.0,4.0
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,1.0,1.0
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,127.0,83.0,210.0
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,16.0,17.0
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,0.0,1.0
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,0.0,1.0
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,4.0,5.0
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,14.0,24.0,38.0
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,2.0,4.0,6.0
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,5.0,9.0,14.0
HUATAJATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,2.0,1.0,3.0
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,0.0,1.0
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,1.0,2.0
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,29.0,49.0,78.0
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,225.0,293.0,518.0
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,2.0,2.0
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,4.0,15.0,19.0
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,0.0,1.0
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,9.0,10.0
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,3.0,1.0,4.0
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,2.0,2.0
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,3.0,4.0
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,3.0,4.0
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,12.0,12.0,24.0
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,27.0,95.0,122.0
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,1.0,1.0
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,5.0,5.0
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,2.0,3.0
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,117.0,147.0,264.0
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,2.0,2.0
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,4.0,8.0,12.0
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,2.0,2.0
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,4.0,6.0,10.0
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,12.0,19.0,31.0
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,2.0,1.0,3.0
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,3.0,0.0,3.0
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,64.0,67.0,131.0
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,1.0,1.0
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,14.0,23.0,37.0
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,3.0,4.0
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,21.0,22.0,43.0
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,4.0,10.0,14.0
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,0.0,1.0
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,7.0,7.0,14.0
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,19.0,27.0,46.0
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,1.0,1.0
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,6.0,8.0,14.0
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,36.0,86.0,122.0
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,43.0,36.0,79.0
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,3.0,3.0
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,2.0,0.0,2.0
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,22.0,22.0,44.0
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,1.0,1.0
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,2.0,2.0
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,0.0,1.0
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,1.0,2.0
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,21.0,40.0,61.0
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,4.0,5.0
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,3.0,13.0,16.0
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,3.0,5.0,8.0
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,31.0,51.0,82.0
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,4.0,5.0
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,5.0,5.0,10.0
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,19.0,18.0,37.0
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,4.0,5.0,9.0
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,2.0,1.0,3.0
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,5.0,7.0,12.0
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,1.0,2.0
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,2.0,2.0
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,0.0,1.0
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,9.0,10.0
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,2.0,0.0,2.0
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,5.0,1.0,6.0
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,7.0,18.0,25.0
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,885.0,1467.0,2352.0
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,17.0,33.0,50.0
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,2.0,6.0,8.0
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,3.0,3.0
SENA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,2.0,2.0,4.0
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,1.0,2.0
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,2.0,2.0
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,5.0,5.0,10.0
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,17.0,37.0,54.0
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,2.0,2.0,4.0
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,1.0,1.0
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,3.0,9.0,12.0
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,84.0,114.0,198.0
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,1.0,1.0
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,2.0,2.0
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,6.0,6.0
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,1.0,2.0
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,2.0,1.0,3.0
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,2.0,3.0,5.0
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,233.0,453.0,686.0
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,1.0,0.0,1.0
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,1.0,1.0
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,30.0,50.0,80.0
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,3.0,4.0,7.0
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,40.0,55.0,95.0
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,33.0,39.0,72.0
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,2.0,2.0
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,12.0,33.0,45.0
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,28.0,40.0,68.0
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,9.0,14.0,23.0
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,75.0,132.0,207.0
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,0.0,1.0,1.0
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,39.0,26.0,65.0
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-03-01,3.0,0.0,3.0
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,6.0,11.0,17.0
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,1.0,1.0
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,1.0,1.0
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,0.0,1.0,1.0
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-04-01,2.0,2.0,4.0
