,group,variable,month,TOTAL 16.2 REUMÁTICAS CANTIDAD,TOTAL 16.2 REUMÁTICAS CANTIDAD,TOTALES
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,1,1
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,9,11,20
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,4,7,11
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,5,5
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,2,15,17
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,1,0,1
MALLA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,1,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,9,15,24
MOCOMOCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,3,6,9
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,13,23,36
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,20,39,59
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,24,49,73
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,2,3,5
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,2,1,3
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,4,4
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,2,1,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,75,156,231
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,1,0,1
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,1,1
PAMPA AULLAGAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,2,1,3
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,15,25,40
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,2,4,6
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,1,13,14
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,21,12,33
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,3,3,6
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,6,0,6
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,10,10,20
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,2,3,5
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,66,71,137
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,12,15,27
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,28,40,68
PUERTO ACOSTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,2,15,17
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,19,21,40
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,1,3,4
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,10,24,34
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,2,1,3
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,2,3,5
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,3,8,11
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,3,3,6
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,34,50,84
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,3,13,16
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,8,34,42
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,2,8,10
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,8,15,23
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,34,30,64
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,11,31,42
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,15,14,29
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,2,2
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,3,2,5
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,3,5,8
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,7,0,7
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,1,1
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,24,33,57
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,2,2,4
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,1,8,9
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,1,1,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,23,29,52
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,1,7,8
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,16,32,48
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,2,2
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,1,2,3
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,12,17,29
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,4,3,7
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,37,69,106
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,18,42,60
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,5,5
SAN PABLO DE LIPEZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,1,4,5
SAN PEDRO DE CURAHUARA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,7,5,12
SAN PEDRO DE QUEMES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,1,3,4
SAN PEDRO DE TIQUINA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,1,2,3
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,10,6,16
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,1,2,3
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,7,7,14
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,315,475,790
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,35,36,71
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,3,4,7
SANTIAGO DE CALLAPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,28,23,51
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,2,3,5
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,9,15,24
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,3,3,6
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,3,3
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,39,34,73
SENA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,4,8,12
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,27,35,62
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,1,1
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,3,11,14
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,68,165,233
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,6,6,12
TACOBAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,2,12,14
TAHUA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,3,1,4
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,10,16,26
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,59,76,135
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,4,9,13
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,4,9,13
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,56,58,114
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,16,36,52
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,35,25,60
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,1,12,13
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,2,0,2
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,4,4
TOMAVE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,12,23,35
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,4,11,15
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,2,2
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,36,57,93
UMALA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,5,10,15
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,6,13,19
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,4,1,5
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,7,24,31
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,1,3,4
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,33,49,82
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,3,8,11
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,5,4,9
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,2,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,4,6,10
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,1,0,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,41,20,61
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,1,7,8
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,3,4,7
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,38,23,61
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,4,4,8
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,19,8,27
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,11,16,27
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,5,1,6
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-03-01,7,14,21
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,7,6,13
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,0,3,3
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,6,16,22
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,5,7,12
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,1,2,3
ANTEQUERA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,3,4,7
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,0,1,1
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,1,2,3
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,2,6,8
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,8,15,23
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,7,7,14
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,3,2,5
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,27,7,34
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,15,13,28
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,14,16,30
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,4,17,21
BELLA FLOR,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,23,36,59
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,26,49,75
BOLIVAR,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,1,3,4
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,0,1,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,8,11,19
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,8,4,12
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,3,11,14
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,45,88,133
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,26,56,82
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,11,14,25
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,4,7,11
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,11,9,20
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,1,1,2
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,6,7,13
CHACARILLA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,2,3,5
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,5,1,6
CHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,7,12,19
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,9,8,17
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,19,15,34
CHOQUE COTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,0,2,2
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,5,6,11
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,5,8,13
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,1,3,4
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,9,24,33
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,160,423,583
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,2,0,2
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,8,16,24
COLLANA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,6,6,12
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,9,18,27
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,2,8,10
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,12,16,28
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,1,0,1
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,7,31,38
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,3,2,5
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,19,31,50
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,9,10,19
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,12,21,33
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,0,2,2
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,3,12,15
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,1,3,4
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,3,10,13
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,188,412,600
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,3,3,6
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,13,17,30
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,0,9,9
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,8,16,24
ESMERALDA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,2,5,7
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,1,0,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,3,6,9
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,3,2,5
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,8,5,13
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,0,4,4
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,7,13,20
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,2,9,11
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,35,28,63
HUARINA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,2,5,7
HUAYLLAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,14,38,52
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,8,8,16
ICHOCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,2,4,6
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,4,7,11
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,2,8,10
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,4,2,6
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,18,25,43
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,274,839,1113
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,1,6,7
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,10,29,39
LAS CARRERAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,5,14,19
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,3,9,12
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,1,1,2
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,0,9,9
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,0,2,2
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,3,4,7
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,0,1,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,13,19,32
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,11,26,37
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,31,43,74
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,4,8,12
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,1,6,7
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,1,3,4
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,0,5,5
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,52,109,161
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,12,15,27
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,6,4,10
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,1,5,6
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,18,12,30
PORCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,2,2,4
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,8,7,15
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,13,7,20
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,1,1,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,45,66,111
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,18,21,39
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,15,32,47
PUERTO ACOSTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,12,25,37
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,10,2,12
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,1,0,1
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,21,29,50
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,6,2,8
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,9,10,19
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,5,0,5
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,25,40,65
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,7,12,19
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,19,48,67
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,6,5,11
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,8,8,16
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,5,6,11
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,33,20,53
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,17,19,36
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,2,5,7
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,6,2,8
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,2,5,7
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,3,9,12
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,9,11,20
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-04-01,7,4,11
