,group,variable,month,TOTAL 16.9 HABITO DE FUMAR CANTIDAD,TOTAL 16.9 HABITO DE FUMAR CANTIDAD,TOTALES
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,15,14,29
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,2,0,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,31,54,85
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,6,0,6
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,1,2,3
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,2,1,3
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,5,5,10
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,2,0,2
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,4,0,4
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,2,1,3
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,92,28,120
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,3,0,3
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,5,0,5
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,2,2,4
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,8,2,10
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,1,0,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-10-01,13,0,13
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-10-01,23,0,23
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-10-01,19,0,19
FILADELFIA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-10-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-10-01,52,0,52
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-10-01,7,0,7
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-10-01,11,0,11
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-10-01,6,0,6
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-10-01,3,0,3
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-10-01,1,0,1
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-10-01,9,0,9
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-10-01,4,0,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-10-01,32,0,32
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-10-01,3,0,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-10-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-10-01,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-10-01,2,0,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,11,0,11
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,1,0,1
CHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,2,0,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,8,0,8
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,28,0,28
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,2,0,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,8,0,8
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,6,0,6
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,4,0,4
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,1,0,1
FILADELFIA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,14,0,14
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,152,0,152
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,1,0,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,6,0,6
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,3,0,3
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,3,0,3
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,1,0,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,75,0,75
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,8,0,8
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,8,0,8
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,1,0,1
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,3,0,3
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,56,0,56
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,8,0,8
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,18,0,18
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-11-01,2,0,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,11,0,11
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,1,0,1
CHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,2,0,2
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,51,0,51
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,47,0,47
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,7,0,7
FILADELFIA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,173,0,173
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,3,0,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,2,0,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,45,0,45
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,30,0,30
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,9,0,9
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,14,0,14
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,8,0,8
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,5,0,5
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,2,0,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,71,0,71
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-12-01,1,0,1
