,group,variable,month,ANTIPOLIOMIELÍTICA 4TA DOSIS,ANTIPOLIOMIELÍTICA 4TA DOSIS,TOTALES,TOTALES,TOTALES
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,1,0,1,0,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,0,5,0,5,5
TARATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,5,0,5,0,5
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,74,9,74,9,83
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,2,3,2,3,5
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,2,3,2,3,5
TUPIZA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,0,2,0,2,2
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,18,3,18,3,21
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,25,5,25,5,30
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,10,1,10,1,11
VILLAZON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,30,2,30,2,32
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,27,0,27,0,27
YACUIBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,46,21,46,21,67
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,0,2,0,2,2
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,1,5,1,5,6
AIQUILE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,3,1,3,1,4
ALCALA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,1,2,1,2,3
AZURDUY,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,1,1,1,1,2
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,2,0,2,2
CAMARGO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,2,0,2,2
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,1,1,1,1,2
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,1,0,1,0,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,2,0,2,0,2
CATACORA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,1,0,1,1
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,1,0,1,0,1
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,13,7,13,7,20
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,29,4,29,4,33
COCAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,228,24,228,24,252
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,1,0,1,0,1
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,4,0,4,4
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,14,0,14,0,14
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,3,4,3,4,7
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,9,21,9,21,30
CUEVO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,2,0,2,2
CULPINA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,7,14,7,14,21
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,334,117,334,117,451
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,3,9,3,9,12
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,4,0,4,4
EL TORNO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,31,27,31,27,58
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,11,1,11,1,12
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,3,1,3,1,4
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,1,0,1,0,1
GUAQUI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,6,0,6,6
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,11,1,11,1,12
HUACARETA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,1,6,1,6,7
HUANUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,3,4,3,4,7
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,4,0,4,4
HUARINA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,2,0,2,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,1,1,1,1,2
ICLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,5,9,5,9,14
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,19,31,19,31,50
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,2,0,2,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,21,10,21,10,31
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,9,0,9,9
LAJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,1,4,1,4,5
MACHARETI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,1,13,1,13,14
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,1,0,1,0,1
MAIRANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,5,5,5,5,10
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,45,8,45,8,53
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,25,0,25,0,25
MORO MORO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,2,0,2,2
OKINAWA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,1,3,1,3,4
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,3,2,3,2,5
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,77,0,77,0,77
PADCAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,15,0,15,15
PADILLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,13,3,13,3,16
POCOATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,1,0,1,0,1
POCONA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,3,18,3,18,21
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,1,2,1,2,3
POROMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,21,17,21,17,38
PORONGO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,4,1,4,1,5
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,37,2,37,2,39
PRESTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,5,6,5,6,11
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,10,11,10,11,21
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,4,2,4,2,6
PUNA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,7,0,7,7
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,4,0,4,0,4
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,1,0,1,0,1
RAVELO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,11,43,11,43,54
REYES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,3,4,3,4,7
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,3,6,3,6,9
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,27,18,27,18,45
SACACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,3,20,3,20,23
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,4,28,4,28,32
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,8,4,8,4,12
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,2,0,2,2
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,15,0,15,0,15
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,17,4,17,4,21
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,2,0,2,0,2
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,1,17,1,17,18
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,2,6,2,6,8
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,22,26,22,26,48
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,9,0,9,9
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,9,0,9,0,9
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,12,0,12,0,12
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,339,85,339,85,424
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,4,3,4,3,7
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,1,0,1,1
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,1,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,1,10,1,10,11
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,3,4,3,4,7
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,61,14,61,14,75
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,1,0,1,1
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,1,0,1,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,1,2,1,2,3
TARABUCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,17,64,17,64,81
TARATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,15,4,15,4,19
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,47,7,47,7,54
TARVITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,12,11,12,11,23
TOCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,1,0,1,1
TOMINA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,9,18,9,18,27
TORO TORO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,9,8,9,8,17
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,6,0,6,0,6
TUPIZA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,5,0,5,5
UNCIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,4,0,4,4
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,10,2,10,2,12
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,8,0,8,8
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,37,10,37,10,47
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,17,9,17,9,26
VILLAZON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,33,3,33,3,36
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,20,70,20,70,90
YACUIBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,36,1,36,1,37
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,4,15,4,15,19
YAPACANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,3,0,3,3
YOTALA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,4,8,4,8,12
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,0,1,0,1,1
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-04-01,1,5,1,5,6
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,1,0,1,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,3,2,3,2,5
AIQUILE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,8,1,8,1,9
ALCALA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,4,0,4,4
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,22,0,22,0,22
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,7,4,7,4,11
BERMEJO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,18,15,18,15,33
BETANZOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,3,15,3,15,18
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,2,0,2,2
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,4,0,4,4
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,1,1,1,1,2
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,2,0,2,2
CAMARGO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,3,0,3,0,3
CAMIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,7,0,7,7
CARAPARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,4,5,4,5,9
CATACORA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,2,0,2,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,4,0,4,4
CHAQUI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,4,0,4,4
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,33,14,33,14,47
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,348,39,348,39,387
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,12,3,12,3,15
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,5,0,5,5
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,1,7,1,7,8
COMANCHE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,4,4,4,4,8
CORQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,4,0,4,4
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,7,19,7,19,26
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,3,13,3,13,16
CUEVO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,5,0,5,5
CULPINA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,14,0,14,14
CURVA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,3,0,3,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,268,141,268,141,409
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,5,22,5,22,27
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,1,4,1,4,5
EL TORNO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,41,13,41,13,54
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,13,57,13,57,70
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,4,0,4,4
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,22,6,22,6,28
HUACARETA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,11,2,11,2,13
HUANUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,5,0,5,5
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,2,0,2,0,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,1,1,1,1,2
HUMANATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,2,5,2,5,7
ICLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,6,0,6,6
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,1,6,1,6,7
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,10,12,10,12,22
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,3,7,3,7,10
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,4,4,4,4,8
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,71,8,71,8,79
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,1,0,1,1
LAJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,3,0,3,3
LORETO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,8,0,8,8
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,2,10,2,10,12
MACHARETI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,3,1,3,1,4
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,3,2,3,2,5
MAIRANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,7,2,7,2,9
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,46,49,46,49,95
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,20,0,20,0,20
MORO MORO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,1,0,1,0,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,7,0,7,7
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,2,1,2,1,3
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,67,10,67,10,77
PADCAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,3,20,3,20,23
PADILLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,3,0,3,0,3
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,5,3,5,3,8
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,1,0,1,0,1
PAZÑA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,1,0,1,0,1
POCOATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,3,0,3,3
POCONA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,1,1,1,1,2
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,3,0,3,3
POROMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,6,24,6,24,30
PORONGO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,8,11,8,11,19
PRESTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,17,3,17,3,20
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,8,0,8,8
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,11,10,11,10,21
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,5,0,5,5
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,23,27,23,27,50
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,8,13,8,13,21
PUNA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,1,4,1,4,5
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,4,1,4,1,5
RAVELO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,0,10,0,10,10
REYES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,5,0,5,0,5
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,3,2,3,2,5
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,22,5,22,5,27
SACACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-05-01,1,25,1,25,26
