,group,variable,month,SRP DOSIS ÚNICA,SRP DOSIS ÚNICA,TOTALES,TOTALES,TOTALES
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,33,0,33,0,33
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,1647,113,1647,113,1760
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,11,7,11,7,18
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,22,18,22,18,40
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,0,5,0,5,5
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,1,2,1,2,3
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,3,5,3,5,8
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,0,2,0,2,2
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,2,6,2,6,8
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,1,2,1,2,3
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,5,2,5,2,7
SENA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,3,6,3,6,9
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,38,29,38,29,67
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,22,29,22,29,51
SICAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,3,3,3,3,6
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,54,2,54,2,56
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,3,15,3,15,18
SORACACHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,19,11,19,11,30
SORATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,12,50,12,50,62
SUCRE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,364,11,364,11,375
TACACHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,3,0,3,0,3
TACACOMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,3,2,3,2,5
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,9,9,9,9,18
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,16,10,16,10,26
TAPACARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,16,16,16,16,32
TARABUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,17,13,17,13,30
TARACO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,4,9,4,9,13
TARATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,21,2,21,2,23
TARIJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,259,12,259,12,271
TARVITA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,12,11,12,11,23
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,10,15,10,15,25
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,10,14,10,14,24
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,26,26,26,26,52
TIPUANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,10,14,10,14,24
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,33,11,33,11,44
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,34,13,34,13,47
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,1,2,1,2,3
TOCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,0,6,0,6,6
TOLATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,6,3,6,3,9
TOLEDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,8,7,8,7,15
TOMAVE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,2,12,2,12,14
TOMINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,5,5,5,5,10
TORO TORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,1,1,1,1,2
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,14,9,14,9,23
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,5,4,5,4,9
TRIGAL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,175,12,175,12,187
TUPIZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,58,13,58,13,71
TURCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,4,3,4,3,7
UMALA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,0,5,0,5,5
UNCIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,56,12,56,12,68
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,20,10,20,10,30
URUBICHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,4,6,4,6,10
UYUNI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,41,8,41,8,49
VACAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,3,13,3,13,16
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,22,2,22,2,24
VIACHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,69,18,69,18,87
VILA VILA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,10,10,10,10,20
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,9,22,9,22,31
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,61,25,61,25,86
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,6,1,6,1,7
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,6,2,6,2,8
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,5,14,5,14,19
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,127,38,127,38,165
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,11,2,11,2,13
VILLAZON,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,72,14,72,14,86
VINTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,47,8,47,8,55
VITICHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,13,8,13,8,21
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,3,0,3,0,3
WARNES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,110,21,110,21,131
YACO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,3,9,3,9,12
YACUIBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,107,30,107,30,137
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,5,6,5,6,11
YANACACHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,13,5,13,5,18
YAPACANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,53,34,53,34,87
YOCALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,8,2,8,2,10
YOTALA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,4,5,4,5,9
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,2,13,2,13,15
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-02-01,9,5,9,5,14
ACACIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,33,41,33,41,74
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,21,17,21,17,38
AIQUILE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,30,24,30,24,54
ALALAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,3,8,3,8,11
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,17,17,17,17,34
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,13,15,13,15,28
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,2,7,2,7,9
ANZALDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,6,10,6,10,16
APOLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,15,1,15,1,16
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,0,3,0,3,3
ARANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,16,4,16,4,20
ARBIETO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,2,9,2,9,11
ARQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,8,0,8,0,8
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,35,7,35,7,42
ATOCHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,11,6,11,6,17
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1,8,1,8,9
AYATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1,14,1,14,15
AYO AYO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,10,4,10,4,14
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,22,13,22,13,35
AZURDUY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,15,17,15,17,32
BATALLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,34,11,34,11,45
BAURES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,12,0,12,0,12
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,0,1,0,1,1
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1,2,1,2,3
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,2,3,2,3,5
BERMEJO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,45,14,45,14,59
BETANZOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,34,14,34,14,48
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,2,0,2,0,2
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,3,0,3,0,3
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,0,16,0,16,16
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,13,14,13,14,27
CABEZAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,39,13,39,13,52
CAIROMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,6,16,6,16,22
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,11,17,11,17,28
CAJUATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,14,8,14,8,22
CALACOTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,3,5,3,5,8
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,8,20,8,20,28
CAMARGO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,20,10,20,10,30
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,3,2,3,2,5
CAMIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,61,19,61,19,80
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,19,12,19,12,31
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,4,6,4,6,10
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,29,11,29,11,40
CARANAVI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,74,27,74,27,101
CARAPARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,17,15,17,15,32
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,0,39,0,39,39
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1,19,1,19,20
CATACORA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1,0,1,0,1
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1,4,1,4,5
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,36,28,36,28,64
CHAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,8,6,8,6,14
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,15,78,15,78,93
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1,0,1,0,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,19,20,19,20,39
CHIMORE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,27,8,27,8,35
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,19,13,19,13,32
CHUMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,9,2,9,2,11
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,11,11,11,11,22
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,8,13,8,13,21
CLIZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,22,27,22,27,49
COBIJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,94,22,94,22,116
COCAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,6,19,6,19,25
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1154,62,1154,62,1216
COIPASA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1,1,1,1,2
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,126,9,126,9,135
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,9,7,9,7,16
COLLANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,0,2,0,2,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,34,13,34,13,47
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,8,7,8,7,15
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,18,55,18,55,73
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,3,0,3,0,3
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,9,39,9,39,48
COMANCHE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,0,5,0,5,5
COMARAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,27,21,27,21,48
COMBAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,0,11,0,11,11
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,45,22,45,22,67
COPACABANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,16,18,16,18,34
CORIPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,18,2,18,2,20
COROICO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,3,3,3,3,6
CORQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1,4,1,4,5
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,12,18,12,18,30
COTOCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,80,22,80,22,102
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,23,25,23,25,48
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1,0,1,0,1
CUEVO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,4,5,4,5,9
CULPINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,22,17,22,17,39
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,7,1,7,1,8
CURVA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1,1,1,1,2
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1,5,1,5,6
EL ALTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1390,86,1390,86,1476
EL CHORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,2,14,2,14,16
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,24,2,24,2,26
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,14,2,14,2,16
EL TORNO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,87,12,87,12,99
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,2,0,2,0,2
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,23,7,23,7,30
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,41,18,41,18,59
ESCOMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,2,5,2,5,7
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,2,2,2,2,4
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,3,1,3,1,4
EXALTACION,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,16,6,16,6,22
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,4,4,4,4,8
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,31,29,31,29,60
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,8,14,8,14,22
GUANAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,6,23,6,23,29
GUAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1,9,1,9,10
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,68,45,68,45,113
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,14,8,14,8,22
HUACARETA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,5,8,5,8,13
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1,1,1,1,2
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,3,0,3,0,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,41,40,41,40,81
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,15,0,15,0,15
HUARINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1,6,1,6,7
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,0,4,0,4,4
HUMANATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1,9,1,9,10
ICHOCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,8,4,8,4,12
ICLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,9,9,9,9,18
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,18,4,18,4,22
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,9,18,9,18,27
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,9,24,9,24,33
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,12,2,12,2,14
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,15,2,15,2,17
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,73,19,73,19,92
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,122,14,122,14,136
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1228,71,1228,71,1299
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,5,4,5,4,9
LAJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,15,8,15,8,23
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,2,2,2,2,4
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,3,0,3,0,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,25,41,25,41,66
LLICA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,4,1,4,1,5
LORETO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1,17,1,17,18
LURIBAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,4,3,4,3,7
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,2,0,2,0,2
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,7,7,7,7,14
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,8,19,8,19,27
MAIRANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,18,0,18,0,18
MALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,0,6,0,6,6
MAPIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,23,20,23,20,43
MECAPACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,6,9,6,9,15
MINEROS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,34,35,34,35,69
MIZQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,26,15,26,15,41
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,14,13,14,13,27
MOJINETE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,0,4,0,4,4
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,2,8,2,8,10
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,44,14,44,14,58
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,182,44,182,44,226
MORO MORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,6,2,6,2,8
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,3,11,3,11,14
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,1,5,1,5,6
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,2,1,2,1,3
OCURI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,9,23,9,23,32
OKINAWA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,16,7,16,7,23
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,7,5,7,5,12
ORURO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,446,10,446,10,456
PADCAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,31,6,31,6,37
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,14,6,14,6,20
PAILON,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,31,45,31,45,76
PALCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,8,30,8,30,38
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,55,29,55,29,84
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,3,0,3,0,3
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,14,4,14,4,18
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,0,2,0,2,2
PASORAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,0,4,0,4,4
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,22,2,22,2,24
PAZÑA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,6,2,6,2,8
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,7,2,7,2,9
POCOATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,6,37,6,37,43
POCONA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,11,21,11,21,32
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-03-01,24,16,24,16,40
