municipality,group,variable,month,Polio 1ra dosis -DENTRO,TOTAL DENTRO,Polio 1ra dosis -FUERA,TOTAL FUERA
POCOATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,7,7,49,49
POCONA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,12,12,13,13
POJO (CBBA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,11,11,17,17
POOPO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,6,6,0,0
PORCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,11,11,4,4
POROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,10,10,26,26
PORONGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,14,14,4,4
PORTACHUELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,17,17,7,7
PORVENIR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,8,8,2,2
POSTRER VALLE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,1,1,0,0
POTOSI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,314,314,56,56
PRESTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,5,5,22,22
PUCARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,1,1,1,1
PUCARANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,16,16,21,21
PUERTO ACOSTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,11,11,17,17
PUERTO CARABUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,3,3,26,26
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,1,1,10,10
PUERTO PEREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,0,0,3,3
PUERTO QUIJARRO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,14,14,10,10
PUERTO RICO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,2,2,2,2
PUERTO SILES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,4,4,2,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,26,26,4,4
PUERTO VILLARROEL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,95,95,17,17
PUNA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,24,24,68,68
PUNATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,35,35,2,2
QUIABAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,0,0,3,3
QUILLACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,193,193,6,6
QUIME,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,6,6,7,7
QUIRUSILLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,2,2,0,0
RAVELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,14,14,43,43
REYES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,10,10,35,35
RIBERALTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,159,159,31,31
ROBORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,32,32,8,8
RURRENABAQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,34,34,17,17
SABAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,1,1,4,4
SACABA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,152,152,58,58
SACABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,6,6,6,6
SACACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,11,11,36,36
SAIPINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,7,7,6,6
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,4,4,8,8
SAMAIPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,7,7,3,3
SAN AGUSTIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,4,4,0,0
SAN ANDRES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,10,10,7,7
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,2,2,7,7
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,6,6,0,0
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,11,11,1,1
SAN BENITO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,8,8,3,3
SAN BORJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,73,73,0,0
SAN BUENA VENTURA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,12,12,10,10
SAN CARLOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,42,42,0,0
SAN IGNACIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,30,30,7,7
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,98,98,21,21
SAN JAVIER(BNI),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,1,1,10,10
SAN JAVIER(STC),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,25,25,8,8
SAN JOAQUIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,2,2,3,3
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,40,40,0,0
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,16,16,9,9
SAN JULIAN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,49,49,46,46
SAN LORENZO(PND),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,1,1,23,23
SAN LORENZO(TJA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,14,14,10,10
SAN LUCAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,36,36,64,64
SAN MATIAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,21,21,5,5
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,20,20,4,4
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,8,8,1,1
SAN PEDRO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,32,32,4,4
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,14,14,46,46
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,2,2,10,10
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,1,1,3,3
SAN PEDRO(PND),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,0,0,6,6
SAN RAFAEL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,4,4,1,1
SAN RAMON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,8,8,5,5
SAN RAMON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,14,14,0,0
SANTA ANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,13,13,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,2366,2366,66,66
SANTA ROSA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,10,10,10,10
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,15,15,6,6
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,0,0,7,7
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,4,4,7,7
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,4,4,0,0
SANTIVAÑES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,2,2,0,0
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,2,2,0,0
SAPAHAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,1,1,9,9
SENA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,5,5,6,6
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,7,7,25,25
SICAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,0,0,6,6
SIPE SIPE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,45,45,25,25
SOPACHUY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,6,6,8,8
SORACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,8,8,15,15
SORATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,19,19,21,21
SUCRE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,360,360,52,52
TACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,2,2,0,0
TACACOMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,8,8,1,1
TACOBAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,9,9,27,27
TACOPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,21,21,10,10
TAHUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,1,1,1,1
TAPACARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,38,38,49,49
TARABUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,31,31,29,29
TARACO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,2,2,11,11
TARATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,8,8,7,7
TARIJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,255,255,17,17
TARVITA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,10,10,15,15
TEOPONTE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,3,3,7,7
TIAWANACU,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,10,10,10,10
TINGUIPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,11,11,63,63
TIPUANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,18,18,5,5
TIQUIPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,70,70,14,14
TIRAQUE (CBBA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,83,83,18,18
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,0,0,2,2
TOCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,4,4,1,1
TOLATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,2,2,1,1
TOLEDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,2,2,1,1
TOMAVE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,2,2,13,13
TOMINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,13,13,11,11
TORO TORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,12,12,26,26
TOTORA(CBBA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,23,23,16,16
TOTORA(ORR),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,1,1,2,2
TRIGAL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,0,0,2,2
TRINIDAD,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,218,218,0,0
TUPIZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,49,49,26,26
TURCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,1,1,1,1
UMALA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,0,0,8,8
UNCIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,3,3,50,50
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,13,13,6,6
URUBICHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,17,17,0,0
UYUNI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,23,23,32,32
VACAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,14,14,18,18
VALLEGRANDE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,16,16,0,0
VIACHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,41,41,20,20
VILA VILA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,7,7,4,4
VILLA MONTES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,55,55,8,8
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,0,0,1,1
VILLA RIVERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,2,2,4,4
VILLA SERRANO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,9,9,9,9
VILLA TUNARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,99,99,33,33
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,16,16,13,13
VILLAZON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,53,53,13,13
VINTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,39,39,50,50
VITICHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,10,10,16,16
WALDO BALLIVIAN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,4,4,2,2
WARNES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,86,86,48,48
YACO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,4,4,24,24
YACUIBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,130,130,26,26
YAMPARAEZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,9,9,10,10
YANACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,3,3,8,8
YAPACANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,59,59,20,20
YOCALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,5,5,7,7
YOTALA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,8,8,4,4
YUNCHARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,1,1,11,11
ZUDAÑEZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-04-01,5,5,13,13
ACACIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,4,4,22,22
ACHACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,39,39,81,81
ACHOCALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,5,5,25,25
AIQUILE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,19,19,50,50
ALALAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,4,4,3,3
ALCALA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,5,5,4,4
ANCORAIMES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,1,1,13,13
ANDAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,3,3,4,4
ANTEQUERA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,3,3,2,2
ANZALDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,7,7,4,4
APOLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,11,11,28,28
ARAMPAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,1,1,7,7
ARANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,6,6,7,7
ARBIETO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,6,6,5,5
ARQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,13,13,27,27
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,41,41,4,4
ATOCHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,26,26,11,11
AUCAPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,2,2,8,8
AYATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,10,10,26,26
AYO AYO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,2,2,18,18
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,11,11,60,60
AZURDUY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,8,8,16,16
BATALLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,14,14,21,21
BAURES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,10,10,4,4
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,0,0,3,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,0,0,5,5
BELLA FLOR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,0,0,1,1
BERMEJO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,46,46,8,8
BETANZOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,38,38,37,37
BOLIVAR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,2,2,33,33
BOLPEBRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,2,2,1,1
BOYUIBE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,10,10,2,2
BUENA VISTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,18,18,16,16
CABEZAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,24,24,130,130
CAIROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,1,1,25,25
"CAIZA ""D""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,0,0,18,18
CAJUATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,14,14,5,5
CALACOTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,1,1,10,10
CALAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,3,3,14,14
CAMARGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,24,24,24,24
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,3,3,4,4
CAMIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,53,53,14,14
CAPINOTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,29,29,9,9
CAQUIAVIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,4,4,18,18
CARACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,14,14,6,6
CARANAVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,65,65,82,82
CARAPARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,8,8,16,16
CARIPUYO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,0,0,37,37
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,3,3,6,6
CATACORA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,0,0,3,3
CHACARILLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,1,1,1,1
CHALLAPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,26,26,26,26
CHAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,8,8,6,6
CHARAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,23,23,32,32
CHARAÑA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,0,0,8,8
CHAYANTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,11,11,24,24
CHIMORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,23,23,18,18
CHIPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,5,5,0,0
CHOQUE COTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,1,1,0,0
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,13,13,25,25
CHUMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,5,5,27,27
CLIZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,30,30,5,5
COBIJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,78,78,3,3
COCHABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 1ra dosis,2006-05-01,1229,1229,27,27
