,group,variable,month,L 17.1 BCG,L 17.1 BCG,TOTALES
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,7,3,10
SAMAIPATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,17,5,22
SAN AGUSTIN,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,2,1,3
SAN ANDRES,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,8,4,12
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,4,2,6
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,7,0,7
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,3,7,10
SAN BENITO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,17,5,22
SAN BORJA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,69,13,82
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,11,12,23
SAN CARLOS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,59,7,66
SAN IGNACIO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,40,15,55
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,127,14,141
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,3,1,4
SAN JAVIER(STC),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,46,2,48
SAN JOAQUIN,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,4,7,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,46,17,63
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,9,2,11
SAN JULIAN,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,74,21,95
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,11,3,14
SAN LUCAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,27,37,64
SAN MATIAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,35,1,36
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,15,1,16
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,5,1,6
SAN PEDRO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,19,3,22
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,38,36,74
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,5,3,8
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,1,5,6
SAN RAFAEL,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,5,4,9
SAN RAMON BENI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,0,7,7
SAN RAMON SCZ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,6,0,6
SANTA ANA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,42,0,42
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,3659,104,3763
SANTA ROSA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,24,4,28
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,18,10,28
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,1,6,7
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,7,4,11
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,1,10,11
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,1,2,3
SANTIVAÑES,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,3,4,7
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,2,3,5
SAPAHAQUI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,4,9,13
SENA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,5,5,10
SHINAOTA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,89,0,89
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,29,12,41
SICAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,5,2,7
SIPE SIPE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,62,6,68
SOPACHUY,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,13,3,16
SORACACHI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,8,8,16
SORATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,12,22,34
SUCRE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,618,7,625
TACACHI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,1,1,2
TACACOMA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,3,7,10
TACOBAMBA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,11,18,29
TACOPAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,12,6,18
TAPACARI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,20,25,45
TARABUCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,31,5,36
TARACO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,5,5,10
TARATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,17,0,17
TARIJA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,454,5,459
TARVITA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,10,10,20
TEOPONTE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,8,3,11
TIAWANACU,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,13,14,27
TINGUIPAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,42,16,58
TIPUANI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,9,2,11
TIQUIPAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,112,20,132
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,34,19,53
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,0,1,1
TOCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,3,1,4
TOLATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,6,0,6
TOLEDO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,8,2,10
TOMAVE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,12,26,38
TOMINA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,9,4,13
TORO TORO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,10,12,22
TOTORA(CBBA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,28,10,38
TOTORA(ORR),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,2,2,4
TRINIDAD,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,349,1,350
TUPIZA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,49,15,64
TURCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,2,4,6
UMALA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,0,9,9
UNCIA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,23,9,32
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,5,1,6
URUBICHA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,24,0,24
UYUNI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,72,5,77
VACAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,1,16,17
VALLEGRANDE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,44,0,44
VIACHA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,64,6,70
VILLA CHARCAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,12,13,25
VILLA MONTES,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,85,1,86
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,1,6,7
VILLA RIVERO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,5,10,15
VILLA SERRANO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,10,5,15
VILLA TUNARI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,144,22,166
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,13,5,18
VILLAZON,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,59,4,63
VINTO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,116,2,118
VITICHI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,7,5,12
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,0,2,2
WARNES,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,144,4,148
YACO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,4,11,15
YACUIBA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,197,10,207
YAMPARAEZ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,7,3,10
YANACACHI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,5,3,8
YAPACANI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,95,9,104
YOCALLA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,1,3,4
YOTALA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,9,0,9
YUNCHARA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,2,4,6
ZUDAÑEZ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-03-01,8,3,11
ACACIO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,1,1,2
ACHACACHI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,50,10,60
ACHOCALLA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,7,9
AIQUILE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,39,7,46
ALALAY,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,0,2,2
ALCALA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,4,1,5
ALTO BENI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,21,0,21
ANCORAIMES,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,5,7
ANDAMARCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,1,6,7
ANTEQUERA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,0,2
ANZALDO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,8,6,14
APOLO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,30,13,43
ARAMPAMPA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,3,2,5
ARANI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,16,0,16
ARBIETO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,15,9,24
ARQUE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,15,6,21
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,69,3,72
ATOCHA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,19,6,25
AUCAPATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,3,4,7
AYATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,0,11,11
AYO AYO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,0,6,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,19,23,42
AZURDUY,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,13,12,25
BATALLAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,20,18,38
BAURES,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,12,2,14
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,0,3,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,1,0,1
BERMEJO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,70,1,71
BETANZOS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,6,9,15
BOLIVAR,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,1,6,7
BOYUIBE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,0,3,3
BUENA VISTA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,21,5,26
CABEZAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,17,26,43
CAIROMA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,6,5,11
"CAIZA ""D""",vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,3,3,6
CAJUATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,6,3,9
CALACOTO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,1,5,6
CALAMARCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,5,14,19
CAMARGO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,34,0,34
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,0,2
CAMIRI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,89,3,92
CAPINOTA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,28,1,29
CAQUIAVIRI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,9,11
CARACOLLO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,20,13,33
CARANAVI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,86,10,96
CARAPARI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,11,3,14
CARIPUYO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,0,4,4
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,8,1,9
CATACORA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,1,1,2
CHACARILLA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,43,6,49
CHAQUI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,5,1,6
CHARAGUA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,18,28,46
CHARAÑA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,1,2,3
CHAYANTA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,8,0,8
CHIMORE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,20,8,28
CHIPAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,1,3
CHOQUE COTA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,27,2,29
CHUMA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,6,8,14
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,7,9
CKOCHAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,0,7,7
CLIZA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,22,5,27
COBIJA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,105,2,107
COCAPATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,10,8,18
COCHABAMBA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,1185,122,1307
COIPASA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,0,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,75,0,75
"COLCHA ""K""",vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,8,1,9
COLLANA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,1,0,1
COLOMI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,21,5,26
COLPA BELGICA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,4,0,4
COLQUECHACA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,8,14,22
COLQUENCHA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,1,11,12
COLQUIRI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,6,31,37
COMANCHE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,4,6
COMARAPA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,39,2,41
COMBAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,0,3,3
CONCEPCION,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,29,1,30
COPACABANA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,17,1,18
CORIPATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,19,0,19
CORO CORO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,0,16,16
COROICO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,27,5,32
CORQUE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,3,5,8
COTAGAITA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,3,9,12
COTOCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,103,12,115
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,28,7,35
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,1,0,1
CUEVO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,4,6
CULPINA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,24,10,34
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,4,2,6
CURVA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,0,4,4
DESAGUADERO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,1,7,8
EL ALTO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,1406,19,1425
EL CHORO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,4,4,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,22,2,24
EL PUENTE(TJA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,7,5,12
EL TORNO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,99,0,99
EL VILLAR,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,5,0,5
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,9,16,25
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,56,2,58
ESCOMA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,8,3,11
EUCALIPTUS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,5,1,6
EXALTACION,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,10,8,18
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,21,4,25
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,1,10,11
GUANAY,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,10,7,17
GUAQUI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,0,3,3
GUAYARAMERIN,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,82,1,83
GUTIERREZ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,12,18,30
HUACARETA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,7,1,8
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,6,1,7
HUACHACALLA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,33,2,35
HUARACAJE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,5,4,9
HUARINA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,4,2,6
HUAYLLAMARCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,0,1,1
HUMANATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,4,6
ICHOCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,8,10
ICLA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,7,2,9
INCAHUASI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,11,15,26
INQUISIVI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,5,14,19
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,8,2,10
IXIAMAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,24,0,24
JESUS DE MACHACA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,10,12
LA ASUNTA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,64,8,72
LA GUARDIA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,128,3,131
LA PAZ,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,1363,4,1367
LA RIVERA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,1,0,1
LAGUNILLAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,8,2,10
LAJA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,7,7,14
LAS CARRERAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,2,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,1,0,1
LLALLAGUA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,37,58,95
LLICA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,5,2,7
LORETO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,0,2
LURIBAY,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,5,7
MACHACAMARCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,1,3
MACHARETI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,5,5,10
MAGDALENA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,0,15,15
MAIRANA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,26,0,26
MALLA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,1,4,5
MAPIRI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,27,0,27
MECAPACA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,8,6,14
MINEROS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,44,5,49
MIZQUE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,26,34,60
MOCOMOCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,13,11,24
MOJOCOYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,6,7,13
MONTEAGUDO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,46,2,48
MONTERO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,333,1,334
MORO MORO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,2,4
MOROCHATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,3,27,30
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,0,4,4
OCURI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,7,10,17
OKINAWA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,17,2,19
OMEREQUE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,8,3,11
ORURO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,470,0,470
PADCAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,4,5,9
PADILLA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,16,0,16
PAILON,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,31,4,35
PALCA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,8,9,17
PALOS BLANCOS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,39,7,46
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,1,3
PAMPA GRANDE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,12,0,12
PAPEL PAMPA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,4,6,10
PASORAPA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,0,2
PATACAMAYA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,47,6,53
PAZÑA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,0,2
PELECHUCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,11,7,18
POCOATA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,5,14,19
POCONA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,9,23,32
POJO (CBBA),vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,10,3,13
POOPO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,6,4,10
PORCO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,22,3,25
POROMA,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,18,13,31
PORONGO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,6,7,13
PORTACHUELO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,42,1,43
POSTRER VALLE,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,0,2
POTOSI,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,248,6,254
PRESTO,vacunaciones en menores de 1 ano,l 17.1       bcg,2012-04-01,2,8,10
