,group,variable,month,L 17.3 PENTAVALENTE 2DA. DOSIS,L 17.3 PENTAVALENTE 2DA. DOSIS,TOTALES
MAIRANA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,23,0,23
MALLA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,2,1,3
MAPIRI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,25,6,31
MECAPACA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,9,5,14
MINEROS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,41,1,42
MIZQUE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,60,24,84
MOCOMOCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,17,6,23
MOJOCOYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,4,4,8
MONTEAGUDO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,49,7,56
MONTERO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,254,7,261
MORO MORO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,1,2,3
MOROCHATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,13,16,29
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,3,5,8
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,2,2,4
OCURI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,8,18,26
OKINAWA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,27,0,27
OMEREQUE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,5,5,10
ORURO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,482,13,495
PADCAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,18,9,27
PADILLA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,16,4,20
PAILON,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,30,36,66
PALCA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,20,17,37
PALOS BLANCOS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,54,7,61
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,4,0,4
PAMPA GRANDE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,20,8,28
PAPEL PAMPA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,1,8,9
PASORAPA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,1,4,5
PATACAMAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,38,4,42
PAZÑA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,13,0,13
PELECHUCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,12,6,18
POCOATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,13,41,54
POCONA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,9,11,20
POJO (CBBA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,19,9,28
POOPO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,9,1,10
PORCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,21,8,29
POROMA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,21,21,42
PORONGO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,14,9,23
PORTACHUELO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,25,2,27
PORVENIR,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,7,3,10
POSTRER VALLE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,1,1,2
POTOSI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,411,12,423
PRESTO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,4,8,12
PUCARA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,1,0,1
PUCARANI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,25,23,48
PUERTO ACOSTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,1,12,13
PUERTO CARABUCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,6,10,16
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,7,12,19
PUERTO PEREZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,3,11,14
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,16,14,30
PUERTO RICO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,12,10,22
PUERTO SILES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,1,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,25,5,30
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,92,13,105
PUNA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,18,10,28
PUNATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,34,0,34
QUIABAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,7,1,8
QUILLACOLLO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,225,11,236
QUIME,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,14,7,21
QUIRUSILLAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,1,0,1
RAVELO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,7,18,25
REYES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,15,7,22
RIBERALTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,182,25,207
ROBORE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,21,8,29
RURRENABAQUE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,45,3,48
SABAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,3,2,5
SACABA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,226,40,266
SACABAMBA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,6,3,9
SACACA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,39,25,64
SAIPINA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,7,4,11
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,9,3,12
SAMAIPATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,11,1,12
SAN AGUSTIN,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,2,3,5
SAN ANDRES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,23,15,38
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,1,3,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,8,9,17
SAN BENITO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,17,3,20
SAN BORJA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,73,29,102
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,16,6,22
SAN CARLOS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,42,1,43
SAN IGNACIO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,37,9,46
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,105,27,132
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,7,0,7
SAN JAVIER(STC),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,38,3,41
SAN JOAQUIN,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,7,0,7
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,29,8,37
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,14,0,14
SAN JULIAN,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,60,36,96
SAN LORENZO(PND),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,5,12,17
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,22,12,34
SAN LUCAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,39,38,77
SAN MATIAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,19,4,23
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,17,13,30
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,8,1,9
SAN PEDRO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,19,1,20
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,37,56,93
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,0,5,5
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,4,0,4
SAN RAFAEL,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,12,3,15
SAN RAMON BENI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,4,6,10
SAN RAMON SCZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,24,0,24
SANTA ANA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,30,0,30
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,2327,106,2433
SANTA ROSA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,28,4,32
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,30,2,32
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,0,7,7
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,13,7,20
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,3,5,8
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,2,0,2
SANTIVAÑES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,11,3,14
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,1,3,4
SAPAHAQUI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,10,9,19
SENA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,7,10,17
SHINAOTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,42,4,46
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,29,26,55
SICAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,3,3,6
SIPE SIPE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,98,6,104
SOPACHUY,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,10,8,18
SORACACHI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,13,9,22
SORATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,14,27,41
SUCRE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,487,24,511
TACACHI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,4,5,9
TACOBAMBA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,13,6,19
TACOPAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,14,5,19
TAHUA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,1,0,1
TAPACARI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,21,24,45
TARABUCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,13,15,28
TARACO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,0,3,3
TARATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,15,4,19
TARIJA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,315,5,320
TARVITA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,23,12,35
TEOPONTE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,6,6,12
TIAWANACU,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,18,15,33
TINGUIPAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,40,11,51
TIPUANI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,13,2,15
TIQUIPAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,88,14,102
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,29,24,53
TOCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,6,5,11
TOLATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,13,0,13
TOLEDO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,5,1,6
TOMAVE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,10,20,30
TOMINA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,15,2,17
TORO TORO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,10,13,23
TOTORA(CBBA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,25,13,38
TOTORA(ORR),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,6,5,11
TRIGAL,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,1,1,2
TRINIDAD,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,187,2,189
TUPIZA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,63,20,83
TURCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,7,1,8
UMALA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,0,9,9
UNCIA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,24,13,37
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,20,2,22
URUBICHA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,11,5,16
UYUNI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,48,3,51
VACAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,2,20,22
VALLEGRANDE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,24,1,25
VIACHA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,85,7,92
VILA VILA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,4,5,9
VILLA CHARCAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,19,16,35
VILLA MONTES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,54,13,67
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,1,1,2
VILLA RIVERO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,12,2,14
VILLA SERRANO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,11,12,23
VILLA TUNARI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,173,16,189
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,20,9,29
VILLAZON,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,49,10,59
VINTO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,91,0,91
VITICHI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,3,3,6
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,2,0,2
WARNES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,169,16,185
YACO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,5,9,14
YACUIBA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,113,5,118
YAMPARAEZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,7,1,8
YANACACHI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,8,0,8
YAPACANI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,94,6,100
YOCALLA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,7,3,10
YOTALA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,14,8,22
YUNCHARA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,2,5,7
YUNGUYO DE LITORAL,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,0,1,1
ZUDAÑEZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-03-01,4,9,13
ACACIO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,5,0,5
ACHACACHI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,38,24,62
ACHOCALLA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,9,8,17
AIQUILE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,33,8,41
ALALAY,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,0,5,5
ALCALA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,3,0,3
ALTO BENI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,24,1,25
ANCORAIMES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,13,8,21
ANDAMARCA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,3,2,5
ANTEQUERA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,4,0,4
ANZALDO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,8,3,11
APOLO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,21,14,35
ARAMPAMPA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,2,1,3
ARANI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,12,0,12
ARBIETO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,20,5,25
ARQUE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,17,8,25
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,41,5,46
ATOCHA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,12,1,13
AYATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,5,9,14
AYO AYO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,10,5,15
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,28,39,67
AZURDUY,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,9,14,23
BATALLAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,17,15,32
BAURES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,19,0,19
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,0,1,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,1,0,1
BERMEJO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,32,25,57
BETANZOS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,22,11,33
BOLIVAR,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,16,10,26
BOLPEBRA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,5,1,6
BUENA VISTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,6,10,16
CABEZAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,36,16,52
CAIROMA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,9,6,15
"CAIZA ""D""",vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,3,0,3
CAJUATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,16,3,19
CALACOTO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,2,3,5
CALAMARCA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,14,6,20
CAMARGO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,14,3,17
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,3,5,8
CAMIRI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,40,6,46
CAPINOTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,32,4,36
CAQUIAVIRI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,3,10,13
CARACOLLO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,26,6,32
CARANAVI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,63,26,89
CARAPARI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,18,5,23
CARIPUYO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,3,8,11
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,1,5,6
CATACORA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,0,1,1
CHACARILLA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,0,3,3
CHALLAPATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,33,15,48
CHAQUI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,3,5,8
CHARAGUA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,9,4,13
CHARAÑA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,1,0,1
CHAYANTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,5,2,7
CHIMORE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,46,12,58
CHIPAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,5,0,5
CHOQUE COTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,29,5,34
CHUMA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,6,9,15
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-04-01,8,4,12
