,group,variable,month,L 17.6 (O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,L 17.6 (O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,TOTALES
PASORAPA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,1,4,5
PATACAMAYA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,23,4,27
PAZÑA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,13,0,13
PELECHUCO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,8,6,14
POCOATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,13,41,54
POCONA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,9,11,20
POJO (CBBA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,19,9,28
POOPO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,9,1,10
PORCO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,21,8,29
POROMA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,21,21,42
PORONGO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,14,9,23
PORTACHUELO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,25,2,27
PORVENIR,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,7,3,10
POSTRER VALLE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,1,1,2
POTOSI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,408,12,420
PRESTO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,4,8,12
PUCARA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,1,0,1
PUCARANI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,25,23,48
PUERTO ACOSTA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,1,12,13
PUERTO CARABUCO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,6,10,16
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,7,12,19
PUERTO PEREZ,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,3,11,14
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,16,14,30
PUERTO RICO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,12,4,16
PUERTO SILES,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,1,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,25,5,30
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,92,13,105
PUNA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,18,10,28
PUNATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,34,0,34
QUIABAYA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,7,1,8
QUILLACOLLO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,228,11,239
QUIME,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,14,7,21
QUIRUSILLAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,1,0,1
RAVELO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,7,18,25
REYES,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,15,7,22
RIBERALTA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,186,22,208
ROBORE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,21,8,29
RURRENABAQUE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,45,3,48
SABAYA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,3,2,5
SACABA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,226,40,266
SACABAMBA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,6,3,9
SACACA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,39,25,64
SAIPINA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,7,4,11
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,9,3,12
SAMAIPATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,11,1,12
SAN AGUSTIN,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,2,3,5
SAN ANDRES,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,23,15,38
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,1,3,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,8,6,14
SAN BENITO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,17,3,20
SAN BORJA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,73,29,102
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,16,6,22
SAN CARLOS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,42,1,43
SAN IGNACIO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,36,8,44
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,105,27,132
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,7,0,7
SAN JAVIER(STC),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,38,3,41
SAN JOAQUIN,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,7,0,7
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,29,8,37
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,14,0,14
SAN JULIAN,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,60,36,96
SAN LORENZO(PND),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,5,12,17
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,21,12,33
SAN LUCAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,39,38,77
SAN MATIAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,19,4,23
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,17,13,30
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,8,1,9
SAN PEDRO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,19,1,20
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,37,56,93
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,0,5,5
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,4,0,4
SAN RAFAEL,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,12,3,15
SAN RAMON BENI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,4,6,10
SAN RAMON SCZ,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,24,0,24
SANTA ANA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,30,0,30
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,2363,102,2465
SANTA ROSA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,28,4,32
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,30,2,32
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,0,7,7
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,13,7,20
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,3,5,8
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,2,0,2
SANTIVAÑES,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,11,3,14
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,1,3,4
SAPAHAQUI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,10,9,19
SENA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,7,10,17
SHINAOTA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,42,4,46
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,26,26,52
SICAYA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,3,3,6
SIPE SIPE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,100,6,106
SOPACHUY,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,10,8,18
SORACACHI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,13,9,22
SORATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,12,22,34
SUCRE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,485,26,511
TACACHI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,2,3,5
TACOBAMBA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,13,6,19
TACOPAYA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,14,5,19
TAHUA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,1,0,1
TAPACARI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,21,25,46
TARABUCO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,13,15,28
TARACO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,0,3,3
TARATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,15,4,19
TARIJA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,316,5,321
TARVITA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,23,12,35
TEOPONTE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,4,3,7
TIAWANACU,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,18,14,32
TINGUIPAYA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,40,11,51
TIPUANI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,13,2,15
TIQUIPAYA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,82,12,94
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,29,24,53
TOCO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,6,5,11
TOLATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,13,0,13
TOLEDO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,5,1,6
TOMAVE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,10,20,30
TOMINA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,15,2,17
TORO TORO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,10,13,23
TOTORA(CBBA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,25,13,38
TOTORA(ORR),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,6,5,11
TRIGAL,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,1,1,2
TRINIDAD,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,200,2,202
TUPIZA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,63,20,83
TURCO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,7,1,8
UMALA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,0,7,7
UNCIA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,24,13,37
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,20,2,22
URUBICHA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,11,5,16
UYUNI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,48,3,51
VACAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,2,20,22
VALLEGRANDE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,24,1,25
VIACHA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,81,7,88
VILA VILA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,4,5,9
VILLA CHARCAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,19,16,35
VILLA MONTES,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,54,13,67
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,1,1,2
VILLA RIVERO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,12,2,14
VILLA SERRANO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,11,12,23
VILLA TUNARI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,173,16,189
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,20,9,29
VILLAZON,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,49,10,59
VINTO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,95,0,95
VITICHI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,3,3,6
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,2,0,2
WARNES,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,169,16,185
YACO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,5,9,14
YACUIBA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,114,5,119
YAMPARAEZ,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,7,1,8
YANACACHI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,8,0,8
YAPACANI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,94,6,100
YOCALLA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,7,3,10
YOTALA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,14,8,22
YUNCHARA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,2,5,7
YUNGUYO DE LITORAL,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,0,1,1
ZUDAÑEZ,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-03-01,4,9,13
ACACIO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,5,0,5
ACHACACHI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,38,24,62
ACHOCALLA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,9,8,17
AIQUILE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,33,8,41
ALALAY,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,0,5,5
ALCALA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,3,0,3
ALTO BENI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,24,1,25
ANCORAIMES,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,13,8,21
ANDAMARCA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,3,2,5
ANTEQUERA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,4,0,4
ANZALDO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,8,3,11
APOLO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,21,11,32
ARAMPAMPA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,2,1,3
ARANI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,12,0,12
ARBIETO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,20,5,25
ARQUE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,17,8,25
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,41,5,46
ATOCHA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,12,1,13
AYATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,5,9,14
AYO AYO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,10,5,15
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,29,40,69
AZURDUY,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,9,14,23
BATALLAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,17,15,32
BAURES,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,19,0,19
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,0,1,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,1,0,1
BERMEJO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,32,25,57
BETANZOS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,22,11,33
BOLIVAR,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,16,10,26
BOLPEBRA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,5,1,6
BUENA VISTA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,6,10,16
CABEZAS,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,36,16,52
CAIROMA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,9,6,15
"CAIZA ""D""",vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,3,0,3
CAJUATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,16,3,19
CALACOTO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,2,3,5
CALAMARCA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,14,6,20
CAMARGO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,14,3,17
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,3,5,8
CAMIRI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,40,6,46
CAPINOTA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,31,4,35
CAQUIAVIRI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,3,10,13
CARACOLLO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,26,6,32
CARANAVI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,63,26,89
CARAPARI,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,18,5,23
CARIPUYO,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,3,8,11
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,1,5,6
CATACORA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,0,1,1
CHACARILLA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,0,3,3
CHALLAPATA,vacunaciones en menores de 1 ano,l 17.6       (o.p.v.) antipoliomielitica 2da dosis,2012-04-01,33,15,48
