,group,variable,month,L 17.4 PENTAVALENTE 3RA. DOSIS,L 17.4 PENTAVALENTE 3RA. DOSIS,TOTALES
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,20,6,26
SAN CARLOS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,34,1,35
SAN IGNACIO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,31,1,32
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,82,26,108
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,3,1,4
SAN JAVIER(STC),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,42,0,42
SAN JOAQUIN,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,9,2,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,28,3,31
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,18,3,21
SAN JULIAN,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,69,43,112
SAN LORENZO(PND),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,5,8,13
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,19,11,30
SAN LUCAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,29,37,66
SAN MATIAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,23,0,23
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,13,0,13
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,0,1,1
SAN PEDRO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,25,2,27
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,26,13,39
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,0,2,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,7,5,12
SAN RAFAEL,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,8,1,9
SAN RAMON BENI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,1,12,13
SAN RAMON SCZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,26,0,26
SANTA ANA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,43,0,43
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,2070,76,2146
SANTA ROSA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,12,1,13
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,30,3,33
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,3,6,9
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,7,7,14
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,5,10,15
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,3,1,4
SANTIVAÑES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,8,0,8
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,6,4,10
SAPAHAQUI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,8,2,10
SENA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,6,0,6
SHINAOTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,24,0,24
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,15,14,29
SICAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,3,0,3
SIPE SIPE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,72,1,73
SOPACHUY,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,6,5,11
SORACACHI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,11,4,15
SORATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,18,21,39
SUCRE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,487,16,503
TACACOMA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,7,1,8
TACOBAMBA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,4,1,5
TACOPAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,11,4,15
TAPACARI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,24,16,40
TARABUCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,6,4,10
TARACO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,0,2,2
TARATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,7,4,11
TARIJA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,351,4,355
TARVITA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,22,19,41
TEOPONTE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,13,6,19
TIAWANACU,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,5,6,11
TINGUIPAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,26,10,36
TIPUANI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,19,2,21
TIQUIPAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,81,24,105
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,25,19,44
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,1,0,1
TOCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,1,2,3
TOLATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,4,1,5
TOLEDO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,2,2,4
TOMAVE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,4,7,11
TOMINA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,12,1,13
TORO TORO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,2,5,7
TOTORA(CBBA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,16,4,20
TOTORA(ORR),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,5,2,7
TRIGAL,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,1,0,1
TRINIDAD,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,171,10,181
TUPIZA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,51,11,62
TURCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,2,0,2
UMALA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,1,5,6
UNCIA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,28,5,33
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,20,3,23
URUBICHA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,6,7,13
UYUNI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,41,0,41
VACAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,2,5,7
VALLEGRANDE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,21,6,27
VIACHA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,73,4,77
VILA VILA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,4,8,12
VILLA CHARCAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,17,8,25
VILLA MONTES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,72,19,91
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,2,2,4
VILLA RIVERO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,8,0,8
VILLA SERRANO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,9,7,16
VILLA TUNARI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,121,35,156
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,11,2,13
VILLAZON,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,65,10,75
VINTO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,73,0,73
VITICHI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,12,7,19
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,3,0,3
WARNES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,152,9,161
YACO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,11,6,17
YACUIBA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,129,15,144
YAMPARAEZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,8,0,8
YANACACHI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,8,2,10
YAPACANI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,94,5,99
YOCALLA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,13,1,14
YOTALA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,4,4,8
YUNCHARA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,7,5,12
ZUDAÑEZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-02-01,2,5,7
ACACIO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,7,4,11
ACHACACHI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,51,32,83
ACHOCALLA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,14,3,17
AIQUILE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,39,13,52
ALALAY,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,0,9,9
ALCALA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,3,3,6
ALTO BENI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,21,0,21
ANCORAIMES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,19,2,21
ANDAMARCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,4,1,5
ANTEQUERA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,5,1,6
ANZALDO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,8,6,14
APOLO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,20,20,40
ARAMPAMPA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,2,6,8
ARANI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,21,3,24
ARBIETO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,13,12,25
ARQUE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,19,15,34
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,48,1,49
ATOCHA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,26,7,33
AUCAPATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,4,3,7
AYATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,9,18,27
AYO AYO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,10,3,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,26,36,62
AZURDUY,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,8,13,21
BATALLAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,21,13,34
BAURES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,0,2,2
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,0,2,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,1,4,5
BELLA FLOR,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,0,1,1
BERMEJO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,45,30,75
BETANZOS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,37,28,65
BOLIVAR,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,5,6,11
BOLPEBRA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,0,2,2
BOYUIBE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,8,2,10
BUENA VISTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,20,15,35
CABEZAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,34,48,82
CAIROMA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,18,4,22
"CAIZA ""D""",vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,8,4,12
CAJUATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,15,3,18
CALACOTO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,4,8,12
CALAMARCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,10,8,18
CAMARGO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,14,10,24
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,4,1,5
CAMIRI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,55,3,58
CAPINOTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,29,4,33
CAQUIAVIRI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,5,6,11
CARACOLLO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,23,17,40
CARANAVI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,74,20,94
CARAPARI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,16,5,21
CARIPUYO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,1,34,35
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,3,2,5
CATACORA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,39,11,50
CHAQUI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,11,5,16
CHARAGUA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,44,61,105
CHARAÑA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,1,1,2
CHAYANTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,10,23,33
CHIMORE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,41,13,54
CHIPAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,30,11,41
CHUMA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,11,8,19
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,6,7,13
CKOCHAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,17,18,35
CLIZA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,33,7,40
COBIJA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,92,7,99
COCAPATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,22,23,45
COCHABAMBA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,1373,5,1378
COIPASA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,0,1,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,104,7,111
"COLCHA ""K""",vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,25,2,27
COLLANA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,2,1,3
COLOMI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,33,8,41
COLPA BELGICA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,10,8,18
COLQUECHACA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,37,42,79
COLQUENCHA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,16,0,16
COLQUIRI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,19,33,52
COMANCHE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,4,0,4
COMARAPA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,30,9,39
COMBAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,0,7,7
CONCEPCION,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,43,8,51
COPACABANA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,19,6,25
CORIPATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,16,1,17
CORO CORO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,7,7,14
COROICO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,20,8,28
CORQUE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,5,4,9
COTAGAITA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,27,17,44
COTOCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,117,10,127
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,19,37,56
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,0,1,1
CUEVO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,4,2,6
CULPINA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,26,30,56
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,6,0,6
CURVA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,0,2,2
DESAGUADERO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,6,1,7
EL ALTO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,1438,55,1493
EL CHORO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,2,5,7
EL PUENTE(STC),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,32,2,34
EL PUENTE(TJA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,21,6,27
EL TORNO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,86,2,88
EL VILLAR,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,3,2,5
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,28,9,37
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,63,20,83
ESCOMA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,1,2,3
EUCALIPTUS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,8,0,8
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,1,2,3
EXALTACION,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,3,0,3
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,20,4,24
FILADELFIA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,4,21,25
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,27,2,29
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,8,18,26
GUANAY,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,15,12,27
GUAQUI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,3,4,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,76,26,102
GUTIERREZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,19,6,25
HUACARETA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,12,5,17
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,1,2,3
HUANUNI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,34,7,41
HUARACAJE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,12,3,15
HUARINA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,7,1,8
HUAYLLAMARCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,6,3,9
HUMANATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,9,7,16
ICHOCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,0,11,11
ICLA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,7,13,20
INCAHUASI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,23,6,29
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,0,6,6
INQUISIVI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,9,17,26
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,9,8,17
IXIAMAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,16,1,17
JESUS DE MACHACA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,15,4,19
LA ASUNTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,106,19,125
LA GUARDIA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,176,4,180
LA PAZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,1160,28,1188
LA RIVERA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,0,1,1
LAGUNILLAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,10,3,13
LAJA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,19,1,20
LAS CARRERAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,1,1,2
LICOMA PAMPA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,4,0,4
LLALLAGUA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-03-01,53,30,83
