,group,variable,month,L 17.9 ANTIROTAVIRICA 2RA. DOSIS,L 17.9 ANTIROTAVIRICA 2RA. DOSIS,TOTALES
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,16,2,18
SAN CARLOS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,29,0,29
SAN IGNACIO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,30,1,31
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,106,21,127
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,0,1,1
SAN JAVIER(STC),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,41,0,41
SAN JOAQUIN,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,10,0,10
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,34,1,35
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,11,1,12
SAN JULIAN,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,74,39,113
SAN LORENZO(PND),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,2,21,23
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,22,5,27
SAN LUCAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,20,27,47
SAN MATIAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,13,2,15
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,13,4,17
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,1,3,4
SAN PEDRO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,28,1,29
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,19,14,33
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,1,3,4
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,1,3,4
SAN RAFAEL,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,10,2,12
SAN RAMON BENI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,4,5,9
SAN RAMON SCZ,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,17,0,17
SANTA ANA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,21,0,21
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,2070,57,2127
SANTA ROSA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,19,1,20
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,40,2,42
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,2,4,6
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,13,5,18
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,3,9,12
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,2,1,3
SANTIVAÑES,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,9,1,10
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,5,3,8
SAPAHAQUI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,6,3,9
SENA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,16,0,16
SHINAOTA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,27,1,28
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,21,10,31
SICAYA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,3,1,4
SIPE SIPE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,97,0,97
SOPACHUY,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,12,4,16
SORACACHI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,16,11,27
SORATA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,27,15,42
SUCRE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,473,7,480
TACACOMA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,7,5,12
TACOBAMBA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,11,6,17
TACOPAYA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,13,6,19
TAHUA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,1,0,1
TAPACARI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,29,13,42
TARABUCO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,9,10,19
TARACO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,3,4,7
TARATA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,7,1,8
TARIJA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,335,3,338
TARVITA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,11,10,21
TEOPONTE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,7,2,9
TIAWANACU,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,9,5,14
TINGUIPAYA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,21,12,33
TIPUANI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,11,2,13
TIQUIPAYA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,102,14,116
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,24,13,37
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,0,1,1
TOCO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,6,4,10
TOLATA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,11,1,12
TOLEDO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,3,1,4
TOMAVE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,5,2,7
TOMINA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,9,3,12
TORO TORO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,6,7,13
TOTORA(CBBA),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,16,2,18
TOTORA(ORR),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,5,1,6
TRIGAL,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,0,1,1
TRINIDAD,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,156,6,162
TUPIZA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,53,8,61
TURCO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,6,1,7
UMALA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,2,6,8
UNCIA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,27,10,37
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,21,2,23
URUBICHA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,13,5,18
UYUNI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,48,2,50
VACAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,5,9,14
VALLEGRANDE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,23,4,27
VIACHA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,69,6,75
VILA VILA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,3,6,9
VILLA CHARCAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,16,19,35
VILLA MONTES,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,59,11,70
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,5,1,6
VILLA RIVERO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,10,2,12
VILLA SERRANO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,10,3,13
VILLA TUNARI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,104,5,109
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,9,1,10
VILLAZON,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,53,9,62
VINTO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,64,0,64
VITICHI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,7,7,14
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,1,0,1
WARNES,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,137,5,142
YACO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,7,7,14
YACUIBA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,126,18,144
YAMPARAEZ,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,7,4,11
YANACACHI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,6,0,6
YAPACANI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,63,4,67
YOCALLA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,5,1,6
YOTALA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,10,4,14
YUNCHARA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,1,4,5
ZUDAÑEZ,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-02-01,4,4,8
ACACIO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,6,6,12
ACHACACHI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,46,17,63
ACHOCALLA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,11,4,15
AIQUILE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,28,7,35
ALALAY,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,3,6,9
ALCALA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,4,1,5
ALTO BENI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,16,0,16
ANCORAIMES,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,16,3,19
ANDAMARCA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,1,5,6
ANTEQUERA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,2,0,2
ANZALDO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,10,8,18
APOLO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,25,8,33
ARAMPAMPA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,6,8,14
ARANI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,14,4,18
ARBIETO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,14,9,23
ARQUE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,27,7,34
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,54,0,54
ATOCHA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,31,11,42
AUCAPATA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,5,2,7
AYATA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,13,16,29
AYO AYO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,11,1,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,33,19,52
AZURDUY,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,5,17,22
BATALLAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,12,5,17
BAURES,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,5,0,5
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,1,1,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,1,4,5
BELLA FLOR,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,0,3,3
BERMEJO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,41,15,56
BETANZOS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,35,26,61
BOLIVAR,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,7,6,13
BOLPEBRA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,1,1,2
BOYUIBE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,7,3,10
BUENA VISTA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,21,7,28
CABEZAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,46,21,67
CAIROMA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,10,8,18
"CAIZA ""D""",vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,8,8,16
CAJUATA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,11,1,12
CALACOTO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,0,4,4
CALAMARCA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,8,7,15
CAMARGO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,18,6,24
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,5,2,7
CAMIRI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,41,1,42
CAPINOTA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,28,4,32
CAQUIAVIRI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,4,7,11
CARACOLLO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,25,6,31
CARANAVI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,64,17,81
CARAPARI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,14,5,19
CARIPUYO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,2,19,21
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,1,3,4
CATACORA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,1,3,4
CHACARILLA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,43,14,57
CHAQUI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,4,7,11
CHARAGUA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,11,36,47
CHARAÑA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,2,1,3
CHAYANTA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,11,15,26
CHIMORE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,33,7,40
CHIPAYA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,24,6,30
CHUMA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,11,5,16
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,9,6,15
CKOCHAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,17,10,27
CLIZA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,32,9,41
COBIJA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,110,5,115
COCAPATA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,17,19,36
COCHABAMBA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,1257,4,1261
COIPASA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,81,0,81
"COLCHA ""K""",vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,16,1,17
COLLANA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,3,3,6
COLOMI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,38,5,43
COLPA BELGICA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,4,3,7
COLQUECHACA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,31,51,82
COLQUENCHA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,18,0,18
COLQUIRI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,16,27,43
COMANCHE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,5,0,5
COMARAPA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,26,8,34
COMBAYA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,0,4,4
CONCEPCION,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,37,11,48
COPACABANA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,18,8,26
CORIPATA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,15,4,19
CORO CORO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,4,9,13
COROICO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,18,13,31
CORQUE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,7,1,8
COTAGAITA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,34,13,47
COTOCA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,105,8,113
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,23,25,48
CUEVO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,8,4,12
CULPINA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,22,24,46
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,3,1,4
CURVA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,0,3,3
DESAGUADERO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,6,1,7
EL ALTO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,1389,31,1420
EL CHORO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,3,5,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,23,0,23
EL PUENTE(TJA),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,14,2,16
EL TORNO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,95,4,99
EL VILLAR,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,4,1,5
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,33,11,44
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,73,11,84
ESCOMA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,7,1,8
EUCALIPTUS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,4,2,6
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,1,5,6
EXALTACION,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,2,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,23,2,25
FILADELFIA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,5,15,20
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,20,2,22
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,5,18,23
GUANAY,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,17,14,31
GUAQUI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,1,7,8
GUAYARAMERIN,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,97,20,117
GUTIERREZ,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,18,10,28
HUACARETA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,12,6,18
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,2,3,5
HUACHACALLA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,4,0,4
HUANUNI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,55,1,56
HUARACAJE,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,7,0,7
HUARINA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,5,1,6
HUAYLLAMARCA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,3,2,5
HUMANATA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,1,1,2
ICHOCA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,1,8,9
ICLA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,7,9,16
INCAHUASI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,16,4,20
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,0,3,3
INQUISIVI,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,8,18,26
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,11,16,27
IXIAMAS,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,5,0,5
JESUS DE MACHACA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,18,5,23
LA ASUNTA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,59,18,77
LA GUARDIA,vacunaciones en menores de 1 ano,l 17.9       antirotavirica 2ra. dosis,2012-03-01,134,3,137
