,group,variable,month,L 17.5 (O.P.V.) ANTIPOLIOMIELÍTICA 1RA DOSIS,L 17.5 (O.P.V.) ANTIPOLIOMIELÍTICA 1RA DOSIS,TOTALES
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-03-01,18,5,23
VILLAZON,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-03-01,61,2,63
VINTO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-03-01,116,1,117
VITICHI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-03-01,8,3,11
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-03-01,1,1,2
WARNES,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-03-01,201,22,223
YACO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-03-01,2,10,12
YACUIBA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-03-01,169,11,180
YAMPARAEZ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-03-01,3,1,4
YANACACHI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-03-01,4,1,5
YAPACANI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-03-01,111,4,115
YOCALLA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-03-01,11,6,17
YOTALA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-03-01,4,3,7
YUNCHARA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-03-01,3,9,12
YUNGUYO DE LITORAL,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-03-01,0,1,1
ZUDAÑEZ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-03-01,10,8,18
ACACIO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,5,0,5
ACHACACHI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,33,25,58
ACHOCALLA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,11,5,16
AIQUILE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,29,8,37
ALALAY,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,0,3,3
ALCALA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,1,1,2
ALTO BENI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,15,1,16
ANCORAIMES,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,18,6,24
ANDAMARCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,1,1,2
ANTEQUERA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,2,0,2
ANZALDO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,7,4,11
APOLO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,21,10,31
ARAMPAMPA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,4,4,8
ARANI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,17,1,18
ARBIETO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,12,10,22
ARQUE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,22,4,26
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,44,7,51
ATOCHA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,7,5,12
AUCAPATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,3,3,6
AYATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,7,11,18
AYO AYO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,10,4,14
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,31,15,46
AZURDUY,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,14,9,23
BATALLAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,22,16,38
BAURES,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,17,1,18
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,1,3,4
BELEN DE URMIRI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,1,0,1
BELLA FLOR,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,1,0,1
BERMEJO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,38,16,54
BETANZOS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,19,17,36
BOLIVAR,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,5,6,11
BOLPEBRA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,1,1,2
BOYUIBE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,5,0,5
BUENA VISTA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,26,7,33
CABEZAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,61,14,75
CAIROMA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,11,6,17
"CAIZA ""D""",vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,6,0,6
CAJUATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,14,3,17
CALACOTO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,0,5,5
CALAMARCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,10,6,16
CAMARGO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,10,7,17
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,4,1,5
CAMIRI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,57,5,62
CAPINOTA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,29,3,32
CAQUIAVIRI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,1,10,11
CARACOLLO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,19,10,29
CARANAVI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,59,24,83
CARAPARI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,10,6,16
CARIPUYO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,2,6,8
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,7,16,23
CATACORA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,0,1,1
CHACARILLA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,0,4,4
CHALLAPATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,37,17,54
CHAQUI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,5,3,8
CHARAGUA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,12,13,25
CHARAÑA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,2,0,2
CHAYANTA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,3,3,6
CHIMORE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,36,10,46
CHIPAYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,2,0,2
CHOQUE COTA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,33,3,36
CHUMA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,8,5,13
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,11,2,13
CKOCHAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,6,0,6
CLIZA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,32,6,38
COBIJA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,26,4,30
COCAPATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,13,19,32
COCHABAMBA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,980,5,985
COIPASA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,59,3,62
"COLCHA ""K""",vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,15,0,15
COLLANA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,1,5,6
COLOMI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,36,10,46
COLPA BELGICA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,12,0,12
COLQUECHACA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,25,10,35
COLQUENCHA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,14,0,14
COLQUIRI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,17,30,47
COMANCHE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,5,1,6
COMARAPA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,32,5,37
COMBAYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,0,3,3
CONCEPCION,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,26,3,29
COPACABANA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,11,4,15
CORIPATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,30,3,33
CORO CORO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,8,8,16
COROICO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,21,9,30
CORQUE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,4,2,6
COTAGAITA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,17,7,24
COTOCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,126,7,133
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,22,7,29
CUEVO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,3,3,6
CULPINA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,15,15,30
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,8,0,8
CURVA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,3,4,7
DESAGUADERO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,10,4,14
EL ALTO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,934,29,963
EL CHORO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,7,4,11
EL PUENTE(STC),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,31,1,32
EL PUENTE(TJA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,7,5,12
EL TORNO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,79,5,84
EL VILLAR,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,2,0,2
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,15,11,26
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,58,1,59
ESCOMA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,1,2,3
EUCALIPTUS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,5,3,8
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,1,1,2
EXALTACION,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,3,0,3
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,27,7,34
FILADELFIA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,19,1,20
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,9,12,21
GUANAY,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,11,10,21
GUAQUI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,3,5,8
GUAYARAMERIN,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,34,4,38
GUTIERREZ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,39,17,56
HUACARETA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,9,6,15
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,2,0,2
HUANUNI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,40,5,45
HUARACAJE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,10,0,10
HUARINA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,2,1,3
HUMANATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,3,4,7
ICHOCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,2,4,6
ICLA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,1,4,5
INCAHUASI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,14,11,25
INQUISIVI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,6,20,26
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,11,7,18
IXIAMAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,26,0,26
JESUS DE MACHACA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,16,3,19
LA ASUNTA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,81,22,103
LA GUARDIA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,149,9,158
LA PAZ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,908,16,924
LAGUNILLAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,4,3,7
LAJA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,14,8,22
LAS CARRERAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,5,4,9
LLALLAGUA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,60,7,67
LLICA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,5,0,5
LORETO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,6,0,6
LURIBAY,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,10,3,13
MACHACAMARCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,4,1,5
MACHARETI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,10,3,13
MAGDALENA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,6,0,6
MAIRANA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,21,0,21
MALLA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,2,0,2
MAPIRI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,21,7,28
MECAPACA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,10,5,15
MINEROS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,17,22,39
MIZQUE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,50,18,68
MOCOMOCO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,19,8,27
MOJOCOYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,2,5,7
MONTEAGUDO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,25,2,27
MONTERO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,241,7,248
MORO MORO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,4,0,4
MOROCHATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,6,20,26
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,1,1,2
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,4,0,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,0,1,1
OCURI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,9,7,16
OKINAWA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,14,2,16
OMEREQUE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,6,7,13
ORURO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,182,0,182
PADCAYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,18,8,26
PADILLA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,17,3,20
PAILON,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,27,18,45
PALCA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,14,7,21
PALOS BLANCOS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,43,6,49
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,3,2,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,15,2,17
PAPEL PAMPA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,3,3,6
PASORAPA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,2,2,4
PATACAMAYA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,21,4,25
PAZÑA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,6,2,8
PELECHUCO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,13,2,15
POCOATA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,8,19,27
POCONA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,15,7,22
POJO (CBBA),vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,10,2,12
POOPO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,6,5,11
PORCO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,21,2,23
POROMA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,12,13,25
PORONGO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,5,6,11
PORTACHUELO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,22,0,22
PORVENIR,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,2,3,5
POSTRER VALLE,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,1,0,1
POTOSI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,134,5,139
PRESTO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,5,6,11
PUCARA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,1,0,1
PUCARANI,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,33,20,53
PUERTO ACOSTA,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,15,20,35
PUERTO CARABUCO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,3,13,16
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,5,2,7
PUERTO PEREZ,vacunaciones en menores de 1 ano,l 17.5       (o.p.v.) antipoliomielitica 1ra dosis,2012-04-01,2,4,6
