,group,variable,month,L 17.8 ANTIROTAVIRICA 1RA. DOSIS,L 17.8 ANTIROTAVIRICA 1RA. DOSIS,TOTALES
SENA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,8,7,15
SHINAOTA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,49,4,53
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,26,9,35
SICAYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,1,1,2
SIPE SIPE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,78,6,84
SOPACHUY,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,8,8,16
SORACACHI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,6,4,10
SORATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,13,19,32
SUCRE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,599,19,618
TACACHI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,4,0,4
TACACOMA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,6,2,8
TACOBAMBA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,14,6,20
TACOPAYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,8,5,13
TAPACARI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,20,30,50
TARABUCO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,15,19,34
TARACO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,3,1,4
TARATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,16,3,19
TARIJA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,363,8,371
TARVITA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,13,11,24
TEOPONTE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,7,1,8
TIAWANACU,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,9,14,23
TINGUIPAYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,43,20,63
TIPUANI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,16,2,18
TIQUIPAYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,100,13,113
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,35,22,57
TOCO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,6,3,9
TOLATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,7,3,10
TOLEDO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,12,2,14
TOMAVE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,16,20,36
TOMINA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,6,9,15
TORO TORO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,18,15,33
TOTORA(CBBA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,27,15,42
TOTORA(ORR),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,5,2,7
TRIGAL,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,3,0,3
TRINIDAD,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,227,1,228
TUPIZA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,59,9,68
TURCO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,4,1,5
UMALA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,4,4,8
UNCIA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,24,13,37
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,18,0,18
URUBICHA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,6,4,10
UYUNI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,48,2,50
VACAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,10,13,23
VALLEGRANDE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,25,3,28
VIACHA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,93,4,97
VILA VILA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,5,4,9
VILLA CHARCAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,18,6,24
VILLA MONTES,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,61,9,70
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,5,3,8
VILLA RIVERO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,11,3,14
VILLA SERRANO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,9,1,10
VILLA TUNARI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,153,27,180
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,17,5,22
VILLAZON,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,58,2,60
VINTO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,104,1,105
VITICHI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,8,3,11
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,1,1,2
WARNES,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,136,20,156
YACO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,2,10,12
YACUIBA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,160,11,171
YAMPARAEZ,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,3,1,4
YANACACHI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,4,1,5
YAPACANI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,101,5,106
YOCALLA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,11,6,17
YOTALA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,4,3,7
YUNCHARA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,3,8,11
YUNGUYO DE LITORAL,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,0,1,1
ZUDAÑEZ,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-03-01,10,7,17
ACACIO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,5,0,5
ACHACACHI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,29,20,49
ACHOCALLA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,12,5,17
AIQUILE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,28,9,37
ALALAY,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,0,3,3
ALCALA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,1,1,2
ALTO BENI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,15,1,16
ANCORAIMES,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,18,5,23
ANDAMARCA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,1,1,2
ANTEQUERA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,2,0,2
ANZALDO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,6,4,10
APOLO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,21,10,31
ARAMPAMPA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,2,4,6
ARANI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,17,1,18
ARBIETO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,12,8,20
ARQUE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,22,4,26
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,43,5,48
ATOCHA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,8,5,13
AUCAPATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,3,3,6
AYATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,7,11,18
AYO AYO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,10,2,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,30,15,45
AZURDUY,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,14,9,23
BATALLAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,18,9,27
BAURES,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,10,0,10
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,1,3,4
BELEN DE URMIRI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,1,0,1
BELLA FLOR,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,1,0,1
BERMEJO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,38,14,52
BETANZOS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,19,17,36
BOLIVAR,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,5,6,11
BOLPEBRA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,1,1,2
BOYUIBE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,5,0,5
BUENA VISTA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,25,8,33
CABEZAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,30,20,50
CAIROMA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,11,6,17
"CAIZA ""D""",vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,4,0,4
CAJUATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,14,3,17
CALACOTO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,0,5,5
CALAMARCA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,9,6,15
CAMARGO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,10,7,17
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,4,1,5
CAMIRI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,56,4,60
CAPINOTA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,29,3,32
CAQUIAVIRI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,1,10,11
CARACOLLO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,19,9,28
CARANAVI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,57,25,82
CARAPARI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,10,4,14
CARIPUYO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,2,6,8
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,7,16,23
CATACORA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,0,1,1
CHACARILLA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,0,4,4
CHALLAPATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,35,17,52
CHAQUI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,5,2,7
CHARAGUA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,28,45,73
CHARAÑA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,2,0,2
CHAYANTA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,3,3,6
CHIMORE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,35,10,45
CHIPAYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,2,0,2
CHOQUE COTA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,31,2,33
CHUMA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,7,4,11
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,11,2,13
CKOCHAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,6,0,6
CLIZA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,32,6,38
COBIJA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,26,4,30
COCAPATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,14,18,32
COCHABAMBA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,953,4,957
COIPASA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,61,3,64
"COLCHA ""K""",vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,15,0,15
COLLANA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,1,5,6
COLOMI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,36,6,42
COLPA BELGICA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,12,0,12
COLQUECHACA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,20,14,34
COLQUENCHA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,14,0,14
COLQUIRI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,15,30,45
COMANCHE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,5,1,6
COMARAPA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,32,5,37
COMBAYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,0,3,3
CONCEPCION,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,26,3,29
COPACABANA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,10,3,13
CORIPATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,28,4,32
CORO CORO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,8,8,16
COROICO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,21,7,28
CORQUE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,4,2,6
COTAGAITA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,18,6,24
COTOCA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,117,11,128
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,16,4,20
CUEVO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,3,3,6
CULPINA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,12,13,25
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,8,0,8
CURVA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,1,4,5
DESAGUADERO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,10,3,13
EL ALTO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,838,21,859
EL CHORO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,7,4,11
EL PUENTE(STC),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,31,1,32
EL PUENTE(TJA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,7,6,13
EL TORNO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,81,5,86
EL VILLAR,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,2,0,2
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,14,12,26
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,58,1,59
ESCOMA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,4,4,8
EUCALIPTUS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,5,3,8
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,1,1,2
EXALTACION,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,3,0,3
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,23,6,29
FILADELFIA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,17,0,17
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,9,12,21
GUANAY,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,11,10,21
GUAQUI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,3,5,8
GUAYARAMERIN,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,26,3,29
GUTIERREZ,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,36,14,50
HUACARETA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,9,6,15
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,2,0,2
HUANUNI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,40,3,43
HUARACAJE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,9,0,9
HUARINA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,2,1,3
HUMANATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,3,4,7
ICHOCA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,2,4,6
ICLA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,1,4,5
INCAHUASI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,9,11,20
INQUISIVI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,6,14,20
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,10,6,16
IXIAMAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,23,0,23
JESUS DE MACHACA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,16,3,19
LA ASUNTA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,77,12,89
LA GUARDIA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,157,9,166
LA PAZ,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,904,10,914
LAGUNILLAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,4,3,7
LAJA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,12,8,20
LAS CARRERAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,5,4,9
LLALLAGUA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,63,6,69
LLICA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,5,0,5
LORETO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,6,0,6
LURIBAY,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,10,3,13
MACHACAMARCA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,2,1,3
MACHARETI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,10,3,13
MAGDALENA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,6,0,6
MAIRANA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,21,0,21
MALLA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,2,0,2
MAPIRI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,20,7,27
MECAPACA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,10,4,14
MINEROS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,15,19,34
MIZQUE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,50,17,67
MOCOMOCO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,19,8,27
MOJOCOYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,2,5,7
MONTEAGUDO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,24,1,25
MONTERO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,218,7,225
MORO MORO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,4,0,4
MOROCHATA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,6,20,26
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,1,1,2
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,4,0,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,0,1,1
OCURI,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,9,7,16
OKINAWA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,14,1,15
OMEREQUE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,6,7,13
ORURO,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,179,0,179
PADCAYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,18,8,26
PADILLA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,17,3,20
PAILON,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,28,16,44
PALCA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,13,7,20
PALOS BLANCOS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,43,6,49
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,3,2,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,15,2,17
PAPEL PAMPA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,3,3,6
PASORAPA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,2,2,4
PATACAMAYA,vacunaciones en menores de 1 ano,l 17.8       antirotavirica 1ra. dosis,2012-04-01,21,4,25
