,group,variable,month,L 23.6 TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,L 23.6 TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TOTALES
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,13,7,20
SHINAOTA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,1,0,1
TARIJA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,2,0,2
TRINIDAD,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,1,0,1
TUPIZA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,0,1,1
UNCIA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,1,0,1
VILLA MONTES,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,0,1,1
YACUIBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,0,2,2
YAPACANI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-09-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,1,0,1
BOLIVAR,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,1,0,1
CAJUATA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,0,2,2
CHAYANTA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,5,1,6
EL TORNO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,0,1,1
ICHOCA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,0,1,1
LA PAZ,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,2,1,3
MONTERO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,2,0,2
ORURO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,1,1,2
POTOSI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,2,0,2
SACABA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,1,0,1
SAN BORJA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,17,9,26
SIPE SIPE,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,1,0,1
SORATA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,1,1,2
TACACOMA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,1,0,1
TARIJA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,1,0,1
TINGUIPAYA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,1,0,1
WARNES,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,1,1,2
YACUIBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-10-01,1,1,2
ALTO BENI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,0,1,1
BERMEJO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,2,0,2
BOLIVAR,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,1,0,1
CAMIRI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,0,2,2
CARANAVI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,0,2,2
CHARAGUA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,1,0,1
COTOCA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,3,0,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,1,0,1
LA GUARDIA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,3,0,3
MONTERO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,6,0,6
ORURO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,2,2,4
PUERTO VILLARROEL,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,4,1,5
QUILLACOLLO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,1,0,1
RIBERALTA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,21,5,26
SUCRE,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,1,0,1
TARIJA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,0,1,1
TIPUANI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,3,0,3
TUPIZA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,1,0,1
VIACHA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,0,1,1
VINTO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,1,0,1
YACUIBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-11-01,0,2,2
ALTO BENI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,0,1,1
BERMEJO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,0,2,2
COCHABAMBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,1,0,1
CORIPATA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,2,2,4
EL PUENTE(STC),tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,0,1,1
LA GUARDIA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,0,1,1
LA PAZ,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,5,1,6
MONTERO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,1,0,1
ORURO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,0,1,1
POTOSI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,1,0,1
RIBERALTA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,1,0,1
SAN MATIAS,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,8,13,21
SICA SICA (VILLA AROMA),tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,1,0,1
SIPE SIPE,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,2,0,2
TARIJA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,0,1,1
TIPUANI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,3,0,3
TOCO,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,0,1,1
VILLA MONTES,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,2,0,2
WARNES,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,1,0,1
YACUIBA,tuberculosis y lepra,l 23.6       tratamientos iniciados con esquema ll,2012-12-01,1,2,3
