,group,variable,month,L 23.2 N° DE TBP BAAR (+) NUEVOS CANTIDAD,L 23.2 N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
IXIAMAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,2,2
LA GUARDIA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,2,1,3
LA PAZ,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,31,12,43
LLALLAGUA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,2,1,3
MALLA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
MIZQUE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,2,0,2
MONTERO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,6,4,10
OCURI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,1,1
ORURO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,2,2,4
PADCAYA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,2,1,3
PAMPA GRANDE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,1,1
PORCO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,7,3,10
PRESTO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
PUCARANI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
PUERTO GONZALO MORENO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,3,3,6
PUNATA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,2,2
QUILLACOLLO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,2,3,5
REYES,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,1,1
RIBERALTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,3,4,7
RURRENABAQUE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,1,1
SACABA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,3,3,6
SACACA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,2,0,2
SAN BORJA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,3,3,6
SAN CARLOS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,1,1
SAN IGNACIO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,2,2
SAN JAVIER(STC),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,5,5
SAN JULIAN,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,2,3
SAN LUCAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,3,3
SAN MATIAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
SAN PEDRO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,1,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,1,1
SAN RAMON BENI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,79,46,125
SHINAOTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,3,0,3
SOPACHUY,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
SORATA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,1,2
SUCRE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,7,6,13
TACACOMA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
TACOBAMBA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
TARABUCO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,2,2
TARIJA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,6,3,9
TIPUANI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,3,1,4
TOLATA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,1,1
TORO TORO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,2,3
TRINIDAD,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,4,2,6
TUPIZA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,2,0,2
URUBICHA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,1,1
VILLA MONTES,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,2,2,4
VILLA NUEVA (LOMA ALTA),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,5,3,8
VILLAZON,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
VINTO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,1,2
WARNES,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,4,1,5
YACUIBA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,8,5,13
YAPACANI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,6,3,9
YOTALA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-03-01,1,0,1
ACHACACHI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
ALTO BENI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
APOLO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
ARANI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
ARBIETO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,1,2
AYATA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
AYO AYO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,2,2,4
BERMEJO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
BETANZOS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
BUENA VISTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,2,3
CABEZAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
CAMARGO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
CAPINOTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,3,4
CARANAVI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,6,3,9
CARMEN RIVERO TORREZ,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
CHARAGUA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
CHAYANTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
CHIMORE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
CLIZA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
COBIJA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,2,0,2
COCHABAMBA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,16,6,22
COLCAPIRHUA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
COLPA BELGICA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
COLQUENCHA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
COLQUIRI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
CORIPATA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,1,2
COROICO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,2,2,4
CUATRO CAÑADAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,8,14,22
EL PUENTE(STC),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
EL TORNO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,5,1,6
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,4,0,4
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,2,4,6
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
GENERAL SAAVEDRA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
GUANAY,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,2,3
HUANUNI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,3,2,5
INCAHUASI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
LA ASUNTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,6,1,7
LA GUARDIA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,4,0,4
LA PAZ,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,18,16,34
LAGUNILLAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
LICOMA PAMPA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,1,2
LLALLAGUA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,2,3
MAIRANA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
MAPIRI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,2,0,2
MIZQUE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,3,4
OCURI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
ORURO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,2,3,5
PALOS BLANCOS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
PATACAMAYA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
POJO (CBBA),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
PORCO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
PORONGO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,1,2
PORVENIR,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,3,3,6
PUERTO QUIJARRO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,3,1,4
PUERTO SUAREZ,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,4,4,8
PUNATA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,1,2
REYES,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
RIBERALTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,4,1,5
ROBORE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,2,1,3
RURRENABAQUE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,2,3
SACABA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,3,2,5
SACACA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
SAN BENITO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
SAN BUENA VENTURA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,1,2
SAN JAVIER(STC),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
SAN JULIAN,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,2,1,3
SAN LUCAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,2,1,3
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,70,49,119
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
SANTIVAÑES,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
SHINAOTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
SIPE SIPE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,1,2
SORATA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,3,4,7
TARABUCO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
TARIJA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,2,3,5
TEOPONTE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
TIPUANI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,2,3
TIQUIPAYA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
TIRAQUE (CBBA),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
TRINIDAD,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,4,2,6
TUPIZA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,2,0,2
URUBICHA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
VIACHA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,2,2
VILA VILA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
VILLA MONTES,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,2,0,2
VILLA SERRANO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,3,0,3
VILLAZON,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
VINTO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
WARNES,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,5,3,8
YACUIBA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,5,7,12
YAMPARAEZ,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
YANACACHI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,0,1,1
YAPACANI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-04-01,3,3,6
ACHACACHI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,2,1,3
AIQUILE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
ALTO BENI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
ANCORAIMES,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
ATOCHA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,0,1,1
AZURDUY,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,0,1,1
BERMEJO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,2,2,4
CABEZAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,0,1,1
CAJUATA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
CAMARGO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,0,1,1
CAPINOTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,1,2
CARANAVI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,11,3,14
CHALLAPATA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
CHARAGUA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,0,1,1
CHIMORE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,0,3,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
COBIJA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,2,1,3
COCHABAMBA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,16,8,24
COLCAPIRHUA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
CONCEPCION,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,2,1,3
COPACABANA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
CORIPATA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
COTAGAITA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
COTOCA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,3,1,4
CUATRO CAÑADAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,1,2
CULPINA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,19,15,34
EL TORNO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,4,1,5
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,8,1,9
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
GUANAY,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
GUTIERREZ,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
ICHOCA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
INCAHUASI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,2,3
LA ASUNTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,3,2,5
LA GUARDIA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,0,2,2
LA PAZ,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,26,13,39
LLALLAGUA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
MALLA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
MAPIRI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
MINEROS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,2,1,3
MIZQUE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,4,7,11
ORURO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,6,4,10
PAILON,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,2,2,4
PALOS BLANCOS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
POOPO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
POROMA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,9,4,13
PUERTO QUIJARRO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,3,0,3
PUERTO RICO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,4,4,8
PUNA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,3,3,6
RIBERALTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,3,2,5
RURRENABAQUE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
SACABA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,3,2,5
SAN BENITO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
SAN BORJA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,2,1,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,2,0,2
SAN JAVIER(STC),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,0,1,1
SAN JOAQUIN,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,2,0,2
SAN JULIAN,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,2,3,5
SAN LORENZO(TJA),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
SAN LUCAS,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,1,2
SAN PEDRO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,0,1,1
SAN RAMON BENI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,75,53,128
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,2,0,2
SHINAOTA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,0,1,1
SICA SICA (VILLA AROMA),tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,4,1,5
TAPACARI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,2,1,3
TARABUCO,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,0,1,1
TARIJA,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,4,4,8
TIPUANI,tuberculosis y lepra,l 23.2       n de tbp baar (+) nuevos,2012-05-01,3,4,7
