,group,variable,month,L 23.9 Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,L 23.9 Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
TARABUCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,0,1
TARIJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,0,2,2
TARVITA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,2,0,2
TOTORA(CBBA),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,6,0,6
TUPIZA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,0,2,2
UNCIA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,0,1,1
VIACHA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,0,1,1
VILLA CHARCAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,0,1,1
VILLA MONTES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,1,2
VILLA SERRANO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,0,1
VINTO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,0,1
WARNES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,4,0,4
YACUIBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,3,6,9
YAPACANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,7,3,10
ZUDAÑEZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-04-01,1,0,1
ACHACACHI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,0,1,1
ALTO BENI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,0,1
ANDAMARCA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,1,2
BERMEJO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,3,0,3
CARANAVI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,3,1,4
CHARAGUA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,0,1
CHIMORE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,3,1,4
COBIJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,5,2,7
COLCAPIRHUA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,3,0,3
CORIPATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,2,3
COROICO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,1,2
COTOCA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,2,1,3
CUATRO CAÑADAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,8,7,15
EL PUENTE(STC),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,0,1
EL TORNO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,0,2,2
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,0,1,1
GENERAL SAAVEDRA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,0,1,1
INCAHUASI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,2,0,2
LA ASUNTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,6,0,6
LA GUARDIA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,7,4,11
LA PAZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,8,4,12
LAS CARRERAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,0,1
LLALLAGUA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,5,0,5
MACHARETI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,0,1
MAPIRI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,3,0,3
MONTERO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,2,0,2
ORURO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,3,4
PALOS BLANCOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,0,1,1
PAZÑA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,0,1
POROMA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,1,2
PORONGO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,0,1,1
PORTACHUELO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,0,1,1
POTOSI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,6,6,12
RURRENABAQUE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,2,3
SACABA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,5,2,7
SAMAIPATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,0,1
SAN BORJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,2,2,4
SAN CARLOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,0,2,2
SAN LUCAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,0,2,2
SAN PEDRO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,61,46,107
SHINAOTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,2,3
SOPACHUY,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,12,10,22
TARABUCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,3,1,4
TARIJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,4,4,8
TIPUANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,12,1,13
TUPIZA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,0,1,1
UNCIA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,1,2
VILLA MONTES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,1,2
WARNES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,3,4
YACUIBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,6,5,11
YAPACANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,5,5,10
ZUDAÑEZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-05-01,1,0,1
ACHACACHI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,0,1,1
BERMEJO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,0,2,2
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,0,1
CHIMORE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,0,1
COBIJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,2,1,3
COCHABAMBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,13,5,18
COLCAPIRHUA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,0,1,1
COLQUECHACA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,0,1,1
COTOCA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,2,3,5
EL ALTO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,10,6,16
EL TORNO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,2,1,3
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,2,2,4
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,0,1
HUANUNI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,0,1
HUARINA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,0,1
INQUISIVI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,1,2
LA ASUNTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,1,2
LA GUARDIA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,2,2,4
LA PAZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,8,0,8
LLALLAGUA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,2,1,3
MONTEAGUDO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,0,2,2
MONTERO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,6,5,11
ORURO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,1,2
POTOSI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,2,3,5
PUNATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,3,0,3
QUILLACOLLO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,2,0,2
ROBORE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,0,1,1
SACABA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,0,1
SAMAIPATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,2,1,3
SAN IGNACIO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,1,2
SAN JULIAN,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,3,0,3
SAN LUCAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,1,2
SAN PEDRO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,47,40,87
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,2,1,3
SENA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,2,3
SHINAOTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,2,0,2
SIPE SIPE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,0,1
SORATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,2,0,2
SUCRE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,11,11,22
TARABUCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,0,1
TARIJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,0,5,5
TARVITA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,0,1
TIPUANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,0,1
TOLEDO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,0,1
TOMAVE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,7,1,8
UNCIA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,0,1
VIACHA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,3,0,3
VILLA CHARCAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,0,1
VILLA MONTES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,3,0,3
VILLA TUNARI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,2,1,3
WARNES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,1,1,2
YACUIBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,2,6,8
YAPACANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-06-01,4,2,6
ACHACACHI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,0,1,1
ALTO BENI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,0,1
CAMARGO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,2,0,2
CAMIRI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,1,2
CARANAVI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,2,1,3
CARMEN RIVERO TORREZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,0,1,1
COBIJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,1,2
COCAPATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,0,1,1
COCHABAMBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,6,3,9
COLCAPIRHUA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,2,0,2
COLLANA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,0,1
CORIPATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,3,4
COROICO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,2,1,3
COTAGAITA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,0,1
CULPINA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,10,4,14
EL TORNO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,2,2,4
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,0,2,2
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,2,3
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,0,1
HUACHACALLA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,0,1,1
HUANUNI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,0,1
INCAHUASI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,0,1
LA GUARDIA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,2,2,4
LA PAZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,11,6,17
MAPIRI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,3,4
MONTERO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,5,4,9
ORURO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,5,4,9
PADCAYA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,0,1,1
POROMA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,2,3
POTOSI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,0,1
PUERTO GONZALO MORENO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,5,0,5
QUILLACOLLO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,1,2
QUIRUSILLAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,0,1
RIBERALTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,0,1
SACABA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,1,2
SAN BENITO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,0,1
SAN BORJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,1,2
SAN CARLOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,0,1,1
SAN JULIAN,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,3,4
SAN LUCAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,0,1,1
SAN PEDRO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,0,1
SANTA ANA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,39,38,77
SENA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,0,1,1
SHINAOTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,1,2
SORATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,0,1,1
SUCRE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,13,3,16
TARABUCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,2,1,3
TARIJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,2,0,2
TEOPONTE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,0,1,1
TRINIDAD,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,0,1
TUPIZA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,2,3
VILLA CHARCAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,3,4
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,0,1
WARNES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,1,0,1
YACUIBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,3,3,6
YAPACANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-07-01,5,2,7
ACHACACHI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,1,2
APOLO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,0,1
ARQUE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,2,0,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,3,0,3
AUCAPATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,0,1,1
BERMEJO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,0,1
BUENA VISTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,0,3,3
CAMIRI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,0,1
CARACOLLO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,5,3,8
CARAPARI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,0,1
CHIMORE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,0,1
COBIJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,0,1,1
COCHABAMBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,15,10,25
COMANCHE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,0,1
COMARAPA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,0,1,1
CORIPATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,0,1,1
COROICO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,0,1,1
COTOCA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,4,3,7
CUATRO CAÑADAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,6,9,15
EL TORNO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,5,2,7
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,3,0,3
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,3,0,3
GUANAY,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,0,1
HUANUNI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,1,2
IXIAMAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,3,0,3
LA GUARDIA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,0,2,2
LA PAZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,8,4,12
LLALLAGUA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,0,1,1
LURIBAY,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,0,1,1
MAPIRI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,2,0,2
MINEROS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,2,0,2
MONTERO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-08-01,2,1,3
