,group,variable,month,L 23.4 N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,L 23.4 N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES
CARANAVI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,3,0,3
CHALLAPATA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,1,0,1
CHARAGUA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,1,0,1
CHIMORE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,3,0,3
COCHABAMBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,9,6,15
COLCAPIRHUA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,2,0,2
COPACABANA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,1,0,1
CORIPATA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,0,1,1
COTOCA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,15,3,18
EL TORNO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,0,1,1
GUANAY,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,2,0,2
HUARINA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,25,22,47
MONTERO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,0,1,1
ORURO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,1,3,4
PALOS BLANCOS,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,3,4,7
PUERTO PEREZ,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,0,1,1
PUERTO RICO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,1,3,4
QUILLACOLLO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,1,2,3
SACABA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,1,1,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,0,1,1
SAN JULIAN,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,20,9,29
SUCRE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,3,0,3
TACACOMA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,1,0,1
TARIJA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,0,1,1
TIPUANI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,1,1,2
TUPIZA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,0,1,1
WARNES,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,2,0,2
YAPACANI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-08-01,2,0,2
CAIROMA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,1,0,1
CARAPARI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,0,2,2
COBIJA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,9,6,15
COLCAPIRHUA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,1,0,1
CORIPATA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,1,0,1
COTOCA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,2,8,10
EL TORNO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,1,0,1
GUANAY,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,0,1,1
HUARINA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,1,0,1
LA GUARDIA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,2,0,2
LA PAZ,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,27,14,41
LAJA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,1,0,1
LLALLAGUA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,0,1,1
MIZQUE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,0,1,1
ORURO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,1,4,5
PADCAYA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,1,0,1
POCOATA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,1,0,1
POROMA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,8,2,10
PUCARANI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,0,1,1
PUNA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,3,0,3
QUILLACOLLO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,0,1,1
SACABA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,14,10,24
SORATA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,2,3,5
TARIJA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,0,2,2
TIPUANI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,0,2,2
TUPIZA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,1,0,1
VILLA RIVERO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,2,1,3
YACUIBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,1,1,2
YAPACANI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-09-01,1,0,1
ANTEQUERA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,0,1
BERMEJO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,0,1
CHIMORE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,2,0,2
COCHABAMBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,18,10,28
COLCAPIRHUA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,0,1
"COLCHA ""K""",tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,0,1
COLQUECHACA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,0,1
COROICO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,0,1
COTAGAITA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,0,1,1
COTOCA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,15,11,26
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,2,0,2
GUANAY,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,0,1
JESUS DE MACHACA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,30,20,50
MINEROS,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,2,1,3
ORURO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,4,6,10
PAILON,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,0,3,3
PORTACHUELO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,0,1,1
POTOSI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,3,2,5
PUERTO ACOSTA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,0,1
QUIRUSILLAS,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,0,1,1
SACABA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,2,2,4
SAN RAMON BENI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,15,16,31
SANTUARIO DE QUILLACAS,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,3,1,4
TARIJA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,3,3,6
TEOPONTE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,0,1
TIPUANI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,2,0,2
TRINIDAD,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,2,3
TUPIZA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,1,2
VIACHA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,0,1
VILLA MONTES,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,0,1,1
VINTO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,1,2
WARNES,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,2,3
YANACACHI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-10-01,1,0,1
ACHACACHI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,1,0,1
BERMEJO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,1,0,1
CABEZAS,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,0,1,1
CAMARGO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,3,1,4
CHIMORE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,3,0,3
COCHABAMBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,8,6,14
COTOCA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,17,9,26
EL TORNO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,1,2,3
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,0,1,1
LA GUARDIA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,33,26,59
LLALLAGUA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,1,0,1
MINEROS,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,3,1,4
ORURO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,3,1,4
PALOS BLANCOS,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,4,1,5
PUERTO VILLARROEL,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,2,0,2
RURRENABAQUE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,1,0,1
SACABA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,1,0,1
SAN BENITO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,0,1,1
SAN LUCAS,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,17,12,29
SHINAOTA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,1,0,1
SIPE SIPE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,0,1,1
SUCRE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,2,0,2
TACACOMA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,1,0,1
TARIJA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,1,5,6
TIPUANI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,2,0,2
TRINIDAD,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,1,0,1
VIACHA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,2,1,3
YACUIBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-11-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
CAMIRI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
CAPINOTA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
CAQUIAVIRI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,0,1,1
CARANAVI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,1,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
COBIJA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,7,5,12
COLCAPIRHUA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
COROICO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,12,7,19
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,0,1,1
GUANAY,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,0,1,1
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
HUANUNI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,3,0,3
INQUISIVI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
LA GUARDIA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,25,20,45
LLALLAGUA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,2,3
ORURO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,4,1,5
PORTACHUELO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,5,2,7
PUERTO VILLARROEL,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,0,1,1
SAN ANDRES,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
SAN JULIAN,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,12,14,26
SAPAHAQUI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,0,1,1
SIPE SIPE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,0,1,1
SORATA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,3,2,5
TARABUCO,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,0,1,1
TARIJA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,3,4
TIPUANI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,2,0,2
TOMAVE,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,0,1,1
TRINIDAD,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
TUPIZA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
VIACHA,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
YAPACANI,tuberculosis y lepra,l 23.4       n de tb extrapulmonar nuevos,2012-12-01,1,0,1
