,group,variable,month,L 23.1 N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,L 23.1 N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
MOJOCOYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,3,5
MONTEAGUDO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,16,14,30
MONTERO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,55,48,103
MOROCHATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,1,3
NAZACARA DE PACAJES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,0,1
OCURI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,0,2
OKINAWA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,2,4
OMEREQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,0,2
ORURO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,68,66,134
PADCAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,4,6,10
PADILLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,3,2,5
PAILON,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,12,10,22
PALCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,1,2
PALOS BLANCOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,14,6,20
PAMPA AULLAGAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,2,3
PAMPA GRANDE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,0,2,2
PASORAPA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,0,1
PATACAMAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,9,3,12
PAZÑA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,4,0,4
PELECHUCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,0,1,1
POCOATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,9,1,10
POCONA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,0,1,1
POJO (CBBA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,2,3
POOPO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,0,2
PORCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,0,1
POROMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,6,10,16
PORONGO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,4,4,8
PORTACHUELO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,4,5,9
PORVENIR,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,51,16,67
PRESTO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,6,7,13
PUCARANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,7,9,16
PUERTO ACOSTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,0,1
PUERTO CARABUCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,7,2,9
PUERTO GONZALO MORENO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,0,2
PUERTO PEREZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,1,3
PUERTO QUIJARRO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,1,3
PUERTO RICO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,0,2
PUERTO SUAREZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,7,0,7
PUERTO VILLARROEL,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,54,46,100
PUNATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,8,9,17
QUIABAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,20,29,49
QUIME,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,0,2
RAVELO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,6,5,11
RIBERALTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,17,14,31
ROBORE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,6,6,12
RURRENABAQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,6,3,9
SACABA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,41,20,61
SACACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,3,4
SAIPINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,0,1,1
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,2,3
SAMAIPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,0,1,1
SAN ANDRES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,3,2,5
SAN ANDRES DE MACHACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,0,1
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,1,2
SAN BENITO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,5,7
SAN BORJA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,10,13,23
SAN BUENA VENTURA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,1,2
SAN CARLOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,6,3,9
SAN IGNACIO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,14,10,24
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,9,6,15
SAN JAVIER(BNI),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,7,0,7
SAN JAVIER(STC),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,4,2,6
SAN JOAQUIN,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,0,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,4,0,4
SAN JUAN DE YAPACANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,3,5,8
SAN JULIAN,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,24,20,44
SAN LORENZO(TJA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,1,3
SAN LUCAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,14,15,29
SAN MATIAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,1,3
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,3,0,3
SAN PEDRO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,3,7,10
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,4,2,6
SAN PEDRO DE TIQUINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,1,2
SAN RAFAEL,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,2,4
SAN RAMON SCZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,4,1,5
SANTA ANA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,3,2,5
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,379,316,695
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,5,7,12
SANTIAGO DE HUARI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,0,4,4
SANTIAGO DE HUATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,5,3,8
SANTIAGO DE MACHACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,0,4,4
SANTIVAÑES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,2,4
SANTUARIO DE QUILLACAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,0,1
SENA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,0,1,1
SHINAOTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,11,5,16
SICA SICA (VILLA AROMA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,1,2
SIPE SIPE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,9,15,24
SOPACHUY,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,5,6
SORACACHI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,3,3,6
SORATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,8,11,19
SUCRE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,119,128,247
TACACOMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,3,2,5
TACOBAMBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,0,1,1
TACOPAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,4,4,8
TAPACARI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,4,4,8
TARABUCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,15,8,23
TARACO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,0,2
TARATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,0,1,1
TARIJA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,39,41,80
TARVITA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,8,12,20
TEOPONTE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,3,5
TIAWANACU,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,4,2,6
TINGUIPAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,1,2
TIPUANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,12,6,18
TIQUIPAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,13,18,31
TIRAQUE (CBBA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,0,2,2
TOCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,0,2,2
TOLATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,3,9,12
TOLEDO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,3,1,4
TOMINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,3,5
TORO TORO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,1,2
TOTORA(CBBA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,5,6
TRINIDAD,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,29,7,36
TUPIZA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,28,3,31
UMALA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,0,1
UNCIA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,0,2
URIONDO (A. CONCEPCION),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,0,1
URUBICHA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,8,10
UYUNI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,5,1,6
VACAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,4,2,6
VALLEGRANDE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,0,1
VIACHA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,5,12,17
VILA VILA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,0,1,1
VILLA CHARCAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,6,9,15
VILLA MONTES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,12,4,16
VILLA RIVERO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,1,2,3
VILLA SERRANO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,6,4,10
VILLA TUNARI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,38,38,76
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,3,5
VILLAZON,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,9,6,15
VINTO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,6,11,17
WARNES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,30,28,58
YACO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,2,1,3
YACUIBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,55,50,105
YAMPARAEZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,4,3,7
YANACACHI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,4,2,6
YAPACANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,59,46,105
YOCALLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,4,3,7
YOTALA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,5,6,11
ZUDAÑEZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-04-01,0,3,3
ACACIO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,2,2
ACHACACHI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,17,14,31
ACHOCALLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,5,7
AIQUILE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,6,3,9
ALALAY,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,2,3
ALCALA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,2,2
ALTO BENI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,9,3,12
ANCORAIMES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,6,4,10
ANZALDO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,1,3
APOLO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,3,5
ARAMPAMPA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,2,2
ARANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,1,2
ARBIETO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,4,6,10
ARQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,2,5
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,10,3,13
ATOCHA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,32,3,35
AUCAPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,1,1
AYATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,3,8
AYO AYO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,8,7,15
AZURDUY,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,2,5
BATALLAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,6,9,15
BERMEJO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,32,41,73
BETANZOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,10,12
BOLIVAR,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,2,2
BOYUIBE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,2,5
BUENA VISTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,5,10
CABEZAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,4,8,12
CAIROMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,0,2
"CAIZA ""D""",tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,8,0,8
CAJUATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,2,5
CALACOTO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,0,3
CALAMARCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,1,2
CAMARGO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,8,13
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,1,3
CAMIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,7,3,10
CAPINOTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,8,21,29
CAQUIAVIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,0,1
CARACOLLO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,6,4,10
CARANAVI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,69,48,117
CARAPARI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,3,8
CARIPUYO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,2,3
CHALLAPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,6,12,18
CHAQUI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,6,4,10
CHARAGUA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,6,12,18
CHAYANTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,0,3
CHIMORE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,10,17,27
CHIPAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,0,1
CHOQUE COTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,20,8,28
CHUMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,4,1,5
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,0,2
CKOCHAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,6,8
CLIZA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,4,18,22
COBIJA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,22,17,39
COCAPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,6,9
COCHABAMBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,242,212,454
COLCAPIRHUA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,14,18,32
"COLCHA ""K""",tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,1,1
COLLANA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,1,2
COLOMI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,0,1
COLPA BELGICA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,3,6
COLQUECHACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,13,2,15
COLQUENCHA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,0,1
COLQUIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,6,6,12
COMANCHE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,1,2
COMARAPA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,7,6,13
COMBAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,2,2
CONCEPCION,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,6,3,9
COPACABANA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,4,9
CORIPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,20,13,33
CORO CORO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,0,1
COROICO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,11,18,29
CORQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,0,1
COTAGAITA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,7,7,14
COTOCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,30,25,55
CUATRO CAÑADAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,7,15,22
CUEVO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,1,1
CULPINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,7,15,22
CURAHUARA DE CARANGAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,6,11
CURVA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,3,6,9
DESAGUADERO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,0,2
EL ALTO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,275,231,506
EL CHORO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,2,2
EL PUENTE(STC),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,3,3
EL PUENTE(TJA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,2,4
EL TORNO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,46,40,86
EL VILLAR,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,4,1,5
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,6,14,20
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,21,12,33
ESCOMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,7,1,8
EUCALIPTUS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,1,1
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,10,7,17
GENERAL SAAVEDRA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,6,9,15
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,1,2
GUANAY,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,15,8,23
GUAQUI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,3,5
GUAYARAMERIN,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,8,9,17
GUTIERREZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,2,4
HUACARETA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,5,7
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,6,2,8
HUACHACALLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,1,1
HUANUNI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,16,5,21
HUARACAJE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,1,1
HUARINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,2,4
HUAYLLAMARCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,2,2
HUMANATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,5,2,7
ICHOCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,2,4
ICLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,6,7
INCAHUASI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,12,9,21
INGAVI (HUMAITA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,0,2,2
INQUISIVI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,6,7,13
IXIAMAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,0,1
JESUS DE MACHACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,4,1,5
LA ASUNTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,37,20,57
LA GUARDIA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,27,27,54
LA PAZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,392,353,745
LAJA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,2,1,3
LAS CARRERAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-05-01,1,2,3
