,group,variable,month,L 23.8 N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,L 23.8 N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
FILADELFIA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,1,1,2
GUANAY,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,0,2,2
INCAHUASI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,0,1,1
LA ASUNTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,0,1,1
LA GUARDIA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,5,2,7
LLALLAGUA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,1,1,2
ORURO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,2,0,2
PORVENIR,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,0,1,1
POTOSI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,6,3,9
RIBERALTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,2,1,3
SACABA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,1,0,1
SACACA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,0,1,1
SAN BORJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,2,2,4
SAN CARLOS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,2,1,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,6,0,6
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,0,2,2
SAN JULIAN,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,2,1,3
SAN LUCAS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,2,0,2
SAN PEDRO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,13,11,24
SENA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,0,3,3
SIPE SIPE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,1,0,1
TARIJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,2,1,3
TRINIDAD,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,3,1,4
VILLA TUNARI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,0,1,1
VINTO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,0,3,3
WARNES,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,0,2,2
YACUIBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-06-01,0,1,1
AIQUILE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,0,1,1
ARBIETO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,2,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,2,3
AZURDUY,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,0,1,1
BATALLAS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,0,1
BERMEJO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,0,1
CARACOLLO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,2,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,2,0,2
COBIJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,1,2
COCHABAMBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,5,7,12
COMARAPA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,7,7,14
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,1,2
GUAQUI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,4,4,8
LA GUARDIA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,3,2,5
MINEROS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,0,1,1
MONTERO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,2,3
OKINAWA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,2,0,2
PAILON,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,2,1,3
PALOS BLANCOS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,0,1
PORONGO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,3,0,3
PUERTO SUAREZ,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,0,2,2
PUERTO VILLARROEL,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,0,5,5
QUILLACOLLO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,0,1
RIBERALTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,1,2
SACABA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,3,4
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,0,1
SAN JULIAN,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,0,2,2
SAN LUCAS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,5,2,7
SAN MATIAS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,0,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,25,15,40
SHINAOTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,2,0,2
SUCRE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,2,2,4
TARIJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,0,1
TIPUANI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,0,1,1
TOLEDO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,0,1,1
TRINIDAD,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,2,2,4
TUPIZA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,0,2,2
URIONDO (A. CONCEPCION),tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,2,3
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,0,1
VILLAZON,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,2,3
VINTO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,2,1,3
WARNES,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,4,2,6
YACUIBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,2,0,2
YAPACANI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,1,1,2
YOTALA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-07-01,0,1,1
BUENA VISTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,0,1
CAPINOTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,0,1,1
CARACOLLO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,6,3,9
CHALLAPATA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,0,1
CHARAGUA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,2,1,3
CHIMORE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,0,1,1
COCHABAMBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,7,4,11
COLCAPIRHUA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,0,1
COROICO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,2,3
EL ALTO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,4,8,12
EL TORNO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,3,4
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,4,1,5
LA GUARDIA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,2,0,2
LA PAZ,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,3,1,4
LAGUNILLAS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,0,1
LLALLAGUA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,0,1,1
MINEROS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,0,1,1
MONTERO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,3,3,6
ORURO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,3,0,3
PAILON,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,3,4
PALOS BLANCOS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,0,1,1
POROMA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,0,1,1
POTOSI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,3,4
PUCARANI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,2,1,3
PUERTO SUAREZ,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,1,2
PUNA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,0,1
SACABA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,2,2,4
SAN ANDRES,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,1,2
SAN JAVIER(BNI),tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,27,18,45
SANTIAGO DE HUATA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,0,1
SHINAOTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,2,0,2
SORATA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,2,0,2
TACACOMA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,1,2
TARATA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,0,1
TARIJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,4,1,5
TEOPONTE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,1,2
TIAWANACU,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,0,1
TIPUANI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,2,0,2
URUBICHA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,1,2
UYUNI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,0,1,1
VILLA MONTES,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,0,1,1
WARNES,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,1,0,1
YACUIBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,3,3,6
YAPACANI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-08-01,2,2,4
ACHACACHI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,3,0,3
ALTO BENI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,0,1,1
ARBIETO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,1,0,1
ARQUE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,1,0,1
BERMEJO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,2,0,2
BUENA VISTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,0,2,2
"CAIZA ""D""",tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,0,1,1
CAMARGO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,0,1,1
CAMIRI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,1,1,2
CARANAVI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,2,0,2
CHARAGUA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,0,1,1
CLIZA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,0,1,1
COCAPATA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,6,2,8
CORIPATA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,1,0,1
COTAGAITA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,2,0,2
CUATRO CAÑADAS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,1,1,2
EL ALTO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,9,6,15
EL TORNO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,0,1,1
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,2,1,3
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,0,1,1
LA ASUNTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,2,0,2
LA GUARDIA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,1,2,3
LA PAZ,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,2,0,2
LLALLAGUA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,2,2,4
MONTERO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,0,3,3
ORURO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,2,0,2
POROMA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,1,1,2
POTOSI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,2,3,5
PUERTO QUIJARRO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,2,2,4
QUILLACOLLO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,1,0,1
REYES,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,1,0,1
RIBERALTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,2,4,6
SACABA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,0,1,1
SAN BORJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,1,5,6
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,1,4,5
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,9,12,21
SUCRE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,1,1,2
TARIJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,2,7,9
TEOPONTE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,1,0,1
TIPUANI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,2,2,4
VILLA TUNARI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,5,3,8
YACUIBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,5,5,10
YAPACANI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-09-01,1,2,3
ACHACACHI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,1,2,3
BERMEJO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,0,1,1
BUENA VISTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,0,1,1
CAMIRI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,0,2,2
CAQUIAVIRI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,5,4,9
CHIMORE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,0,1,1
COCHABAMBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,5,6,11
COLCAPIRHUA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,0,1,1
COTOCA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,13,3,16
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,1,2,3
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,1,0,1
INCAHUASI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,2,0,2
LA GUARDIA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,2,2,4
MINEROS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,1,1,2
MIZQUE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,4,1,5
MONTERO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,3,1,4
ORURO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,0,5,5
PORONGO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,0,4,4
POTOSI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,2,0,2
PUERTO QUIJARRO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,2,1,3
PUERTO VILLARROEL,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,2,1,3
QUILLACOLLO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,7,2,9
RURRENABAQUE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,1,0,1
SAN BORJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,0,2,2
SAN JAVIER(BNI),tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,0,2,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,4,6,10
SAN JULIAN,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,0,2,2
SAN LUCAS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,2,0,2
SAN MATIAS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,32,21,53
SHINAOTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,3,2,5
