,group,variable,month,L 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,L 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES
CUCHUMUELA (V. G. VILLARROEL),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,34,25,59
EL TORNO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,2,1,3
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,1,2
ESCOMA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
GUANAY,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,2,1,3
GUTIERREZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
HUANUNI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
HUAYLLAMARCA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
ICLA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
IXIAMAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,2,2,4
LA GUARDIA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,3,2,5
LA PAZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,103,43,146
LLALLAGUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,2,0,2
MALLA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
MIZQUE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
MOCOMOCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,2,0,2
MONTERO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,9,6,15
OCURI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,1,1
OMEREQUE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
ORURO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,5,6,11
PADCAYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
PADILLA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,2,1,3
PAMPA GRANDE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,1,1
POTOSI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,31,7,38
PRESTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
PUCARANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
PUERTO GONZALO MORENO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,2,3,5
PUNATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,2,3
QUILLACOLLO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,6,3,9
REYES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,1,1
RIBERALTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,3,5,8
RURRENABAQUE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,1,1
SACABA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,4,3,7
SACACA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,2,0,2
SAN ANDRES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
SAN BORJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,2,1,3
SAN CARLOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,1,1
SAN IGNACIO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,2,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,3,4
SAN JULIAN,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,2,2
SAN LUCAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,3,3
SAN MATIAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
SAN PEDRO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,1,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,85,57,142
SHINAOTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,3,0,3
SORATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,1,2
SUCRE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,6,5,11
TACACOMA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
TACOBAMBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
TARABUCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,1,1
TARIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,9,4,13
TEOPONTE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
TIPUANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,3,1,4
TOLATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,1,1
TORO TORO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,1,2
TRINIDAD,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,6,3,9
URUBICHA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
UYUNI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
VALLEGRANDE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
VIACHA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,1,1
VILLA CHARCAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,1,1
VILLA MONTES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,2,2,4
VILLA NUEVA (LOMA ALTA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,5,3,8
VILLAZON,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,1,2
VINTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,3,4
WARNES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,4,3,7
YACUIBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,10,5,15
YAPACANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,7,2,9
YOTALA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-03-01,1,0,1
ACHACACHI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,2,0,2
ALTO BENI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
APOLO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
ARANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
ARBIETO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,2,0,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,1,2
AYATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,0,1,1
AYO AYO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,2,2,4
BERMEJO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
BETANZOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,0,1,1
BUENA VISTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,2,3
CABEZAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
CAIROMA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
CAMARGO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
CAMIRI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
CAPINOTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,3,4
CARANAVI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,6,3,9
CARAPARI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,0,1,1
CARMEN RIVERO TORREZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,0,1,1
CHALLAPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,0,1,1
CHARAGUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,0,1,1
CHAYANTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
CHIMORE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
COBIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,3,0,3
COCHABAMBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,20,5,25
COLCAPIRHUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,0,1,1
COLPA BELGICA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,0,1,1
COLQUENCHA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,2,0,2
COLQUIRI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,2,0,2
CORIPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,2,1,3
COROICO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,2,2,4
COTOCA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,0,2,2
CUATRO CAÑADAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,21,19,40
EL PUENTE(STC),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,0,1,1
EL TORNO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,6,1,7
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,2,4,6
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,1,2
GUANAY,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,2,2,4
GUTIERREZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
HUANUNI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,4,3,7
INCAHUASI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,0,1,1
LA ASUNTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,7,1,8
LA GUARDIA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,4,1,5
LA PAZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,49,37,86
LAGUNILLAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
LICOMA PAMPA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,1,2
LLALLAGUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,1,2
MAIRANA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
MAPIRI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,3,0,3
MIZQUE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,4,5
OCURI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
ORURO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,4,4,8
PALCA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,2,0,2
POJO (CBBA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
PORCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,2,0,2
PORONGO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,1,2
PORVENIR,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,3,2,5
PUERTO QUIJARRO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,3,1,4
PUERTO VILLARROEL,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,6,4,10
PUNATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,3,2,5
REYES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,1,2
RIBERALTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,4,2,6
ROBORE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,2,1,3
RURRENABAQUE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,2,3
SACABA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,4,3,7
SACACA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,0,1,1
SAN BENITO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,0,1,1
SAN BORJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,0,2,2
SAN BUENA VENTURA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,1,2
SAN JAVIER(STC),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
SAN LUCAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,2,1,3
SAN MATIAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
SAN PEDRO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,88,53,141
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
SANTIVAÑES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,0,1,1
SHINAOTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
SIPE SIPE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,1,2
SOPACHUY,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
SORATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,2,1,3
SUCRE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,6,5,11
TARABUCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,0,1,1
TARIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,6,3,9
TEOPONTE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,0,1,1
TIPUANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,2,3
TIQUIPAYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
TIRAQUE (CBBA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,1,2
TRINIDAD,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,3,4,7
URUBICHA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
VIACHA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,0,2,2
VILLA MONTES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,2,0,2
VILLA SERRANO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,3,0,3
VILLAZON,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,1,2
VINTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,0,1,1
WARNES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,5,2,7
YACUIBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,6,7,13
YAMPARAEZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,0,1,1
YANACACHI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,1,1,2
YAPACANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-04-01,2,2,4
ACHACACHI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,2,1,3
AIQUILE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
ALTO BENI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
ANCORAIMES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,0,1,1
BERMEJO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,2,2,4
CABEZAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,0,1,1
"CAIZA ""D""",tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
CAJUATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
CAMARGO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,0,1,1
CAPINOTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,1,2
CARANAVI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,12,4,16
CHALLAPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
CHARAGUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,0,1,1
CHIMORE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,2,0,2
COBIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,4,1,5
COCHABAMBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,23,6,29
COLCAPIRHUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,2,1,3
CONCEPCION,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,3,1,4
COPACABANA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
CORIPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
COTAGAITA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
COTOCA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,4,1,5
CUATRO CAÑADAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,2,3
CULPINA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,31,23,54
EL TORNO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,4,1,5
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,7,1,8
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
GUANAY,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
GUTIERREZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
ICHOCA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
INCAHUASI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,0,1,1
LA ASUNTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,3,2,5
LA GUARDIA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,2,4,6
LA PAZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,49,47,96
LLALLAGUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,2,1,3
MALLA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
MAPIRI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,2,0,2
MINEROS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,2,1,3
MIZQUE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,0,1,1
MONTERO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,10,4,14
ORURO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,8,5,13
PAILON,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,2,1,3
PALOS BLANCOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
POOPO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
PORCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,0,1,1
POROMA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,6,4,10
PUERTO RICO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,4,4,8
PUNA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,6,4,10
