,group,variable,month,TOTAL 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TOTAL 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TOTAL 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTAL 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
VILLA TUNARI,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,2,1,4,2,6,3,9
YANACACHI,leishmaniasis,      tratamientos de leishmania cutanea,2014-07-01,1,0,0,0,1,0,1
ALTO BENI,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,1,1,1,0,2,1,3
APOLO,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,1,0,1,0,2,0,2
BELLA FLOR,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,2,3,0,1,2,4,6
BERMEJO,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,1,0,0,0,1,0,1
BOLPEBRA,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,2,1,1,2,3,3,6
CAIROMA,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,0,1,0,1,0,2,2
CAJUATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,0,2,0,3,0,5,5
CARANAVI,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,1,2,1,2,2,4,6
CHIMORE,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,0,1,0,0,0,1,1
COBIJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,13,4,11,5,24,9,33
COCHABAMBA,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,0,0,2,0,2,0,2
EL TORNO,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,7,1,11,0,18,1,19
EUREKA (SANTOS MERCADO),leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,1,0,3,0,4,0,4
FILADELFIA,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,7,5,1,4,8,9,17
GUAYARAMERIN,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,8,1,5,1,13,2,15
IRUPANA (VILLA DE LANZA),leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,5,3,0,2,5,5,10
IXIAMAS,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,2,1,0,0,2,1,3
LA ASUNTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,10,8,10,7,20,15,35
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,3,1,4,1,7,2,9
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,3,0,2,0,5,0,5
PALOS BLANCOS,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,0,0,1,3,1,3,4
PORVENIR,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,1,0,3,0,4,0,4
PUERTO GONZALO MORENO,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,1,0,0,0,1,0,1
PUERTO RICO,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,5,1,4,0,9,1,10
PUERTO VILLARROEL,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,0,0,1,0,1,0,1
QUILLACOLLO,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,0,0,3,0,3,0,3
REYES,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,1,0,2,0,3,0,3
RIBERALTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,21,4,0,0,21,4,25
RURRENABAQUE,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,0,0,3,2,3,2,5
SAN BORJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,2,1,0,0,2,1,3
SAN BUENA VENTURA,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,1,2,0,0,1,2,3
SAN IGNACIO,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,2,0,1,0,3,0,3
SAN LORENZO(PND),leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,3,0,0,0,3,0,3
SAN PEDRO(PND),leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,0,0,0,1,0,1,1
SANTA ROSA,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,1,0,0,0,1,0,1
SANTIAGO DE MACHACA,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,1,0,0,0,1,0,1
SENA,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,1,0,0,0,1,0,1
SHINAOTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,0,0,1,0,1,0,1
TARIJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,0,0,1,0,1,0,1
TEOPONTE,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,0,0,1,1,1,1,2
VILLA TUNARI,leishmaniasis,      tratamientos de leishmania cutanea,2014-08-01,4,2,3,0,7,2,9
ALTO BENI,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,0,0,0,1,0,1,1
AYATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,0,0,1,0,1,0,1
BELLA FLOR,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,2,1,2,2,4,3,7
BERMEJO,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,2,0,2,0,4,0,4
BOLPEBRA,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,0,1,1,1,1,2,3
CAIROMA,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,0,1,0,1,0,2,2
CAJUATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,6,4,6,4,12,8,20
CARANAVI,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,2,0,3,2,5,2,7
CARMEN RIVERO TORREZ,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,11,5,15,5,26,10,36
COCAPATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,1,1,0,0,1,1,2
COCHABAMBA,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,0,1,0,0,0,1,1
CORIPATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,2,1,0,0,2,1,3
EL TORNO,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,12,1,8,1,20,2,22
EUREKA (SANTOS MERCADO),leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,0,1,0,0,0,1,1
FILADELFIA,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,3,1,9,3,12,4,16
GUAYARAMERIN,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,5,0,7,0,12,0,12
IRUPANA (VILLA DE LANZA),leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,3,2,5,2,8,4,12
IXIAMAS,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,0,0,2,1,2,1,3
LA ASUNTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,13,10,11,8,24,18,42
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,4,0,3,1,7,1,8
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,1,0,2,0,3,0,3
PALOS BLANCOS,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,2,2,1,2,3,4,7
PORVENIR,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,2,0,1,0,3,0,3
PUERTO GONZALO MORENO,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,1,0,0,0,1,0,1
PUERTO RICO,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,2,0,2,0,4,0,4
QUILLACOLLO,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,0,0,1,0,1,0,1
RIBERALTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,3,4,22,4,25,8,33
SACABA,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,0,1,0,0,0,1,1
SAN BORJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,0,0,2,1,2,1,3
SAN BUENA VENTURA,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,2,0,0,0,2,0,2
SAN LORENZO(PND),leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,3,1,0,0,3,1,4
SANTA ROSA,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,0,0,1,0,1,0,1
SENA,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,1,0,1,0,2,0,2
TEOPONTE,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,1,1,1,1,2,2,4
VILLA NUEVA (LOMA ALTA),leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,      tratamientos de leishmania cutanea,2014-09-01,1,0,1,0,2,0,2
AIQUILE,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,0,17,0,0,0,17,17
ALTO BENI,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,0,1,0,1,0,2,2
BELLA FLOR,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,3,1,2,1,5,2,7
BERMEJO,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,3,1,1,0,4,1,5
CAJUATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,1,2,1,2,2,4,6
CARANAVI,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,5,4,6,2,11,6,17
CARMEN RIVERO TORREZ,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,0,1,0,0,0,1,1
CHUMA,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,5,1,3,1,8,2,10
COCAPATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,1,0,0,0,1,0,1
COCHABAMBA,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,0,0,1,0,1,0,1
EL TORNO,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,14,0,15,1,29,1,30
ENTRE RIOS CBBA,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,1,0,1,0,2,0,2
EUREKA (SANTOS MERCADO),leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,0,0,1,0,1,0,1
FILADELFIA,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,2,1,2,1,4,2,6
GUAYARAMERIN,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,4,0,0,0,4,0,4
IRUPANA (VILLA DE LANZA),leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,1,3,3,2,4,5,9
IXIAMAS,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,3,0,2,0,5,0,5
LA ASUNTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,5,6,13,10,18,16,34
LA PAZ,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,0,1,0,0,0,1,1
MAPIRI,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,4,1,2,2,6,3,9
PALOS BLANCOS,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,2,2,0,0,2,2,4
PORVENIR,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,1,1,2,0,3,1,4
PUERTO GONZALO MORENO,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,1,0,1,0,2,0,2
PUERTO RICO,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,3,3,2,1,5,4,9
PUERTO VILLARROEL,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,0,1,0,0,0,1,1
REYES,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,2,1,2,1,4,2,6
RIBERALTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,15,1,10,0,25,1,26
RURRENABAQUE,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,3,2,4,2,7,4,11
SACABA,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,0,0,0,1,0,1,1
SAN BORJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,3,1,2,1,5,2,7
SAN BUENA VENTURA,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,0,0,2,0,2,0,2
SAN IGNACIO,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,3,0,0,0,3,0,3
SANTA CRUZ DE LA SIERRA,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,1,0,1,0,2,0,2
SENA,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,2,0,2,0,4,0,4
SHINAOTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,0,1,0,0,0,1,1
TEOPONTE,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,2,0,1,0,3,0,3
TRINIDAD,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,0,0,1,0,1,0,1
VILLA TUNARI,leishmaniasis,      tratamientos de leishmania cutanea,2014-10-01,7,3,1,1,8,4,12
BAURES,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,1,1,0,0,1,1,2
BELLA FLOR,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,0,0,3,1,3,1,4
CAJUATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,2,1,3,1,5,2,7
CHIMORE,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,3,1,0,1,3,2,5
COBIJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,4,2,6,2,10,4,14
CORIPATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,1,0,1,1,2,1,3
EL TORNO,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,7,1,11,0,18,1,19
EUREKA (SANTOS MERCADO),leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,2,1,1,1,3,2,5
GUANAY,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,3,0,0,0,3,0,3
GUAYARAMERIN,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,0,1,4,1,4,2,6
IRUPANA (VILLA DE LANZA),leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,3,3,1,2,4,5,9
IXIAMAS,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,4,1,1,0,5,1,6
LA PAZ,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,0,0,0,1,0,1,1
MAPIRI,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,1,1,1,1,2,2,4
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,2,0,1,1,3,1,4
PALOS BLANCOS,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,9,2,3,2,12,4,16
PORVENIR,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,1,0,1,1,2,1,3
PUERTO GONZALO MORENO,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,0,0,1,0,1,0,1
PUERTO RICO,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,7,0,4,0,11,0,11
PUERTO VILLARROEL,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,0,1,0,1,0,2,2
RIBERALTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,6,0,2,0,8,0,8
SAN BORJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,2,0,2,0,4,0,4
SAN BUENA VENTURA,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,0,0,2,0,2,0,2
SAN IGNACIO,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,1,0,2,0,3,0,3
SENA,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,0,0,1,0,1,0,1
SHINAOTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,1,0,1,0,2,0,2
TEOPONTE,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,2,0,3,0,5,0,5
TIQUIPAYA,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,      tratamientos de leishmania cutanea,2014-11-01,5,2,5,3,10,5,15
APOLO,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,1,0,0,0,1,0,1
AYATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,0,0,1,0,1,0,1
BELLA FLOR,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,4,1,2,0,6,1,7
BOLPEBRA,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,1,0,0,0,1,0,1
CAJUATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,5,3,3,1,8,4,12
CARANAVI,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,3,2,0,0,3,2,5
CHIMORE,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,2,2,4,0,6,2,8
COBIJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,2,1,4,0,6,1,7
COCHABAMBA,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,0,0,1,0,1,0,1
COLQUIRI,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,0,1,0,0,0,1,1
EL TORNO,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,4,0,3,1,7,1,8
FILADELFIA,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,4,1,3,0,7,1,8
GUANAY,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,0,0,3,0,3,0,3
GUAYARAMERIN,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,0,0,0,1,0,1,1
IRUPANA (VILLA DE LANZA),leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,1,1,0,0,1,1,2
IXIAMAS,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,3,1,2,0,5,1,6
LA ASUNTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,5,3,19,4,24,7,31
MAPIRI,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,0,1,0,1,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,0,0,1,0,1,0,1
PALOS BLANCOS,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,1,0,4,0,5,0,5
PORVENIR,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,0,0,2,0,2,0,2
PUERTO RICO,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,5,2,4,2,9,4,13
PUERTO VILLARROEL,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,1,1,3,1,4,2,6
SACABA,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,2,1,1,0,3,1,4
SAN BORJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,5,2,6,2,11,4,15
SAN BUENA VENTURA,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,1,0,1,0,2,0,2
SAN IGNACIO,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,3,0,2,0,5,0,5
SAN LORENZO(PND),leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,0,1,0,0,0,1,1
SHINAOTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,1,1,2,1,3,2,5
TEOPONTE,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,3,0,3,0,6,0,6
VILLA TUNARI,leishmaniasis,      tratamientos de leishmania cutanea,2014-12-01,11,3,6,4,17,7,24
