,group,variable,month,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,TOTALES,TOTALES,TOTALES
VILLA TUNARI,malaria,numero de muestras hematicas tomadas,2011-03-01,12,7,0,0,12,7,19
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de muestras hematicas tomadas,2011-03-01,6,9,0,0,6,9,15
YACUIBA,malaria,numero de muestras hematicas tomadas,2011-03-01,192,209,0,0,192,209,401
YAPACANI,malaria,numero de muestras hematicas tomadas,2011-03-01,2,3,0,0,2,3,5
ZUDAÑEZ,malaria,numero de muestras hematicas tomadas,2011-03-01,1,3,0,0,1,3,4
ACACIO,malaria,numero de muestras hematicas tomadas,2011-04-01,5,0,0,0,5,0,5
AIQUILE,malaria,numero de muestras hematicas tomadas,2011-04-01,5,1,0,0,5,1,6
ALCALA,malaria,numero de muestras hematicas tomadas,2011-04-01,1,7,0,0,1,7,8
APOLO,malaria,numero de muestras hematicas tomadas,2011-04-01,2,1,0,0,2,1,3
AZURDUY,malaria,numero de muestras hematicas tomadas,2011-04-01,7,9,0,0,7,9,16
BAURES,malaria,numero de muestras hematicas tomadas,2011-04-01,29,25,0,0,29,25,54
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2011-04-01,36,0,0,0,36,0,36
BERMEJO,malaria,numero de muestras hematicas tomadas,2011-04-01,16,17,0,0,16,17,33
BOLPEBRA,malaria,numero de muestras hematicas tomadas,2011-04-01,12,10,0,0,12,10,22
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2011-04-01,7,1,0,0,7,1,8
CABEZAS,malaria,numero de muestras hematicas tomadas,2011-04-01,2,3,0,0,2,3,5
CAMARGO,malaria,numero de muestras hematicas tomadas,2011-04-01,0,28,0,0,0,28,28
CARANAVI,malaria,numero de muestras hematicas tomadas,2011-04-01,28,21,0,0,28,21,49
CARAPARI,malaria,numero de muestras hematicas tomadas,2011-04-01,10,15,0,0,10,15,25
COBIJA,malaria,numero de muestras hematicas tomadas,2011-04-01,42,10,0,0,42,10,52
CONCEPCION,malaria,numero de muestras hematicas tomadas,2011-04-01,16,25,0,0,16,25,41
COROICO,malaria,numero de muestras hematicas tomadas,2011-04-01,2,1,0,0,2,1,3
CUEVO,malaria,numero de muestras hematicas tomadas,2011-04-01,1,0,0,0,1,0,1
CULPINA,malaria,numero de muestras hematicas tomadas,2011-04-01,4,44,0,0,4,44,48
EL TORNO,malaria,numero de muestras hematicas tomadas,2011-04-01,108,134,0,0,108,134,242
EL VILLAR,malaria,numero de muestras hematicas tomadas,2011-04-01,0,3,0,0,0,3,3
ENTRE RIOS TRJ,malaria,numero de muestras hematicas tomadas,2011-04-01,17,30,0,0,17,30,47
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2011-04-01,139,47,0,0,139,47,186
FILADELFIA,malaria,numero de muestras hematicas tomadas,2011-04-01,85,0,0,0,85,0,85
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de muestras hematicas tomadas,2011-04-01,25,8,0,0,25,8,33
GUANAY,malaria,numero de muestras hematicas tomadas,2011-04-01,42,31,0,0,42,31,73
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2011-04-01,657,827,6,0,663,827,1490
GUTIERREZ,malaria,numero de muestras hematicas tomadas,2011-04-01,0,1,0,0,0,1,1
HUACARETA,malaria,numero de muestras hematicas tomadas,2011-04-01,15,14,0,0,15,14,29
ICLA,malaria,numero de muestras hematicas tomadas,2011-04-01,2,1,0,0,2,1,3
INCAHUASI,malaria,numero de muestras hematicas tomadas,2011-04-01,1,0,0,0,1,0,1
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2011-04-01,38,0,0,0,38,0,38
IXIAMAS,malaria,numero de muestras hematicas tomadas,2011-04-01,1,0,0,0,1,0,1
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2011-04-01,12,1,0,0,12,1,13
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2011-04-01,13,17,0,0,13,17,30
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2011-04-01,3,15,0,0,3,15,18
MACHARETI,malaria,numero de muestras hematicas tomadas,2011-04-01,2,0,0,0,2,0,2
MAGDALENA,malaria,numero de muestras hematicas tomadas,2011-04-01,131,121,0,0,131,121,252
MAPIRI,malaria,numero de muestras hematicas tomadas,2011-04-01,13,19,0,0,13,19,32
MIZQUE,malaria,numero de muestras hematicas tomadas,2011-04-01,4,4,0,2,4,6,10
MOJOCOYA,malaria,numero de muestras hematicas tomadas,2011-04-01,1,1,0,0,1,1,2
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2011-04-01,50,31,0,0,50,31,81
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2011-04-01,74,10,0,0,74,10,84
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2011-04-01,138,78,0,0,138,78,216
PADCAYA,malaria,numero de muestras hematicas tomadas,2011-04-01,1,1,0,0,1,1,2
PADILLA,malaria,numero de muestras hematicas tomadas,2011-04-01,131,142,0,0,131,142,273
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2011-04-01,16,5,0,0,16,5,21
POROMA,malaria,numero de muestras hematicas tomadas,2011-04-01,0,2,0,0,0,2,2
PORONGO,malaria,numero de muestras hematicas tomadas,2011-04-01,33,29,0,0,33,29,62
PORTACHUELO,malaria,numero de muestras hematicas tomadas,2011-04-01,2,0,2,0,4,0,4
PORVENIR,malaria,numero de muestras hematicas tomadas,2011-04-01,149,74,0,0,149,74,223
PRESTO,malaria,numero de muestras hematicas tomadas,2011-04-01,0,2,0,0,0,2,2
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2011-04-01,72,54,0,0,72,54,126
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2011-04-01,151,98,0,0,151,98,249
PUERTO VILLARROEL,malaria,numero de muestras hematicas tomadas,2011-04-01,0,1,0,0,0,1,1
REYES,malaria,numero de muestras hematicas tomadas,2011-04-01,6,9,0,0,6,9,15
RIBERALTA,malaria,numero de muestras hematicas tomadas,2011-04-01,654,493,3,2,657,495,1152
RURRENABAQUE,malaria,numero de muestras hematicas tomadas,2011-04-01,2,0,0,0,2,0,2
SAIPINA,malaria,numero de muestras hematicas tomadas,2011-04-01,78,90,0,0,78,90,168
SAN BORJA,malaria,numero de muestras hematicas tomadas,2011-04-01,1,0,0,0,1,0,1
SAN BUENA VENTURA,malaria,numero de muestras hematicas tomadas,2011-04-01,4,1,0,0,4,1,5
SAN CARLOS,malaria,numero de muestras hematicas tomadas,2011-04-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2011-04-01,69,47,0,0,69,47,116
SAN JAVIER(STC),malaria,numero de muestras hematicas tomadas,2011-04-01,0,0,0,11,0,11,11
SAN JOSE DE CHIQUITOS,malaria,numero de muestras hematicas tomadas,2011-04-01,5,15,0,0,5,15,20
SAN JULIAN,malaria,numero de muestras hematicas tomadas,2011-04-01,3,3,0,0,3,3,6
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2011-04-01,193,37,0,0,193,37,230
SAN LUCAS,malaria,numero de muestras hematicas tomadas,2011-04-01,1,47,0,0,1,47,48
SAN PEDRO DE BUENA VISTA,malaria,numero de muestras hematicas tomadas,2011-04-01,4,2,0,0,4,2,6
SAN PEDRO(PND),malaria,numero de muestras hematicas tomadas,2011-04-01,20,23,0,0,20,23,43
SANTA CRUZ DE LA SIERRA,malaria,numero de muestras hematicas tomadas,2011-04-01,4,12,1,0,5,12,17
SANTA ROSA,malaria,numero de muestras hematicas tomadas,2011-04-01,14,7,0,0,14,7,21
SENA,malaria,numero de muestras hematicas tomadas,2011-04-01,81,5,0,0,81,5,86
SHINAOTA,malaria,numero de muestras hematicas tomadas,2011-04-01,5,2,0,0,5,2,7
SOPACHUY,malaria,numero de muestras hematicas tomadas,2011-04-01,5,19,0,0,5,19,24
TEOPONTE,malaria,numero de muestras hematicas tomadas,2011-04-01,10,4,0,0,10,4,14
TOMINA,malaria,numero de muestras hematicas tomadas,2011-04-01,52,60,0,0,52,60,112
TORO TORO,malaria,numero de muestras hematicas tomadas,2011-04-01,5,11,0,0,5,11,16
VALLEGRANDE,malaria,numero de muestras hematicas tomadas,2011-04-01,3,4,0,0,3,4,7
VILA VILA,malaria,numero de muestras hematicas tomadas,2011-04-01,1,2,2,0,3,2,5
VILLA CHARCAS,malaria,numero de muestras hematicas tomadas,2011-04-01,6,22,0,0,6,22,28
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2011-04-01,68,72,0,0,68,72,140
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2011-04-01,79,69,0,0,79,69,148
VILLA SERRANO,malaria,numero de muestras hematicas tomadas,2011-04-01,4,7,0,0,4,7,11
VILLA TUNARI,malaria,numero de muestras hematicas tomadas,2011-04-01,9,3,0,0,9,3,12
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de muestras hematicas tomadas,2011-04-01,30,53,0,0,30,53,83
WARNES,malaria,numero de muestras hematicas tomadas,2011-04-01,1,0,0,0,1,0,1
YACUIBA,malaria,numero de muestras hematicas tomadas,2011-04-01,212,234,0,0,212,234,446
YAPACANI,malaria,numero de muestras hematicas tomadas,2011-04-01,1,1,0,0,1,1,2
ZUDAÑEZ,malaria,numero de muestras hematicas tomadas,2011-04-01,6,8,0,0,6,8,14
AIQUILE,malaria,numero de muestras hematicas tomadas,2011-05-01,1,0,0,0,1,0,1
ALCALA,malaria,numero de muestras hematicas tomadas,2011-05-01,2,2,0,0,2,2,4
APOLO,malaria,numero de muestras hematicas tomadas,2011-05-01,8,4,0,0,8,4,12
AZURDUY,malaria,numero de muestras hematicas tomadas,2011-05-01,97,59,0,0,97,59,156
BAURES,malaria,numero de muestras hematicas tomadas,2011-05-01,25,15,0,0,25,15,40
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2011-05-01,37,41,0,0,37,41,78
BERMEJO,malaria,numero de muestras hematicas tomadas,2011-05-01,17,24,0,0,17,24,41
BOLPEBRA,malaria,numero de muestras hematicas tomadas,2011-05-01,80,0,0,0,80,0,80
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2011-05-01,8,2,0,0,8,2,10
CABEZAS,malaria,numero de muestras hematicas tomadas,2011-05-01,3,0,0,0,3,0,3
CAMATAQUI (C. VILLA ABECIA),malaria,numero de muestras hematicas tomadas,2011-05-01,0,3,0,0,0,3,3
CAMIRI,malaria,numero de muestras hematicas tomadas,2011-05-01,22,22,0,0,22,22,44
CARANAVI,malaria,numero de muestras hematicas tomadas,2011-05-01,23,15,0,0,23,15,38
CARAPARI,malaria,numero de muestras hematicas tomadas,2011-05-01,1,1,0,0,1,1,2
CHARAGUA,malaria,numero de muestras hematicas tomadas,2011-05-01,0,1,0,0,0,1,1
COBIJA,malaria,numero de muestras hematicas tomadas,2011-05-01,57,11,0,0,57,11,68
COMARAPA,malaria,numero de muestras hematicas tomadas,2011-05-01,0,1,0,0,0,1,1
CONCEPCION,malaria,numero de muestras hematicas tomadas,2011-05-01,25,23,0,0,25,23,48
COROICO,malaria,numero de muestras hematicas tomadas,2011-05-01,0,1,0,0,0,1,1
CUEVO,malaria,numero de muestras hematicas tomadas,2011-05-01,1,1,0,0,1,1,2
CULPINA,malaria,numero de muestras hematicas tomadas,2011-05-01,1,53,0,0,1,53,54
EL TORNO,malaria,numero de muestras hematicas tomadas,2011-05-01,51,52,0,0,51,52,103
EL VILLAR,malaria,numero de muestras hematicas tomadas,2011-05-01,1,0,0,0,1,0,1
ENTRE RIOS TRJ,malaria,numero de muestras hematicas tomadas,2011-05-01,105,116,0,0,105,116,221
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2011-05-01,118,62,0,0,118,62,180
FILADELFIA,malaria,numero de muestras hematicas tomadas,2011-05-01,73,0,0,0,73,0,73
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de muestras hematicas tomadas,2011-05-01,2,0,0,0,2,0,2
GUANAY,malaria,numero de muestras hematicas tomadas,2011-05-01,23,31,0,0,23,31,54
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2011-05-01,1091,1172,0,0,1091,1172,2263
GUTIERREZ,malaria,numero de muestras hematicas tomadas,2011-05-01,0,2,0,0,0,2,2
HUACARETA,malaria,numero de muestras hematicas tomadas,2011-05-01,107,107,0,0,107,107,214
ICLA,malaria,numero de muestras hematicas tomadas,2011-05-01,0,1,0,0,0,1,1
INCAHUASI,malaria,numero de muestras hematicas tomadas,2011-05-01,99,147,0,0,99,147,246
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2011-05-01,51,0,0,0,51,0,51
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2011-05-01,14,7,0,0,14,7,21
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2011-05-01,4,5,0,0,4,5,9
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2011-05-01,6,14,0,0,6,14,20
MACHARETI,malaria,numero de muestras hematicas tomadas,2011-05-01,0,1,0,0,0,1,1
MAGDALENA,malaria,numero de muestras hematicas tomadas,2011-05-01,105,78,0,0,105,78,183
MAIRANA,malaria,numero de muestras hematicas tomadas,2011-05-01,3,1,0,0,3,1,4
MAPIRI,malaria,numero de muestras hematicas tomadas,2011-05-01,29,24,0,0,29,24,53
MIZQUE,malaria,numero de muestras hematicas tomadas,2011-05-01,13,5,6,7,19,12,31
MOJOCOYA,malaria,numero de muestras hematicas tomadas,2011-05-01,1,1,0,1,1,2,3
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2011-05-01,21,27,0,0,21,27,48
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2011-05-01,67,4,0,0,67,4,71
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2011-05-01,158,108,0,0,158,108,266
OMEREQUE,malaria,numero de muestras hematicas tomadas,2011-05-01,3,1,0,0,3,1,4
PADCAYA,malaria,numero de muestras hematicas tomadas,2011-05-01,21,13,0,0,21,13,34
PADILLA,malaria,numero de muestras hematicas tomadas,2011-05-01,605,595,0,0,605,595,1200
PAILON,malaria,numero de muestras hematicas tomadas,2011-05-01,2,12,0,0,2,12,14
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2011-05-01,9,4,0,0,9,4,13
POROMA,malaria,numero de muestras hematicas tomadas,2011-05-01,102,27,0,0,102,27,129
PORONGO,malaria,numero de muestras hematicas tomadas,2011-05-01,12,10,0,0,12,10,22
PORVENIR,malaria,numero de muestras hematicas tomadas,2011-05-01,129,169,0,0,129,169,298
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2011-05-01,292,0,0,0,292,0,292
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2011-05-01,214,136,0,0,214,136,350
PUNATA,malaria,numero de muestras hematicas tomadas,2011-05-01,1,0,0,0,1,0,1
REYES,malaria,numero de muestras hematicas tomadas,2011-05-01,8,4,0,0,8,4,12
RIBERALTA,malaria,numero de muestras hematicas tomadas,2011-05-01,641,484,1,2,642,486,1128
ROBORE,malaria,numero de muestras hematicas tomadas,2011-05-01,9,6,0,0,9,6,15
RURRENABAQUE,malaria,numero de muestras hematicas tomadas,2011-05-01,3,4,0,0,3,4,7
SAIPINA,malaria,numero de muestras hematicas tomadas,2011-05-01,57,66,0,0,57,66,123
SAN BORJA,malaria,numero de muestras hematicas tomadas,2011-05-01,1,0,0,0,1,0,1
SAN BUENA VENTURA,malaria,numero de muestras hematicas tomadas,2011-05-01,1,3,0,0,1,3,4
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2011-05-01,65,36,0,0,65,36,101
SAN JAVIER(STC),malaria,numero de muestras hematicas tomadas,2011-05-01,0,5,5,0,5,5,10
SAN JOSE DE CHIQUITOS,malaria,numero de muestras hematicas tomadas,2011-05-01,10,30,0,0,10,30,40
SAN JULIAN,malaria,numero de muestras hematicas tomadas,2011-05-01,5,5,0,0,5,5,10
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2011-05-01,164,124,0,0,164,124,288
SAN LUCAS,malaria,numero de muestras hematicas tomadas,2011-05-01,5,44,0,0,5,44,49
SAN MIGUEL DE VELASCO,malaria,numero de muestras hematicas tomadas,2011-05-01,17,11,0,0,17,11,28
SAN PEDRO(PND),malaria,numero de muestras hematicas tomadas,2011-05-01,41,0,0,0,41,0,41
SANTA CRUZ DE LA SIERRA,malaria,numero de muestras hematicas tomadas,2011-05-01,0,0,0,1,0,1,1
SANTA ROSA,malaria,numero de muestras hematicas tomadas,2011-05-01,7,10,0,0,7,10,17
SENA,malaria,numero de muestras hematicas tomadas,2011-05-01,71,53,0,0,71,53,124
SHINAOTA,malaria,numero de muestras hematicas tomadas,2011-05-01,4,4,0,0,4,4,8
SOPACHUY,malaria,numero de muestras hematicas tomadas,2011-05-01,6,14,0,0,6,14,20
TARVITA,malaria,numero de muestras hematicas tomadas,2011-05-01,4,5,0,0,4,5,9
TEOPONTE,malaria,numero de muestras hematicas tomadas,2011-05-01,11,6,0,0,11,6,17
TOMINA,malaria,numero de muestras hematicas tomadas,2011-05-01,0,4,0,0,0,4,4
TORO TORO,malaria,numero de muestras hematicas tomadas,2011-05-01,70,59,0,0,70,59,129
VILA VILA,malaria,numero de muestras hematicas tomadas,2011-05-01,2,3,3,3,5,6,11
VILLA CHARCAS,malaria,numero de muestras hematicas tomadas,2011-05-01,85,97,0,0,85,97,182
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2011-05-01,118,102,0,0,118,102,220
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2011-05-01,150,0,0,0,150,0,150
VILLA SERRANO,malaria,numero de muestras hematicas tomadas,2011-05-01,16,18,0,0,16,18,34
VILLA TUNARI,malaria,numero de muestras hematicas tomadas,2011-05-01,9,4,0,0,9,4,13
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de muestras hematicas tomadas,2011-05-01,26,35,0,0,26,35,61
YACUIBA,malaria,numero de muestras hematicas tomadas,2011-05-01,279,386,0,0,279,386,665
YAPACANI,malaria,numero de muestras hematicas tomadas,2011-05-01,1,0,0,0,1,0,1
ZUDAÑEZ,malaria,numero de muestras hematicas tomadas,2011-05-01,3,4,0,0,3,4,7
ALCALA,malaria,numero de muestras hematicas tomadas,2011-06-01,0,6,0,0,0,6,6
APOLO,malaria,numero de muestras hematicas tomadas,2011-06-01,1,4,0,0,1,4,5
AZURDUY,malaria,numero de muestras hematicas tomadas,2011-06-01,91,54,0,0,91,54,145
BAURES,malaria,numero de muestras hematicas tomadas,2011-06-01,27,22,0,0,27,22,49
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2011-06-01,62,0,0,0,62,0,62
BERMEJO,malaria,numero de muestras hematicas tomadas,2011-06-01,11,13,0,0,11,13,24
BOLPEBRA,malaria,numero de muestras hematicas tomadas,2011-06-01,56,0,0,0,56,0,56
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2011-06-01,0,3,0,0,0,3,3
CABEZAS,malaria,numero de muestras hematicas tomadas,2011-06-01,1,3,0,0,1,3,4
CAMATAQUI (C. VILLA ABECIA),malaria,numero de muestras hematicas tomadas,2011-06-01,1,0,0,0,1,0,1
CAMIRI,malaria,numero de muestras hematicas tomadas,2011-06-01,10,9,0,0,10,9,19
CARANAVI,malaria,numero de muestras hematicas tomadas,2011-06-01,20,11,0,0,20,11,31
CARAPARI,malaria,numero de muestras hematicas tomadas,2011-06-01,7,6,0,0,7,6,13
COBIJA,malaria,numero de muestras hematicas tomadas,2011-06-01,68,0,0,0,68,0,68
COMARAPA,malaria,numero de muestras hematicas tomadas,2011-06-01,3,1,0,0,3,1,4
COTOCA,malaria,numero de muestras hematicas tomadas,2011-06-01,0,1,0,0,0,1,1
CUEVO,malaria,numero de muestras hematicas tomadas,2011-06-01,1,0,0,0,1,0,1
CULPINA,malaria,numero de muestras hematicas tomadas,2011-06-01,0,58,0,0,0,58,58
EL TORNO,malaria,numero de muestras hematicas tomadas,2011-06-01,48,56,0,0,48,56,104
EL VILLAR,malaria,numero de muestras hematicas tomadas,2011-06-01,1,4,0,0,1,4,5
ENTRE RIOS TRJ,malaria,numero de muestras hematicas tomadas,2011-06-01,79,74,0,0,79,74,153
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2011-06-01,75,54,0,0,75,54,129
FILADELFIA,malaria,numero de muestras hematicas tomadas,2011-06-01,155,0,0,0,155,0,155
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de muestras hematicas tomadas,2011-06-01,2,1,0,0,2,1,3
GUANAY,malaria,numero de muestras hematicas tomadas,2011-06-01,26,10,0,0,26,10,36
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2011-06-01,1171,1163,40,40,1211,1203,2414
GUTIERREZ,malaria,numero de muestras hematicas tomadas,2011-06-01,0,8,0,0,0,8,8
ICLA,malaria,numero de muestras hematicas tomadas,2011-06-01,1,1,1,0,2,1,3
INCAHUASI,malaria,numero de muestras hematicas tomadas,2011-06-01,1,2,0,0,1,2,3
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2011-06-01,59,0,0,0,59,0,59
IXIAMAS,malaria,numero de muestras hematicas tomadas,2011-06-01,2,1,0,0,2,1,3
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2011-06-01,7,12,0,0,7,12,19
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2011-06-01,2,1,0,0,2,1,3
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2011-06-01,4,16,0,0,4,16,20
MACHARETI,malaria,numero de muestras hematicas tomadas,2011-06-01,1,0,0,0,1,0,1
MAGDALENA,malaria,numero de muestras hematicas tomadas,2011-06-01,95,98,0,0,95,98,193
MAIRANA,malaria,numero de muestras hematicas tomadas,2011-06-01,1,1,0,0,1,1,2
MAPIRI,malaria,numero de muestras hematicas tomadas,2011-06-01,11,9,0,0,11,9,20
MIZQUE,malaria,numero de muestras hematicas tomadas,2011-06-01,16,9,38,29,54,38,92
MOJOCOYA,malaria,numero de muestras hematicas tomadas,2011-06-01,27,21,0,0,27,21,48
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2011-06-01,94,91,0,0,94,91,185
MONTERO,malaria,numero de muestras hematicas tomadas,2011-06-01,1,23,0,0,1,23,24
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2011-06-01,25,11,0,0,25,11,36
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2011-06-01,163,104,0,0,163,104,267
PADCAYA,malaria,numero de muestras hematicas tomadas,2011-06-01,9,23,0,0,9,23,32
PADILLA,malaria,numero de muestras hematicas tomadas,2011-06-01,15,22,0,0,15,22,37
PAILON,malaria,numero de muestras hematicas tomadas,2011-06-01,0,20,0,0,0,20,20
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2011-06-01,9,6,0,0,9,6,15
POROMA,malaria,numero de muestras hematicas tomadas,2011-06-01,1,0,0,0,1,0,1
PORONGO,malaria,numero de muestras hematicas tomadas,2011-06-01,10,10,0,0,10,10,20
PORVENIR,malaria,numero de muestras hematicas tomadas,2011-06-01,55,55,0,0,55,55,110
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2011-06-01,43,0,0,0,43,0,43
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2011-06-01,139,129,0,0,139,129,268
PUERTO SILES,malaria,numero de muestras hematicas tomadas,2011-06-01,2,0,0,0,2,0,2
REYES,malaria,numero de muestras hematicas tomadas,2011-06-01,3,3,0,0,3,3,6
RIBERALTA,malaria,numero de muestras hematicas tomadas,2011-06-01,729,592,11,14,740,606,1346
ROBORE,malaria,numero de muestras hematicas tomadas,2011-06-01,2,15,0,0,2,15,17
RURRENABAQUE,malaria,numero de muestras hematicas tomadas,2011-06-01,2,1,0,0,2,1,3
SAIPINA,malaria,numero de muestras hematicas tomadas,2011-06-01,55,55,0,0,55,55,110
SAN BORJA,malaria,numero de muestras hematicas tomadas,2011-06-01,2,1,0,0,2,1,3
SAN BUENA VENTURA,malaria,numero de muestras hematicas tomadas,2011-06-01,1,1,0,0,1,1,2
SAN CARLOS,malaria,numero de muestras hematicas tomadas,2011-06-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2011-06-01,41,70,0,0,41,70,111
SAN JAVIER(STC),malaria,numero de muestras hematicas tomadas,2011-06-01,0,2,2,2,2,4,6
SAN JOSE DE CHIQUITOS,malaria,numero de muestras hematicas tomadas,2011-06-01,20,40,0,0,20,40,60
SAN JULIAN,malaria,numero de muestras hematicas tomadas,2011-06-01,1,2,0,0,1,2,3
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2011-06-01,129,84,0,0,129,84,213
SAN LUCAS,malaria,numero de muestras hematicas tomadas,2011-06-01,11,52,0,0,11,52,63
SAN MATIAS,malaria,numero de muestras hematicas tomadas,2011-06-01,42,47,0,0,42,47,89
SAN PEDRO DE BUENA VISTA,malaria,numero de muestras hematicas tomadas,2011-06-01,23,18,0,0,23,18,41
SAN PEDRO(PND),malaria,numero de muestras hematicas tomadas,2011-06-01,52,0,0,0,52,0,52
SANTA CRUZ DE LA SIERRA,malaria,numero de muestras hematicas tomadas,2011-06-01,0,1,0,0,0,1,1
SANTA ROSA,malaria,numero de muestras hematicas tomadas,2011-06-01,6,8,0,0,6,8,14
SENA,malaria,numero de muestras hematicas tomadas,2011-06-01,68,0,0,0,68,0,68
SHINAOTA,malaria,numero de muestras hematicas tomadas,2011-06-01,1,3,0,0,1,3,4
SOPACHUY,malaria,numero de muestras hematicas tomadas,2011-06-01,5,25,0,0,5,25,30
SUCRE,malaria,numero de muestras hematicas tomadas,2011-06-01,1,1,0,0,1,1,2
TARVITA,malaria,numero de muestras hematicas tomadas,2011-06-01,1,3,0,0,1,3,4
TEOPONTE,malaria,numero de muestras hematicas tomadas,2011-06-01,7,3,0,0,7,3,10
TORO TORO,malaria,numero de muestras hematicas tomadas,2011-06-01,70,50,0,0,70,50,120
VALLEGRANDE,malaria,numero de muestras hematicas tomadas,2011-06-01,1,1,0,0,1,1,2
VILA VILA,malaria,numero de muestras hematicas tomadas,2011-06-01,0,1,1,0,1,1,2
VILLA CHARCAS,malaria,numero de muestras hematicas tomadas,2011-06-01,3,4,0,0,3,4,7
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2011-06-01,74,115,0,0,74,115,189
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2011-06-01,91,43,0,0,91,43,134
VILLA SERRANO,malaria,numero de muestras hematicas tomadas,2011-06-01,4,11,0,0,4,11,15
VILLA TUNARI,malaria,numero de muestras hematicas tomadas,2011-06-01,7,4,0,0,7,4,11
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de muestras hematicas tomadas,2011-06-01,57,57,0,0,57,57,114
YACUIBA,malaria,numero de muestras hematicas tomadas,2011-06-01,251,263,0,0,251,263,514
ACACIO,malaria,numero de muestras hematicas tomadas,2011-07-01,25,0,0,0,25,0,25
ALCALA,malaria,numero de muestras hematicas tomadas,2011-07-01,0,2,0,0,0,2,2
APOLO,malaria,numero de muestras hematicas tomadas,2011-07-01,5,2,0,0,5,2,7
