,group,variable,month,TOTAL DE CASOS CONFIRMADOS VIVAX,TOTAL DE CASOS CONFIRMADOS VIVAX,TOTAL DE CASOS CONFIRMADOS FALCIPARUM,TOTAL DE CASOS CONFIRMADOS FALCIPARUM,TOTALES,TOTALES,TOTALES
VILLA NUEVA (LOMA ALTA),malaria,total de casos confirmados,2011-07-01,3,0,0,0,3,0,3
VILLA SERRANO,malaria,total de casos confirmados,2011-07-01,0,1,0,0,0,1,1
YACUIBA,malaria,total de casos confirmados,2011-07-01,0,1,0,0,0,1,1
APOLO,malaria,total de casos confirmados,2011-08-01,2,3,0,0,2,3,5
AZURDUY,malaria,total de casos confirmados,2011-08-01,2,0,0,0,2,0,2
BAURES,malaria,total de casos confirmados,2011-08-01,10,7,0,0,10,7,17
BELLA FLOR,malaria,total de casos confirmados,2011-08-01,1,0,0,0,1,0,1
BUENA VISTA,malaria,total de casos confirmados,2011-08-01,0,1,0,0,0,1,1
CABEZAS,malaria,total de casos confirmados,2011-08-01,2,0,0,0,2,0,2
CARAPARI,malaria,total de casos confirmados,2011-08-01,0,1,0,0,0,1,1
COBIJA,malaria,total de casos confirmados,2011-08-01,3,0,0,0,3,0,3
COMARAPA,malaria,total de casos confirmados,2011-08-01,1,0,0,0,1,0,1
COROICO,malaria,total de casos confirmados,2011-08-01,1,0,0,0,1,0,1
EL TORNO,malaria,total de casos confirmados,2011-08-01,6,9,0,0,6,9,15
EUREKA (SANTOS MERCADO),malaria,total de casos confirmados,2011-08-01,2,1,0,0,2,1,3
FILADELFIA,malaria,total de casos confirmados,2011-08-01,1,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),malaria,total de casos confirmados,2011-08-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,total de casos confirmados,2011-08-01,124,94,6,0,130,94,224
HUACARETA,malaria,total de casos confirmados,2011-08-01,1,0,0,0,1,0,1
INCAHUASI,malaria,total de casos confirmados,2011-08-01,0,1,0,0,0,1,1
INGAVI (HUMAITA),malaria,total de casos confirmados,2011-08-01,1,0,0,0,1,0,1
IXIAMAS,malaria,total de casos confirmados,2011-08-01,0,1,0,0,0,1,1
LA GUARDIA,malaria,total de casos confirmados,2011-08-01,1,0,0,0,1,0,1
MACHARETI,malaria,total de casos confirmados,2011-08-01,0,1,0,0,0,1,1
MIZQUE,malaria,total de casos confirmados,2011-08-01,2,3,0,0,2,3,5
MONTEAGUDO,malaria,total de casos confirmados,2011-08-01,0,2,0,0,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de casos confirmados,2011-08-01,2,0,0,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2011-08-01,5,2,0,0,5,2,7
PORONGO,malaria,total de casos confirmados,2011-08-01,1,1,0,0,1,1,2
PUERTO GONZALO MORENO,malaria,total de casos confirmados,2011-08-01,2,0,0,0,2,0,2
REYES,malaria,total de casos confirmados,2011-08-01,6,7,0,0,6,7,13
RIBERALTA,malaria,total de casos confirmados,2011-08-01,70,37,3,3,73,40,113
RURRENABAQUE,malaria,total de casos confirmados,2011-08-01,2,0,0,0,2,0,2
SAIPINA,malaria,total de casos confirmados,2011-08-01,3,0,0,0,3,0,3
SAN CARLOS,malaria,total de casos confirmados,2011-08-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,total de casos confirmados,2011-08-01,2,5,0,0,2,5,7
SAN PEDRO(PND),malaria,total de casos confirmados,2011-08-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,malaria,total de casos confirmados,2011-08-01,0,1,0,0,0,1,1
SENA,malaria,total de casos confirmados,2011-08-01,2,1,0,0,2,1,3
TORO TORO,malaria,total de casos confirmados,2011-08-01,0,1,0,0,0,1,1
VILA VILA,malaria,total de casos confirmados,2011-08-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),malaria,total de casos confirmados,2011-08-01,0,1,0,0,0,1,1
VILLA SERRANO,malaria,total de casos confirmados,2011-08-01,6,2,0,0,6,2,8
YACUIBA,malaria,total de casos confirmados,2011-08-01,1,2,0,0,1,2,3
ZUDAÑEZ,malaria,total de casos confirmados,2011-08-01,1,0,0,0,1,0,1
APOLO,malaria,total de casos confirmados,2011-09-01,1,1,0,0,1,1,2
AZURDUY,malaria,total de casos confirmados,2011-09-01,0,1,0,0,0,1,1
BAURES,malaria,total de casos confirmados,2011-09-01,10,5,0,0,10,5,15
BELLA FLOR,malaria,total de casos confirmados,2011-09-01,1,0,0,0,1,0,1
BERMEJO,malaria,total de casos confirmados,2011-09-01,1,1,0,0,1,1,2
CHIMORE,malaria,total de casos confirmados,2011-09-01,1,0,0,0,1,0,1
COBIJA,malaria,total de casos confirmados,2011-09-01,1,4,0,0,1,4,5
COMARAPA,malaria,total de casos confirmados,2011-09-01,1,0,0,0,1,0,1
EL TORNO,malaria,total de casos confirmados,2011-09-01,3,2,0,0,3,2,5
EUREKA (SANTOS MERCADO),malaria,total de casos confirmados,2011-09-01,7,0,0,0,7,0,7
FILADELFIA,malaria,total de casos confirmados,2011-09-01,0,1,0,0,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),malaria,total de casos confirmados,2011-09-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,total de casos confirmados,2011-09-01,93,67,0,1,93,68,161
MAGDALENA,malaria,total de casos confirmados,2011-09-01,2,0,0,0,2,0,2
MIZQUE,malaria,total de casos confirmados,2011-09-01,1,2,0,0,1,2,3
MONTEAGUDO,malaria,total de casos confirmados,2011-09-01,1,1,0,0,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de casos confirmados,2011-09-01,1,1,0,0,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2011-09-01,2,4,0,1,2,5,7
PADCAYA,malaria,total de casos confirmados,2011-09-01,0,1,0,0,0,1,1
PORONGO,malaria,total de casos confirmados,2011-09-01,1,2,0,0,1,2,3
PORVENIR,malaria,total de casos confirmados,2011-09-01,2,0,0,0,2,0,2
PUERTO GONZALO MORENO,malaria,total de casos confirmados,2011-09-01,6,0,0,0,6,0,6
REYES,malaria,total de casos confirmados,2011-09-01,5,3,0,0,5,3,8
RIBERALTA,malaria,total de casos confirmados,2011-09-01,54,32,1,0,55,32,87
RURRENABAQUE,malaria,total de casos confirmados,2011-09-01,1,0,0,0,1,0,1
SAIPINA,malaria,total de casos confirmados,2011-09-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,malaria,total de casos confirmados,2011-09-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,total de casos confirmados,2011-09-01,12,3,0,0,12,3,15
SAN PEDRO(PND),malaria,total de casos confirmados,2011-09-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,malaria,total de casos confirmados,2011-09-01,0,0,0,0,0,0,0
SENA,malaria,total de casos confirmados,2011-09-01,1,0,0,0,1,0,1
SHINAOTA,malaria,total de casos confirmados,2011-09-01,1,0,0,0,1,0,1
TIPUANI,malaria,total de casos confirmados,2011-09-01,1,0,0,0,1,0,1
TORO TORO,malaria,total de casos confirmados,2011-09-01,1,1,0,0,1,1,2
VILLA MONTES,malaria,total de casos confirmados,2011-09-01,0,2,0,0,0,2,2
VILLA NUEVA (LOMA ALTA),malaria,total de casos confirmados,2011-09-01,1,3,1,0,2,3,5
VILLA TUNARI,malaria,total de casos confirmados,2011-09-01,1,0,0,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,total de casos confirmados,2011-09-01,0,1,0,0,0,1,1
YACUIBA,malaria,total de casos confirmados,2011-09-01,3,3,0,0,3,3,6
APOLO,malaria,total de casos confirmados,2011-10-01,1,1,0,0,1,1,2
BAURES,malaria,total de casos confirmados,2011-10-01,6,2,0,0,6,2,8
CABEZAS,malaria,total de casos confirmados,2011-10-01,1,0,0,0,1,0,1
COBIJA,malaria,total de casos confirmados,2011-10-01,6,0,0,0,6,0,6
EL TORNO,malaria,total de casos confirmados,2011-10-01,3,5,0,0,3,5,8
ENTRE RIOS TRJ,malaria,total de casos confirmados,2011-10-01,2,1,0,0,2,1,3
EUREKA (SANTOS MERCADO),malaria,total de casos confirmados,2011-10-01,2,0,0,0,2,0,2
FILADELFIA,malaria,total de casos confirmados,2011-10-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,total de casos confirmados,2011-10-01,106,67,15,12,121,79,200
INGAVI (HUMAITA),malaria,total de casos confirmados,2011-10-01,4,0,0,0,4,0,4
LA GUARDIA,malaria,total de casos confirmados,2011-10-01,2,0,0,0,2,0,2
MAGDALENA,malaria,total de casos confirmados,2011-10-01,1,0,0,0,1,0,1
MONTEAGUDO,malaria,total de casos confirmados,2011-10-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2011-10-01,13,6,0,1,13,7,20
PORONGO,malaria,total de casos confirmados,2011-10-01,2,4,0,0,2,4,6
PORVENIR,malaria,total de casos confirmados,2011-10-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,malaria,total de casos confirmados,2011-10-01,4,0,0,0,4,0,4
PUERTO RICO,malaria,total de casos confirmados,2011-10-01,7,0,0,0,7,0,7
REYES,malaria,total de casos confirmados,2011-10-01,2,2,0,0,2,2,4
RIBERALTA,malaria,total de casos confirmados,2011-10-01,63,36,4,4,67,40,107
RURRENABAQUE,malaria,total de casos confirmados,2011-10-01,1,0,1,0,2,0,2
SAIPINA,malaria,total de casos confirmados,2011-10-01,3,1,0,0,3,1,4
SAN BORJA,malaria,total de casos confirmados,2011-10-01,0,1,0,0,0,1,1
SAN BUENA VENTURA,malaria,total de casos confirmados,2011-10-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,total de casos confirmados,2011-10-01,9,5,0,0,9,5,14
SAN PEDRO(PND),malaria,total de casos confirmados,2011-10-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,malaria,total de casos confirmados,2011-10-01,0,0,0,0,0,0,0
SENA,malaria,total de casos confirmados,2011-10-01,1,0,0,0,1,0,1
VILLA MONTES,malaria,total de casos confirmados,2011-10-01,2,0,0,0,2,0,2
VILLA NUEVA (LOMA ALTA),malaria,total de casos confirmados,2011-10-01,3,0,0,0,3,0,3
VILLA VACA GUZMAN (MUYUPAMPA),malaria,total de casos confirmados,2011-10-01,0,1,0,0,0,1,1
YACUIBA,malaria,total de casos confirmados,2011-10-01,1,1,0,0,1,1,2
AIQUILE,malaria,total de casos confirmados,2011-11-01,0,1,0,0,0,1,1
APOLO,malaria,total de casos confirmados,2011-11-01,4,4,0,0,4,4,8
BAURES,malaria,total de casos confirmados,2011-11-01,3,3,0,0,3,3,6
BERMEJO,malaria,total de casos confirmados,2011-11-01,1,2,0,0,1,2,3
CARANAVI,malaria,total de casos confirmados,2011-11-01,1,0,0,0,1,0,1
CARAPARI,malaria,total de casos confirmados,2011-11-01,1,0,0,0,1,0,1
COBIJA,malaria,total de casos confirmados,2011-11-01,6,0,0,0,6,0,6
EL TORNO,malaria,total de casos confirmados,2011-11-01,3,0,0,0,3,0,3
ENTRE RIOS TRJ,malaria,total de casos confirmados,2011-11-01,3,1,0,0,3,1,4
EUREKA (SANTOS MERCADO),malaria,total de casos confirmados,2011-11-01,5,2,0,0,5,2,7
GRAL. J.J. PEREZ (CHARAZANI),malaria,total de casos confirmados,2011-11-01,3,0,0,0,3,0,3
GUAYARAMERIN,malaria,total de casos confirmados,2011-11-01,169,112,4,0,173,112,285
HUACARETA,malaria,total de casos confirmados,2011-11-01,1,0,0,0,1,0,1
INGAVI (HUMAITA),malaria,total de casos confirmados,2011-11-01,4,2,0,0,4,2,6
LA GUARDIA,malaria,total de casos confirmados,2011-11-01,0,1,0,0,0,1,1
MAGDALENA,malaria,total de casos confirmados,2011-11-01,1,1,0,0,1,1,2
MINEROS,malaria,total de casos confirmados,2011-11-01,0,0,6,0,6,0,6
MONTEAGUDO,malaria,total de casos confirmados,2011-11-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de casos confirmados,2011-11-01,1,1,0,0,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2011-11-01,5,5,0,2,5,7,12
OMEREQUE,malaria,total de casos confirmados,2011-11-01,1,0,0,0,1,0,1
PORONGO,malaria,total de casos confirmados,2011-11-01,3,3,0,0,3,3,6
PORVENIR,malaria,total de casos confirmados,2011-11-01,3,0,0,0,3,0,3
PUERTO GONZALO MORENO,malaria,total de casos confirmados,2011-11-01,2,0,0,0,2,0,2
PUERTO RICO,malaria,total de casos confirmados,2011-11-01,4,2,0,0,4,2,6
REYES,malaria,total de casos confirmados,2011-11-01,3,2,0,0,3,2,5
RIBERALTA,malaria,total de casos confirmados,2011-11-01,57,36,0,1,57,37,94
RURRENABAQUE,malaria,total de casos confirmados,2011-11-01,1,0,0,0,1,0,1
SAIPINA,malaria,total de casos confirmados,2011-11-01,0,1,0,0,0,1,1
SAN BORJA,malaria,total de casos confirmados,2011-11-01,3,2,0,0,3,2,5
SAN LORENZO(PND),malaria,total de casos confirmados,2011-11-01,4,6,0,0,4,6,10
SANTA CRUZ DE LA SIERRA,malaria,total de casos confirmados,2011-11-01,0,0,0,0,0,0,0
TEOPONTE,malaria,total de casos confirmados,2011-11-01,2,3,0,0,2,3,5
VILLA MONTES,malaria,total de casos confirmados,2011-11-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),malaria,total de casos confirmados,2011-11-01,1,0,0,0,1,0,1
VILLA SERRANO,malaria,total de casos confirmados,2011-11-01,1,1,0,0,1,1,2
YACUIBA,malaria,total de casos confirmados,2011-11-01,4,1,0,0,4,1,5
APOLO,malaria,total de casos confirmados,2011-12-01,1,2,0,0,1,2,3
BAURES,malaria,total de casos confirmados,2011-12-01,6,3,0,0,6,3,9
BELLA FLOR,malaria,total de casos confirmados,2011-12-01,1,0,0,0,1,0,1
COBIJA,malaria,total de casos confirmados,2011-12-01,6,1,0,0,6,1,7
EL TORNO,malaria,total de casos confirmados,2011-12-01,7,1,0,0,7,1,8
ENTRE RIOS TRJ,malaria,total de casos confirmados,2011-12-01,0,4,0,0,0,4,4
EUREKA (SANTOS MERCADO),malaria,total de casos confirmados,2011-12-01,3,0,0,0,3,0,3
FILADELFIA,malaria,total de casos confirmados,2011-12-01,2,0,0,0,2,0,2
GRAL. J.J. PEREZ (CHARAZANI),malaria,total de casos confirmados,2011-12-01,0,2,0,0,0,2,2
GUAYARAMERIN,malaria,total de casos confirmados,2011-12-01,130,89,3,4,133,93,226
INGAVI (HUMAITA),malaria,total de casos confirmados,2011-12-01,1,2,0,0,1,2,3
LA GUARDIA,malaria,total de casos confirmados,2011-12-01,2,1,0,0,2,1,3
MAGDALENA,malaria,total de casos confirmados,2011-12-01,4,4,0,0,4,4,8
MOJOCOYA,malaria,total de casos confirmados,2011-12-01,1,0,0,0,1,0,1
MONTEAGUDO,malaria,total de casos confirmados,2011-12-01,1,1,0,0,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de casos confirmados,2011-12-01,2,0,0,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2011-12-01,7,2,4,3,11,5,16
OMEREQUE,malaria,total de casos confirmados,2011-12-01,0,1,0,0,0,1,1
PADILLA,malaria,total de casos confirmados,2011-12-01,1,0,0,0,1,0,1
PORONGO,malaria,total de casos confirmados,2011-12-01,1,2,0,0,1,2,3
PORVENIR,malaria,total de casos confirmados,2011-12-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,malaria,total de casos confirmados,2011-12-01,4,1,0,0,4,1,5
PUERTO RICO,malaria,total de casos confirmados,2011-12-01,1,0,0,0,1,0,1
RIBERALTA,malaria,total de casos confirmados,2011-12-01,67,19,7,3,74,22,96
RURRENABAQUE,malaria,total de casos confirmados,2011-12-01,1,0,0,0,1,0,1
SAIPINA,malaria,total de casos confirmados,2011-12-01,10,5,0,0,10,5,15
SAN CARLOS,malaria,total de casos confirmados,2011-12-01,0,1,0,0,0,1,1
SAN LORENZO(PND),malaria,total de casos confirmados,2011-12-01,9,1,0,0,9,1,10
SANTA CRUZ DE LA SIERRA,malaria,total de casos confirmados,2011-12-01,0,0,0,0,0,0,0
SANTA ROSA,malaria,total de casos confirmados,2011-12-01,0,2,0,0,0,2,2
SHINAOTA,malaria,total de casos confirmados,2011-12-01,0,1,0,0,0,1,1
TEOPONTE,malaria,total de casos confirmados,2011-12-01,2,1,0,0,2,1,3
VILLA MONTES,malaria,total de casos confirmados,2011-12-01,0,1,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),malaria,total de casos confirmados,2011-12-01,2,0,0,0,2,0,2
YACUIBA,malaria,total de casos confirmados,2011-12-01,1,1,0,0,1,1,2
