municipality,group,variable,month,Actividades Odontológicas en la Comunidad,TOTAL
MONTERO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,361,361
MORO MORO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,7,7
MOROCHATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,10,10
OCURI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,12,12
OMEREQUE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,7,7
ORURO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,1006,1006
PADCAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,12,12
PADILLA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,15,15
PALCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,9,9
PALOS BLANCOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,1,1
PAMPA AULLAGAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,3,3
PASORAPA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,2,2
PATACAMAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,10,10
PAZÑA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,10,10
PELECHUCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,2,2
POCONA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,5,5
POOPO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,11,11
PORCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,3,3
POROMA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,8,8
PORVENIR,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,2,2
POSTRER VALLE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,3,3
POTOSI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,3,3
PRESTO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,7,7
PUCARA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,2,2
PUCARANI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,12,12
PUERTO ACOSTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,4,4
PUERTO CARABUCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,8,8
PUERTO GONZALO MORENO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,3,3
PUERTO RICO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,3,3
PUERTO VILLARROEL,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,4,4
PUNA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,9,9
QUILLACOLLO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,22,22
QUIME,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,1,1
QUIRUSILLAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,1,1
REYES,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,1365,1365
RIBERALTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,57,57
RURRENABAQUE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,1,1
SABAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,2,2
SACABA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,44,44
SACACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,221,221
SALINAS DE GARCI MENDOZA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,45,45
SAMAIPATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,10,10
SAN ANDRES,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,19,19
SAN ANDRES DE MACHACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,8,8
SAN BENITO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,3,3
SAN CARLOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,12,12
SAN IGNACIO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,25,25
SAN IGNACIO DE VELASCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,634,634
SAN JUAN DE YAPACANI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,6,6
SAN LORENZO(TJA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,37,37
SAN LUCAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,8,8
SAN MIGUEL DE VELASCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,10,10
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,413,413
SAN PEDRO DE CURAHUARA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,5,5
SAN PEDRO DE TIQUINA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,12,12
SAN RAFAEL,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,1,1
SAN RAMON,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,2,2
SANTA ANA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,1,1
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,265,265
SANTA ROSA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,5,5
SANTA ROSA DEL SARA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,5,5
SANTIAGO DE HUARI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,11,11
SANTIAGO DE MACHACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,1,1
SANTUARIO DE QUILLACAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,13,13
SAPAHAQUI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,16,16
SICA SICA (VILLA AROMA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,13,13
SIPE SIPE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,4,4
SOPACHUY,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,338,338
SORACACHI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,21,21
SORATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,1,1
SUCRE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,34,34
TACACOMA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,9,9
TACOPAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,8,8
TAPACARI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,17,17
TARABUCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,24,24
TARACO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,9,9
TARATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,110,110
TARIJA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,293,293
TARVITA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,12,12
TEOPONTE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,22,22
TINGUIPAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,22,22
TIPUANI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,4,4
TIQUIPAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,2,2
TIRAQUE (CBBA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,261,261
TITO YUPANQUI (PARQUIPUJIO),atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,2,2
TOCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,26,26
TOLATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,171,171
TOLEDO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,362,362
TOMAVE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,11,11
TOMINA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,9,9
TORO TORO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,24,24
TOTORA(CBBA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,3,3
TRIGAL,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,3,3
TRINIDAD,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,3,3
TUPIZA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,99,99
TURCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,3,3
UMALA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,15,15
UNCIA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,165,165
URIONDO (A. CONCEPCION),atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,13,13
VACAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,795,795
VALLEGRANDE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,10,10
VIACHA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,14,14
VILLA MONTES,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,1,1
VILLA NUEVA (LOMA ALTA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,1,1
VILLA RIVERO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,3,3
VILLA SERRANO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,1750,1750
VILLA TUNARI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,413,413
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,6,6
VILLAZON,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,281,281
VINTO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,10,10
WALDO BALLIVIAN,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,63,63
WARNES,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,3,3
YACO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,7,7
YACUIBA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,41,41
YAMPARAEZ,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,1256,1256
YOTALA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,20,20
YUNCHARA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,22,22
ZUDAÑEZ,atenciones odontologicas,actividades odontologicas en la comunidad,2008-04-01,9,9
ACACIO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,94,94
ACHACACHI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,39,39
ACHOCALLA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,210,210
AIQUILE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,1,1
ALALAY,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,2,2
ANCORAIMES,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,7,7
ANDAMARCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,22,22
ANTEQUERA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,1,1
APOLO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,7,7
ARAMPAMPA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,6,6
ATOCHA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,2,2
AYATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,7,7
AYO AYO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,1,1
AZURDUY,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,10,10
BATALLAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,12,12
BAURES,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,2,2
BELEN DE URMIRI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,1,1
BERMEJO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,16,16
BETANZOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,1650,1650
BOLPEBRA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,10,10
BUENA VISTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,1,1
CAIROMA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,43,43
CAJUATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,7,7
CALACOTO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,72,72
CALAMARCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,26,26
CAMARGO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,25,25
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,11,11
CAPINOTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,5,5
CAQUIAVIRI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,3,3
CARACOLLO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,12,12
CARANAVI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,10,10
CARAPARI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,18,18
CARIPUYO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,6,6
CATACORA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,11,11
CHALLAPATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,25,25
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,4,4
CHUMA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,25,25
CLIZA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,20,20
COBIJA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,10,10
COCHABAMBA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,531,531
COLCAPIRHUA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,800,800
"COLCHA ""K""",atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,4,4
COLQUENCHA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,7,7
COMANCHE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,9,9
COMBAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,3,3
COPACABANA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,4,4
CORIPATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,8,8
CORO CORO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,10,10
CORQUE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,4,4
COTAGAITA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,2,2
CULPINA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,11,11
CURAHUARA DE CARANGAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,3,3
CURVA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,1,1
DESAGUADERO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,4,4
EL ALTO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,389,389
EL CHORO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,11,11
EL PUENTE(STC),atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,2,2
EL PUENTE(TJA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,27,27
EL VILLAR,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,3,3
ENTRE RIOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,2,2
ENTRE RIOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,12,12
EUCALIPTUS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,5,5
FILADELFIA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,1,1
GENERAL SAAVEDRA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,322,322
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,227,227
GUANAY,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,11,11
GUAQUI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,8,8
GUAYARAMERIN,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,120,120
HUACARETA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,5,5
HUACAYA (VILLA DE HUACAYA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,1,1
HUACHACALLA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,2,2
HUANUNI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,6,6
HUAYLLAMARCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,5,5
ICLA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,8,8
INCAHUASI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,7,7
IXIAMAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,3,3
JESUS DE MACHACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,7,7
LA ASUNTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,341,341
LA PAZ,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,170,170
LAGUNILLAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,4,4
LAJA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,8,8
LLALLAGUA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,3146,3146
LLICA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,42,42
LURIBAY,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,8,8
MACHACAMARCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,73,73
MACHARETI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,19,19
MALLA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,3,3
MAPIRI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,4,4
MECAPACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,25,25
MINEROS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,1,1
MIZQUE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,4,4
MOCOMOCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,14,14
MOJOCOYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,5,5
MONTEAGUDO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,12,12
MONTERO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,12,12
MORO MORO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,43,43
MOROCHATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,25,25
OCURI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,20,20
OKINAWA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,1,1
OMEREQUE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,3,3
ORURO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,639,639
PADCAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,11,11
PADILLA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,4,4
PALCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,5,5
PALOS BLANCOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,565,565
PAMPA AULLAGAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,2,2
PATACAMAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,8,8
PAZÑA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,3,3
PELECHUCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,10,10
POCONA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,125,125
POOPO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,7,7
PORCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,2,2
POROMA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,10,10
PORVENIR,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,8,8
POSTRER VALLE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,2,2
POTOSI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,1,1
PRESTO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,2,2
PUCARA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,4,4
PUCARANI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,10,10
PUERTO ACOSTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,8,8
PUERTO CARABUCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,25,25
PUERTO GONZALO MORENO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,6,6
PUERTO RICO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,10,10
PUERTO SUAREZ,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,1,1
PUERTO VILLARROEL,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,6,6
PUNA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,12,12
PUNATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,464,464
QUILLACOLLO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,2,2
QUIME,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,25,25
RAVELO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,70,70
RIBERALTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,37,37
RURRENABAQUE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,4,4
SACABA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,59,59
SACACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,380,380
SALINAS DE GARCI MENDOZA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,37,37
SAMAIPATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,4,4
SAN AGUSTIN,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,1,1
SAN ANDRES DE MACHACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,15,15
SAN ANTONIO DE LOMERIO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,4,4
SAN BUENA VENTURA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,7,7
SAN CARLOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,4,4
SAN IGNACIO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,24,24
SAN IGNACIO DE VELASCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,22,22
SAN JULIAN,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,3,3
SAN LORENZO(PND),atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,10,10
SAN LORENZO(TJA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,38,38
SAN LUCAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,9,9
SAN PEDRO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,2,2
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,5,5
SAN PEDRO DE CURAHUARA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,14,14
SAN PEDRO DE TIQUINA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,15,15
SAN RAFAEL,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,1,1
SAN RAMON,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,4,4
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,754,754
SANTA ROSA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,20,20
SANTA ROSA DEL SARA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,5,5
SANTIAGO DE HUARI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,26,26
SANTIAGO DE MACHACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,9,9
SANTUARIO DE QUILLACAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,3,3
SAPAHAQUI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,4,4
SICA SICA (VILLA AROMA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,9,9
SICAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,4,4
SIPE SIPE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,9,9
SOPACHUY,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,72,72
SORACACHI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,4,4
SORATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,1,1
SUCRE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,20,20
TACACOMA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,1,1
TAPACARI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,15,15
TARABUCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,19,19
TARACO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,12,12
TARATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,51,51
TARIJA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,334,334
TARVITA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,8,8
TIAWANACU,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,5,5
TINGUIPAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,30,30
TIPUANI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,64,64
TIQUIPAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,1,1
TIRAQUE (CBBA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,44,44
TITO YUPANQUI (PARQUIPUJIO),atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,2,2
TOCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,18,18
TOLATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,45,45
TOLEDO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,92,92
TOMAVE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,9,9
TOMINA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,7,7
TORO TORO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,26,26
TOTORA(CBBA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,9,9
TOTORA(ORR),atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,2,2
TRINIDAD,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,48,48
TUPIZA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-05-01,33,33
