municipality,group,variable,month,Exodoncias,TOTAL
TACOPAYA,atenciones odontologicas,exodoncias,2008-03-01,29,29
TAPACARI,atenciones odontologicas,exodoncias,2008-03-01,47,47
TARABUCO,atenciones odontologicas,exodoncias,2008-03-01,36,36
TARACO,atenciones odontologicas,exodoncias,2008-03-01,47,47
TARATA,atenciones odontologicas,exodoncias,2008-03-01,20,20
TARIJA,atenciones odontologicas,exodoncias,2008-03-01,692,692
TARVITA,atenciones odontologicas,exodoncias,2008-03-01,52,52
TEOPONTE,atenciones odontologicas,exodoncias,2008-03-01,14,14
TIAWANACU,atenciones odontologicas,exodoncias,2008-03-01,62,62
TINGUIPAYA,atenciones odontologicas,exodoncias,2008-03-01,68,68
TIQUIPAYA,atenciones odontologicas,exodoncias,2008-03-01,64,64
TIRAQUE (CBBA),atenciones odontologicas,exodoncias,2008-03-01,103,103
TITO YUPANQUI (PARQUIPUJIO),atenciones odontologicas,exodoncias,2008-03-01,19,19
TOCO,atenciones odontologicas,exodoncias,2008-03-01,26,26
TOLATA,atenciones odontologicas,exodoncias,2008-03-01,7,7
TOLEDO,atenciones odontologicas,exodoncias,2008-03-01,46,46
TOMAVE,atenciones odontologicas,exodoncias,2008-03-01,31,31
TOMINA,atenciones odontologicas,exodoncias,2008-03-01,57,57
TORO TORO,atenciones odontologicas,exodoncias,2008-03-01,19,19
TOTORA(CBBA),atenciones odontologicas,exodoncias,2008-03-01,36,36
TRIGAL,atenciones odontologicas,exodoncias,2008-03-01,20,20
TRINIDAD,atenciones odontologicas,exodoncias,2008-03-01,552,552
TUPIZA,atenciones odontologicas,exodoncias,2008-03-01,177,177
TURCO,atenciones odontologicas,exodoncias,2008-03-01,58,58
UMALA,atenciones odontologicas,exodoncias,2008-03-01,20,20
UNCIA,atenciones odontologicas,exodoncias,2008-03-01,109,109
URIONDO (A. CONCEPCION),atenciones odontologicas,exodoncias,2008-03-01,117,117
URUBICHA,atenciones odontologicas,exodoncias,2008-03-01,10,10
UYUNI,atenciones odontologicas,exodoncias,2008-03-01,115,115
VACAS,atenciones odontologicas,exodoncias,2008-03-01,21,21
VALLEGRANDE,atenciones odontologicas,exodoncias,2008-03-01,109,109
VIACHA,atenciones odontologicas,exodoncias,2008-03-01,159,159
VILA VILA,atenciones odontologicas,exodoncias,2008-03-01,5,5
VILLA MONTES,atenciones odontologicas,exodoncias,2008-03-01,307,307
VILLA NUEVA (LOMA ALTA),atenciones odontologicas,exodoncias,2008-03-01,28,28
VILLA RIVERO,atenciones odontologicas,exodoncias,2008-03-01,8,8
VILLA SERRANO,atenciones odontologicas,exodoncias,2008-03-01,10,10
VILLA TUNARI,atenciones odontologicas,exodoncias,2008-03-01,234,234
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,exodoncias,2008-03-01,47,47
VILLAZON,atenciones odontologicas,exodoncias,2008-03-01,216,216
VINTO,atenciones odontologicas,exodoncias,2008-03-01,31,31
VITICHI,atenciones odontologicas,exodoncias,2008-03-01,20,20
WALDO BALLIVIAN,atenciones odontologicas,exodoncias,2008-03-01,8,8
WARNES,atenciones odontologicas,exodoncias,2008-03-01,84,84
YACO,atenciones odontologicas,exodoncias,2008-03-01,8,8
YACUIBA,atenciones odontologicas,exodoncias,2008-03-01,353,353
YAMPARAEZ,atenciones odontologicas,exodoncias,2008-03-01,46,46
YANACACHI,atenciones odontologicas,exodoncias,2008-03-01,32,32
YAPACANI,atenciones odontologicas,exodoncias,2008-03-01,78,78
YOCALLA,atenciones odontologicas,exodoncias,2008-03-01,16,16
YOTALA,atenciones odontologicas,exodoncias,2008-03-01,32,32
YUNCHARA,atenciones odontologicas,exodoncias,2008-03-01,90,90
ZUDAÑEZ,atenciones odontologicas,exodoncias,2008-03-01,56,56
ACACIO,atenciones odontologicas,exodoncias,2008-04-01,8,8
ACHACACHI,atenciones odontologicas,exodoncias,2008-04-01,212,212
ACHOCALLA,atenciones odontologicas,exodoncias,2008-04-01,77,77
AIQUILE,atenciones odontologicas,exodoncias,2008-04-01,14,14
ALCALA,atenciones odontologicas,exodoncias,2008-04-01,24,24
ANCORAIMES,atenciones odontologicas,exodoncias,2008-04-01,69,69
ANDAMARCA,atenciones odontologicas,exodoncias,2008-04-01,23,23
ANTEQUERA,atenciones odontologicas,exodoncias,2008-04-01,55,55
ANZALDO,atenciones odontologicas,exodoncias,2008-04-01,24,24
APOLO,atenciones odontologicas,exodoncias,2008-04-01,64,64
ARAMPAMPA,atenciones odontologicas,exodoncias,2008-04-01,9,9
ARANI,atenciones odontologicas,exodoncias,2008-04-01,14,14
ARQUE,atenciones odontologicas,exodoncias,2008-04-01,19,19
ASCENCION DE GUARAYOS,atenciones odontologicas,exodoncias,2008-04-01,24,24
ATOCHA,atenciones odontologicas,exodoncias,2008-04-01,162,162
AYATA,atenciones odontologicas,exodoncias,2008-04-01,34,34
AYO AYO,atenciones odontologicas,exodoncias,2008-04-01,30,30
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,exodoncias,2008-04-01,79,79
AZURDUY,atenciones odontologicas,exodoncias,2008-04-01,55,55
BATALLAS,atenciones odontologicas,exodoncias,2008-04-01,81,81
BAURES,atenciones odontologicas,exodoncias,2008-04-01,39,39
BELEN DE URMIRI,atenciones odontologicas,exodoncias,2008-04-01,16,16
BERMEJO,atenciones odontologicas,exodoncias,2008-04-01,253,253
BETANZOS,atenciones odontologicas,exodoncias,2008-04-01,74,74
BOLIVAR,atenciones odontologicas,exodoncias,2008-04-01,20,20
BOLPEBRA,atenciones odontologicas,exodoncias,2008-04-01,27,27
BOYUIBE,atenciones odontologicas,exodoncias,2008-04-01,30,30
BUENA VISTA,atenciones odontologicas,exodoncias,2008-04-01,70,70
CABEZAS,atenciones odontologicas,exodoncias,2008-04-01,67,67
CAIROMA,atenciones odontologicas,exodoncias,2008-04-01,117,117
"CAIZA ""D""",atenciones odontologicas,exodoncias,2008-04-01,17,17
CAJUATA,atenciones odontologicas,exodoncias,2008-04-01,18,18
CALACOTO,atenciones odontologicas,exodoncias,2008-04-01,62,62
CALAMARCA,atenciones odontologicas,exodoncias,2008-04-01,56,56
CAMARGO,atenciones odontologicas,exodoncias,2008-04-01,129,129
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,exodoncias,2008-04-01,20,20
CAMIRI,atenciones odontologicas,exodoncias,2008-04-01,129,129
CAPINOTA,atenciones odontologicas,exodoncias,2008-04-01,65,65
CAQUIAVIRI,atenciones odontologicas,exodoncias,2008-04-01,13,13
CARACOLLO,atenciones odontologicas,exodoncias,2008-04-01,109,109
CARANAVI,atenciones odontologicas,exodoncias,2008-04-01,141,141
CARAPARI,atenciones odontologicas,exodoncias,2008-04-01,181,181
CARIPUYO,atenciones odontologicas,exodoncias,2008-04-01,9,9
CATACORA,atenciones odontologicas,exodoncias,2008-04-01,47,47
CHALLAPATA,atenciones odontologicas,exodoncias,2008-04-01,84,84
CHAQUI,atenciones odontologicas,exodoncias,2008-04-01,8,8
CHARAGUA,atenciones odontologicas,exodoncias,2008-04-01,223,223
CHARAÑA,atenciones odontologicas,exodoncias,2008-04-01,52,52
CHAYANTA,atenciones odontologicas,exodoncias,2008-04-01,32,32
CHIMORE,atenciones odontologicas,exodoncias,2008-04-01,24,24
CHOQUE COTA,atenciones odontologicas,exodoncias,2008-04-01,13,13
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,exodoncias,2008-04-01,41,41
CHUMA,atenciones odontologicas,exodoncias,2008-04-01,93,93
CLIZA,atenciones odontologicas,exodoncias,2008-04-01,23,23
COBIJA,atenciones odontologicas,exodoncias,2008-04-01,139,139
COCHABAMBA,atenciones odontologicas,exodoncias,2008-04-01,1018,1018
COIPASA,atenciones odontologicas,exodoncias,2008-04-01,7,7
COLCAPIRHUA,atenciones odontologicas,exodoncias,2008-04-01,44,44
"COLCHA ""K""",atenciones odontologicas,exodoncias,2008-04-01,47,47
COLLANA,atenciones odontologicas,exodoncias,2008-04-01,12,12
COLOMI,atenciones odontologicas,exodoncias,2008-04-01,9,9
COLPA BELGICA,atenciones odontologicas,exodoncias,2008-04-01,31,31
COLQUECHACA,atenciones odontologicas,exodoncias,2008-04-01,28,28
COLQUENCHA,atenciones odontologicas,exodoncias,2008-04-01,48,48
COLQUIRI,atenciones odontologicas,exodoncias,2008-04-01,97,97
COMANCHE,atenciones odontologicas,exodoncias,2008-04-01,46,46
COMARAPA,atenciones odontologicas,exodoncias,2008-04-01,49,49
COMBAYA,atenciones odontologicas,exodoncias,2008-04-01,12,12
CONCEPCION,atenciones odontologicas,exodoncias,2008-04-01,17,17
COPACABANA,atenciones odontologicas,exodoncias,2008-04-01,106,106
CORIPATA,atenciones odontologicas,exodoncias,2008-04-01,55,55
CORO CORO,atenciones odontologicas,exodoncias,2008-04-01,32,32
COROICO,atenciones odontologicas,exodoncias,2008-04-01,123,123
CORQUE,atenciones odontologicas,exodoncias,2008-04-01,25,25
COTAGAITA,atenciones odontologicas,exodoncias,2008-04-01,55,55
COTOCA,atenciones odontologicas,exodoncias,2008-04-01,98,98
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,exodoncias,2008-04-01,14,14
CUEVO,atenciones odontologicas,exodoncias,2008-04-01,9,9
CULPINA,atenciones odontologicas,exodoncias,2008-04-01,50,50
CURAHUARA DE CARANGAS,atenciones odontologicas,exodoncias,2008-04-01,54,54
CURVA,atenciones odontologicas,exodoncias,2008-04-01,7,7
DESAGUADERO,atenciones odontologicas,exodoncias,2008-04-01,72,72
EL ALTO,atenciones odontologicas,exodoncias,2008-04-01,3168,3168
EL CHORO,atenciones odontologicas,exodoncias,2008-04-01,7,7
EL PUENTE(STC),atenciones odontologicas,exodoncias,2008-04-01,39,39
EL PUENTE(TJA),atenciones odontologicas,exodoncias,2008-04-01,171,171
EL TORNO,atenciones odontologicas,exodoncias,2008-04-01,118,118
EL VILLAR,atenciones odontologicas,exodoncias,2008-04-01,7,7
ENTRE RIOS,atenciones odontologicas,exodoncias,2008-04-01,28,28
ENTRE RIOS,atenciones odontologicas,exodoncias,2008-04-01,92,92
EUCALIPTUS,atenciones odontologicas,exodoncias,2008-04-01,35,35
EXALTACION,atenciones odontologicas,exodoncias,2008-04-01,5,5
FERNANDEZ ALONSO,atenciones odontologicas,exodoncias,2008-04-01,30,30
FILADELFIA,atenciones odontologicas,exodoncias,2008-04-01,23,23
GENERAL SAAVEDRA,atenciones odontologicas,exodoncias,2008-04-01,84,84
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,exodoncias,2008-04-01,60,60
GUANAY,atenciones odontologicas,exodoncias,2008-04-01,34,34
GUAQUI,atenciones odontologicas,exodoncias,2008-04-01,43,43
GUAYARAMERIN,atenciones odontologicas,exodoncias,2008-04-01,104,104
GUTIERREZ,atenciones odontologicas,exodoncias,2008-04-01,99,99
HUACARETA,atenciones odontologicas,exodoncias,2008-04-01,16,16
HUACAYA (VILLA DE HUACAYA),atenciones odontologicas,exodoncias,2008-04-01,51,51
HUACHACALLA,atenciones odontologicas,exodoncias,2008-04-01,26,26
HUANUNI,atenciones odontologicas,exodoncias,2008-04-01,102,102
HUARACAJE,atenciones odontologicas,exodoncias,2008-04-01,12,12
HUAYLLAMARCA,atenciones odontologicas,exodoncias,2008-04-01,11,11
ICLA,atenciones odontologicas,exodoncias,2008-04-01,47,47
INCAHUASI,atenciones odontologicas,exodoncias,2008-04-01,53,53
INQUISIVI,atenciones odontologicas,exodoncias,2008-04-01,31,31
IRUPANA (VILLA DE LANZA),atenciones odontologicas,exodoncias,2008-04-01,76,76
IXIAMAS,atenciones odontologicas,exodoncias,2008-04-01,59,59
JESUS DE MACHACA,atenciones odontologicas,exodoncias,2008-04-01,102,102
LA ASUNTA,atenciones odontologicas,exodoncias,2008-04-01,64,64
LA GUARDIA,atenciones odontologicas,exodoncias,2008-04-01,55,55
LA PAZ,atenciones odontologicas,exodoncias,2008-04-01,2688,2688
LAGUNILLAS,atenciones odontologicas,exodoncias,2008-04-01,16,16
LAJA,atenciones odontologicas,exodoncias,2008-04-01,104,104
LAS CARRERAS,atenciones odontologicas,exodoncias,2008-04-01,3,3
LICOMA PAMPA,atenciones odontologicas,exodoncias,2008-04-01,42,42
LLALLAGUA,atenciones odontologicas,exodoncias,2008-04-01,47,47
LLICA,atenciones odontologicas,exodoncias,2008-04-01,33,33
LURIBAY,atenciones odontologicas,exodoncias,2008-04-01,29,29
MACHACAMARCA,atenciones odontologicas,exodoncias,2008-04-01,38,38
MACHARETI,atenciones odontologicas,exodoncias,2008-04-01,18,18
MAGDALENA,atenciones odontologicas,exodoncias,2008-04-01,24,24
MAIRANA,atenciones odontologicas,exodoncias,2008-04-01,8,8
MALLA,atenciones odontologicas,exodoncias,2008-04-01,10,10
MAPIRI,atenciones odontologicas,exodoncias,2008-04-01,115,115
MECAPACA,atenciones odontologicas,exodoncias,2008-04-01,159,159
MINEROS,atenciones odontologicas,exodoncias,2008-04-01,16,16
MIZQUE,atenciones odontologicas,exodoncias,2008-04-01,34,34
MOCOMOCO,atenciones odontologicas,exodoncias,2008-04-01,208,208
MOJOCOYA,atenciones odontologicas,exodoncias,2008-04-01,81,81
MONTEAGUDO,atenciones odontologicas,exodoncias,2008-04-01,57,57
MONTERO,atenciones odontologicas,exodoncias,2008-04-01,215,215
MORO MORO,atenciones odontologicas,exodoncias,2008-04-01,26,26
MOROCHATA,atenciones odontologicas,exodoncias,2008-04-01,104,104
OCURI,atenciones odontologicas,exodoncias,2008-04-01,58,58
OKINAWA,atenciones odontologicas,exodoncias,2008-04-01,35,35
OMEREQUE,atenciones odontologicas,exodoncias,2008-04-01,11,11
ORURO,atenciones odontologicas,exodoncias,2008-04-01,1273,1273
PADCAYA,atenciones odontologicas,exodoncias,2008-04-01,148,148
PADILLA,atenciones odontologicas,exodoncias,2008-04-01,65,65
PAILON,atenciones odontologicas,exodoncias,2008-04-01,87,87
PALCA,atenciones odontologicas,exodoncias,2008-04-01,33,33
PALOS BLANCOS,atenciones odontologicas,exodoncias,2008-04-01,69,69
PAMPA AULLAGAS,atenciones odontologicas,exodoncias,2008-04-01,24,24
PAPEL PAMPA,atenciones odontologicas,exodoncias,2008-04-01,11,11
PASORAPA,atenciones odontologicas,exodoncias,2008-04-01,50,50
PATACAMAYA,atenciones odontologicas,exodoncias,2008-04-01,36,36
PAZÑA,atenciones odontologicas,exodoncias,2008-04-01,55,55
PELECHUCO,atenciones odontologicas,exodoncias,2008-04-01,31,31
POCOATA,atenciones odontologicas,exodoncias,2008-04-01,23,23
POCONA,atenciones odontologicas,exodoncias,2008-04-01,14,14
POJO (CBBA),atenciones odontologicas,exodoncias,2008-04-01,17,17
POOPO,atenciones odontologicas,exodoncias,2008-04-01,42,42
PORCO,atenciones odontologicas,exodoncias,2008-04-01,17,17
POROMA,atenciones odontologicas,exodoncias,2008-04-01,41,41
PORONGO,atenciones odontologicas,exodoncias,2008-04-01,44,44
PORTACHUELO,atenciones odontologicas,exodoncias,2008-04-01,59,59
PORVENIR,atenciones odontologicas,exodoncias,2008-04-01,48,48
POSTRER VALLE,atenciones odontologicas,exodoncias,2008-04-01,6,6
POTOSI,atenciones odontologicas,exodoncias,2008-04-01,452,452
PRESTO,atenciones odontologicas,exodoncias,2008-04-01,18,18
PUCARA,atenciones odontologicas,exodoncias,2008-04-01,7,7
PUCARANI,atenciones odontologicas,exodoncias,2008-04-01,162,162
PUERTO ACOSTA,atenciones odontologicas,exodoncias,2008-04-01,155,155
PUERTO CARABUCO,atenciones odontologicas,exodoncias,2008-04-01,89,89
PUERTO GONZALO MORENO,atenciones odontologicas,exodoncias,2008-04-01,6,6
PUERTO PEREZ,atenciones odontologicas,exodoncias,2008-04-01,5,5
PUERTO QUIJARRO,atenciones odontologicas,exodoncias,2008-04-01,47,47
PUERTO RICO,atenciones odontologicas,exodoncias,2008-04-01,54,54
PUERTO SUAREZ,atenciones odontologicas,exodoncias,2008-04-01,54,54
PUERTO VILLARROEL,atenciones odontologicas,exodoncias,2008-04-01,89,89
PUNA,atenciones odontologicas,exodoncias,2008-04-01,92,92
PUNATA,atenciones odontologicas,exodoncias,2008-04-01,85,85
QUIABAYA,atenciones odontologicas,exodoncias,2008-04-01,5,5
QUILLACOLLO,atenciones odontologicas,exodoncias,2008-04-01,140,140
QUIME,atenciones odontologicas,exodoncias,2008-04-01,201,201
QUIRUSILLAS,atenciones odontologicas,exodoncias,2008-04-01,1,1
REYES,atenciones odontologicas,exodoncias,2008-04-01,103,103
RIBERALTA,atenciones odontologicas,exodoncias,2008-04-01,356,356
ROBORE,atenciones odontologicas,exodoncias,2008-04-01,53,53
RURRENABAQUE,atenciones odontologicas,exodoncias,2008-04-01,67,67
SABAYA,atenciones odontologicas,exodoncias,2008-04-01,21,21
SACABA,atenciones odontologicas,exodoncias,2008-04-01,207,207
SACACA,atenciones odontologicas,exodoncias,2008-04-01,18,18
SAIPINA,atenciones odontologicas,exodoncias,2008-04-01,21,21
SALINAS DE GARCI MENDOZA,atenciones odontologicas,exodoncias,2008-04-01,24,24
SAMAIPATA,atenciones odontologicas,exodoncias,2008-04-01,41,41
SAN AGUSTIN,atenciones odontologicas,exodoncias,2008-04-01,16,16
SAN ANDRES,atenciones odontologicas,exodoncias,2008-04-01,30,30
SAN ANDRES DE MACHACA,atenciones odontologicas,exodoncias,2008-04-01,179,179
SAN ANTONIO DE LOMERIO,atenciones odontologicas,exodoncias,2008-04-01,34,34
SAN BENITO,atenciones odontologicas,exodoncias,2008-04-01,16,16
SAN BORJA,atenciones odontologicas,exodoncias,2008-04-01,166,166
SAN BUENA VENTURA,atenciones odontologicas,exodoncias,2008-04-01,62,62
SAN CARLOS,atenciones odontologicas,exodoncias,2008-04-01,24,24
SAN IGNACIO,atenciones odontologicas,exodoncias,2008-04-01,134,134
SAN IGNACIO DE VELASCO,atenciones odontologicas,exodoncias,2008-04-01,194,194
SAN JAVIER(BNI),atenciones odontologicas,exodoncias,2008-04-01,6,6
SAN JAVIER(STC),atenciones odontologicas,exodoncias,2008-04-01,29,29
SAN JOAQUIN,atenciones odontologicas,exodoncias,2008-04-01,4,4
SAN JOSE DE CHIQUITOS,atenciones odontologicas,exodoncias,2008-04-01,52,52
SAN JUAN DE YAPACANI,atenciones odontologicas,exodoncias,2008-04-01,35,35
SAN JULIAN,atenciones odontologicas,exodoncias,2008-04-01,16,16
SAN LORENZO(TJA),atenciones odontologicas,exodoncias,2008-04-01,231,231
SAN LUCAS,atenciones odontologicas,exodoncias,2008-04-01,33,33
SAN MATIAS,atenciones odontologicas,exodoncias,2008-04-01,36,36
SAN MIGUEL DE VELASCO,atenciones odontologicas,exodoncias,2008-04-01,86,86
SAN PABLO DE LIPEZ,atenciones odontologicas,exodoncias,2008-04-01,1,1
SAN PEDRO,atenciones odontologicas,exodoncias,2008-04-01,22,22
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,exodoncias,2008-04-01,48,48
SAN PEDRO DE CURAHUARA,atenciones odontologicas,exodoncias,2008-04-01,20,20
SAN PEDRO DE TIQUINA,atenciones odontologicas,exodoncias,2008-04-01,45,45
SAN RAFAEL,atenciones odontologicas,exodoncias,2008-04-01,51,51
SAN RAMON,atenciones odontologicas,exodoncias,2008-04-01,5,5
SAN RAMON,atenciones odontologicas,exodoncias,2008-04-01,13,13
SANTA ANA,atenciones odontologicas,exodoncias,2008-04-01,129,129
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,exodoncias,2008-04-01,2134,2134
SANTA ROSA,atenciones odontologicas,exodoncias,2008-04-01,9,9
SANTA ROSA DEL SARA,atenciones odontologicas,exodoncias,2008-04-01,85,85
SANTIAGO DE HUARI,atenciones odontologicas,exodoncias,2008-04-01,45,45
SANTIAGO DE MACHACA,atenciones odontologicas,exodoncias,2008-04-01,25,25
SANTIVAÑES,atenciones odontologicas,exodoncias,2008-04-01,19,19
SANTUARIO DE QUILLACAS,atenciones odontologicas,exodoncias,2008-04-01,4,4
SAPAHAQUI,atenciones odontologicas,exodoncias,2008-04-01,33,33
SENA,atenciones odontologicas,exodoncias,2008-04-01,14,14
SICA SICA (VILLA AROMA),atenciones odontologicas,exodoncias,2008-04-01,90,90
SICAYA,atenciones odontologicas,exodoncias,2008-04-01,13,13
SIPE SIPE,atenciones odontologicas,exodoncias,2008-04-01,58,58
SOPACHUY,atenciones odontologicas,exodoncias,2008-04-01,101,101
SORACACHI,atenciones odontologicas,exodoncias,2008-04-01,14,14
SORATA,atenciones odontologicas,exodoncias,2008-04-01,50,50
SUCRE,atenciones odontologicas,exodoncias,2008-04-01,972,972
TACACOMA,atenciones odontologicas,exodoncias,2008-04-01,96,96
TACOPAYA,atenciones odontologicas,exodoncias,2008-04-01,19,19
TAHUA,atenciones odontologicas,exodoncias,2008-04-01,9,9
TAPACARI,atenciones odontologicas,exodoncias,2008-04-01,67,67
TARABUCO,atenciones odontologicas,exodoncias,2008-04-01,64,64
TARACO,atenciones odontologicas,exodoncias,2008-04-01,39,39
TARATA,atenciones odontologicas,exodoncias,2008-04-01,13,13
TARIJA,atenciones odontologicas,exodoncias,2008-04-01,725,725
TARVITA,atenciones odontologicas,exodoncias,2008-04-01,48,48
TEOPONTE,atenciones odontologicas,exodoncias,2008-04-01,52,52
TIAWANACU,atenciones odontologicas,exodoncias,2008-04-01,90,90
TINGUIPAYA,atenciones odontologicas,exodoncias,2008-04-01,41,41
TIPUANI,atenciones odontologicas,exodoncias,2008-04-01,12,12
TIQUIPAYA,atenciones odontologicas,exodoncias,2008-04-01,99,99
TIRAQUE (CBBA),atenciones odontologicas,exodoncias,2008-04-01,108,108
TITO YUPANQUI (PARQUIPUJIO),atenciones odontologicas,exodoncias,2008-04-01,12,12
TOCO,atenciones odontologicas,exodoncias,2008-04-01,11,11
TOLATA,atenciones odontologicas,exodoncias,2008-04-01,15,15
TOLEDO,atenciones odontologicas,exodoncias,2008-04-01,18,18
TOMAVE,atenciones odontologicas,exodoncias,2008-04-01,48,48
TOMINA,atenciones odontologicas,exodoncias,2008-04-01,82,82
TORO TORO,atenciones odontologicas,exodoncias,2008-04-01,23,23
TOTORA(CBBA),atenciones odontologicas,exodoncias,2008-04-01,35,35
TOTORA(ORR),atenciones odontologicas,exodoncias,2008-04-01,3,3
TRIGAL,atenciones odontologicas,exodoncias,2008-04-01,27,27
TRINIDAD,atenciones odontologicas,exodoncias,2008-04-01,187,187
TUPIZA,atenciones odontologicas,exodoncias,2008-04-01,179,179
TURCO,atenciones odontologicas,exodoncias,2008-04-01,30,30
UMALA,atenciones odontologicas,exodoncias,2008-04-01,7,7
UNCIA,atenciones odontologicas,exodoncias,2008-04-01,61,61
URIONDO (A. CONCEPCION),atenciones odontologicas,exodoncias,2008-04-01,175,175
URUBICHA,atenciones odontologicas,exodoncias,2008-04-01,19,19
UYUNI,atenciones odontologicas,exodoncias,2008-04-01,124,124
VACAS,atenciones odontologicas,exodoncias,2008-04-01,27,27
VALLEGRANDE,atenciones odontologicas,exodoncias,2008-04-01,72,72
VIACHA,atenciones odontologicas,exodoncias,2008-04-01,133,133
VILA VILA,atenciones odontologicas,exodoncias,2008-04-01,12,12
VILLA MONTES,atenciones odontologicas,exodoncias,2008-04-01,291,291
VILLA NUEVA (LOMA ALTA),atenciones odontologicas,exodoncias,2008-04-01,54,54
VILLA RIVERO,atenciones odontologicas,exodoncias,2008-04-01,20,20
VILLA SERRANO,atenciones odontologicas,exodoncias,2008-04-01,11,11
VILLA TUNARI,atenciones odontologicas,exodoncias,2008-04-01,213,213
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,exodoncias,2008-04-01,160,160
VILLAZON,atenciones odontologicas,exodoncias,2008-04-01,173,173
VINTO,atenciones odontologicas,exodoncias,2008-04-01,24,24
VITICHI,atenciones odontologicas,exodoncias,2008-04-01,12,12
WALDO BALLIVIAN,atenciones odontologicas,exodoncias,2008-04-01,14,14
WARNES,atenciones odontologicas,exodoncias,2008-04-01,107,107
YACO,atenciones odontologicas,exodoncias,2008-04-01,20,20
YACUIBA,atenciones odontologicas,exodoncias,2008-04-01,358,358
YAMPARAEZ,atenciones odontologicas,exodoncias,2008-04-01,66,66
YANACACHI,atenciones odontologicas,exodoncias,2008-04-01,32,32
YAPACANI,atenciones odontologicas,exodoncias,2008-04-01,80,80
YOCALLA,atenciones odontologicas,exodoncias,2008-04-01,30,30
YOTALA,atenciones odontologicas,exodoncias,2008-04-01,18,18
YUNCHARA,atenciones odontologicas,exodoncias,2008-04-01,61,61
ZUDAÑEZ,atenciones odontologicas,exodoncias,2008-04-01,38,38
ACACIO,atenciones odontologicas,exodoncias,2008-05-01,26,26
ACHACACHI,atenciones odontologicas,exodoncias,2008-05-01,185,185
ACHOCALLA,atenciones odontologicas,exodoncias,2008-05-01,180,180
AIQUILE,atenciones odontologicas,exodoncias,2008-05-01,20,20
ALCALA,atenciones odontologicas,exodoncias,2008-05-01,19,19
ANCORAIMES,atenciones odontologicas,exodoncias,2008-05-01,98,98
ANDAMARCA,atenciones odontologicas,exodoncias,2008-05-01,27,27
ANTEQUERA,atenciones odontologicas,exodoncias,2008-05-01,22,22
ANZALDO,atenciones odontologicas,exodoncias,2008-05-01,17,17
APOLO,atenciones odontologicas,exodoncias,2008-05-01,70,70
ARAMPAMPA,atenciones odontologicas,exodoncias,2008-05-01,9,9
ARANI,atenciones odontologicas,exodoncias,2008-05-01,18,18
ARBIETO,atenciones odontologicas,exodoncias,2008-05-01,4,4
ARQUE,atenciones odontologicas,exodoncias,2008-05-01,17,17
ASCENCION DE GUARAYOS,atenciones odontologicas,exodoncias,2008-05-01,456,456
ATOCHA,atenciones odontologicas,exodoncias,2008-05-01,162,162
AYATA,atenciones odontologicas,exodoncias,2008-05-01,56,56
AYO AYO,atenciones odontologicas,exodoncias,2008-05-01,17,17
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,exodoncias,2008-05-01,53,53
AZURDUY,atenciones odontologicas,exodoncias,2008-05-01,17,17
BATALLAS,atenciones odontologicas,exodoncias,2008-05-01,96,96
BAURES,atenciones odontologicas,exodoncias,2008-05-01,28,28
BELEN DE URMIRI,atenciones odontologicas,exodoncias,2008-05-01,9,9
BERMEJO,atenciones odontologicas,exodoncias,2008-05-01,189,189
BETANZOS,atenciones odontologicas,exodoncias,2008-05-01,106,106
BOLIVAR,atenciones odontologicas,exodoncias,2008-05-01,14,14
BOLPEBRA,atenciones odontologicas,exodoncias,2008-05-01,27,27
BOYUIBE,atenciones odontologicas,exodoncias,2008-05-01,26,26
BUENA VISTA,atenciones odontologicas,exodoncias,2008-05-01,62,62
CABEZAS,atenciones odontologicas,exodoncias,2008-05-01,48,48
CAIROMA,atenciones odontologicas,exodoncias,2008-05-01,69,69
"CAIZA ""D""",atenciones odontologicas,exodoncias,2008-05-01,19,19
CAJUATA,atenciones odontologicas,exodoncias,2008-05-01,40,40
CALACOTO,atenciones odontologicas,exodoncias,2008-05-01,86,86
CALAMARCA,atenciones odontologicas,exodoncias,2008-05-01,48,48
CAMARGO,atenciones odontologicas,exodoncias,2008-05-01,106,106
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,exodoncias,2008-05-01,40,40
CAMIRI,atenciones odontologicas,exodoncias,2008-05-01,174,174
CAPINOTA,atenciones odontologicas,exodoncias,2008-05-01,33,33
CAQUIAVIRI,atenciones odontologicas,exodoncias,2008-05-01,37,37
CARACOLLO,atenciones odontologicas,exodoncias,2008-05-01,78,78
CARANAVI,atenciones odontologicas,exodoncias,2008-05-01,139,139
CARAPARI,atenciones odontologicas,exodoncias,2008-05-01,182,182
CARIPUYO,atenciones odontologicas,exodoncias,2008-05-01,29,29
