municipality,group,variable,month,Niños (as) 6 a 23 meses que reciben Alimento compl,TOTAL
LORETO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,25,25
MACHACAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,13,13
MINEROS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,72,72
MIZQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,22,22
MOJOCOYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,3,3
MONTEAGUDO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,538,538
MONTERO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,197,197
OCURI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,710,710
ORURO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,2678,2678
PALOS BLANCOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,9,9
PAMPA AULLAGAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,51,51
PAZÑA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,98,98
PELECHUCO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,6,6
POROMA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,20,20
PUERTO QUIJARRO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,30,30
PUERTO SILES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,10,10
PUERTO SUAREZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,12,12
PUNA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,9,9
RAVELO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,20,20
RIBERALTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,586,586
RURRENABAQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,128,128
SABAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,38,38
SACABA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,25,25
SACACA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,244,244
SAIPINA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,6,6
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,243,243
SAN ANDRES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,33,33
SAN BORJA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,373,373
SAN IGNACIO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,400,400
SAN JAVIER(BNI),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,14,14
SAN JOAQUIN,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,60,60
SAN JUAN DE YAPACANI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,15,15
SAN JULIAN,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,115,115
SAN LUCAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,780,780
SAN MATIAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,134,134
SAN PEDRO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,52,52
SAN PEDRO DE BUENA VISTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,11,11
SAN RAFAEL,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,190,190
SAN RAMON,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,83,83
SANTA ANA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,199,199
SANTA CRUZ DE LA SIERRA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,237,237
SANTA ROSA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,67,67
SANTIAGO DE CALLAPA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,1,1
SANTIAGO DE HUARI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,117,117
SANTIAGO DE MACHACA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,3,3
SANTUARIO DE QUILLACAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,51,51
SICA SICA (VILLA AROMA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,40,40
SOPACHUY,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,178,178
TAPACARI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,479,479
TARABUCO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,493,493
TARIJA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,2371,2371
TINGUIPAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,26,26
TIPUANI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,3,3
TIQUIPAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,24,24
TODOS SANTOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,3,3
TOLEDO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,75,75
TOTORA(ORR),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,43,43
TRINIDAD,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,356,356
TURCO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,166,166
URUBICHA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,70,70
VACAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,3,3
VIACHA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,81,81
WARNES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,8,8
YAMPARAEZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,219,219
YAPACANI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,51,51
YOTALA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,144,144
YUNCHARA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-04-01,161,161
ACACIO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,120,120
ACHOCALLA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,4,4
ALCALA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,66,66
ANDAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,61,61
ANTEQUERA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,50,50
ANZALDO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,3,3
APOLO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,9,9
ARQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,142,142
ASCENCION DE GUARAYOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,221,221
AUCAPATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,4,4
BELEN DE ANDAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,18,18
BETANZOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,799,799
BOLIVAR,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,183,183
BUENA VISTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,3,3
"CAIZA ""D""",nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,38,38
CALACOTO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,80,80
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,85,85
CAPINOTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,44,44
CARACOLLO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,257,257
CARANAVI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,34,34
CARMEN RIVERO TORREZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,6,6
CHALLAPATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,189,189
CHIPAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,27,27
CHOQUE COTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,21,21
CHUMA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,36,36
CLIZA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,58,58
COCHABAMBA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,8,8
COIPASA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,8,8
COLCAPIRHUA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,27,27
COLQUECHACA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,632,632
COLQUENCHA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,62,62
COMANCHE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,45,45
COMARAPA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,44,44
CONCEPCION,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,5,5
CORIPATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,32,32
CORQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,103,103
COTAGAITA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,281,281
CUATRO CAÑADAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,15,15
CURAHUARA DE CARANGAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,91,91
CURVA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,30,30
EL ALTO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,2074,2074
EL CHORO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,92,92
EL PUENTE(STC),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,188,188
EL PUENTE(TJA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,243,243
ESMERALDA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,4,4
EUCALIPTUS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,98,98
EXALTACION,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,22,22
GENERAL SAAVEDRA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,37,37
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,38,38
GUAYARAMERIN,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,208,208
HUACHACALLA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,18,18
HUANUNI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,190,190
HUAYLLAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,55,55
ICLA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,45,45
LA PAZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,13,13
LA RIVERA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,1,1
LORETO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,42,42
MACHACAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,79,79
MACHARETI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,15,15
MIZQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,5,5
MONTEAGUDO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,507,507
OCURI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,653,653
OKINAWA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,15,15
ORURO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,1915,1915
PALOS BLANCOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,13,13
PAMPA AULLAGAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,43,43
PAZÑA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,106,106
PUERTO QUIJARRO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,62,62
PUERTO SILES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,12,12
PUERTO SUAREZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,4,4
PUNA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,469,469
RAVELO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,564,564
RIBERALTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,1180,1180
RURRENABAQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,172,172
SABAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,36,36
SACACA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,132,132
SAIPINA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,10,10
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,218,218
SAN ANDRES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,24,24
SAN BORJA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,400,400
SAN CARLOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,6,6
SAN IGNACIO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,342,342
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,75,75
SAN JAVIER(BNI),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,35,35
SAN JAVIER(STC),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,31,31
SAN JOAQUIN,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,77,77
SAN JULIAN,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,128,128
SAN LORENZO(TJA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,1,1
SAN LUCAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,916,916
SAN MATIAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,104,104
SAN PEDRO DE BUENA VISTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,346,346
SAN RAFAEL,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,69,69
SAN RAMON,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,39,39
SANTA ANA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,34,34
SANTA CRUZ DE LA SIERRA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,121,121
SANTIAGO DE HUARI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,107,107
SANTIAGO DE MACHACA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,1,1
SANTUARIO DE QUILLACAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,54,54
SICA SICA (VILLA AROMA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,22,22
SICAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,3,3
SIPE SIPE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,293,293
SOPACHUY,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,120,120
TACOBAMBA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,1,1
TAPACARI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,570,570
TARABUCO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,387,387
TARIJA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,2263,2263
TINGUIPAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,2,2
TIQUIPAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,172,172
TODOS SANTOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,1,1
TOLEDO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,13,13
TORO TORO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,2,2
TOTORA(ORR),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,22,22
TRINIDAD,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,450,450
TURCO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,100,100
UNCIA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,4,4
URUBICHA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,32,32
VIACHA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,107,107
VILA VILA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,8,8
WARNES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,2,2
YAMPARAEZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,243,243
YAPACANI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,2,2
YOTALA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,119,119
YUNCHARA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-05-01,142,142
ACACIO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,130,130
ALCALA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,25,25
ANDAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,30,30
ANTEQUERA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,44,44
ANZALDO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,14,14
APOLO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,9,9
ARQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,193,193
ASCENCION DE GUARAYOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,230,230
AUCAPATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,2,2
BAURES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,42,42
BELEN DE ANDAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,19,19
BELLA FLOR,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,20,20
BETANZOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,818,818
BOLIVAR,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,220,220
BOLPEBRA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,5,5
"CAIZA ""D""",nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,38,38
CALACOTO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,51,51
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,72,72
CAMIRI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,24,24
CARACOLLO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,263,263
CARANAVI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,21,21
CHALLAPATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,348,348
CHAYANTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,30,30
CHIPAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,19,19
CHOQUE COTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,23,23
CHUMA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,50,50
CLIZA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,49,49
COCHABAMBA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,6,6
COIPASA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,7,7
COLCAPIRHUA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,49,49
COLQUECHACA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,496,496
COLQUENCHA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,127,127
COMANCHE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,53,53
COMARAPA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,49,49
CORO CORO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,65,65
CORQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,111,111
COTAGAITA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,292,292
COTOCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,5,5
CUEVO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,6,6
CULPINA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,3,3
CURAHUARA DE CARANGAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,87,87
CURVA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,27,27
EL ALTO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,1668,1668
EL CHORO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,70,70
EL PUENTE(STC),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,155,155
EL PUENTE(TJA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,207,207
EL TORNO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,10,10
EUCALIPTUS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,106,106
EXALTACION,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,48,48
GENERAL SAAVEDRA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,18,18
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,16,16
GUAYARAMERIN,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,445,445
HUACHACALLA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,14,14
HUANUNI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-06-01,196,196
